	1e-08	1e-05	0.001	1.0
height	1.0003916472650585	0.9606490614284421	0.822562300506634	0.1610880835460075
years_of_schooling	0.6046269935008342	0.5695488067923231	0.31203282217999534	0.09126641069391378
birth_weight	0.7826009402030304	0.49401703513319073	0.2945022044784488	0.06166220281700043
pack_years_of_smoking	0.3864555883405212	0.07322088295300283	0.05022376277679319	0.04062317151596089
hip_circumference	0.9051540695329342	0.7506878651890136	0.5328208939769868	0.09201156705581363
waist_circumference	0.819015588818373	0.7220438711790418	0.4519083955000573	0.0688808753744063
household_income	0.9336328650065553	0.23180308434583127	0.06712891624993819	0.061815791076923504
alcohol_intake_frequency	0.5104919751739563	0.4699500813418192	0.22523145834742403	0.0334712994961296
BMI	0.8038072832900156	0.7184236329671292	0.5460246756604938	0.09547890119745825
forced_vital_capacity	0.7728994019235431	0.6878166710733987	0.47812532832625426	0.0695534831390874
hair_color	0.9012829691063587	0.8878985703022585	0.807353216557643	0.08414121334896005
hand_grip_strength	0.8695849860706695	0.6049128292752909	0.358864528714193	0.06870901754341761
neuroticism_score	0.4186787708341339	0.36641116772761484	0.22822249484778206	0.053207468991166705
overall_health_rating	0.5414299653139327	0.4527896164920623	0.26135330041566796	0.02904891983381459
pulse_rate	0.8090057535669922	0.7303297173450728	0.45235009921420694	0.056473177784892616
skin_color	0.9332355821394664	0.911723980029048	0.8210610758109488	0.06210150525768551
diastolic_blood_pressure	0.7889156416762307	0.7156412303955357	0.5677965638888927	0.06114407885248533
fluid_intelligence	0.6084224240910829	0.44751617661977094	0.33050296289063924	0.05444619457040548
basal_metabolic_rate	0.9426464363877244	0.8473051346082106	0.6339550358628637	0.09575460736822572
