	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	1.132254831450732	1.167100719665493	1.4598611000693285	0.5669748099239887
birth_weight	1.1657109033473052	1.515766916517995	2.0790308753711093	0.7025174723274267
bmi	1.133359229521372	1.3305505467163272	1.3422293435594164	0.9098605182553041
dbp	0.8530951583597605	0.9419664742440239	2.3201834522638536	0.7245435376774209
fvc	1.1094833644922455	4.3984139072510455	1.650494290004196	0.7539269495424001
hair_color	0.9669816855581305	0.9838536030032462	1.032270698028688	0.7482122098473215
hand_grip_strength	1.1421149024293968	1.282469524037922	1.8250548093892236	0.8048348536442902
height	1.259329541007136	1.2842741515783838	1.3590429655485028	1.0812286182306043
hip_circ	1.2908413189669663	1.2248032522048637	1.3034039069425198	0.7114857130672644
household_income	2.7046723121530487	2.464819314318183	3.7129406099912603	0.915051345359154
neuroticism_score	2.7425975276375945	2.397385056951647	1.6526814997561057	0.5558737817970206
overall_health	1.5986117205968498	2.914722283107392	2.8621119538634474	0.6683836113964148
pack_years_smoking	4.676751496072619	2.088800731408102	1.936691805419931	0.4246781575302262
pulse_rate	1.2394568475907914	1.3497397344278477	1.649212473196907	0.7258501204942116
skin_color	0.8967970142194622	0.9045813727287827	0.9413575178677733	0.9317829739013551
waist_circ	1.0953627971524158	1.28698365313605	1.3271590157462485	0.7999876190990151
years_schooling	4.292829502498094	4.772246662284077	2.2619904138909366	0.6120922352694098
