	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	63	455	4687	516524
birth_weight	83	454	3901	517327
bmi	704	2795	12610	515983
dbp	394	1435	7606	517074
fvc	628	2211	10015	516171
hair_color	1377	2567	7371	516851
hand_grip_strength	158	887	6514	516999
height	4604	10158	25517	515524
hip_circ	650	2312	10903	516468
household_income	48	417	4563	516840
neuroticism_score	61	517	5128	517031
overall_health	55	559	5378	517009
pack_years_smoking	18	92	2577	517178
pulse_rate	304	926	5444	516891
skin_color	792	1417	5217	517200
waist_circ	469	2077	10604	516249
years_schooling	45	412	4645	516744
