	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	1.554866451878414	1.6562451485681577	1.9908201263172212	0.7316790464392438
birth_weight	1.8438002637236224	3.4283811492457	3.0343601030847536	0.7827188993039036
bmi	2.0699118537719743	2.2117047697518024	4.511052801509814	1.195150736665814
dbp	2.0556063883290943	2.431458102183201	2.2043791271262165	0.7776415635745187
fvc	1.394768029442967	1.9385336619105715	2.7043814098138466	1.0361354252924375
hair_color	1.4842227816194709	1.5039475626188572	1.7692576914543339	0.905632090592728
hand_grip_strength	1.2985792941213734	1.7746744707396254	3.4910212276112427	0.8951114137640253
height	1.8316858001362188	1.9006127533423347	3.570179011560603	1.3946198936072096
hip_circ	1.3591868836640122	1.7532871122362252	2.3442904018557225	0.9362738989122316
household_income	5.881829664395917	3.5962975994184467	3.79686829498305	1.219723834313898
neuroticism_score	3.8799774188355616	3.499420794637589	3.009053802755356	0.7612346160053243
overall_health	1.5290271592364848	3.2009754286826166	3.4779958954217283	0.908142290555246
pack_years_smoking	3.3058089639079995	4.383490402267489	2.276959425931029	0.5285707101714485
pulse_rate	1.1855050572726717	1.525936547881664	2.249274400611506	0.8793494240354873
skin_color	1.395428354811281	1.3811259335770092	1.5292730191761474	1.1006692719917737
waist_circ	1.7599353339642378	2.134703554835383	2.311569423163178	1.1430824902929912
years_schooling	1.5866750665631284	4.281999063822634	3.728251332117597	0.8221905163861716
