	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	14	104	2190	517880
birth_weight	28	139	2021	518462
bmi	140	737	5365	517194
dbp	78	381	3465	518243
fvc	176	679	4549	517355
hair_color	676	1145	3737	518518
hand_grip_strength	23	202	2926	518109
height	1408	3677	11683	516923
hip_circ	146	653	4673	517693
household_income	7	114	2432	517961
neuroticism_score	11	147	2364	518143
overall_health	5	138	2536	518166
pack_years_smoking	7	40	1498	518291
pulse_rate	81	284	2621	518060
skin_color	476	750	2845	518712
waist_circ	93	517	4422	517572
years_schooling	10	92	2259	517857
