	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	0.0021472093202229265	0.032057288540417665	0.007807941200068893	0.010491582222468607
birth_weight	0.003020910320912986	0.0488227491032581	0.007608627289981698	0.019752338284875513
bmi	0.003305076258740095	0.03492424518677672	0.007148895467828764	0.012620136433804535
dbp	0.02832819906098392	0.025449635035939604	0.006503501862368694	0.01862401672421298
fvc	0.002735047317865286	0.03501277856283343	0.005966047274169562	0.012939460244722315
hair_color	0.002819325211202079	0.007983092830800138	0.045092713933999454	0.01474170058948735
hand_grip_strength	0.01984703461349583	0.003914401866845249	0.008575476708188347	0.016769998605545414
height	0.00248334295799636	0.002451236453485786	0.004549697308568308	0.0109116530695651
hip_circ	0.002444350176710341	0.028819089668045323	0.007779798645052118	0.01167250118249424
household_income	0.021579092649260077	0.009043895168996816	0.00817288124120855	0.01914450186923677
neuroticism_score	0.004306105183944637	0.011161037034178166	0.022939319021922002	0.011566228253217943
overall_health	0.05697531388511403	0.054470386015590136	0.020680676397138036	0.016707647517856965
pack_years_smoking	0.02981910410185219	0.02489752487157898	0.018042276167747114	0.018117298251592993
pulse_rate	0.010339364426880146	0.01617413716405839	0.010727479899047678	0.016697141533281556
skin_color	0.0022147098742377144	0.01936583197166688	0.006288613238340929	0.021207844752335468
waist_circ	0.002037044668442488	0.003335712512496331	0.051627554550725444	0.012113949009185832
years_schooling	0.03966039903193154	0.007616755412271583	0.01015543624910353	0.012016439543775789
