	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	1.7020019434023832	1.9475403529356536	0.638845390184573	0.8232591300613624
birth_weight	1.7801167193258565	1.9537442590382703	1.315345953112599	0.8360399213311398
bmi	2.6775960330165613	2.392924845550384	1.6500075446543048	0.9972581357891903
dbp	1.4991868552995218	0.6249390934314223	1.0180034647478857	0.6684585766460318
fvc	1.6166876435580901	1.5764082954040681	1.6736332733034243	1.0171194910034773
hair_color	2.1518211370487994	2.1400936748278396	2.122958206655562	0.9090341664432711
hand_grip_strength	2.5282094585198216	2.161178740511667	1.2285265357834632	1.0237184082081348
height	1.0602389993999384	1.0020610130018075	1.2885677890719398	1.2739782987334807
hip_circ	0.9157364455840143	1.5214369826687064	2.0420671355411524	0.9050780643529885
household_income	0.1223953844860302	0.7487251448655027	1.1290757521854	0.963749312674538
neuroticism_score	0.7192294678261891	1.6546549722805435	0.9017609344530918	0.6724747812630782
overall_health	0.5538178619102485	2.2832840186946775	1.5731671500203646	0.8567702551988374
pack_years_smoking	1.5366082065248816	1.278374177971976	1.0402168952831965	0.5001861807379474
pulse_rate	1.6642170898011426	1.9119798113644182	1.9445471499595692	0.7338964708298521
skin_color	2.3458504150630706	1.6678205751802906	1.9696107813954906	0.8866828263215022
waist_circ	1.0677263121781708	0.3364316058517702	0.4561670309205829	1.069225774598023
years_schooling	0.9851320638241434	1.0954513277723752	1.222185374866252	0.8085689890806782
