	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	70	490	4807	490556
birth_weight	76	419	3658	490977
bmi	667	2585	11935	489866
dbp	350	1387	7222	490767
fvc	583	2103	9469	490064
hair_color	1141	2139	6495	491160
hand_grip_strength	161	841	6268	490672
height	3829	8582	22842	489433
hip_circ	602	2130	10266	490180
household_income	54	458	4864	490507
neuroticism_score	66	500	4920	490453
overall_health	57	574	5373	490625
pack_years_smoking	16	93	2383	490852
pulse_rate	288	871	5213	490749
skin_color	728	1263	4772	491156
waist_circ	437	1952	10183	490049
years_schooling	51	421	4682	490545
