	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	67	498	4970	517876
birth_weight	81	459	3987	518456
bmi	757	2986	13515	517189
dbp	424	1542	7836	518241
fvc	692	2479	11474	517354
hair_color	1233	2457	8167	518513
hand_grip_strength	203	1022	7514	518109
height	4352	10737	30765	516917
hip_circ	670	2361	11146	517689
household_income	71	626	6269	517958
neuroticism_score	31	272	3462	518140
overall_health	65	630	6062	518164
pack_years_smoking	16	147	3218	518289
pulse_rate	318	1011	5712	518059
skin_color	778	1479	6764	518708
waist_circ	461	2044	10803	517567
years_schooling	61	472	5469	517853
