	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	0.0	0.0	0.0	0.011488713599706105
birth_weight	0.0	0.0	0.0	0.00886590550064025
bmi	0.0	0.0	0.0	0.01310594279292479
dbp	0.0	0.0	0.0	0.01550614053547863
fvc	0.0	0.0	0.0	0.0101317470238886
hair_color	0.0	0.0	0.0	0.013270394603688332
hand_grip_strength	0.0	0.0	0.0	0.017160749533616203
height	0.0	0.0	0.0	0.008321864290154718
hip_circ	0.0	0.0	0.0	0.011168975731006447
household_income	0.0	0.0	0.0	0.021555195751357278
neuroticism_score	0.0	0.0	0.0	0.012224778070612664
overall_health	0.0	0.0	0.0	0.012877092733741491
pack_years_smoking	0.0	0.0	0.0	0.013623392843323385
pulse_rate	0.0	0.0	0.0	0.012935823506276941
skin_color	0.0	0.0	0.0	0.016043883689286827
waist_circ	0.0	0.0	0.0	0.014622845570892598
years_schooling	0.0	0.0	0.0	0.018291506693149613
