	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	61	478	4808	517876
birth_weight	82	457	3894	518456
bmi	669	2675	12478	517189
dbp	365	1421	7600	518241
fvc	585	2152	9917	517354
hair_color	1172	2242	6826	518513
hand_grip_strength	169	893	6664	518109
height	3940	8924	23914	516917
hip_circ	615	2209	10807	517689
household_income	51	485	5110	517958
neuroticism_score	18	230	3275	518140
overall_health	60	586	5663	518164
pack_years_smoking	17	97	2528	518289
pulse_rate	313	980	5627	518059
skin_color	753	1319	5104	518708
waist_circ	452	2033	10592	517567
years_schooling	53	444	4926	517853
