	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	0.0	0.0	1.0	0.0
birth_weight	2.0	1.0	1.0	1.0
bmi	0.0	1.0	1.0	1.0
dbp	2.0	3.0	3.0	5.0
fvc	3.0	3.0	5.0	0.0
hair_color	5.0	6.0	7.0	1.0
hand_grip_strength	1.0	0.0	2.0	0.0
height	1.0	3.0	4.0	5.0
hip_circ	2.0	1.0	1.0	1.0
household_income	1.0	0.0	0.0	1.0
neuroticism_score	4.0	0.0	2.0	0.0
overall_health	0.0	0.0	1.0	3.0
pack_years_smoking	0.0	0.0	1.0	3.0
pulse_rate	0.0	0.0	1.0	0.0
skin_color	5.0	4.0	6.0	3.0
waist_circ	1.0	1.0	2.0	1.0
years_schooling	1.0	2.0	1.0	3.0
