	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	0.0	0.0	0.0	490560
birth_weight	0.0	0.0	0.0	490984
bmi	0.0	0.0	0.0	489870
dbp	0.0	0.0	0.0	490771
fvc	0.0	0.0	0.0	490067
hair_color	0.0	0.0	0.0	491162
hand_grip_strength	0.0	0.0	0.0	490672
height	0.0	0.0	0.0	489438
hip_circ	0.0	0.0	0.0	490184
household_income	0.0	0.0	0.0	490511
neuroticism_score	0.0	0.0	0.0	490456
overall_health	0.0	0.0	0.0	490627
pack_years_smoking	0.0	0.0	0.0	490856
pulse_rate	0.0	0.0	0.0	490750
skin_color	0.0	0.0	0.0	491160
waist_circ	0.0	0.0	0.0	490054
years_schooling	0.0	0.0	0.0	490548
