	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	61	475	4803	517880
birth_weight	82	460	3886	518462
bmi	674	2681	12504	517194
dbp	362	1405	7633	518242
fvc	592	2153	9930	517356
hair_color	1180	2241	6831	518518
hand_grip_strength	162	891	6672	518109
height	3930	8880	23936	516923
hip_circ	617	2221	10804	517693
household_income	51	487	5118	517961
neuroticism_score	16	231	3268	518142
overall_health	60	593	5678	518166
pack_years_smoking	17	100	2521	518291
pulse_rate	305	974	5605	518060
skin_color	753	1306	5092	518712
waist_circ	453	2038	10598	517572
years_schooling	54	453	4940	517857
