	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	3.9278125349219173	1.3269397365574471	1.695845761014744	0.6395724480927826
birth_weight	2.498066795294407	2.1521880633483215	2.6229044684126657	0.8456725073179662
bmi	1.9853633683879457	1.9576417987437882	1.8873938529687004	1.1235661013097824
dbp	1.296344324237131	1.3392820584387484	1.5739496797215833	0.7513712191226386
fvc	2.6401994345294355	4.6489803322144185	3.7523229808669027	0.8962143422538126
hair_color	1.493640730292821	9.212502494800693	2.399154203712423	0.9941372328148855
hand_grip_strength	1.9912911710479777	5.420889950246996	2.0962773068188603	0.8436747844028651
height	1.8832624552494006	2.2774192023937783	3.5260979593693533	1.7139808984284661
hip_circ	1.4923207573018467	1.8052272854760985	4.74534664361686	0.7565001900866922
household_income	15.549237638844799	2.991895313137128	3.7714293717355996	1.0430691017333917
neuroticism_score	4.7143996173177625	2.352711316993863	4.222664745825533	0.6221385205742023
overall_health	4.900795331208266	3.168492706610662	2.152470272339645	0.7305283947852007
pack_years_smoking	7.132286471931042	2.142371145276789	1.7177307940382787	0.5335095950120242
pulse_rate	1.475404099272774	2.860961025562565	2.066062292125279	0.8049996700186101
skin_color	2.249822112119675	3.123529600341443	2.2658662774439	1.0441211192025344
waist_circ	1.77811550492736	1.9486466710094845	1.5712824514202028	0.9357038502252742
years_schooling	2.515891785763665	3.486089487813017	2.107902722166012	0.692621217984327
