	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	62	504	4974	517880
birth_weight	84	459	3983	518461
bmi	766	3070	13945	517193
dbp	422	1535	7821	518243
fvc	709	2641	12222	517356
hair_color	1277	2582	9052	518518
hand_grip_strength	197	1050	7763	518109
height	4558	11676	34195	516924
hip_circ	673	2361	11190	517693
household_income	79	656	6458	517961
neuroticism_score	98	626	5454	518143
overall_health	70	657	6185	518165
pack_years_smoking	16	172	3480	518292
pulse_rate	297	927	5667	518060
skin_color	789	1558	7392	518712
waist_circ	461	2047	10902	517572
years_schooling	57	470	5603	517857
