	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.146	-0.1627	-0.0674	0.0851	-0.0042	0.043	0.0046	0.001	0.0013	0.0455	-0.0019	0.0022	0.004	-0.0044	0.0244	-0.0039	-0.0035	0.004	-0.0034	-0.0041	-0.0038	0.0063	-0.004	0.0137	0.0017	0.0051	-0.0049	0.0136	-0.005	0.0009	0.0506	-0.0033	0.0078	0.0177	-0.0024	-0.0044	0.0109	-0.0047	-0.0027	-0.0029	-0.0046	0.0224	0.0171	0.0213	-0.0029	0.0062	-0.0007	0.0174	-0.0013	-0.001	0.023	0.0019	-0.0031	0.0048	-0.0032	0.0076	0.0148	0.0208	0.0107	0.0038	0.0024	0.0086	-0.0004	-0.0017	-0.0039	0.0212	-0.0016	-0.0045	0.0019	-0.0009	0.0038	-0.0019	0.01	0.0014	0.0458	0.0041	0.0027	-0.0044	-0.0029	0.009	-0.0041	-0.0043	0.0002	-0.0014	-0.0044	0.0198	-0.0044	0.0052	-0.0029	0.0234	0.0123	-0.0013	0.0078	0.0001	-0.0026	-0.0012	-0.0018	-0.0006	0.0077	-0.0031
direct_vc_estimate_se	0.9133	0.5775	0.233	0.1743	0.063	0.0288	0.0195	0.0264	0.0217	0.0196	0.0191	0.0191	0.0172	0.0159	0.0146	0.0141	0.0145	0.0168	0.0168	0.0163	0.0149	0.0162	0.0148	0.0162	0.0148	0.0162	0.0165	0.0154	0.0166	0.0149	0.0152	0.0153	0.0153	0.0153	0.0155	0.0159	0.0149	0.0159	0.0151	0.0154	0.0156	0.0144	0.0165	0.0147	0.0152	0.0155	0.0147	0.0164	0.0147	0.0158	0.0141	0.0148	0.0153	0.0145	0.0142	0.0149	0.0164	0.0148	0.015	0.0156	0.0164	0.0161	0.0145	0.0157	0.0143	0.0154	0.0149	0.0151	0.0146	0.0154	0.0148	0.0145	0.0148	0.0151	0.0148	0.0162	0.0142	0.0147	0.0143	0.0142	0.0155	0.0143	0.015	0.0144	0.0148	0.015	0.0149	0.0144	0.0157	0.0151	0.0147	0.0151	0.0155	0.0143	0.0151	0.0153	0.0141	0.0163	0.0151	0.015
direct_vc_pvals	0.494	0.833	0.881	0.155	0.514	0.03	0.192	0.391	0.371	0.015	0.472	0.39	0.27	0.808	0.031	0.805	0.704	0.25	0.635	0.778	0.758	0.255	0.795	0.099	0.365	0.245	0.968	0.14	0.986	0.436	0.023	0.693	0.184	0.071	0.618	0.841	0.158	0.908	0.614	0.637	0.953	0.051	0.116	0.053	0.635	0.247	0.479	0.098	0.541	0.491	0.057	0.347	0.694	0.263	0.732	0.178	0.118	0.072	0.152	0.296	0.355	0.143	0.485	0.572	0.82	0.07	0.558	0.98	0.34	0.477	0.313	0.559	0.159	0.365	0.006	0.277	0.348	0.945	0.679	0.181	0.761	0.937	0.451	0.529	1.0	0.078	0.913	0.276	0.638	0.072	0.128	0.552	0.201	0.461	0.624	0.464	0.581	0.488	0.204	0.682
upper95_perm_direct	0.8444	0.6005	0.2934	0.2138	0.1202	0.0348	0.0198	0.0511	0.0312	0.0295	0.0253	0.031	0.0224	0.0179	0.021	0.0189	0.0191	0.0213	0.023	0.0265	0.024	0.0297	0.0261	0.0263	0.0249	0.0252	0.0297	0.0288	0.0286	0.0288	0.0327	0.0244	0.0224	0.025	0.0295	0.0325	0.0267	0.0231	0.0262	0.0247	0.0298	0.0248	0.0335	0.0246	0.0258	0.027	0.0251	0.0271	0.0278	0.0253	0.0266	0.0267	0.03	0.026	0.0306	0.0217	0.0263	0.0263	0.0239	0.0298	0.0307	0.0226	0.0258	0.0272	0.027	0.0276	0.0283	0.0261	0.0241	0.0292	0.0272	0.0258	0.0238	0.0264	0.0232	0.0282	0.027	0.0264	0.0311	0.0246	0.0257	0.022	0.0263	0.0245	0.0232	0.0265	0.0262	0.0332	0.0262	0.03	0.0261	0.0294	0.0304	0.0242	0.0266	0.0227	0.0232	0.0298	0.0233	0.0253
lower0_perm_direct	-0.3349	-0.2092	-0.0866	-0.0639	-0.0224	-0.0107	-0.0071	-0.0097	-0.0077	-0.007	-0.007	-0.0071	-0.0061	-0.0058	-0.0053	-0.0051	-0.0052	-0.006	-0.0062	-0.0059	-0.0055	-0.0058	-0.0054	-0.0059	-0.0054	-0.0059	-0.0062	-0.0055	-0.006	-0.0055	-0.0055	-0.0057	-0.0054	-0.0056	-0.0055	-0.0059	-0.0054	-0.0058	-0.0055	-0.0056	-0.0057	-0.0053	-0.0061	-0.0053	-0.0054	-0.0057	-0.0054	-0.0059	-0.0054	-0.0058	-0.0053	-0.0053	-0.0056	-0.0053	-0.0052	-0.0052	-0.006	-0.0052	-0.0054	-0.0055	-0.0061	-0.0058	-0.0052	-0.0057	-0.0051	-0.0058	-0.0053	-0.0054	-0.0055	-0.0055	-0.0053	-0.0054	-0.0054	-0.0055	-0.0056	-0.0059	-0.0053	-0.0052	-0.0051	-0.0052	-0.0056	-0.0052	-0.0055	-0.0053	-0.0054	-0.0056	-0.0054	-0.0052	-0.0058	-0.0054	-0.0054	-0.0054	-0.0055	-0.0053	-0.0054	-0.0056	-0.0051	-0.0058	-0.0054	-0.0055
sad_vc_estimate	-0.1833	-0.1097	-0.0558	-0.0042	-0.0196	0.0359	0.004	0.0296	0.018	0.0639	0.0026	0.0069	0.0009	-0.0044	0.012	-0.0032	-0.0033	0.0115	-0.0052	-0.005	-0.0023	-0.0035	-0.0044	0.0128	0.0121	0.0016	-0.005	0.0066	-0.005	0.0036	0.045	-0.0044	0.0172	0.0387	-0.0013	-0.0047	0.0131	-0.0048	-0.0006	-0.0012	0.0002	0.0393	0.0211	0.0392	-0.0046	0.0084	0.0029	0.0088	-0.0013	0.0073	0.009	0.0062	-0.0044	0.0063	-0.004	0.0106	0.0182	0.025	0.0015	0.0091	0.0019	0.0053	-0.004	0.0024	-0.0037	0.0371	0.0018	0.002	-0.0011	0.002	-0.0021	-0.0036	0.0244	0.0001	0.0444	0.0154	0.0026	0.005	-0.003	0.0123	-0.0043	-0.0016	0.0021	-0.0045	-0.0037	0.0184	-0.0042	0.0053	-0.0006	0.0209	0.0141	-0.0007	0.0026	-0.0028	-0.003	-0.003	-0.0038	0.0075	0.003	-0.0019
sad_vc_estimate_se	0.9571	0.6067	0.246	0.1836	0.0656	0.0299	0.0204	0.0275	0.0225	0.0204	0.0199	0.0199	0.0179	0.0166	0.0152	0.0147	0.0151	0.0174	0.0174	0.0169	0.0154	0.0167	0.0156	0.0168	0.0154	0.0167	0.0171	0.016	0.0172	0.0155	0.0158	0.0159	0.0159	0.0159	0.016	0.0165	0.0155	0.0165	0.0157	0.016	0.0161	0.015	0.017	0.0153	0.0158	0.0161	0.0152	0.0169	0.0153	0.0164	0.0147	0.0153	0.0159	0.015	0.0148	0.0155	0.017	0.0154	0.0156	0.0161	0.017	0.0167	0.0152	0.0164	0.0149	0.016	0.0154	0.0156	0.0151	0.016	0.0153	0.0151	0.0153	0.0157	0.0154	0.0167	0.0148	0.0152	0.0149	0.0148	0.0161	0.0149	0.0155	0.0149	0.0154	0.0155	0.0155	0.015	0.0163	0.0157	0.0153	0.0156	0.0161	0.0149	0.0157	0.0159	0.0147	0.0169	0.0157	0.0155
sad_vc_pvals	0.526	0.556	0.668	0.451	0.977	0.045	0.231	0.109	0.122	0.003	0.315	0.288	0.385	0.781	0.125	0.622	0.675	0.147	0.971	0.939	0.592	0.651	0.84	0.145	0.152	0.415	0.902	0.283	0.921	0.352	0.017	0.845	0.112	0.026	0.543	0.88	0.144	0.884	0.456	0.544	0.436	0.02	0.1	0.027	0.9	0.234	0.375	0.207	0.561	0.225	0.193	0.251	0.834	0.247	0.803	0.178	0.121	0.077	0.4	0.196	0.399	0.295	0.799	0.375	0.782	0.028	0.381	0.343	0.549	0.37	0.572	0.732	0.067	0.451	0.023	0.119	0.37	0.282	0.696	0.161	0.817	0.532	0.383	0.963	0.733	0.084	0.812	0.294	0.475	0.096	0.121	0.459	0.366	0.622	0.63	0.662	0.781	0.248	0.325	0.57
upper95_perm_sad	1.01	0.6124	0.3349	0.281	0.1574	0.0382	0.0232	0.0599	0.0331	0.025	0.0314	0.0425	0.0282	0.0227	0.0228	0.0237	0.0172	0.0278	0.0231	0.0273	0.0279	0.0293	0.0274	0.028	0.0265	0.0312	0.0347	0.0357	0.0353	0.0338	0.032	0.0347	0.0306	0.028	0.035	0.0309	0.0324	0.0364	0.027	0.0319	0.0307	0.0288	0.0357	0.0275	0.0298	0.0288	0.0291	0.0361	0.0289	0.0317	0.0293	0.0272	0.0309	0.0298	0.0305	0.0284	0.0352	0.032	0.0316	0.031	0.0334	0.0316	0.0363	0.031	0.031	0.0316	0.0305	0.0243	0.033	0.0263	0.028	0.0297	0.0302	0.0268	0.0314	0.0304	0.0319	0.0314	0.0339	0.0312	0.0257	0.029	0.0336	0.0274	0.0257	0.0266	0.0308	0.0324	0.0326	0.032	0.029	0.027	0.0315	0.0341	0.0284	0.0291	0.0291	0.0339	0.0281	0.0284
lower0_perm_sad	-0.3403	-0.2243	-0.0897	-0.0658	-0.0238	-0.0112	-0.0076	-0.0099	-0.008	-0.0076	-0.0071	-0.0073	-0.0065	-0.0062	-0.0056	-0.0052	-0.0054	-0.0064	-0.0064	-0.0062	-0.0056	-0.006	-0.0057	-0.006	-0.0056	-0.0063	-0.0063	-0.0059	-0.0061	-0.0056	-0.0056	-0.0058	-0.0055	-0.0059	-0.0058	-0.006	-0.0057	-0.006	-0.0056	-0.0057	-0.0058	-0.0054	-0.0062	-0.0056	-0.0058	-0.0058	-0.0054	-0.0062	-0.0056	-0.0058	-0.0055	-0.0057	-0.0058	-0.0054	-0.0055	-0.0057	-0.0061	-0.0055	-0.0056	-0.0059	-0.0062	-0.0061	-0.0055	-0.0061	-0.0054	-0.0059	-0.0056	-0.0058	-0.0054	-0.0059	-0.0056	-0.0054	-0.0055	-0.0058	-0.0055	-0.006	-0.0053	-0.0055	-0.0055	-0.0054	-0.0058	-0.0055	-0.0056	-0.0055	-0.0055	-0.0056	-0.0056	-0.0054	-0.0061	-0.0055	-0.0057	-0.0057	-0.0057	-0.0054	-0.0057	-0.0056	-0.0053	-0.006	-0.0058	-0.0056
