	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.1531	0.1852	-0.0118	-0.0184	-0.0036	0.0025	-0.0031	0.0002	-0.0016	-0.0021	0.0036	0.0003	-0.0017	0.0148	-0.0014	0.0006	0.0331	0.4552	0.1236	0.114	-0.001	-0.0013	0.0005	0.0113	-0.0012	0.003	0.0057	0.0207	0.0105	-0.0008	0.0065	0.0021	0.0042	0.0075	0.0023	-0.0018	0.0003	0.0019	0.0037	0.0011	-0.0006	-0.001	-0.0009	0.0028	0.0134	-0.0012	0.0005	0.0021	0.0098	0.0099	0.0134	0.0019	-0.0005	-0.0016	-0.0012	-0.0013	0.0017	-0.0012	-0.001	-0.0012	0.0009	0.003	-0.0013	-0.0008	0.0152	0.0068	-0.0012	-0.0012	-0.0013	0.0017	0.0011	-0.0015	0.0023	0.0004	-0.0013	0.0004	0.0116	0.0026	-0.0001	0.0032	0.0018	0.0018	0.0029	-0.002	-0.0005	-0.001	0.0006	0.002	-0.0009	0.0012	0.0036	0.0023	-0.0013	-0.0014	0.0021	0.003	-0.0003	-0.0012	-0.0005	-0.001
direct_vc_estimate_se	1.5157	0.6226	0.2242	0.1791	0.0553	0.0288	0.0287	0.0176	0.0185	0.0214	0.0185	0.0182	0.0161	0.0168	0.0141	0.014	0.0192	0.0518	0.0228	0.0173	0.0129	0.0156	0.0122	0.0155	0.0142	0.0126	0.0126	0.0132	0.0171	0.0121	0.0146	0.0256	0.0126	0.0135	0.0132	0.0171	0.0138	0.0138	0.0128	0.0125	0.0129	0.0115	0.0126	0.0132	0.0124	0.013	0.012	0.0125	0.0115	0.0118	0.0125	0.0121	0.0139	0.016	0.0118	0.0123	0.0119	0.0118	0.0167	0.0116	0.0123	0.0142	0.0118	0.0145	0.0218	0.0116	0.0135	0.0122	0.0125	0.0112	0.012	0.0164	0.0115	0.0187	0.0123	0.013	0.0152	0.0115	0.011	0.012	0.012	0.0165	0.0131	0.0194	0.0122	0.0133	0.0119	0.0116	0.0124	0.0111	0.0191	0.011	0.0117	0.0131	0.015	0.0127	0.0144	0.0112	0.0136	0.0115
direct_vc_pvals	0.784	0.155	0.571	0.84	0.702	0.288	0.912	0.443	0.722	0.829	0.339	0.409	0.959	0.129	0.83	0.397	0.23	0.033	0.057	0.003	0.708	0.711	0.544	0.152	0.794	0.306	0.146	0.084	0.09	0.656	0.1	0.273	0.213	0.107	0.358	0.886	0.535	0.273	0.13	0.286	0.575	0.731	0.698	0.296	0.058	0.761	0.345	0.268	0.066	0.054	0.024	0.276	0.551	0.824	0.869	0.982	0.296	0.897	0.545	0.919	0.341	0.188	0.986	0.54	0.021	0.092	0.695	0.809	0.891	0.26	0.399	0.734	0.183	0.326	0.968	0.383	0.011	0.265	0.499	0.153	0.273	0.186	0.169	0.86	0.558	0.681	0.308	0.206	0.629	0.292	0.136	0.178	0.973	0.931	0.211	0.177	0.467	0.961	0.515	0.695
upper95_perm_direct	0.6183	0.6251	0.1535	0.1799	0.0721	0.0196	0.0197	0.0188	0.0144	0.0193	0.0289	0.016	0.0355	0.0359	0.0132	0.0135	0.1065	0.6512	0.1899	0.1107	0.0145	0.0142	0.019	0.0351	0.0236	0.0205	0.0165	0.0388	0.0208	0.0114	0.0134	0.017	0.018	0.016	0.0227	0.009	0.0213	0.0114	0.0109	0.0106	0.0109	0.0095	0.0123	0.0176	0.0205	0.0138	0.0093	0.0141	0.0159	0.015	0.0146	0.0128	0.0123	0.0133	0.0129	0.0126	0.0128	0.0106	0.0115	0.0129	0.0121	0.0121	0.0127	0.0106	0.0152	0.0142	0.0086	0.017	0.0102	0.0106	0.0161	0.0105	0.0089	0.0098	0.0138	0.0098	0.0111	0.016	0.0101	0.0108	0.0146	0.008	0.0107	0.0085	0.0127	0.0107	0.0088	0.0101	0.0096	0.0105	0.0119	0.0096	0.0099	0.0123	0.0102	0.0119	0.0109	0.0099	0.0105	0.0089
lower0_perm_direct	-0.2891	-0.1231	-0.0432	-0.0349	-0.0106	-0.0057	-0.0057	-0.0035	-0.0036	-0.0042	-0.0036	-0.0035	-0.0031	-0.0032	-0.0028	-0.0027	-0.0039	-0.0103	-0.0045	-0.0033	-0.0025	-0.003	-0.0023	-0.003	-0.0028	-0.0024	-0.0025	-0.0025	-0.0033	-0.0024	-0.0028	-0.0051	-0.0024	-0.0026	-0.0025	-0.0032	-0.0027	-0.0027	-0.0025	-0.0024	-0.0025	-0.0022	-0.0024	-0.0025	-0.0025	-0.0025	-0.0024	-0.0025	-0.0023	-0.0023	-0.0024	-0.0023	-0.0026	-0.0032	-0.0023	-0.0024	-0.0023	-0.0022	-0.0034	-0.0023	-0.0024	-0.0027	-0.0023	-0.0028	-0.0042	-0.0022	-0.0026	-0.0023	-0.0025	-0.0021	-0.0024	-0.0031	-0.0022	-0.0037	-0.0024	-0.0026	-0.003	-0.0022	-0.0022	-0.0023	-0.0023	-0.0031	-0.0025	-0.0038	-0.0024	-0.0026	-0.0024	-0.0022	-0.0024	-0.0022	-0.0036	-0.0021	-0.0023	-0.0025	-0.0028	-0.0025	-0.0028	-0.0022	-0.0026	-0.0022
sad_vc_estimate	0.1097	0.2484	-0.0143	0.0007	-0.006	0.0073	-0.0018	-0.0002	-0.0019	-0.0023	0.0072	0.0041	0.0009	0.0179	-0.0013	0.0048	0.0766	0.9579	0.2526	0.1967	-0.0006	-0.0003	0.002	0.0221	0.0013	0.005	0.0043	0.0442	0.0499	-0.0006	0.0364	-0.0023	0.01	0.03	0.0074	-0.0016	0.0015	0.0053	0.0051	0.0049	-0.0006	-0.0008	0.0033	0.0068	0.027	-0.0007	0.0001	-0.0013	0.0267	0.0121	0.0178	0.0063	0.0048	-0.0002	-0.0013	-0.0012	0.0045	-0.001	-0.0008	-0.0003	0.0022	0.0059	0.0015	0.0009	0.0287	0.0108	0.0002	-0.0001	-0.0012	0.0053	0.0063	-0.0005	0.0038	0.0051	-0.0008	0.0032	0.0181	0.0	-0.0005	0.0054	-0.0006	0.0043	0.0048	-0.0021	-0.0011	-0.0006	0.001	-0.0001	-0.0004	-0.001	0.0024	0.0064	-0.0012	-0.0014	0.007	0.0083	0.0029	-0.0001	-0.0012	-0.0008
sad_vc_estimate_se	1.5256	0.6284	0.2263	0.1808	0.0557	0.0291	0.0289	0.0177	0.0186	0.0216	0.0187	0.0184	0.0163	0.017	0.0143	0.0141	0.0194	0.0523	0.0231	0.0175	0.013	0.0157	0.0123	0.0157	0.0143	0.0127	0.0127	0.0133	0.0173	0.0122	0.0147	0.0258	0.0127	0.0136	0.0133	0.0172	0.0139	0.0139	0.0129	0.0126	0.013	0.0116	0.0127	0.0133	0.0125	0.0132	0.0121	0.0126	0.0117	0.0119	0.0126	0.0122	0.014	0.0161	0.012	0.0125	0.012	0.0119	0.0168	0.0117	0.0124	0.0143	0.0119	0.0146	0.0219	0.0117	0.0136	0.0123	0.0126	0.0113	0.0121	0.0165	0.0116	0.0188	0.0124	0.0131	0.0154	0.0116	0.0111	0.0121	0.0121	0.0166	0.0132	0.0195	0.0123	0.0135	0.012	0.0117	0.0125	0.0113	0.0192	0.0111	0.0118	0.0132	0.0151	0.0128	0.0145	0.0113	0.0137	0.0116
sad_vc_pvals	0.25	0.159	0.642	0.477	0.971	0.214	0.693	0.608	0.871	0.914	0.345	0.314	0.669	0.206	0.818	0.246	0.19	0.017	0.035	0.006	0.663	0.575	0.521	0.163	0.53	0.368	0.314	0.055	0.015	0.678	0.009	0.803	0.151	0.019	0.285	0.768	0.55	0.245	0.18	0.18	0.664	0.697	0.295	0.219	0.032	0.707	0.54	0.876	0.023	0.092	0.058	0.194	0.266	0.526	0.985	0.86	0.259	0.789	0.624	0.6	0.324	0.182	0.417	0.42	0.02	0.087	0.457	0.666	0.845	0.16	0.244	0.568	0.22	0.223	0.754	0.278	0.016	0.603	0.685	0.205	0.687	0.172	0.241	0.969	0.796	0.646	0.411	0.532	0.587	0.797	0.344	0.126	0.849	0.905	0.106	0.135	0.286	0.529	0.767	0.704
upper95_perm_sad	0.8446	0.7928	0.2451	0.2378	0.1561	0.0339	0.0385	0.0282	0.0227	0.0348	0.0554	0.0277	0.0654	0.0603	0.0208	0.0252	0.2	1.2287	0.3608	0.2125	0.0233	0.0254	0.0401	0.0577	0.039	0.0365	0.028	0.0651	0.0487	0.0194	0.025	0.0321	0.0277	0.0302	0.0404	0.0154	0.0345	0.0282	0.0198	0.0192	0.0206	0.0194	0.0214	0.0306	0.0322	0.0211	0.0185	0.0259	0.0244	0.0248	0.0271	0.0226	0.0254	0.0177	0.0213	0.02	0.0203	0.0173	0.0212	0.022	0.0215	0.0204	0.0214	0.0195	0.0286	0.0219	0.0157	0.0319	0.0207	0.0173	0.03	0.0195	0.0153	0.0211	0.0216	0.02	0.0193	0.0262	0.0215	0.0223	0.0225	0.0167	0.0212	0.0163	0.0189	0.0218	0.016	0.0167	0.0142	0.0191	0.0208	0.0175	0.0164	0.0219	0.0164	0.0225	0.021	0.0159	0.0173	0.0184
lower0_perm_sad	-0.2942	-0.1178	-0.0427	-0.0348	-0.0106	-0.0056	-0.0056	-0.0034	-0.0036	-0.0041	-0.0036	-0.0036	-0.003	-0.0032	-0.0028	-0.0027	-0.0036	-0.0095	-0.0042	-0.0033	-0.0026	-0.003	-0.0024	-0.0029	-0.0029	-0.0023	-0.0025	-0.0025	-0.0032	-0.0022	-0.0028	-0.005	-0.0025	-0.0026	-0.0026	-0.0034	-0.0027	-0.0027	-0.0025	-0.0025	-0.0025	-0.0022	-0.0024	-0.0026	-0.0024	-0.0025	-0.0023	-0.0024	-0.0022	-0.0023	-0.0024	-0.0024	-0.0027	-0.0031	-0.0024	-0.0024	-0.0023	-0.0023	-0.0032	-0.0023	-0.0024	-0.0027	-0.0024	-0.0029	-0.0042	-0.0022	-0.0027	-0.0023	-0.0025	-0.0022	-0.0024	-0.0031	-0.0022	-0.0037	-0.0024	-0.0025	-0.003	-0.0022	-0.0021	-0.0023	-0.0023	-0.0033	-0.0026	-0.0037	-0.0025	-0.0026	-0.0023	-0.0022	-0.0024	-0.0021	-0.0037	-0.0022	-0.0024	-0.0026	-0.003	-0.0024	-0.0028	-0.0022	-0.0027	-0.0023
