	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0269	0.0066	0.0385	0.026	0.0014	-0.0001	0.001	-0.0002	0.0018	0.0063	0.0024	0.0035	0.0055	0.0096	-0.0004	0.001	0.0724	0.4154	0.1526	0.0712	0.0005	-0.0002	0.0053	0.0224	0.0086	0.0015	0.0079	0.0391	0.0094	-0.0	0.0026	0.0018	0.0185	0.0036	0.0091	0.0001	-0.0005	-0.0003	0.0027	0.0012	0.0041	0.0007	0.0001	0.0015	0.0023	-0.0003	-0.0002	0.0011	0.0033	0.0006	0.011	0.0044	-0.0003	0.0019	-0.0001	0.0001	0.0024	0.0006	-0.0003	0.0002	0.0017	0.0009	0.0011	-0.0003	0.0083	0.0001	0.0002	0.0003	-0.0003	0.0031	0.0014	0.0012	-0.0003	0.0018	-0.0001	0.0028	0.0027	0.0011	0.001	0.0006	0.0006	0.003	0.0019	0.0002	-0.0002	0.0005	0.0	-0.0003	0.0	0.0004	0.0018	0.0006	0.0014	0.0	0.003	-0.0002	-0.0001	-0.0002	-0.0001	-0.0002
direct_vc_estimate_se	0.2283	0.1272	0.0441	0.0353	0.0104	0.0068	0.0052	0.0039	0.0039	0.0043	0.004	0.0036	0.0042	0.0046	0.0034	0.0032	0.0083	0.0371	0.0123	0.0078	0.0026	0.003	0.0034	0.0037	0.0036	0.0035	0.003	0.0039	0.0066	0.0024	0.0038	0.004	0.0031	0.0038	0.0032	0.003	0.0038	0.0027	0.0026	0.0027	0.0027	0.0027	0.0029	0.0028	0.0029	0.003	0.0028	0.0033	0.0028	0.0026	0.0031	0.0027	0.0028	0.0026	0.0029	0.0026	0.0028	0.0026	0.0028	0.0028	0.0026	0.0026	0.0027	0.0027	0.0027	0.003	0.0026	0.0029	0.0028	0.0025	0.0027	0.0025	0.0023	0.0029	0.0028	0.0025	0.0028	0.0028	0.0025	0.0028	0.0026	0.0025	0.0026	0.0026	0.0024	0.0027	0.0026	0.0023	0.0025	0.0027	0.0027	0.0024	0.0026	0.0026	0.0024	0.0024	0.0026	0.0025	0.0024	0.0026
direct_vc_pvals	0.915	0.521	0.089	0.091	0.648	0.519	0.641	0.672	0.189	0.144	0.411	0.134	0.327	0.242	0.849	0.425	0.053	0.124	0.012	0.07	0.342	0.754	0.184	0.03	0.105	0.509	0.03	0.002	0.072	0.689	0.217	0.419	0.001	0.181	0.071	0.498	0.946	0.852	0.091	0.18	0.039	0.256	0.518	0.385	0.361	0.907	0.707	0.314	0.122	0.398	0.016	0.022	0.974	0.182	0.536	0.537	0.13	0.338	0.859	0.489	0.191	0.176	0.333	0.885	0.019	0.605	0.515	0.569	0.977	0.049	0.29	0.207	0.819	0.272	0.694	0.061	0.156	0.366	0.319	0.298	0.385	0.039	0.084	0.378	0.713	0.413	0.516	0.978	0.491	0.443	0.265	0.254	0.173	0.587	0.05	0.859	0.669	0.676	0.626	0.685
upper95_perm_direct	0.3433	0.3396	0.0906	0.0657	0.0707	0.008	0.0173	0.0097	0.0085	0.0191	0.0255	0.0108	0.0396	0.0412	0.0064	0.0123	0.1373	0.8804	0.2334	0.1399	0.0063	0.0091	0.0194	0.0348	0.0216	0.0206	0.0127	0.0391	0.02	0.0077	0.0125	0.0208	0.0161	0.0142	0.0179	0.0059	0.0212	0.0083	0.0072	0.0058	0.0063	0.0051	0.0065	0.0118	0.0156	0.0081	0.0063	0.0086	0.0093	0.008	0.013	0.0058	0.0111	0.0082	0.0052	0.0072	0.0076	0.0068	0.0071	0.0074	0.0072	0.004	0.0085	0.0044	0.0109	0.0091	0.0073	0.0104	0.0048	0.0053	0.0093	0.0063	0.004	0.0105	0.0066	0.0058	0.0079	0.0094	0.0068	0.0051	0.0069	0.0047	0.0041	0.0036	0.0043	0.0069	0.0052	0.0044	0.004	0.0068	0.0093	0.0042	0.0055	0.0079	0.0057	0.0073	0.0062	0.0046	0.0056	0.0039
lower0_perm_direct	-0.0649	-0.036	-0.0125	-0.0104	-0.003	-0.0019	-0.0014	-0.0011	-0.0012	-0.0012	-0.0012	-0.001	-0.0011	-0.0013	-0.001	-0.0009	-0.0023	-0.0106	-0.0035	-0.0023	-0.0007	-0.0008	-0.001	-0.001	-0.001	-0.001	-0.0008	-0.0011	-0.0019	-0.0007	-0.0011	-0.0011	-0.0009	-0.001	-0.0009	-0.0008	-0.0011	-0.0008	-0.0007	-0.0008	-0.0008	-0.0008	-0.0009	-0.0008	-0.0008	-0.0008	-0.0008	-0.001	-0.0008	-0.0007	-0.0009	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.0008	-0.0007	-0.0008	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0007	-0.0008	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007
sad_vc_estimate	0.1407	-0.0132	0.0806	0.1012	0.0024	-0.0002	0.0074	0.0017	0.0088	0.0126	0.0114	0.0133	0.0167	0.019	0.0001	0.0025	0.1566	0.9674	0.3349	0.155	0.0018	-0.0004	0.0082	0.037	0.0197	0.0021	0.0054	0.0795	0.0541	0.0008	0.0152	-0.0005	0.0461	0.0219	0.0217	-0.0002	-0.0005	-0.0003	0.0047	0.0041	0.0059	-0.0002	0.0021	0.0021	0.0091	0.0018	-0.0003	0.0057	0.0132	0.0003	0.0217	0.0105	0.001	0.0053	0.0012	0.0007	0.0054	0.0008	-0.0002	0.0018	0.0041	0.0028	0.0045	0.0002	0.0128	0.0035	0.0023	0.0034	-0.0001	0.0061	0.008	0.0083	-0.0003	0.0065	0.0019	0.0034	0.0081	-0.0002	0.0024	0.0018	0.0034	0.0056	0.0047	0.0013	0.0006	0.0007	0.001	-0.0003	0.0011	0.0008	0.0024	0.0019	0.0017	-0.0	0.0108	0.0001	0.0003	-0.0003	0.0	0.0006
sad_vc_estimate_se	0.2321	0.1293	0.0448	0.0359	0.0106	0.0069	0.0053	0.0039	0.004	0.0044	0.0041	0.0036	0.0043	0.0046	0.0035	0.0033	0.0084	0.0377	0.0125	0.0079	0.0027	0.003	0.0035	0.0037	0.0036	0.0036	0.003	0.0039	0.0067	0.0024	0.0038	0.004	0.0032	0.0038	0.0032	0.0031	0.0039	0.0028	0.0026	0.0028	0.0027	0.0027	0.003	0.0029	0.0029	0.003	0.0028	0.0034	0.0028	0.0026	0.0031	0.0028	0.0028	0.0027	0.0029	0.0027	0.0029	0.0027	0.0029	0.0028	0.0027	0.0026	0.0028	0.0028	0.0027	0.003	0.0026	0.0029	0.0029	0.0026	0.0028	0.0025	0.0024	0.0029	0.0028	0.0026	0.0029	0.0029	0.0026	0.0029	0.0026	0.0025	0.0027	0.0026	0.0025	0.0028	0.0026	0.0024	0.0026	0.0027	0.0027	0.0025	0.0026	0.0026	0.0025	0.0025	0.0027	0.0025	0.0024	0.0026
sad_vc_pvals	0.254	0.903	0.083	0.023	0.719	0.673	0.357	0.404	0.042	0.154	0.235	0.057	0.243	0.241	0.619	0.383	0.068	0.081	0.009	0.08	0.291	0.978	0.293	0.076	0.097	0.573	0.271	0.001	0.002	0.512	0.038	0.987	0.0	0.031	0.037	0.777	0.973	0.92	0.145	0.128	0.11	0.79	0.266	0.5	0.247	0.475	0.931	0.148	0.043	0.612	0.022	0.021	0.59	0.136	0.392	0.534	0.16	0.486	0.772	0.334	0.155	0.134	0.219	0.578	0.067	0.273	0.23	0.306	0.73	0.068	0.1	0.038	0.94	0.169	0.306	0.146	0.101	0.838	0.343	0.303	0.231	0.056	0.088	0.266	0.427	0.537	0.373	0.9	0.352	0.471	0.385	0.198	0.284	0.752	0.01	0.7	0.612	0.942	0.72	0.4
upper95_perm_sad	0.7424	0.6241	0.1846	0.1287	0.1455	0.0224	0.0349	0.0183	0.0149	0.0377	0.0539	0.0244	0.0796	0.0815	0.0153	0.0244	0.3029	1.8436	0.5288	0.3198	0.0126	0.0219	0.0449	0.0762	0.0461	0.0408	0.0266	0.0731	0.0497	0.0139	0.0234	0.045	0.0318	0.0308	0.036	0.0127	0.0457	0.0204	0.0158	0.0125	0.0166	0.0131	0.0137	0.0277	0.0382	0.0199	0.0167	0.0186	0.0226	0.0174	0.0252	0.0143	0.0239	0.0176	0.0117	0.0175	0.0177	0.0126	0.0131	0.0161	0.0141	0.0089	0.0196	0.0102	0.0261	0.0221	0.0116	0.0221	0.0114	0.0126	0.0203	0.0136	0.0089	0.0202	0.0143	0.0116	0.0199	0.0211	0.0185	0.0153	0.0163	0.0103	0.0109	0.0093	0.0081	0.0154	0.0104	0.0101	0.0101	0.0149	0.0203	0.0091	0.0104	0.0162	0.0111	0.015	0.0148	0.0094	0.0138	0.0094
lower0_perm_sad	-0.0655	-0.0352	-0.0127	-0.0101	-0.0029	-0.002	-0.0015	-0.0011	-0.0012	-0.0013	-0.0011	-0.0011	-0.0012	-0.0013	-0.001	-0.001	-0.0024	-0.0102	-0.0035	-0.0022	-0.0008	-0.0008	-0.001	-0.001	-0.001	-0.001	-0.0009	-0.0011	-0.0019	-0.0007	-0.0011	-0.0011	-0.0009	-0.0011	-0.0009	-0.0009	-0.0011	-0.0008	-0.0007	-0.0008	-0.0008	-0.0008	-0.0009	-0.0008	-0.0008	-0.0008	-0.0008	-0.001	-0.0008	-0.0008	-0.0009	-0.0008	-0.0008	-0.0008	-0.0009	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.0007	-0.0009	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0007	-0.0008	-0.0007	-0.0007	-0.0008
