	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0091	-0.045	-0.1291	-0.0982	0.0498	0.111	-0.0041	-0.0072	0.1119	-0.0074	-0.0041	-0.006	0.0041	0.0018	0.0396	0.0196	-0.0115	0.0002	-0.0001	0.0014	0.0035	0.0394	0.1061	0.0052	-0.0064	-0.0126	-0.0054	-0.01	-0.0165	-0.0015	-0.0035	-0.0071	-0.004	-0.0056	-0.017	0.0177	0.0122	0.0073	0.0013	0.0039	-0.0024	0.006	0.0118	0.0065	-0.0044	0.0387	0.0215	0.0	-0.0034	0.0099	-0.0096	-0.0049	-0.0039	-0.004	-0.0079	0.0048	-0.0026	0.0051	0.0057	0.0237	-0.0029	0.0046	0.0205	-0.0008	0.0284	0.0271	0.0118	-0.0071	-0.0034	-0.0049	0.0018	-0.0013	0.0042	0.0131	-0.0001	-0.0079	-0.002	-0.0121	-0.0053	-0.0023	-0.0029	0.031	-0.0007	0.042	0.0027	-0.0003	-0.0092	0.0019	-0.0021	-0.0041	0.0077	-0.0033	-0.0036	-0.0024	-0.0039	-0.0054	0.0845	-0.0051	0.0165	-0.0034
direct_vc_estimate_se	0.1382	0.0471	0.0393	0.0296	0.0051	0.0121	0.0011	0.0019	0.0039	0.0019	0.0015	0.0039	0.001	0.0017	0.0008	0.0031	0.003	0.003	0.0011	0.0015	0.0009	0.0016	0.0088	0.0009	0.0019	0.0033	0.0029	0.0027	0.0043	0.0013	0.0012	0.002	0.0014	0.0018	0.006	0.0016	0.0012	0.0025	0.0011	0.0018	0.0009	0.0009	0.0007	0.0032	0.0081	0.0012	0.0012	0.0034	0.0011	0.0036	0.0038	0.0035	0.0011	0.0012	0.0021	0.0029	0.0008	0.0009	0.0009	0.0011	0.0018	0.0013	0.001	0.0007	0.0008	0.001	0.0014	0.0025	0.002	0.0019	0.0011	0.0007	0.0029	0.0029	0.0017	0.0021	0.0008	0.0057	0.0015	0.0027	0.0008	0.0021	0.0006	0.0035	0.0007	0.0016	0.0111	0.0012	0.0007	0.0011	0.0011	0.001	0.0014	0.0011	0.0011	0.0014	0.0016	0.0014	0.0013	0.001
direct_vc_pvals	0.351	0.488	0.798	0.755	0.16	0.046	0.873	0.919	0.001	0.969	0.721	0.543	0.222	0.345	0.003	0.125	0.968	0.433	0.427	0.301	0.338	0.013	0.047	0.237	0.785	0.996	0.55	0.855	0.946	0.533	0.763	0.868	0.698	0.736	0.719	0.169	0.248	0.252	0.447	0.337	0.72	0.22	0.211	0.28	0.497	0.028	0.109	0.455	0.802	0.217	0.672	0.463	0.87	0.841	0.954	0.345	0.857	0.248	0.285	0.111	0.597	0.255	0.122	0.576	0.032	0.056	0.189	0.656	0.518	0.656	0.428	0.66	0.358	0.193	0.422	0.945	0.677	0.604	0.823	0.492	0.867	0.073	0.537	0.048	0.389	0.457	0.513	0.329	0.749	0.911	0.172	0.82	0.707	0.611	0.847	0.962	0.001	0.854	0.085	0.844
upper95_perm_direct	2.2089	1.3927	0.7187	0.4997	0.1492	0.1468	0.0227	0.0461	0.0586	0.0373	0.0533	0.0746	0.0263	0.0391	0.0215	0.0438	0.0371	0.0554	0.0288	0.0287	0.0293	0.0369	0.1412	0.0229	0.0482	0.0662	0.0509	0.0679	0.0813	0.0408	0.0472	0.052	0.0365	0.0359	0.0815	0.0582	0.057	0.0515	0.0375	0.0523	0.0388	0.0263	0.0373	0.0511	0.0831	0.0428	0.0485	0.0725	0.0351	0.0425	0.0559	0.0498	0.0278	0.0531	0.0465	0.0652	0.0454	0.0271	0.0353	0.0471	0.0602	0.0271	0.0453	0.0268	0.0325	0.0387	0.0423	0.0467	0.041	0.0403	0.0365	0.0318	0.0684	0.0534	0.0428	0.0442	0.0251	0.0607	0.033	0.0426	0.0326	0.05	0.0217	0.0557	0.0293	0.04	0.1014	0.0313	0.0217	0.0279	0.0264	0.0324	0.0471	0.0218	0.039	0.0347	0.0399	0.0479	0.0304	0.0288
lower0_perm_direct	-0.8314	-0.2836	-0.2415	-0.1825	-0.0317	-0.0734	-0.0065	-0.0115	-0.023	-0.0115	-0.0088	-0.023	-0.0059	-0.0101	-0.0051	-0.0185	-0.0179	-0.018	-0.0069	-0.009	-0.0055	-0.0097	-0.0531	-0.0054	-0.0115	-0.0192	-0.0177	-0.0163	-0.0254	-0.0075	-0.0068	-0.012	-0.0086	-0.0111	-0.0374	-0.0096	-0.0075	-0.0149	-0.0068	-0.0112	-0.0055	-0.0055	-0.0042	-0.0192	-0.0478	-0.0074	-0.0071	-0.0202	-0.0064	-0.0215	-0.0231	-0.0217	-0.0064	-0.0071	-0.0125	-0.0169	-0.0046	-0.0057	-0.0057	-0.0069	-0.0113	-0.0081	-0.0063	-0.0043	-0.0049	-0.006	-0.008	-0.0148	-0.0122	-0.0114	-0.0067	-0.0042	-0.0172	-0.0178	-0.0105	-0.0123	-0.0048	-0.0341	-0.009	-0.016	-0.0048	-0.0126	-0.0038	-0.0209	-0.0042	-0.0095	-0.0676	-0.0074	-0.0041	-0.0065	-0.0064	-0.0057	-0.0083	-0.0064	-0.0064	-0.0083	-0.0095	-0.0088	-0.0076	-0.006
sad_vc_estimate	-0.2263	0.3239	-0.067	-0.1121	0.1928	0.1276	-0.0003	-0.0071	0.1281	-0.0027	0.0004	0.0056	0.0035	0.0192	0.0648	0.037	-0.0114	0.0078	0.0116	0.0122	0.0005	0.0847	0.2445	0.0037	-0.0064	-0.0126	-0.0042	-0.0059	-0.0165	0.0006	-0.0041	-0.0074	-0.0052	-0.0013	-0.0089	0.027	0.0145	0.0283	0.0018	0.0097	-0.0029	0.0137	0.027	0.0125	0.0031	0.055	0.0516	0.0157	-0.0034	0.0033	-0.0099	-0.0122	-0.0038	-0.0037	-0.0069	0.0121	-0.0022	0.0113	0.0026	0.0286	-0.0037	0.0119	0.0273	0.0099	0.04	0.0192	0.0245	-0.0068	0.0022	-0.0063	0.0035	-0.0023	-0.0021	0.0145	0.0101	-0.005	-0.0004	-0.0111	-0.0057	0.0022	-0.0031	0.0493	-0.0001	0.0484	0.0082	-0.0034	-0.0071	-0.0027	-0.0021	-0.004	0.0035	-0.0036	-0.0034	0.0011	-0.0036	-0.005	0.0985	-0.005	0.0244	-0.0038
sad_vc_estimate_se	0.1383	0.0472	0.0393	0.0296	0.0051	0.0121	0.0011	0.0019	0.0039	0.0019	0.0015	0.0039	0.001	0.0017	0.0008	0.0031	0.003	0.003	0.0011	0.0015	0.0009	0.0016	0.0089	0.0009	0.002	0.0033	0.0029	0.0027	0.0043	0.0013	0.0012	0.002	0.0014	0.0018	0.006	0.0016	0.0013	0.0025	0.0011	0.0019	0.0009	0.0009	0.0007	0.0032	0.0081	0.0012	0.0012	0.0034	0.0011	0.0036	0.0038	0.0035	0.0011	0.0012	0.0021	0.0029	0.0008	0.0009	0.0009	0.0011	0.0018	0.0013	0.001	0.0007	0.0008	0.001	0.0014	0.0025	0.002	0.0019	0.0011	0.0007	0.0029	0.0029	0.0017	0.0021	0.0008	0.0057	0.0015	0.0027	0.0008	0.0021	0.0006	0.0035	0.0007	0.0016	0.0111	0.0012	0.0007	0.0011	0.0011	0.001	0.0014	0.0011	0.0011	0.0014	0.0016	0.0014	0.0013	0.001
sad_vc_pvals	0.496	0.252	0.578	0.924	0.037	0.063	0.476	0.913	0.001	0.516	0.562	0.371	0.32	0.133	0.0	0.059	0.927	0.33	0.189	0.216	0.534	0.01	0.036	0.369	0.775	0.981	0.564	0.665	0.937	0.531	0.876	0.951	0.882	0.497	0.563	0.164	0.313	0.118	0.469	0.321	0.809	0.18	0.113	0.253	0.403	0.027	0.041	0.286	0.809	0.364	0.689	0.817	0.846	0.785	0.792	0.28	0.819	0.188	0.487	0.12	0.669	0.173	0.145	0.205	0.046	0.167	0.134	0.666	0.396	0.804	0.413	0.854	0.52	0.241	0.254	0.663	0.569	0.562	0.943	0.375	0.977	0.094	0.548	0.043	0.321	0.66	0.497	0.641	0.764	0.886	0.351	0.917	0.74	0.389	0.812	0.858	0.006	0.871	0.09	0.995
upper95_perm_sad	2.9858	1.7568	1.1324	0.7032	0.2379	0.1959	0.031	0.0755	0.0716	0.0463	0.0822	0.1019	0.0305	0.0494	0.0328	0.0548	0.0438	0.0827	0.0427	0.0563	0.0481	0.0746	0.2841	0.0406	0.0645	0.0984	0.0655	0.0929	0.1088	0.0559	0.0627	0.0686	0.0531	0.0494	0.1017	0.0838	0.0848	0.0651	0.0619	0.076	0.0496	0.0463	0.0518	0.0662	0.1049	0.0559	0.0637	0.0979	0.0531	0.0607	0.0723	0.0537	0.0463	0.0745	0.0681	0.0804	0.0619	0.0421	0.0591	0.061	0.0872	0.0424	0.068	0.0345	0.0513	0.0568	0.0584	0.0524	0.0483	0.0554	0.0564	0.0469	0.0811	0.0676	0.0428	0.0585	0.0327	0.084	0.048	0.0505	0.0411	0.0872	0.0287	0.062	0.0458	0.0592	0.13	0.0403	0.0306	0.0375	0.0443	0.0456	0.074	0.0327	0.0402	0.0517	0.0585	0.0701	0.046	0.047
lower0_perm_sad	-0.828	-0.2784	-0.235	-0.175	-0.0306	-0.0727	-0.0065	-0.0112	-0.0235	-0.0117	-0.0085	-0.0238	-0.0059	-0.01	-0.005	-0.0182	-0.0188	-0.0177	-0.007	-0.0091	-0.0054	-0.0097	-0.0524	-0.0055	-0.0121	-0.0189	-0.0175	-0.0166	-0.0262	-0.0078	-0.007	-0.0116	-0.0086	-0.0107	-0.0354	-0.0096	-0.0078	-0.0148	-0.0067	-0.0109	-0.0056	-0.0057	-0.0042	-0.0188	-0.049	-0.0073	-0.0073	-0.0204	-0.0062	-0.0222	-0.0229	-0.0215	-0.0064	-0.0073	-0.0126	-0.0169	-0.0049	-0.0055	-0.0057	-0.0068	-0.0111	-0.0079	-0.0061	-0.0043	-0.0049	-0.006	-0.008	-0.0156	-0.012	-0.0114	-0.0067	-0.0042	-0.0172	-0.0175	-0.0103	-0.0127	-0.0048	-0.0348	-0.0091	-0.0168	-0.005	-0.0126	-0.0039	-0.0207	-0.0042	-0.0097	-0.0655	-0.0074	-0.0041	-0.0067	-0.0066	-0.0058	-0.0084	-0.0062	-0.0068	-0.0082	-0.0102	-0.0085	-0.0079	-0.006
