	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0201	0.1578	0.0321	0.0099	0.0183	-0.0021	-0.002	0.0139	0.0118	-0.0009	-0.0019	-0.0023	-0.0002	-0.0001	0.0008	-0.0014	0.0022	-0.0014	-0.0015	-0.0009	0.0009	0.0026	-0.0002	-0.001	0.0143	-0.0018	0.0011	0.0242	-0.0016	-0.0015	-0.0007	0.0165	0.0039	-0.0006	-0.0016	0.0146	-0.0015	0.0171	-0.0016	-0.0016	-0.0001	-0.0012	-0.0017	-0.0013	-0.0012	0.007	0.0032	-0.0003	-0.0015	0.0002	0.0236	0.0014	-0.0014	-0.0017	-0.0016	-0.0004	-0.0011	0.0018	0.0051	-0.0016	-0.0007	-0.0009	-0.0013	-0.0006	-0.0003	0.0045	-0.0018	-0.0015	0.0054	0.0447	0.0089	-0.0012	0.0029	-0.0015	0.0051	-0.001	-0.0015	0.0002	-0.0007	-0.0015	-0.0012	0.0019	0.0055	0.0011	0.0028	-0.001	-0.0016	0.0004	0.0015	0.0075	-0.001	0.0012	0.0055	-0.0013	-0.0017	-0.0011	0.0061	-0.0002	-0.0016	-0.0012
direct_vc_estimate_se	0.6155	0.4251	0.1676	0.1199	0.044	0.0177	0.0156	0.0189	0.0158	0.0122	0.0144	0.0142	0.0121	0.0117	0.0112	0.0094	0.01	0.0104	0.0112	0.0116	0.0103	0.0107	0.0104	0.0113	0.0098	0.0118	0.0116	0.0108	0.0104	0.0104	0.0101	0.0103	0.0108	0.0103	0.0106	0.0102	0.0105	0.0103	0.0106	0.0101	0.0103	0.0104	0.0109	0.0105	0.011	0.0104	0.0108	0.0108	0.0109	0.011	0.0101	0.0106	0.0104	0.0104	0.0105	0.0102	0.0101	0.0102	0.0105	0.011	0.0104	0.0103	0.0111	0.0103	0.0102	0.0101	0.0111	0.0104	0.0102	0.0104	0.0101	0.011	0.0106	0.0096	0.0105	0.01	0.0107	0.0106	0.0105	0.0102	0.0103	0.0105	0.0108	0.0111	0.0104	0.0102	0.0104	0.0103	0.0104	0.0107	0.011	0.0103	0.0106	0.0099	0.0109	0.0104	0.0099	0.0112	0.0104	0.0105
direct_vc_pvals	0.38	0.093	0.193	0.288	0.198	0.593	0.628	0.081	0.035	0.531	0.737	0.919	0.454	0.392	0.248	0.825	0.185	0.761	0.745	0.561	0.326	0.261	0.558	0.624	0.014	0.835	0.297	0.001	0.905	0.782	0.527	0.008	0.131	0.561	0.828	0.018	0.804	0.004	0.863	0.95	0.434	0.7	0.855	0.756	0.666	0.08	0.203	0.452	0.748	0.398	0.007	0.296	0.744	0.884	0.879	0.506	0.636	0.281	0.095	0.789	0.576	0.588	0.713	0.577	0.452	0.131	0.953	0.779	0.106	0.0	0.056	0.637	0.23	0.918	0.121	0.603	0.773	0.424	0.561	0.812	0.685	0.28	0.133	0.308	0.219	0.636	0.831	0.374	0.309	0.053	0.615	0.297	0.144	0.74	0.908	0.675	0.112	0.428	0.892	0.695
upper95_perm_direct	0.5878	0.503	0.2274	0.1833	0.1198	0.022	0.0141	0.0409	0.0218	0.0159	0.0261	0.025	0.02	0.0173	0.0164	0.0144	0.0128	0.0198	0.0169	0.0205	0.0186	0.0254	0.0322	0.0233	0.0221	0.0243	0.0195	0.0201	0.0219	0.0212	0.0211	0.0212	0.0199	0.0232	0.0244	0.0193	0.0228	0.0192	0.018	0.0168	0.0182	0.022	0.0204	0.0226	0.0202	0.0208	0.0209	0.018	0.0188	0.0218	0.0215	0.0218	0.0208	0.022	0.0205	0.0245	0.0225	0.0211	0.017	0.021	0.0195	0.0203	0.0247	0.0221	0.0194	0.0189	0.0201	0.0204	0.0181	0.019	0.0201	0.0209	0.0218	0.0197	0.0189	0.0188	0.0197	0.0233	0.0224	0.0204	0.0198	0.0226	0.0215	0.0199	0.0202	0.0212	0.0223	0.0204	0.022	0.0171	0.0209	0.0162	0.0241	0.0182	0.0198	0.0199	0.0205	0.0183	0.022	0.0185
lower0_perm_direct	-0.2526	-0.1732	-0.0696	-0.0507	-0.0175	-0.0075	-0.0066	-0.0077	-0.0065	-0.0052	-0.0059	-0.0058	-0.0049	-0.005	-0.0046	-0.004	-0.0042	-0.0043	-0.0048	-0.0047	-0.0043	-0.0044	-0.0044	-0.0047	-0.0041	-0.0047	-0.0048	-0.0045	-0.0042	-0.0044	-0.0044	-0.0041	-0.0046	-0.0044	-0.0044	-0.0042	-0.0043	-0.0044	-0.0045	-0.0041	-0.0042	-0.0043	-0.0046	-0.0044	-0.0046	-0.0042	-0.0045	-0.0044	-0.0046	-0.0046	-0.0042	-0.0044	-0.0043	-0.0045	-0.0043	-0.0043	-0.0041	-0.0041	-0.0045	-0.0046	-0.0045	-0.0044	-0.0047	-0.0043	-0.0043	-0.0041	-0.0046	-0.0044	-0.0043	-0.0045	-0.0041	-0.0047	-0.0043	-0.0041	-0.0043	-0.0041	-0.0043	-0.0044	-0.0044	-0.0042	-0.0044	-0.0045	-0.0044	-0.0046	-0.0044	-0.0043	-0.0043	-0.0043	-0.0043	-0.0045	-0.0046	-0.0042	-0.0045	-0.0042	-0.0043	-0.0042	-0.004	-0.0047	-0.0043	-0.0044
sad_vc_estimate	0.0644	0.0335	-0.0237	0.2476	0.413	0.0049	-0.0017	0.029	0.0185	0.0037	-0.0023	0.0065	0.0075	0.0032	0.0021	-0.0016	-0.0007	0.0016	0.0068	0.0175	-0.0015	0.0161	-0.0001	0.0047	0.0303	0.0019	0.0026	0.028	-0.0017	-0.0017	0.0017	0.0233	0.0023	0.001	-0.0017	0.0321	-0.0016	0.0188	-0.001	-0.0017	0.0012	-0.001	-0.0013	-0.0015	-0.0013	0.0065	0.0082	0.0	-0.0008	-0.0	0.0552	0.0017	-0.0017	-0.0016	-0.0017	-0.0017	-0.0015	0.0016	0.0022	0.0004	-0.001	0.0021	-0.0013	0.0002	-0.0008	0.0059	0.0007	-0.0017	0.0051	0.0232	0.0053	-0.0011	-0.0003	0.0001	0.006	-0.0005	-0.0016	-0.0016	-0.0017	-0.0017	0.0008	0.0139	0.0145	0.0041	0.0001	-0.0014	-0.0013	-0.0004	0.0098	0.0116	0.0033	0.0048	0.002	0.0004	-0.0004	0.0014	0.0005	-0.0009	-0.0017	-0.0003
sad_vc_estimate_se	0.6383	0.4407	0.1729	0.1238	0.0454	0.0183	0.0161	0.0195	0.0163	0.0127	0.0149	0.0147	0.0125	0.012	0.0116	0.0097	0.0103	0.0108	0.0116	0.0119	0.0106	0.011	0.0107	0.0116	0.0102	0.0122	0.012	0.0111	0.0107	0.0108	0.0105	0.0106	0.0111	0.0106	0.0109	0.0105	0.0108	0.0106	0.0109	0.0105	0.0106	0.0107	0.0112	0.0109	0.0113	0.0108	0.0111	0.0112	0.0112	0.0113	0.0104	0.011	0.0108	0.0108	0.0109	0.0105	0.0104	0.0105	0.0108	0.0113	0.0107	0.0106	0.0114	0.0106	0.0106	0.0104	0.0115	0.0107	0.0106	0.0107	0.0104	0.0113	0.011	0.01	0.0108	0.0104	0.011	0.011	0.0108	0.0106	0.0106	0.0108	0.0112	0.0114	0.0108	0.0105	0.0107	0.0106	0.0108	0.011	0.0113	0.0106	0.0109	0.0103	0.0112	0.0107	0.0102	0.0116	0.0107	0.0108
sad_vc_pvals	0.284	0.32	0.734	0.003	0.0	0.2	0.593	0.043	0.026	0.159	0.838	0.152	0.091	0.226	0.227	0.979	0.48	0.302	0.111	0.037	0.792	0.02	0.521	0.196	0.001	0.295	0.264	0.003	0.975	0.919	0.326	0.014	0.257	0.464	0.895	0.0	0.869	0.007	0.636	0.926	0.36	0.649	0.713	0.816	0.708	0.133	0.096	0.485	0.561	0.462	0.001	0.342	0.983	0.86	0.903	0.968	0.83	0.343	0.264	0.385	0.665	0.292	0.725	0.448	0.596	0.166	0.405	0.965	0.137	0.005	0.143	0.668	0.498	0.478	0.119	0.575	0.812	0.825	0.882	0.878	0.379	0.054	0.025	0.199	0.472	0.768	0.748	0.528	0.088	0.041	0.242	0.158	0.349	0.452	0.56	0.32	0.447	0.595	0.911	0.532
upper95_perm_sad	0.9058	0.6974	0.2741	0.2201	0.2428	0.0337	0.0181	0.059	0.0258	0.0212	0.0304	0.0285	0.023	0.0272	0.0171	0.0178	0.0155	0.0225	0.0239	0.0331	0.0227	0.0215	0.0236	0.028	0.0238	0.0268	0.0277	0.0252	0.025	0.0272	0.0258	0.0295	0.0227	0.0393	0.0282	0.0266	0.0288	0.0242	0.0251	0.0212	0.0243	0.0252	0.0277	0.0311	0.0307	0.0272	0.0259	0.0243	0.0235	0.0224	0.0282	0.0281	0.0242	0.0247	0.0308	0.0236	0.0252	0.0231	0.025	0.0238	0.0285	0.0263	0.0356	0.0266	0.025	0.0295	0.0257	0.026	0.0225	0.0221	0.0245	0.0295	0.0268	0.0272	0.0253	0.0244	0.0229	0.0265	0.0273	0.0249	0.0275	0.0306	0.0234	0.026	0.0251	0.0254	0.0264	0.0245	0.0292	0.0225	0.0249	0.0229	0.0308	0.0271	0.0296	0.0212	0.0274	0.0226	0.0273	0.0277
lower0_perm_sad	-0.2598	-0.1802	-0.0697	-0.0509	-0.0186	-0.0077	-0.0066	-0.008	-0.0068	-0.0054	-0.0061	-0.006	-0.0052	-0.0048	-0.0047	-0.0039	-0.0042	-0.0044	-0.0048	-0.005	-0.0044	-0.0047	-0.0043	-0.005	-0.0042	-0.0051	-0.0051	-0.0046	-0.0046	-0.0044	-0.0043	-0.0044	-0.0045	-0.0044	-0.0046	-0.0044	-0.0044	-0.0045	-0.0046	-0.0042	-0.0045	-0.0045	-0.0048	-0.0043	-0.0048	-0.0044	-0.0048	-0.0047	-0.0046	-0.0046	-0.0042	-0.0046	-0.0045	-0.0042	-0.0046	-0.0043	-0.0044	-0.0043	-0.0046	-0.0047	-0.0046	-0.0043	-0.0047	-0.0044	-0.0044	-0.0043	-0.0048	-0.0046	-0.0043	-0.0044	-0.0042	-0.0048	-0.0047	-0.0039	-0.0045	-0.0042	-0.0046	-0.0045	-0.0044	-0.0045	-0.0044	-0.0045	-0.0046	-0.0046	-0.0045	-0.0044	-0.0044	-0.0044	-0.0046	-0.0045	-0.0048	-0.0045	-0.0046	-0.0042	-0.0048	-0.0045	-0.0041	-0.0048	-0.0043	-0.0044
