	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1073	0.058	0.1524	0.2916	0.248	-0.0006	-0.0007	0.0334	0.001	0.0	-0.0003	-0.0006	0.0055	0.0135	0.0002	0.0024	-0.0005	0.0106	0.0002	0.0107	0.0133	0.1302	0.1175	0.0078	0.0397	0.0046	0.0011	0.0092	-0.0001	0.0001	0.0051	0.0151	-0.0011	0.0142	-0.0	0.0008	-0.0001	0.0009	-0.0001	0.0027	-0.0005	0.0019	-0.0002	0.01	0.0123	0.0005	0.0045	0.0011	-0.0001	0.0013	0.0098	0.0018	0.0028	0.0096	0.0066	0.0002	-0.0002	-0.0003	-0.0001	0.0007	-0.0	0.0054	0.0007	0.0015	0.0034	-0.0002	0.0013	0.0011	0.0008	0.001	0.0029	-0.0002	0.0075	-0.0001	0.0013	0.0022	0.0013	0.0002	0.0008	-0.0002	0.0034	0.0056	-0.0005	0.0024	0.0004	0.0057	0.0	0.0007	0.0067	0.0012	0.0079	0.0015	0.0022	0.008	0.0122	0.0004	-0.0004	0.0022	0.0038	0.006
direct_vc_estimate_se	0.0221	0.0137	0.0105	0.0045	0.0011	0.0012	0.0009	0.0004	0.0004	0.0004	0.0003	0.0007	0.0003	0.0005	0.0003	0.0005	0.0007	0.0004	0.0003	0.0004	0.0004	0.0011	0.0015	0.0004	0.0003	0.0003	0.0003	0.0009	0.0003	0.0003	0.0003	0.0005	0.0013	0.0008	0.0004	0.0003	0.0002	0.0002	0.0003	0.0005	0.0007	0.0003	0.0002	0.0005	0.0003	0.0003	0.0003	0.0002	0.0002	0.0002	0.0006	0.0002	0.0003	0.0002	0.0002	0.0003	0.0003	0.0004	0.0002	0.0002	0.0003	0.0004	0.0003	0.0003	0.0002	0.0002	0.0003	0.0004	0.0002	0.0003	0.0003	0.0003	0.0004	0.0004	0.0005	0.0002	0.0003	0.0002	0.0003	0.0002	0.0004	0.0002	0.0007	0.0012	0.0003	0.0003	0.0004	0.0004	0.0003	0.001	0.0002	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004	0.0003	0.0002	0.0002
direct_vc_pvals	0.323	0.41	0.04	0.0	0.043	0.787	0.86	0.025	0.416	0.72	0.975	0.917	0.118	0.132	0.484	0.3	0.822	0.038	0.67	0.231	0.015	0.001	0.012	0.108	0.0	0.102	0.474	0.048	0.804	0.652	0.276	0.051	0.983	0.22	0.804	0.487	0.891	0.387	0.838	0.184	0.876	0.253	0.891	0.233	0.123	0.599	0.076	0.389	0.709	0.344	0.078	0.413	0.178	0.0	0.096	0.635	0.891	0.966	0.858	0.27	0.826	0.194	0.738	0.3	0.304	0.945	0.297	0.465	0.377	0.237	0.091	0.934	0.124	0.759	0.369	0.283	0.259	0.711	0.5	0.945	0.4	0.2	0.835	0.317	0.502	0.071	0.758	0.225	0.104	0.4	0.084	0.387	0.66	0.049	0.064	0.527	0.94	0.164	0.241	0.021
upper95_perm_direct	0.6902	0.568	0.2507	0.1688	0.4083	0.033	0.0133	0.0471	0.0094	0.0133	0.0329	0.0155	0.0147	0.0354	0.005	0.0151	0.0073	0.017	0.0139	0.0401	0.0139	0.1258	0.1741	0.0177	0.0264	0.0118	0.0164	0.0156	0.0151	0.0104	0.0208	0.0274	0.0108	0.0449	0.0238	0.0121	0.0162	0.0096	0.0126	0.0122	0.011	0.0098	0.0113	0.0396	0.0286	0.0129	0.0094	0.011	0.0051	0.0087	0.0204	0.0164	0.0099	0.007	0.0142	0.0098	0.0173	0.0129	0.0111	0.0047	0.0166	0.0185	0.0433	0.0086	0.0173	0.0251	0.0073	0.0119	0.0063	0.0049	0.0064	0.016	0.0178	0.0133	0.0113	0.0122	0.0065	0.0138	0.0126	0.0099	0.0277	0.0195	0.0079	0.0156	0.0075	0.012	0.0207	0.0036	0.0161	0.0147	0.0163	0.0125	0.0267	0.014	0.0223	0.0124	0.0203	0.0074	0.0158	0.0081
lower0_perm_direct	-0.0373	-0.0254	-0.0189	-0.0088	-0.002	-0.0022	-0.0017	-0.0007	-0.0006	-0.0007	-0.0006	-0.0013	-0.0006	-0.0009	-0.0005	-0.0009	-0.0012	-0.0007	-0.0006	-0.0007	-0.0008	-0.002	-0.0028	-0.0007	-0.0005	-0.0006	-0.0006	-0.0017	-0.0005	-0.0005	-0.0006	-0.001	-0.0024	-0.0015	-0.0007	-0.0006	-0.0004	-0.0004	-0.0005	-0.001	-0.0012	-0.0005	-0.0005	-0.001	-0.0005	-0.0005	-0.0005	-0.0004	-0.0005	-0.0004	-0.0012	-0.0004	-0.0005	-0.0004	-0.0004	-0.0005	-0.0006	-0.0006	-0.0005	-0.0004	-0.0005	-0.0008	-0.0006	-0.0006	-0.0004	-0.0004	-0.0005	-0.0007	-0.0004	-0.0005	-0.0005	-0.0006	-0.0007	-0.0007	-0.0009	-0.0004	-0.0005	-0.0004	-0.0005	-0.0004	-0.0007	-0.0004	-0.0012	-0.0022	-0.0005	-0.0005	-0.0007	-0.0007	-0.0005	-0.0019	-0.0004	-0.0005	-0.0006	-0.0007	-0.0007	-0.0006	-0.0008	-0.0006	-0.0004	-0.0004
sad_vc_estimate	0.4026	0.2372	0.3697	0.6226	0.6853	0.0089	-0.0008	0.1031	0.007	0.0008	0.0039	-0.0005	0.0085	0.0262	0.0003	0.0007	-0.0005	0.0113	0.0024	0.0312	0.0265	0.1383	0.0709	0.0163	0.0528	0.0076	-0.0003	0.0089	0.0007	0.0005	0.0068	0.0272	-0.001	0.0424	0.0001	0.0033	-0.0001	0.0014	-0.0002	0.0008	-0.0006	0.0061	-0.0002	0.0277	0.019	0.0005	0.0072	0.0075	0.0005	0.002	0.0263	0.0054	0.0045	0.011	0.0199	-0.0002	-0.0	0.0002	0.0011	0.0019	-0.0001	0.0136	0.0042	0.0031	0.0027	0.0043	0.0044	0.0013	0.0016	0.0069	0.0017	0.0021	0.0185	0.0021	0.0025	-0.0002	0.0003	0.0029	0.0021	0.001	0.0116	0.0147	-0.0005	0.002	0.0002	0.0061	-0.0003	-0.0001	0.0267	0.0072	0.0185	0.0015	0.0057	0.0175	0.0377	0.0009	0.0005	0.0029	0.0075	0.0096
sad_vc_estimate_se	0.0222	0.0138	0.0105	0.0045	0.0011	0.0012	0.0009	0.0004	0.0004	0.0004	0.0003	0.0007	0.0003	0.0005	0.0003	0.0005	0.0007	0.0004	0.0003	0.0004	0.0004	0.0011	0.0016	0.0004	0.0003	0.0003	0.0003	0.0009	0.0003	0.0003	0.0003	0.0005	0.0013	0.0008	0.0004	0.0003	0.0002	0.0002	0.0003	0.0005	0.0007	0.0003	0.0002	0.0005	0.0003	0.0003	0.0003	0.0002	0.0002	0.0002	0.0006	0.0002	0.0003	0.0002	0.0002	0.0003	0.0003	0.0004	0.0002	0.0002	0.0003	0.0004	0.0003	0.0003	0.0002	0.0002	0.0003	0.0004	0.0002	0.0003	0.0003	0.0003	0.0004	0.0004	0.0005	0.0002	0.0003	0.0002	0.0003	0.0002	0.0004	0.0002	0.0007	0.0012	0.0003	0.0003	0.0004	0.0004	0.0003	0.001	0.0002	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004	0.0003	0.0002	0.0002
sad_vc_pvals	0.258	0.218	0.013	0.0	0.013	0.349	0.963	0.019	0.126	0.571	0.541	0.881	0.065	0.153	0.555	0.614	0.929	0.046	0.432	0.141	0.003	0.0	0.019	0.088	0.006	0.083	0.966	0.105	0.633	0.607	0.422	0.048	0.899	0.139	0.838	0.398	0.896	0.49	0.98	0.555	0.967	0.143	0.944	0.169	0.173	0.693	0.122	0.11	0.511	0.473	0.045	0.274	0.21	0.009	0.071	0.882	0.87	0.764	0.531	0.245	0.904	0.108	0.567	0.35	0.513	0.58	0.177	0.635	0.396	0.078	0.31	0.584	0.084	0.461	0.407	0.94	0.659	0.414	0.499	0.606	0.278	0.163	0.913	0.515	0.701	0.157	0.942	0.718	0.027	0.148	0.092	0.442	0.637	0.054	0.01	0.645	0.745	0.233	0.268	0.02
upper95_perm_sad	1.6158	0.9437	0.4357	0.2656	0.9029	0.0639	0.0203	0.1358	0.0197	0.0228	0.05	0.0248	0.0166	0.0705	0.0096	0.0251	0.0109	0.0197	0.0245	0.0794	0.0279	0.0982	0.105	0.0328	0.0507	0.0162	0.0231	0.023	0.0213	0.0154	0.0458	0.045	0.0202	0.1133	0.0584	0.0241	0.0292	0.016	0.0203	0.0207	0.0228	0.0191	0.0176	0.0837	0.0593	0.0256	0.0189	0.0189	0.0109	0.0183	0.0445	0.0251	0.0181	0.0115	0.0382	0.0227	0.0414	0.0293	0.0199	0.0097	0.0311	0.0333	0.0795	0.0207	0.033	0.0586	0.0148	0.0252	0.0135	0.0148	0.01	0.0408	0.0399	0.0214	0.0194	0.0225	0.0138	0.0241	0.0264	0.0227	0.0479	0.04	0.0145	0.0375	0.0156	0.0194	0.0469	0.0093	0.0398	0.0233	0.0401	0.0212	0.0572	0.0305	0.0436	0.0271	0.0422	0.0122	0.0353	0.0126
lower0_perm_sad	-0.0413	-0.0241	-0.0197	-0.0086	-0.0017	-0.0023	-0.0018	-0.0007	-0.0007	-0.0007	-0.0006	-0.0013	-0.0006	-0.0009	-0.0005	-0.0009	-0.0012	-0.0006	-0.0006	-0.0008	-0.0008	-0.002	-0.0029	-0.0006	-0.0005	-0.0006	-0.0006	-0.0017	-0.0005	-0.0005	-0.0006	-0.0009	-0.0023	-0.0015	-0.0007	-0.0006	-0.0004	-0.0004	-0.0005	-0.001	-0.0013	-0.0005	-0.0005	-0.0009	-0.0006	-0.0005	-0.0005	-0.0004	-0.0004	-0.0004	-0.0012	-0.0004	-0.0005	-0.0004	-0.0004	-0.0005	-0.0006	-0.0007	-0.0005	-0.0004	-0.0005	-0.0007	-0.0006	-0.0006	-0.0004	-0.0004	-0.0005	-0.0007	-0.0004	-0.0005	-0.0005	-0.0006	-0.0007	-0.0007	-0.0009	-0.0004	-0.0005	-0.0004	-0.0005	-0.0004	-0.0007	-0.0004	-0.0013	-0.0021	-0.0005	-0.0005	-0.0008	-0.0007	-0.0005	-0.002	-0.0004	-0.0005	-0.0006	-0.0007	-0.0007	-0.0006	-0.0008	-0.0006	-0.0004	-0.0004
