	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.4984	-0.2229	-0.1051	-0.0659	-0.0196	-0.0116	-0.0202	-0.007	-0.0028	-0.0011	-0.0061	0.0091	0.0156	0.0754	0.0509	-0.0076	-0.0186	-0.0011	-0.004	0.0011	-0.0054	-0.0071	-0.0056	-0.0065	-0.0044	0.029	-0.0041	0.0231	0.0071	-0.0055	-0.0028	-0.0051	-0.0077	-0.0042	-0.0028	-0.0041	0.0106	0.0644	-0.0072	0.0019	0.0003	-0.0066	0.0	-0.0065	-0.0022	-0.0046	0.0139	0.004	-0.0044	0.0088	-0.0067	-0.0094	-0.0025	-0.0057	-0.0055	-0.0056	-0.001	-0.0041	0.0028	0.0026	-0.0037	0.0392	-0.0054	0.0009	-0.0079	0.0088	-0.0042	-0.0033	0.0071	0.0007	-0.0046	-0.0049	0.0283	0.0021	-0.0069	-0.0017	-0.001	-0.0153	-0.0014	-0.009	-0.0076	-0.0032	-0.006	-0.0039	0.0095	-0.0005	-0.0044	0.0119	0.0123	0.0082	-0.0005	-0.0058	0.019	-0.0028	-0.0066	-0.0062	-0.0044	0.0362	0.0199	-0.0059
direct_vc_estimate_se	1.6246	0.7384	0.396	0.2118	0.0637	0.0374	0.0741	0.0226	0.0316	0.0528	0.0245	0.0303	0.0216	0.0371	0.0161	0.0249	0.0604	0.0153	0.0262	0.0148	0.0257	0.0456	0.0223	0.0207	0.0147	0.0207	0.0144	0.0383	0.0182	0.0276	0.016	0.0173	0.0439	0.0171	0.0187	0.0497	0.0313	0.0158	0.0245	0.0163	0.0182	0.0243	0.015	0.0265	0.0238	0.0308	0.0169	0.0403	0.0141	0.0295	0.0223	0.031	0.0138	0.0391	0.0261	0.0179	0.0164	0.015	0.0151	0.0202	0.0262	0.0167	0.0208	0.0176	0.0261	0.0162	0.0142	0.0162	0.0194	0.0209	0.0224	0.0161	0.0581	0.0476	0.0353	0.0137	0.0129	0.0495	0.0553	0.0337	0.0277	0.0197	0.0195	0.0136	0.0236	0.0233	0.0146	0.0165	0.0139	0.0247	0.0222	0.0189	0.0193	0.0184	0.0253	0.0249	0.0148	0.015	0.0202	0.0207
direct_vc_pvals	0.886	0.864	0.737	0.951	0.906	0.94	0.737	0.963	0.45	0.38	0.687	0.194	0.097	0.01	0.004	0.881	0.884	0.453	0.437	0.303	0.58	0.63	0.675	0.981	0.84	0.021	0.841	0.085	0.155	0.578	0.569	0.831	0.383	0.675	0.562	0.297	0.118	0.003	0.823	0.349	0.406	0.735	0.428	0.653	0.404	0.471	0.094	0.287	0.947	0.256	0.844	0.896	0.607	0.491	0.593	0.991	0.463	0.77	0.242	0.328	0.426	0.02	0.676	0.351	0.903	0.166	0.852	0.63	0.182	0.407	0.659	0.898	0.15	0.456	0.529	0.51	0.488	0.907	0.483	0.699	0.796	0.583	0.9	0.813	0.17	0.438	0.88	0.156	0.074	0.274	0.407	0.91	0.085	0.584	0.7	0.612	0.848	0.007	0.104	0.806
upper95_perm_direct	1.7589	0.9622	0.4369	0.2739	0.1123	0.0424	0.0605	0.0364	0.0352	0.0436	0.0333	0.0315	0.0258	0.05	0.024	0.0291	0.0211	0.0229	0.0195	0.0178	0.0256	0.0417	0.0182	0.0313	0.0184	0.0184	0.0227	0.0356	0.0217	0.0279	0.0206	0.0243	0.0183	0.0246	0.0306	0.0274	0.0235	0.032	0.0277	0.0267	0.0363	0.0296	0.0254	0.0264	0.0237	0.0282	0.0234	0.0377	0.0222	0.0398	0.0219	0.041	0.0238	0.0338	0.0213	0.0186	0.0287	0.0272	0.0194	0.0326	0.0225	0.029	0.0222	0.0278	0.0355	0.0233	0.0258	0.0256	0.0224	0.0331	0.0301	0.0259	0.0602	0.0495	0.0326	0.0195	0.0214	0.0375	0.0502	0.0204	0.0404	0.0305	0.0237	0.0216	0.0281	0.0359	0.0227	0.0297	0.0169	0.0377	0.0315	0.0229	0.0294	0.0301	0.0289	0.0186	0.0201	0.019	0.0325	0.0309
lower0_perm_direct	-0.6157	-0.2897	-0.1515	-0.0801	-0.0241	-0.0146	-0.0284	-0.0088	-0.012	-0.0199	-0.0093	-0.0114	-0.0084	-0.0145	-0.0061	-0.0097	-0.0236	-0.0059	-0.0103	-0.0055	-0.0099	-0.0171	-0.0084	-0.008	-0.0056	-0.0079	-0.0055	-0.0142	-0.0069	-0.0108	-0.0061	-0.0066	-0.0168	-0.0064	-0.0073	-0.0188	-0.012	-0.0062	-0.0092	-0.0063	-0.007	-0.0095	-0.0057	-0.0105	-0.0092	-0.012	-0.0064	-0.0156	-0.0054	-0.0114	-0.0086	-0.012	-0.0054	-0.0151	-0.01	-0.0069	-0.0064	-0.0058	-0.0057	-0.0078	-0.0099	-0.0063	-0.0079	-0.0067	-0.0097	-0.0063	-0.0055	-0.0064	-0.0074	-0.0079	-0.0084	-0.006	-0.022	-0.0184	-0.0135	-0.0053	-0.0049	-0.0192	-0.0211	-0.0133	-0.0107	-0.0075	-0.0073	-0.0052	-0.0092	-0.0091	-0.0057	-0.0062	-0.0054	-0.0095	-0.0085	-0.0071	-0.0073	-0.0072	-0.0095	-0.0096	-0.0056	-0.0058	-0.0076	-0.0078
sad_vc_estimate	-0.4717	-0.1868	-0.1195	-0.0484	0.0125	-0.0118	-0.0211	-0.0069	-0.0011	-0.0075	-0.0077	0.0547	0.0073	0.0997	0.0538	-0.0073	-0.0179	-0.0019	-0.0077	0.0043	-0.0002	-0.0035	-0.0069	-0.0059	-0.0046	0.0158	-0.0045	0.0186	0.0167	-0.0042	-0.0049	-0.0054	-0.0017	-0.0023	0.0006	-0.0064	0.0381	0.0613	-0.0035	0.0086	0.0112	-0.0057	0.0071	-0.0054	0.0078	-0.0013	0.0083	0.0293	-0.0039	0.0094	-0.0028	-0.0097	-0.0042	-0.007	-0.0033	0.0066	-0.0031	-0.003	0.0058	0.0171	-0.0071	0.048	-0.0063	-0.0009	-0.008	0.0201	-0.0037	-0.0051	0.004	-0.0023	-0.0042	-0.005	0.0536	0.0175	0.0011	-0.001	0.0037	-0.0155	0.0012	-0.0105	-0.0076	0.0012	-0.0059	-0.0039	0.0098	-0.0037	-0.0046	0.0175	0.0257	0.0161	0.0047	-0.0019	0.0246	-0.0023	0.0038	-0.0048	-0.0009	0.0468	0.0542	-0.0063
sad_vc_estimate_se	1.6299	0.7412	0.3972	0.2128	0.0639	0.0376	0.0742	0.0227	0.0317	0.0529	0.0246	0.0304	0.0217	0.0372	0.0161	0.025	0.0605	0.0153	0.0262	0.0148	0.0258	0.0457	0.0224	0.0207	0.0148	0.0207	0.0145	0.0384	0.0182	0.0277	0.0161	0.0173	0.044	0.0172	0.0187	0.0498	0.0314	0.0159	0.0245	0.0164	0.0183	0.0244	0.015	0.0266	0.0238	0.0308	0.017	0.0404	0.0142	0.0296	0.0224	0.0311	0.0139	0.0392	0.0262	0.018	0.0164	0.0151	0.0151	0.0203	0.0263	0.0167	0.0209	0.0177	0.0261	0.0163	0.0143	0.0163	0.0195	0.0209	0.0224	0.0162	0.0582	0.0477	0.0353	0.0138	0.013	0.0496	0.0554	0.0337	0.0278	0.0197	0.0195	0.0137	0.0237	0.0233	0.0146	0.0165	0.014	0.0247	0.0223	0.019	0.0194	0.0185	0.0254	0.025	0.0148	0.0151	0.0202	0.0208
sad_vc_pvals	0.813	0.701	0.877	0.693	0.363	0.971	0.816	0.899	0.429	0.514	0.99	0.029	0.235	0.009	0.008	0.837	0.783	0.594	0.814	0.269	0.432	0.495	0.922	0.804	0.948	0.098	0.988	0.181	0.122	0.548	0.873	0.951	0.249	0.558	0.471	0.389	0.044	0.023	0.546	0.316	0.234	0.702	0.308	0.584	0.229	0.367	0.239	0.1	0.837	0.26	0.505	0.984	0.91	0.571	0.468	0.246	0.686	0.682	0.231	0.167	0.723	0.019	0.847	0.507	0.903	0.1	0.765	0.99	0.307	0.568	0.617	0.961	0.066	0.215	0.302	0.554	0.336	0.998	0.484	0.931	0.781	0.419	0.855	0.817	0.22	0.605	0.991	0.147	0.045	0.192	0.296	0.548	0.079	0.544	0.379	0.563	0.504	0.018	0.013	0.907
upper95_perm_sad	2.1635	1.1659	0.5902	0.3895	0.1367	0.0608	0.0603	0.0497	0.0441	0.0444	0.0522	0.0488	0.0347	0.0547	0.0315	0.0348	0.0279	0.0322	0.0285	0.027	0.0342	0.0512	0.0326	0.0382	0.0231	0.0263	0.0314	0.0577	0.0313	0.0405	0.032	0.0378	0.0266	0.037	0.0377	0.0393	0.0394	0.0475	0.0427	0.0463	0.0433	0.038	0.04	0.0328	0.0387	0.0287	0.0346	0.0488	0.0352	0.0507	0.0293	0.0494	0.0347	0.0447	0.0263	0.0291	0.032	0.0326	0.0226	0.0408	0.0304	0.035	0.0268	0.0328	0.0455	0.0349	0.034	0.0254	0.0384	0.0445	0.0366	0.0323	0.0688	0.0512	0.0357	0.0331	0.0272	0.0467	0.0666	0.0307	0.0442	0.0448	0.0299	0.03	0.0322	0.0405	0.0295	0.039	0.0272	0.0494	0.0384	0.039	0.034	0.0355	0.0527	0.0284	0.0286	0.0357	0.0353	0.0359
lower0_perm_sad	-0.6284	-0.2912	-0.151	-0.0825	-0.0244	-0.0146	-0.0286	-0.0089	-0.0121	-0.0204	-0.0096	-0.0115	-0.0084	-0.0138	-0.0063	-0.0098	-0.0229	-0.006	-0.0102	-0.0056	-0.0098	-0.0176	-0.0085	-0.0078	-0.0056	-0.0081	-0.0055	-0.0147	-0.0069	-0.0105	-0.0063	-0.0066	-0.0168	-0.0065	-0.007	-0.0192	-0.0122	-0.0062	-0.0094	-0.0062	-0.007	-0.0095	-0.0059	-0.0102	-0.0089	-0.012	-0.0064	-0.0154	-0.0052	-0.0113	-0.0087	-0.012	-0.0052	-0.0151	-0.0102	-0.007	-0.0063	-0.0058	-0.0057	-0.0079	-0.0102	-0.0064	-0.008	-0.0067	-0.01	-0.0062	-0.0055	-0.0061	-0.0077	-0.0079	-0.0085	-0.0063	-0.0223	-0.0185	-0.0134	-0.0053	-0.0049	-0.0187	-0.021	-0.0131	-0.0105	-0.0077	-0.0074	-0.0051	-0.0092	-0.0091	-0.0056	-0.0063	-0.0053	-0.0095	-0.0087	-0.0073	-0.0076	-0.0071	-0.0098	-0.0093	-0.0057	-0.0057	-0.0078	-0.0079
