	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0794	-0.06	-0.0326	-0.0224	-0.0054	-0.0033	-0.0008	0.0099	0.0005	-0.0013	0.0076	0.001	0.0022	0.0127	0.0044	0.0019	-0.0006	-0.0013	-0.001	-0.0011	0.0197	-0.0016	-0.0015	-0.0017	0.0079	0.0027	-0.0003	0.0019	0.0011	0.001	0.0007	0.0003	-0.0006	0.0005	0.0083	-0.0004	-0.0011	0.0132	-0.0006	-0.0019	-0.0014	0.0029	0.0012	-0.0017	-0.0016	0.0	-0.001	0.002	-0.0006	-0.0016	-0.0	-0.0005	-0.0008	0.0004	-0.0017	0.0003	0.0013	-0.0014	0.0071	0.0041	-0.0006	0.0013	0.0009	0.0133	-0.0001	0.0112	0.0011	0.0033	-0.0009	-0.0016	0.0035	-0.0016	0.0019	-0.0016	-0.0007	0.0007	0.0	0.0122	-0.0012	0.0002	-0.0015	0.0006	0.0001	-0.001	0.0058	-0.0017	-0.0001	-0.0015	-0.0015	0.0025	-0.0016	-0.0003	-0.0007	-0.0011	0.0175	-0.0015	-0.0007	-0.0014	-0.0009	0.0024
direct_vc_estimate_se	0.2884	0.1437	0.0636	0.0455	0.0106	0.0099	0.0057	0.0049	0.0044	0.0044	0.0042	0.004	0.0041	0.004	0.0036	0.0038	0.0036	0.0038	0.0032	0.0035	0.0037	0.0034	0.0032	0.0033	0.0033	0.0032	0.0031	0.0043	0.0037	0.0038	0.0036	0.0031	0.0034	0.0032	0.0032	0.0034	0.0041	0.0042	0.0035	0.0038	0.003	0.0032	0.0036	0.0035	0.0039	0.003	0.003	0.0039	0.0028	0.0032	0.003	0.0037	0.0035	0.0032	0.0033	0.0032	0.0034	0.0029	0.0037	0.0032	0.0031	0.0032	0.0032	0.0034	0.0031	0.0036	0.0033	0.0033	0.0032	0.0033	0.0031	0.0031	0.003	0.003	0.0035	0.0031	0.0029	0.0033	0.0033	0.0032	0.0032	0.0031	0.003	0.0029	0.0032	0.0033	0.003	0.003	0.003	0.0034	0.0032	0.0032	0.0031	0.0029	0.0033	0.003	0.0032	0.0027	0.0029	0.003
direct_vc_pvals	0.552	0.798	0.932	0.872	0.966	0.577	0.461	0.117	0.415	0.575	0.158	0.408	0.299	0.049	0.2	0.304	0.506	0.688	0.646	0.654	0.006	0.767	0.783	0.99	0.058	0.182	0.569	0.408	0.331	0.39	0.314	0.51	0.536	0.483	0.168	0.674	0.583	0.119	0.66	0.938	0.842	0.287	0.267	0.832	0.72	0.442	0.727	0.306	0.581	0.879	0.458	0.529	0.536	0.481	0.95	0.456	0.419	0.871	0.098	0.153	0.57	0.334	0.321	0.033	0.434	0.091	0.378	0.18	0.586	0.88	0.215	0.998	0.287	0.968	0.634	0.371	0.402	0.048	0.719	0.518	0.845	0.422	0.501	0.665	0.116	0.978	0.484	0.961	0.924	0.35	0.91	0.481	0.652	0.737	0.027	0.932	0.555	0.979	0.649	0.38
upper95_perm_direct	0.6258	0.5357	0.1543	0.1579	0.0567	0.0239	0.0109	0.0195	0.013	0.0088	0.0164	0.0143	0.0123	0.0132	0.014	0.0118	0.0085	0.0138	0.0083	0.0148	0.0107	0.0065	0.0069	0.0077	0.0083	0.0077	0.0108	0.0188	0.0099	0.0138	0.0094	0.0125	0.0095	0.0157	0.0169	0.0205	0.0119	0.0217	0.0154	0.0106	0.0116	0.0122	0.0083	0.0085	0.0106	0.0087	0.0167	0.0099	0.0093	0.0102	0.009	0.0114	0.0088	0.0125	0.009	0.0111	0.016	0.0093	0.0111	0.0094	0.0099	0.0104	0.0068	0.0116	0.0082	0.0153	0.0133	0.0098	0.0074	0.0157	0.0121	0.0113	0.0095	0.013	0.0133	0.0099	0.0073	0.0123	0.0117	0.0145	0.011	0.0126	0.0134	0.0114	0.011	0.0107	0.0091	0.0119	0.0084	0.0164	0.0105	0.0093	0.012	0.0087	0.0132	0.0097	0.0084	0.0074	0.0096	0.0165
lower0_perm_direct	-0.1738	-0.0866	-0.0389	-0.0273	-0.0065	-0.0059	-0.0034	-0.0031	-0.0028	-0.0027	-0.0025	-0.0025	-0.0025	-0.0024	-0.0022	-0.0023	-0.0022	-0.0023	-0.002	-0.0021	-0.0023	-0.0021	-0.002	-0.002	-0.002	-0.002	-0.0019	-0.0026	-0.0022	-0.0024	-0.0022	-0.0018	-0.002	-0.0019	-0.002	-0.002	-0.0026	-0.0024	-0.002	-0.0023	-0.0018	-0.0019	-0.0023	-0.0021	-0.0024	-0.0018	-0.0019	-0.0024	-0.0017	-0.0019	-0.0018	-0.0022	-0.0021	-0.0018	-0.002	-0.002	-0.0021	-0.0018	-0.0023	-0.0019	-0.0019	-0.0019	-0.0019	-0.002	-0.0018	-0.0022	-0.002	-0.002	-0.0019	-0.002	-0.0019	-0.0018	-0.0019	-0.0018	-0.0021	-0.0019	-0.0017	-0.002	-0.002	-0.0019	-0.002	-0.0019	-0.0018	-0.0017	-0.002	-0.0019	-0.0018	-0.0018	-0.0018	-0.002	-0.0019	-0.0019	-0.0019	-0.0017	-0.002	-0.0018	-0.002	-0.0016	-0.0018	-0.0019
sad_vc_estimate	0.0139	-0.0061	-0.008	-0.021	0.0053	0.0065	-0.003	0.0087	-0.0002	-0.0003	0.0188	0.0165	0.008	0.0266	0.0043	0.0058	0.0004	0.0013	-0.0016	-0.0016	0.0485	-0.0014	-0.0012	-0.0014	0.0158	0.0001	0.001	0.0085	0.0043	-0.0019	-0.0018	0.0021	-0.0007	0.0012	0.0174	0.0042	0.0037	0.0181	-0.0007	-0.0017	-0.0014	0.0092	0.0065	-0.0018	-0.0007	-0.001	0.0	0.0155	-0.0012	-0.0016	0.0047	0.0007	0.0018	0.0067	-0.0006	0.0103	0.0032	-0.0012	0.0119	0.0162	0.0011	0.0013	0.0056	0.0088	0.0009	0.0188	0.0032	0.0024	-0.0008	-0.0014	0.0088	-0.0002	0.0129	-0.0009	-0.0006	-0.0003	0.0051	0.0194	-0.0017	0.0011	-0.0009	-0.0003	-0.0004	-0.0015	0.007	-0.0011	0.0002	-0.001	-0.0007	0.0095	-0.0015	-0.0014	0.001	-0.0014	0.0452	-0.0012	0.0046	-0.0011	0.0053	0.0005
sad_vc_estimate_se	0.2905	0.1448	0.0641	0.0458	0.0107	0.01	0.0058	0.0049	0.0044	0.0044	0.0042	0.004	0.0041	0.0041	0.0036	0.0039	0.0037	0.0038	0.0032	0.0035	0.0037	0.0034	0.0032	0.0033	0.0033	0.0033	0.0031	0.0043	0.0037	0.0038	0.0037	0.0031	0.0034	0.0033	0.0033	0.0034	0.0042	0.0042	0.0035	0.0038	0.003	0.0032	0.0037	0.0035	0.004	0.003	0.003	0.0039	0.0028	0.0032	0.003	0.0037	0.0035	0.0032	0.0033	0.0032	0.0034	0.003	0.0037	0.0032	0.0031	0.0032	0.0032	0.0034	0.0031	0.0036	0.0033	0.0033	0.0032	0.0034	0.0032	0.0031	0.0031	0.0031	0.0035	0.0031	0.0029	0.0033	0.0033	0.0033	0.0033	0.0031	0.003	0.0029	0.0032	0.0033	0.003	0.003	0.003	0.0034	0.0032	0.0032	0.0031	0.0029	0.0033	0.003	0.0032	0.0028	0.0029	0.003
sad_vc_pvals	0.491	0.648	0.593	0.834	0.582	0.3	0.936	0.247	0.549	0.517	0.106	0.1	0.158	0.021	0.34	0.184	0.395	0.516	0.911	0.852	0.004	0.734	0.744	0.775	0.038	0.582	0.506	0.341	0.295	0.913	0.929	0.443	0.678	0.555	0.155	0.501	0.342	0.231	0.75	0.847	0.911	0.189	0.277	0.93	0.647	0.762	0.602	0.082	0.834	0.962	0.221	0.51	0.441	0.203	0.652	0.163	0.484	0.761	0.154	0.055	0.499	0.434	0.201	0.184	0.451	0.059	0.391	0.363	0.631	0.841	0.176	0.645	0.091	0.746	0.687	0.62	0.188	0.074	0.985	0.562	0.707	0.639	0.675	0.979	0.192	0.739	0.546	0.764	0.706	0.236	0.854	0.835	0.507	0.921	0.015	0.773	0.27	0.763	0.219	0.568
upper95_perm_sad	1.1518	0.9584	0.3377	0.2685	0.0927	0.0366	0.0148	0.0276	0.0201	0.0153	0.0283	0.0228	0.0166	0.0198	0.0251	0.0145	0.0119	0.0254	0.0125	0.024	0.0237	0.0116	0.0131	0.0144	0.0134	0.0177	0.0202	0.0443	0.0198	0.0295	0.022	0.0226	0.0189	0.0234	0.0307	0.0405	0.0227	0.0403	0.028	0.02	0.0194	0.0214	0.0249	0.0152	0.0239	0.0186	0.0222	0.0188	0.0182	0.0167	0.0137	0.0196	0.0193	0.0173	0.0174	0.02	0.0267	0.0159	0.0222	0.0172	0.0213	0.016	0.0184	0.0202	0.0146	0.0215	0.0219	0.0169	0.014	0.0318	0.0204	0.0185	0.0196	0.0199	0.0234	0.0182	0.013	0.024	0.0223	0.0308	0.0202	0.0179	0.0218	0.0187	0.0172	0.0199	0.0172	0.0197	0.0183	0.0274	0.0189	0.0207	0.0215	0.017	0.0274	0.0115	0.0177	0.0142	0.0155	0.0209
lower0_perm_sad	-0.1741	-0.0834	-0.0382	-0.0273	-0.0062	-0.0062	-0.0035	-0.0029	-0.0026	-0.0026	-0.0025	-0.0024	-0.0024	-0.0025	-0.0021	-0.0023	-0.0022	-0.0023	-0.0019	-0.0022	-0.0022	-0.002	-0.0019	-0.0019	-0.002	-0.002	-0.0019	-0.0026	-0.0022	-0.0023	-0.0022	-0.0019	-0.002	-0.0019	-0.0019	-0.0021	-0.0025	-0.0024	-0.002	-0.0023	-0.0017	-0.0019	-0.0022	-0.0021	-0.0024	-0.0018	-0.0018	-0.0023	-0.0018	-0.002	-0.0019	-0.0022	-0.0021	-0.0019	-0.0019	-0.002	-0.0021	-0.0018	-0.0022	-0.0019	-0.0019	-0.0019	-0.0019	-0.0021	-0.0018	-0.0022	-0.002	-0.002	-0.0019	-0.002	-0.002	-0.0019	-0.0018	-0.0018	-0.0021	-0.0019	-0.0018	-0.002	-0.002	-0.002	-0.0019	-0.0019	-0.0018	-0.0017	-0.002	-0.002	-0.0018	-0.0018	-0.0019	-0.002	-0.0018	-0.0019	-0.0018	-0.0018	-0.0019	-0.0018	-0.0019	-0.0016	-0.0018	-0.0018
