	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0444	-0.0759	0.004	-0.0241	0.0623	0.0003	0.013	0.0366	0.0005	-0.0019	0.0031	-0.0025	0.0056	0.0021	-0.0015	0.005	-0.0018	-0.002	-0.0016	0.0011	0.0035	-0.0011	-0.0017	0.0018	0.0006	0.0041	-0.0018	0.0023	0.0057	0.0068	0.0045	-0.0	0.0032	-0.0015	-0.0004	-0.002	0.0095	-0.002	-0.0018	0.0039	0.0004	0.0059	-0.0014	0.0069	0.0016	-0.0008	-0.0005	0.0101	0.0047	0.0006	0.0164	-0.0016	0.0063	-0.002	0.0001	-0.001	0.0016	-0.0011	0.0063	-0.0019	-0.0019	-0.002	-0.0019	-0.002	0.002	0.0064	-0.0015	0.0064	-0.0015	0.004	-0.0012	0.0062	0.0016	0.002	-0.0006	-0.0016	0.0027	0.0135	-0.0016	0.0011	-0.0013	-0.002	0.0001	-0.0009	-0.0017	-0.0012	0.0026	0.0041	-0.0009	-0.0	0.0008	0.004	0.0152	0.0119	-0.0018	-0.002	-0.0013	0.0187	-0.0017	-0.001
direct_vc_estimate_se	3.0252	2.0545	0.8399	0.6843	0.2256	0.0993	0.0692	0.0957	0.075	0.061	0.0746	0.0706	0.0652	0.0576	0.0544	0.0558	0.0513	0.0587	0.0617	0.0567	0.0611	0.0558	0.0546	0.0575	0.0528	0.056	0.0564	0.0605	0.0593	0.0543	0.0571	0.0545	0.0552	0.054	0.0523	0.0549	0.0538	0.0547	0.0557	0.0547	0.0542	0.0556	0.0571	0.0554	0.0553	0.0534	0.0543	0.0547	0.0552	0.0547	0.054	0.052	0.0537	0.0605	0.0553	0.0541	0.0531	0.0537	0.0554	0.0546	0.0542	0.0563	0.0543	0.0536	0.0561	0.053	0.0553	0.0538	0.055	0.0562	0.0601	0.054	0.052	0.0535	0.0584	0.0568	0.0553	0.0562	0.0549	0.0562	0.0543	0.0581	0.0554	0.0582	0.0542	0.053	0.0548	0.052	0.0554	0.0543	0.0539	0.0569	0.0564	0.051	0.0521	0.0551	0.0545	0.0531	0.0528	0.0531
direct_vc_pvals	0.28	0.967	0.375	0.82	0.047	0.341	0.026	0.01	0.388	0.725	0.253	0.855	0.152	0.243	0.675	0.099	0.855	0.803	0.618	0.346	0.211	0.599	0.764	0.302	0.376	0.178	0.805	0.3	0.139	0.125	0.162	0.458	0.244	0.716	0.505	0.97	0.078	0.902	0.78	0.202	0.438	0.134	0.688	0.097	0.31	0.571	0.498	0.088	0.183	0.409	0.034	0.745	0.122	0.797	0.431	0.577	0.267	0.599	0.124	0.854	0.823	0.846	0.841	0.969	0.263	0.121	0.705	0.141	0.719	0.216	0.6	0.125	0.295	0.28	0.475	0.697	0.258	0.03	0.715	0.341	0.649	0.8	0.435	0.551	0.766	0.624	0.269	0.182	0.563	0.45	0.391	0.201	0.031	0.052	0.886	0.987	0.648	0.013	0.782	0.585
upper95_perm_direct	0.8692	0.6553	0.3094	0.2546	0.1328	0.0299	0.0183	0.0433	0.03	0.0228	0.0326	0.0333	0.0265	0.02	0.017	0.0174	0.0186	0.0259	0.022	0.0221	0.0248	0.0246	0.0211	0.0241	0.0217	0.028	0.0295	0.0276	0.0243	0.0285	0.0254	0.0261	0.0258	0.0284	0.0244	0.0259	0.0266	0.0284	0.0263	0.0256	0.0279	0.0248	0.0295	0.022	0.0305	0.0233	0.0275	0.0287	0.0248	0.0257	0.0284	0.0229	0.0236	0.0262	0.0219	0.0253	0.0215	0.0278	0.0263	0.0267	0.0222	0.0243	0.0257	0.0241	0.0232	0.0231	0.0273	0.0263	0.0301	0.0295	0.0278	0.0232	0.022	0.0222	0.0203	0.0266	0.0246	0.0225	0.023	0.0203	0.0265	0.0273	0.0242	0.0251	0.0253	0.026	0.0257	0.0236	0.0238	0.0268	0.026	0.026	0.0234	0.0259	0.0239	0.0231	0.0244	0.0216	0.0249	0.0222
lower0_perm_direct	-0.2771	-0.1825	-0.0763	-0.061	-0.0202	-0.0093	-0.0063	-0.0086	-0.007	-0.0055	-0.0069	-0.0063	-0.006	-0.0052	-0.0048	-0.005	-0.0047	-0.0054	-0.0057	-0.0051	-0.0056	-0.005	-0.0051	-0.0052	-0.0047	-0.005	-0.0051	-0.0057	-0.0054	-0.0049	-0.0051	-0.005	-0.0052	-0.0048	-0.0048	-0.0052	-0.0051	-0.005	-0.0051	-0.0051	-0.0048	-0.0051	-0.0052	-0.005	-0.005	-0.005	-0.0049	-0.0048	-0.005	-0.0049	-0.0048	-0.0046	-0.0049	-0.0054	-0.0049	-0.0048	-0.0048	-0.0051	-0.0051	-0.005	-0.0051	-0.0053	-0.0049	-0.0048	-0.005	-0.0047	-0.0052	-0.0048	-0.0051	-0.0051	-0.0054	-0.005	-0.0046	-0.0048	-0.0055	-0.0052	-0.005	-0.0051	-0.005	-0.0052	-0.0049	-0.0052	-0.0051	-0.005	-0.005	-0.0048	-0.005	-0.0047	-0.005	-0.0049	-0.0049	-0.0052	-0.0051	-0.0046	-0.0049	-0.0049	-0.0049	-0.0048	-0.0048	-0.0048
sad_vc_estimate	-0.1038	-0.0682	0.0347	0.1102	0.256	0.0054	0.0132	-0.0011	-0.0027	0.011	-0.0028	0.0482	0.0028	0.0069	0.0009	0.0099	-0.0019	-0.0013	0.0065	0.0077	-0.0019	-0.0021	0.0183	-0.002	0.0103	-0.0018	0.0095	0.0016	0.0139	0.0153	0.0007	0.0021	0.002	-0.0004	-0.002	0.0066	0.0057	-0.0013	0.0019	0.0047	0.0031	0.0136	-0.001	0.0164	0.0052	-0.0	0.001	0.0095	0.0019	-0.0019	0.0472	-0.001	-0.0004	-0.0016	0.0008	0.0008	0.0028	-0.0019	0.0119	-0.0019	-0.0012	0.0015	-0.0003	0.001	0.0111	0.0049	-0.0012	0.005	0.0001	0.0117	-0.0002	0.0089	0.0174	0.0005	-0.0019	0.0003	0.0023	0.0145	-0.0016	0.006	0.002	-0.0021	0.0025	0.0035	0.0014	-0.0019	0.0026	0.0007	0.0026	-0.0001	0.0019	0.0128	0.0074	0.0175	-0.0019	-0.0017	-0.0008	0.0086	-0.002	-0.0007
sad_vc_estimate_se	3.0847	2.0964	0.8543	0.695	0.2294	0.1011	0.0705	0.0974	0.0764	0.0623	0.0758	0.0718	0.0663	0.0587	0.0553	0.0567	0.0522	0.0597	0.0628	0.0576	0.0621	0.0567	0.0555	0.0584	0.0537	0.057	0.0574	0.0615	0.0602	0.0553	0.058	0.0554	0.0562	0.055	0.0532	0.0558	0.0548	0.0557	0.0567	0.0557	0.0551	0.0565	0.058	0.0564	0.0563	0.0544	0.0553	0.0557	0.0561	0.0556	0.0549	0.0529	0.0547	0.0614	0.0563	0.055	0.0542	0.0546	0.0564	0.0555	0.0551	0.0573	0.0552	0.0546	0.0571	0.0539	0.0562	0.0548	0.056	0.0572	0.061	0.0549	0.053	0.0544	0.0594	0.0577	0.0562	0.0572	0.0559	0.0571	0.0552	0.059	0.0563	0.0591	0.0551	0.0539	0.0558	0.0529	0.0563	0.0552	0.0548	0.0579	0.0574	0.0519	0.0531	0.056	0.0554	0.0541	0.0537	0.054
sad_vc_pvals	0.78	0.767	0.272	0.079	0.0	0.206	0.04	0.558	0.879	0.064	0.958	0.002	0.286	0.112	0.35	0.055	0.988	0.665	0.123	0.111	0.772	0.961	0.057	0.862	0.062	0.754	0.135	0.368	0.071	0.081	0.401	0.389	0.356	0.552	0.986	0.187	0.173	0.697	0.351	0.203	0.315	0.075	0.624	0.054	0.195	0.484	0.397	0.107	0.385	0.86	0.002	0.63	0.526	0.693	0.438	0.426	0.282	0.871	0.084	0.858	0.647	0.365	0.521	0.455	0.077	0.219	0.666	0.222	0.508	0.114	0.543	0.133	0.028	0.451	0.775	0.453	0.303	0.064	0.748	0.19	0.354	0.9	0.312	0.27	0.363	0.89	0.344	0.439	0.327	0.528	0.342	0.084	0.146	0.039	0.885	0.767	0.624	0.104	0.998	0.618
upper95_perm_sad	1.2733	0.8634	0.3585	0.3231	0.1791	0.0373	0.025	0.0513	0.039	0.0276	0.0402	0.0428	0.0284	0.0255	0.0228	0.0231	0.0222	0.0328	0.0243	0.0289	0.0334	0.0375	0.0426	0.0315	0.0238	0.0395	0.0384	0.0336	0.0377	0.0393	0.0328	0.0399	0.0383	0.0388	0.0319	0.0363	0.0329	0.0351	0.033	0.035	0.0415	0.0362	0.0364	0.0389	0.0361	0.0286	0.0311	0.0342	0.0381	0.0397	0.0347	0.0328	0.0302	0.0313	0.0334	0.0314	0.0308	0.0348	0.033	0.0323	0.0346	0.0297	0.0342	0.0392	0.0316	0.0334	0.0315	0.0357	0.0351	0.039	0.0341	0.0387	0.0307	0.0356	0.0272	0.0307	0.032	0.0366	0.0307	0.0359	0.0309	0.0295	0.0341	0.0343	0.0278	0.0365	0.0343	0.0306	0.0362	0.0341	0.0328	0.0364	0.0357	0.0337	0.0306	0.0279	0.0327	0.0311	0.0303	0.0339
lower0_perm_sad	-0.2879	-0.1854	-0.0777	-0.0626	-0.0209	-0.0091	-0.0064	-0.009	-0.0068	-0.0056	-0.0067	-0.0064	-0.0061	-0.0054	-0.005	-0.0051	-0.0049	-0.0055	-0.0056	-0.0051	-0.0058	-0.0052	-0.0052	-0.0051	-0.0049	-0.0053	-0.0051	-0.0054	-0.0053	-0.0051	-0.0052	-0.005	-0.0053	-0.0049	-0.0048	-0.0051	-0.0048	-0.005	-0.0051	-0.005	-0.005	-0.0051	-0.0055	-0.0051	-0.0051	-0.0048	-0.005	-0.0051	-0.0052	-0.005	-0.0049	-0.005	-0.005	-0.0056	-0.005	-0.005	-0.0048	-0.005	-0.0051	-0.005	-0.0049	-0.0052	-0.0051	-0.0049	-0.0053	-0.0049	-0.0052	-0.005	-0.0051	-0.0052	-0.0055	-0.005	-0.0047	-0.005	-0.0056	-0.0053	-0.005	-0.0052	-0.005	-0.0051	-0.005	-0.0054	-0.0049	-0.0053	-0.0049	-0.0049	-0.005	-0.0047	-0.0053	-0.005	-0.0052	-0.0053	-0.005	-0.0048	-0.0048	-0.005	-0.0051	-0.005	-0.0048	-0.0048
