	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0402	-0.0368	-0.0137	0.0417	0.0039	0.0001	-0.0022	0.0194	0.0393	0.0018	0.0063	0.0493	0.0003	0.0025	-0.0013	0.0074	-0.0013	0.0005	0.0006	0.0019	-0.0012	-0.0026	0.0489	0.0426	-0.0004	-0.0004	0.0102	-0.0002	-0.0014	0.0853	0.0089	0.0006	-0.0012	0.0053	0.0017	0.0038	0.0065	-0.0008	0.0001	-0.0011	0.0061	0.0289	-0.0012	0.0015	0.0103	-0.0008	-0.0015	0.0152	0.0181	0.0023	0.0002	-0.0013	0.0239	-0.0007	-0.0013	0.0016	0.0127	0.0019	0.0131	-0.0006	0.0117	-0.0007	-0.0009	-0.0012	0.0083	0.0146	0.0225	-0.0002	0.0069	-0.0006	0.002	0.0063	-0.0004	0.0051	0.0111	0.0021	0.001	-0.0006	0.0032	0.0038	0.0004	-0.001	-0.0002	-0.0012	-0.0016	-0.0016	0.0004	0.006	0.0011	0.0108	0.0095	-0.0013	0.0019	0.005	-0.0011	-0.0012	0.0074	0.0189	0.0019	0.0008
direct_vc_estimate_se	0.5208	0.2958	0.1167	0.1004	0.0214	0.0154	0.0112	0.0105	0.01	0.0114	0.0084	0.008	0.0077	0.0073	0.0069	0.0075	0.0061	0.0069	0.0072	0.014	0.007	0.0169	0.013	0.0064	0.0071	0.0074	0.0079	0.0089	0.0071	0.0064	0.0064	0.0069	0.0062	0.0068	0.0066	0.0064	0.0081	0.0061	0.0073	0.0065	0.0074	0.0073	0.0064	0.0063	0.0071	0.007	0.0067	0.0081	0.006	0.0069	0.0085	0.007	0.0068	0.0068	0.0062	0.0071	0.0059	0.0061	0.0059	0.0065	0.0059	0.0063	0.0059	0.0062	0.0064	0.0075	0.0064	0.0059	0.0083	0.0059	0.0069	0.0064	0.007	0.0059	0.0069	0.0069	0.0065	0.0117	0.0055	0.0058	0.0065	0.0054	0.0059	0.0059	0.0072	0.0072	0.0074	0.006	0.0072	0.006	0.0066	0.0063	0.0056	0.0061	0.0065	0.0068	0.0057	0.0086	0.0063	0.007
direct_vc_pvals	0.658	0.684	0.719	0.278	0.505	0.602	0.786	0.178	0.01	0.375	0.298	0.01	0.57	0.449	0.835	0.162	0.926	0.577	0.527	0.358	0.838	0.75	0.027	0.013	0.635	0.735	0.172	0.586	0.846	0.002	0.209	0.607	0.897	0.352	0.507	0.332	0.254	0.746	0.617	0.784	0.327	0.024	0.854	0.493	0.296	0.703	0.989	0.157	0.135	0.425	0.568	0.804	0.046	0.705	0.94	0.518	0.15	0.45	0.094	0.711	0.165	0.707	0.81	0.871	0.185	0.126	0.058	0.739	0.278	0.758	0.448	0.297	0.597	0.287	0.117	0.457	0.521	0.63	0.413	0.337	0.645	0.852	0.716	0.891	0.987	0.993	0.615	0.292	0.525	0.104	0.139	0.913	0.476	0.322	0.78	0.821	0.189	0.088	0.479	0.561
upper95_perm_direct	1.7009	0.8663	0.3736	0.2426	0.0937	0.0526	0.0238	0.0516	0.0255	0.027	0.0341	0.0345	0.0297	0.0281	0.0184	0.0212	0.0205	0.0283	0.0281	0.0245	0.0327	0.0491	0.0458	0.0342	0.0222	0.0495	0.0298	0.03	0.0279	0.0458	0.0276	0.0349	0.0347	0.0356	0.0317	0.0249	0.0302	0.0285	0.0298	0.0256	0.032	0.0276	0.03	0.0265	0.0439	0.0242	0.0317	0.0341	0.0417	0.0281	0.0318	0.0205	0.0294	0.027	0.0338	0.0307	0.0268	0.0259	0.0222	0.0265	0.0337	0.0236	0.0262	0.024	0.0275	0.0368	0.0326	0.0446	0.0339	0.0353	0.0296	0.0322	0.0227	0.028	0.0225	0.0252	0.0288	0.0366	0.0302	0.0251	0.035	0.0233	0.033	0.0247	0.0283	0.0306	0.0362	0.0248	0.0283	0.0216	0.0228	0.0252	0.0286	0.0286	0.024	0.0249	0.0218	0.0305	0.0259	0.0336
lower0_perm_direct	-0.1706	-0.0988	-0.037	-0.0322	-0.0067	-0.0049	-0.0037	-0.0034	-0.0034	-0.0038	-0.0027	-0.0026	-0.0025	-0.0023	-0.0023	-0.0025	-0.002	-0.0022	-0.0023	-0.0045	-0.0023	-0.0056	-0.0042	-0.002	-0.0023	-0.0024	-0.0026	-0.0028	-0.0022	-0.0021	-0.0021	-0.0022	-0.002	-0.0022	-0.0022	-0.0021	-0.0027	-0.0019	-0.0024	-0.0021	-0.0023	-0.0024	-0.0021	-0.0021	-0.0023	-0.0023	-0.0021	-0.0026	-0.0019	-0.0023	-0.0027	-0.0022	-0.0022	-0.0022	-0.0019	-0.0022	-0.0019	-0.002	-0.0019	-0.0021	-0.0018	-0.002	-0.0019	-0.002	-0.002	-0.0025	-0.002	-0.0018	-0.0026	-0.0019	-0.0022	-0.002	-0.0023	-0.002	-0.0022	-0.0022	-0.0021	-0.0037	-0.0018	-0.0018	-0.0021	-0.0018	-0.0019	-0.002	-0.0023	-0.0024	-0.0024	-0.002	-0.0024	-0.0019	-0.0022	-0.0021	-0.0018	-0.002	-0.0021	-0.0022	-0.0019	-0.0028	-0.002	-0.0023
sad_vc_estimate	-0.0172	-0.0571	-0.0138	0.1237	0.046	0.0015	-0.0019	0.0274	0.047	0.0109	0.0077	0.1157	0.006	-0.0002	0.001	0.0209	0.0003	-0.0001	0.0081	0.0009	-0.001	0.0112	0.1388	0.0536	0.0009	0.0009	0.0235	0.0009	-0.0015	0.1273	0.0165	0.0072	-0.0009	0.0059	-0.0004	0.0225	0.0125	-0.0013	0.0012	-0.0014	0.0114	0.057	-0.0005	0.001	0.0204	-0.0004	-0.0009	0.0311	0.0222	-0.0012	0.0102	-0.0016	0.0499	-0.0013	-0.0014	0.0027	0.0236	0.0027	0.0276	-0.0011	0.0159	0.0002	-0.0002	-0.0009	0.0235	0.0305	0.0541	0.0005	0.0081	0.0006	0.0023	0.0135	0.0089	0.0022	0.0123	0.0051	-0.0003	-0.0004	0.0055	0.0051	0.0069	-0.0007	0.0031	-0.001	-0.0004	-0.0016	-0.0015	0.0039	0.0047	0.0142	0.019	0.0001	-0.0007	0.0138	0.0005	-0.0015	0.0077	0.0385	0.0054	0.0049
sad_vc_estimate_se	0.5225	0.2967	0.1171	0.1006	0.0215	0.0155	0.0112	0.0105	0.01	0.0114	0.0085	0.008	0.0077	0.0073	0.007	0.0075	0.0061	0.0069	0.0073	0.014	0.007	0.0169	0.0131	0.0064	0.0071	0.0074	0.0079	0.0089	0.0071	0.0065	0.0064	0.007	0.0062	0.0068	0.0066	0.0064	0.0082	0.0061	0.0073	0.0066	0.0074	0.0073	0.0064	0.0063	0.0071	0.007	0.0067	0.0081	0.006	0.0069	0.0085	0.007	0.0068	0.0068	0.0062	0.0071	0.0059	0.0061	0.0059	0.0065	0.0059	0.0063	0.0059	0.0062	0.0064	0.0075	0.0064	0.0059	0.0083	0.0059	0.0069	0.0064	0.007	0.0059	0.0069	0.007	0.0066	0.0117	0.0055	0.0058	0.0065	0.0054	0.0059	0.0059	0.0072	0.0072	0.0074	0.006	0.0073	0.006	0.0066	0.0063	0.0056	0.0061	0.0065	0.0068	0.0057	0.0086	0.0063	0.007
sad_vc_pvals	0.66	0.856	0.754	0.18	0.227	0.588	0.772	0.219	0.017	0.214	0.37	0.0	0.384	0.712	0.527	0.079	0.603	0.732	0.277	0.515	0.779	0.434	0.008	0.034	0.57	0.705	0.121	0.6	0.922	0.006	0.188	0.412	0.828	0.425	0.745	0.102	0.241	0.92	0.654	0.958	0.31	0.009	0.759	0.601	0.245	0.716	0.84	0.087	0.245	0.861	0.292	0.987	0.024	0.859	0.968	0.565	0.156	0.526	0.056	0.857	0.191	0.65	0.741	0.786	0.098	0.093	0.025	0.767	0.366	0.693	0.515	0.247	0.286	0.579	0.183	0.337	0.718	0.67	0.434	0.373	0.408	0.816	0.545	0.854	0.742	0.956	0.923	0.422	0.419	0.131	0.099	0.682	0.811	0.216	0.638	0.972	0.303	0.053	0.426	0.467
upper95_perm_sad	2.0955	1.1163	0.5905	0.3488	0.1664	0.0902	0.0296	0.084	0.0407	0.0397	0.0538	0.0531	0.048	0.0429	0.0282	0.0326	0.03	0.0427	0.0447	0.0381	0.051	0.1072	0.114	0.0554	0.0368	0.0827	0.0469	0.0441	0.0435	0.0855	0.0454	0.0575	0.0549	0.052	0.0485	0.0395	0.0493	0.0504	0.0632	0.0402	0.0533	0.0433	0.0504	0.0368	0.0735	0.0411	0.0534	0.0521	0.0752	0.0473	0.0512	0.0408	0.0453	0.041	0.058	0.0542	0.0542	0.0464	0.038	0.0459	0.0479	0.0427	0.0459	0.0444	0.0424	0.0526	0.0476	0.0808	0.055	0.0574	0.0431	0.058	0.0432	0.0534	0.0425	0.0357	0.0433	0.0572	0.0412	0.0358	0.0592	0.038	0.0603	0.0393	0.0493	0.0553	0.0627	0.039	0.0526	0.0337	0.0361	0.0342	0.0452	0.0426	0.0385	0.0348	0.039	0.0487	0.0468	0.054
lower0_perm_sad	-0.1719	-0.0958	-0.0392	-0.0319	-0.0069	-0.0049	-0.0038	-0.0035	-0.0032	-0.0038	-0.0027	-0.0025	-0.0026	-0.0023	-0.0022	-0.0024	-0.0019	-0.0023	-0.0023	-0.0047	-0.0023	-0.0054	-0.0044	-0.002	-0.0022	-0.0024	-0.0025	-0.0028	-0.0023	-0.0021	-0.002	-0.0023	-0.002	-0.0023	-0.0022	-0.0021	-0.0027	-0.0021	-0.0023	-0.0021	-0.0024	-0.0023	-0.002	-0.002	-0.0023	-0.0023	-0.0021	-0.0026	-0.0019	-0.0022	-0.0027	-0.0023	-0.0022	-0.0022	-0.002	-0.0023	-0.0019	-0.0019	-0.002	-0.0021	-0.0019	-0.0021	-0.0019	-0.002	-0.0021	-0.0024	-0.002	-0.0019	-0.0026	-0.002	-0.0022	-0.002	-0.0024	-0.0019	-0.0022	-0.0022	-0.0021	-0.0038	-0.0018	-0.0019	-0.0021	-0.0017	-0.002	-0.0019	-0.0023	-0.0024	-0.0024	-0.0019	-0.0024	-0.002	-0.0021	-0.002	-0.0018	-0.002	-0.0021	-0.0023	-0.0018	-0.0028	-0.002	-0.0024
