	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.44	0.0722	-0.0077	0.0134	0.0024	0.0028	-0.001	0.0134	0.001	-0.0002	-0.0006	0.003	-0.0003	0.0051	0.0001	0.0145	-0.0004	0.0031	-0.0003	0.0006	-0.0009	-0.0004	0.0005	0.0103	0.0027	-0.0005	-0.0007	-0.0008	0.001	0.0022	0.0081	0.0155	0.0006	-0.0006	0.003	0.0008	-0.0005	0.0104	0.0082	0.0018	0.007	-0.0003	0.0064	0.014	-0.0001	0.0054	-0.0002	0.0052	0.0028	0.0075	0.0124	0.0041	0.0013	0.0041	0.0031	-0.0002	0.003	0.0013	0.001	0.0003	-0.0001	0.0005	0.0027	0.0022	-0.0002	0.0142	0.0001	0.0033	0.0005	0.0022	-0.0004	0.0017	0.0013	0.0006	0.0018	0.0044	0.0008	0.0031	0.0006	-0.0	0.0	-0.0006	-0.0001	-0.0007	-0.0	-0.0003	-0.0004	0.0022	0.0054	-0.0001	-0.0002	0.0015	-0.0007	-0.0007	0.0008	0.0005	-0.0002	0.0007	0.0005	0.007
direct_vc_estimate_se	0.204	0.088	0.0439	0.0331	0.0063	0.0044	0.0038	0.0032	0.0038	0.0024	0.0022	0.003	0.0021	0.0021	0.0018	0.0019	0.0016	0.0016	0.0018	0.0014	0.0032	0.0015	0.0016	0.0016	0.0016	0.0018	0.0025	0.003	0.0021	0.0018	0.0023	0.0025	0.0022	0.0022	0.0022	0.005	0.0025	0.0022	0.0018	0.0018	0.0017	0.0017	0.0017	0.0027	0.0023	0.0019	0.0016	0.0016	0.0023	0.0018	0.002	0.0022	0.0019	0.0031	0.0031	0.0017	0.0017	0.0017	0.0015	0.0015	0.0021	0.002	0.0018	0.0022	0.0025	0.0032	0.0017	0.0025	0.0016	0.0023	0.0019	0.0019	0.0034	0.0023	0.0016	0.0018	0.0034	0.0014	0.0023	0.0032	0.0016	0.0025	0.0013	0.0025	0.0015	0.002	0.0015	0.0018	0.0014	0.0017	0.0024	0.0015	0.005	0.0026	0.0012	0.002	0.0017	0.0016	0.0014	0.0026
direct_vc_pvals	0.115	0.289	0.78	0.378	0.477	0.377	0.909	0.108	0.524	0.651	0.967	0.328	0.694	0.101	0.501	0.002	0.901	0.268	0.791	0.396	0.991	0.977	0.391	0.009	0.261	0.967	0.979	0.933	0.471	0.348	0.085	0.039	0.515	0.961	0.352	0.59	0.834	0.076	0.031	0.258	0.132	0.789	0.078	0.018	0.661	0.228	0.73	0.15	0.266	0.077	0.068	0.149	0.33	0.21	0.351	0.735	0.237	0.398	0.417	0.567	0.727	0.546	0.316	0.308	0.708	0.072	0.532	0.329	0.381	0.309	0.858	0.332	0.411	0.56	0.272	0.183	0.513	0.109	0.471	0.673	0.668	0.845	0.738	0.977	0.731	0.83	0.921	0.277	0.084	0.665	0.718	0.266	0.771	0.946	0.469	0.499	0.83	0.432	0.383	0.059
upper95_perm_direct	0.8426	0.3696	0.2039	0.1045	0.0371	0.0197	0.0138	0.0242	0.0174	0.0115	0.014	0.0164	0.0071	0.0086	0.0053	0.0086	0.0066	0.013	0.0097	0.0053	0.012	0.0058	0.0052	0.0071	0.0107	0.0096	0.0179	0.0166	0.0127	0.0128	0.0113	0.0169	0.01	0.0181	0.0161	0.0269	0.0154	0.015	0.0077	0.0069	0.0144	0.0102	0.0093	0.0123	0.0088	0.0169	0.0088	0.012	0.0108	0.0111	0.0172	0.0098	0.0071	0.012	0.0149	0.012	0.0095	0.0095	0.0094	0.0094	0.0128	0.0114	0.0124	0.0106	0.0134	0.0187	0.0055	0.0144	0.0047	0.0111	0.0115	0.0089	0.0121	0.0169	0.0072	0.0113	0.0144	0.0052	0.0094	0.0182	0.0091	0.0123	0.0078	0.0143	0.0149	0.0195	0.0081	0.0086	0.0078	0.0062	0.0122	0.0061	0.0233	0.0156	0.0089	0.009	0.0123	0.0074	0.0047	0.0088
lower0_perm_direct	-0.0806	-0.0336	-0.0173	-0.0125	-0.0024	-0.0017	-0.0015	-0.0012	-0.0015	-0.001	-0.0009	-0.0011	-0.0008	-0.0008	-0.0007	-0.0007	-0.0006	-0.0006	-0.0007	-0.0005	-0.0012	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.001	-0.0011	-0.0008	-0.0007	-0.0009	-0.001	-0.0008	-0.0008	-0.0008	-0.0019	-0.0009	-0.0009	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.001	-0.0009	-0.0007	-0.0006	-0.0006	-0.0009	-0.0007	-0.0008	-0.0008	-0.0007	-0.0012	-0.0011	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0008	-0.0008	-0.0007	-0.0009	-0.0009	-0.0012	-0.0006	-0.0009	-0.0006	-0.0009	-0.0007	-0.0007	-0.0014	-0.0008	-0.0006	-0.0007	-0.0013	-0.0005	-0.0009	-0.0012	-0.0006	-0.001	-0.0005	-0.0009	-0.0006	-0.0008	-0.0006	-0.0007	-0.0005	-0.0006	-0.0009	-0.0006	-0.0019	-0.0009	-0.0004	-0.0008	-0.0006	-0.0006	-0.0005	-0.001
sad_vc_estimate	1.0432	0.0379	-0.0112	0.0538	0.0091	0.014	0.003	0.0257	0.0008	0.0003	0.0003	0.0045	0.0013	0.0042	0.0023	0.0183	0.0002	0.005	0.0003	0.0042	0.0028	-0.0004	0.0035	0.0105	0.0152	-0.0005	-0.0003	0.0032	0.0042	0.0151	0.0413	0.0249	0.0011	0.0019	0.0012	0.0032	-0.0	0.0218	0.021	0.0017	0.0086	0.0005	0.0182	0.0232	0.0006	0.0433	-0.0004	0.0115	0.0024	0.0192	0.0175	0.0009	0.0022	0.0011	0.0098	0.0017	0.0038	0.0009	0.0007	0.0014	0.0016	0.0	0.0119	0.0125	-0.0007	0.0165	0.0051	0.0024	0.0018	0.0065	0.0003	0.0012	0.0005	0.0036	0.0085	0.0056	0.0012	0.0039	0.003	0.0012	0.0008	-0.0003	-0.0	0.003	0.0077	0.0004	-0.0002	0.0055	0.0032	-0.0004	0.0037	0.0004	0.0021	0.0018	0.0018	0.0008	0.0002	-0.0004	0.0011	0.0067
sad_vc_estimate_se	0.206	0.0888	0.0442	0.0333	0.0063	0.0044	0.0038	0.0032	0.0039	0.0024	0.0022	0.003	0.0021	0.0021	0.0018	0.0019	0.0016	0.0017	0.0018	0.0014	0.0032	0.0015	0.0016	0.0016	0.0016	0.0018	0.0025	0.003	0.0021	0.0018	0.0023	0.0025	0.0022	0.0022	0.0022	0.005	0.0025	0.0022	0.0018	0.0018	0.0018	0.0017	0.0017	0.0027	0.0024	0.0019	0.0016	0.0017	0.0023	0.0018	0.0021	0.0022	0.0019	0.0031	0.0031	0.0017	0.0017	0.0017	0.0015	0.0015	0.0021	0.002	0.0019	0.0022	0.0026	0.0033	0.0017	0.0025	0.0016	0.0023	0.0019	0.0019	0.0035	0.0023	0.0016	0.0018	0.0034	0.0014	0.0024	0.0032	0.0016	0.0025	0.0013	0.0025	0.0016	0.002	0.0015	0.0018	0.0014	0.0017	0.0024	0.0015	0.005	0.0026	0.0012	0.0021	0.0017	0.0017	0.0014	0.0026
sad_vc_pvals	0.077	0.535	0.918	0.293	0.408	0.219	0.424	0.132	0.646	0.678	0.747	0.412	0.465	0.236	0.294	0.017	0.63	0.417	0.713	0.179	0.46	0.989	0.224	0.068	0.064	0.949	0.837	0.524	0.436	0.103	0.007	0.116	0.57	0.555	0.576	0.563	0.73	0.119	0.017	0.47	0.251	0.689	0.042	0.04	0.62	0.011	0.898	0.202	0.484	0.082	0.178	0.564	0.395	0.543	0.222	0.54	0.387	0.589	0.581	0.571	0.58	0.758	0.162	0.117	0.973	0.174	0.215	0.491	0.272	0.267	0.752	0.553	0.661	0.508	0.134	0.321	0.581	0.227	0.397	0.649	0.642	0.786	0.737	0.495	0.306	0.745	0.78	0.284	0.324	0.918	0.401	0.617	0.571	0.581	0.478	0.606	0.775	0.894	0.44	0.192
upper95_perm_sad	1.5753	0.6394	0.4183	0.2104	0.0678	0.042	0.0244	0.0516	0.0404	0.0275	0.035	0.0326	0.0163	0.0142	0.011	0.0145	0.0117	0.0309	0.0232	0.0105	0.0298	0.014	0.0117	0.015	0.0205	0.0185	0.0325	0.0438	0.0292	0.0249	0.025	0.0449	0.0198	0.0351	0.0259	0.0547	0.0264	0.0382	0.0171	0.0149	0.0281	0.0257	0.0213	0.0244	0.0176	0.0288	0.017	0.0297	0.0246	0.0289	0.0364	0.0181	0.0162	0.0202	0.0267	0.0234	0.0218	0.0192	0.0175	0.0219	0.0291	0.0251	0.0282	0.0214	0.0302	0.0418	0.0157	0.0268	0.0084	0.0253	0.0296	0.0195	0.0261	0.0314	0.0168	0.026	0.0333	0.0111	0.0208	0.0397	0.0218	0.0251	0.0133	0.0309	0.0363	0.0377	0.0166	0.0222	0.0164	0.0091	0.0242	0.0122	0.0433	0.0307	0.0177	0.0189	0.0264	0.0157	0.0106	0.0181
lower0_perm_sad	-0.0778	-0.0333	-0.0165	-0.0126	-0.0024	-0.0017	-0.0015	-0.0012	-0.0014	-0.0009	-0.0009	-0.0011	-0.0008	-0.0008	-0.0007	-0.0007	-0.0006	-0.0006	-0.0007	-0.0005	-0.0012	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.001	-0.0011	-0.0008	-0.0007	-0.0009	-0.0009	-0.0008	-0.0008	-0.0008	-0.0019	-0.0009	-0.0009	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.001	-0.0009	-0.0007	-0.0006	-0.0006	-0.0009	-0.0007	-0.0008	-0.0009	-0.0007	-0.0012	-0.0011	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0008	-0.0008	-0.0007	-0.0008	-0.0009	-0.0013	-0.0007	-0.0009	-0.0006	-0.0009	-0.0007	-0.0007	-0.0013	-0.0009	-0.0006	-0.0007	-0.0013	-0.0005	-0.0009	-0.0013	-0.0006	-0.001	-0.0005	-0.0009	-0.0006	-0.0008	-0.0005	-0.0007	-0.0006	-0.0007	-0.0009	-0.0006	-0.002	-0.001	-0.0005	-0.0008	-0.0006	-0.0006	-0.0005	-0.001
