	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-1.0381	-0.451	-0.2649	-0.1427	0.0175	-0.0132	-0.0029	-0.0139	0.0138	-0.019	0.0585	-0.0129	0.0119	-0.0072	0.0411	-0.0049	-0.0175	0.0155	-0.0116	-0.0148	-0.016	-0.0064	0.0876	-0.0138	-0.013	0.0057	-0.0147	-0.0053	-0.0126	-0.0072	-0.0141	0.0503	-0.0129	0.0509	0.0007	0.0568	0.0127	-0.0134	-0.0139	0.0009	-0.0103	-0.0129	0.012	-0.0158	-0.0095	-0.008	-0.0088	0.0984	0.0486	0.0216	0.0024	-0.0125	-0.0113	0.0445	-0.0141	-0.0125	0.0278	-0.0018	0.0604	0.0056	-0.0134	-0.013	-0.0084	-0.0118	-0.0139	-0.0136	-0.004	0.0153	-0.0008	-0.0094	-0.0002	-0.0113	-0.0106	0.0263	0.0201	-0.0135	-0.0011	-0.0056	-0.0124	0.0937	0.0002	0.0487	0.2176	-0.0124	-0.0059	0.0021	-0.0141	-0.0105	0.0095	0.0413	-0.0042	0.0335	0.0038	-0.006	0.0299	-0.0115	0.0662	-0.0079	0.0296	-0.0107
direct_vc_estimate_se	0.3211	0.1568	0.0761	0.0494	0.0142	0.0142	0.0062	0.0057	0.0062	0.0051	0.0051	0.0051	0.0048	0.0041	0.005	0.0042	0.0058	0.0041	0.0041	0.0048	0.005	0.0039	0.0036	0.0043	0.0058	0.0044	0.004	0.0037	0.004	0.004	0.0038	0.005	0.0039	0.0038	0.0038	0.0039	0.0037	0.0039	0.0037	0.0039	0.0043	0.004	0.0038	0.0044	0.0038	0.0036	0.0035	0.0037	0.005	0.0035	0.0036	0.0037	0.0035	0.0045	0.0046	0.0036	0.0048	0.0039	0.0036	0.0036	0.0039	0.0035	0.0035	0.0034	0.0037	0.0037	0.0038	0.0045	0.0035	0.0035	0.0042	0.0042	0.0041	0.0034	0.0035	0.0036	0.0033	0.0036	0.0038	0.0036	0.0035	0.0036	0.0036	0.0035	0.0036	0.0036	0.0038	0.0034	0.0036	0.0036	0.0038	0.0042	0.0034	0.0035	0.0034	0.0034	0.0045	0.0041	0.0035	0.0033
direct_vc_pvals	0.71	0.674	0.813	0.688	0.284	0.373	0.334	0.616	0.198	0.926	0.045	0.61	0.201	0.488	0.06	0.403	0.639	0.188	0.646	0.701	0.702	0.478	0.01	0.742	0.525	0.285	0.906	0.482	0.719	0.486	0.982	0.053	0.76	0.058	0.316	0.081	0.19	0.757	0.982	0.356	0.559	0.732	0.229	0.877	0.619	0.571	0.599	0.009	0.048	0.146	0.298	0.767	0.74	0.074	0.661	0.833	0.085	0.415	0.032	0.31	0.794	0.914	0.587	0.811	0.973	0.933	0.428	0.178	0.416	0.622	0.339	0.637	0.617	0.105	0.134	0.982	0.408	0.506	0.752	0.011	0.34	0.068	0.0	0.838	0.531	0.339	0.927	0.688	0.231	0.079	0.463	0.064	0.312	0.504	0.106	0.775	0.017	0.459	0.112	0.767
upper95_perm_direct	3.6289	2.5134	1.1421	0.6736	0.2113	0.121	0.0787	0.0946	0.0816	0.0738	0.0688	0.0781	0.07	0.0638	0.0611	0.0591	0.0614	0.0658	0.0678	0.0702	0.0639	0.0543	0.0563	0.0644	0.0574	0.0561	0.0577	0.0628	0.0641	0.0659	0.0836	0.0609	0.0535	0.0655	0.0493	0.0806	0.055	0.0536	0.07	0.0651	0.0624	0.066	0.0621	0.0516	0.0847	0.0568	0.0585	0.0571	0.0576	0.0628	0.0527	0.0502	0.0675	0.0722	0.0576	0.0514	0.0505	0.0633	0.0564	0.0728	0.0656	0.0541	0.0518	0.0554	0.0623	0.059	0.0576	0.0603	0.0608	0.0501	0.0473	0.0599	0.0573	0.0525	0.0487	0.0564	0.0549	0.0635	0.0583	0.0646	0.0513	0.0656	0.0624	0.0547	0.0667	0.0588	0.0576	0.0587	0.0597	0.0659	0.0624	0.0452	0.0505	0.0512	0.0616	0.0593	0.0489	0.0488	0.0604	0.0578
lower0_perm_direct	-1.588	-0.7663	-0.3766	-0.2503	-0.0702	-0.0714	-0.0314	-0.0289	-0.031	-0.0259	-0.0251	-0.0254	-0.0237	-0.0201	-0.0252	-0.0207	-0.0287	-0.0203	-0.0203	-0.0243	-0.0247	-0.0196	-0.0184	-0.0217	-0.0284	-0.0221	-0.0197	-0.0185	-0.0203	-0.02	-0.0189	-0.0252	-0.0195	-0.0189	-0.0192	-0.02	-0.0185	-0.0191	-0.0182	-0.0194	-0.0217	-0.0198	-0.0193	-0.0215	-0.0185	-0.0177	-0.0176	-0.0187	-0.0246	-0.0178	-0.0175	-0.0187	-0.0175	-0.0229	-0.0234	-0.0178	-0.0239	-0.0196	-0.0179	-0.0183	-0.0199	-0.0177	-0.0175	-0.0171	-0.0189	-0.0181	-0.0187	-0.0226	-0.0174	-0.0174	-0.0209	-0.0207	-0.0204	-0.0173	-0.0173	-0.0183	-0.016	-0.0177	-0.0186	-0.0177	-0.0178	-0.0181	-0.018	-0.0171	-0.0179	-0.0178	-0.0194	-0.0174	-0.0176	-0.0181	-0.0189	-0.0206	-0.0167	-0.0174	-0.0171	-0.0173	-0.0223	-0.0205	-0.0171	-0.0162
sad_vc_estimate	-1.1326	-0.5227	-0.2464	0.0554	0.0815	0.0228	-0.0102	-0.0125	0.038	-0.0191	0.0956	-0.0058	0.0485	-0.0091	0.0588	0.0036	-0.0158	0.0098	-0.0132	-0.017	-0.0157	0.0007	0.0872	-0.016	-0.0208	-0.0075	-0.015	-0.0048	-0.0146	-0.0025	-0.0134	0.077	-0.0139	0.0462	-0.0072	0.0656	0.0144	-0.0086	-0.014	-0.0026	-0.0155	-0.0101	0.011	-0.0157	-0.0055	-0.0039	-0.0107	0.0944	0.0631	0.0108	0.0083	-0.0118	-0.0106	0.0643	-0.0068	-0.0134	0.0193	-0.0034	0.053	-0.0055	-0.0123	-0.0101	-0.0095	-0.008	-0.0096	-0.0136	0.0001	0.0194	-0.0001	-0.0094	-0.0093	-0.0115	-0.0113	0.0134	0.023	-0.013	0.0024	-0.0007	-0.0081	0.0968	-0.0036	0.0603	0.2171	-0.0114	-0.0033	0.0014	-0.0137	-0.0104	0.0064	0.0191	0.0049	0.0469	-0.0028	-0.0075	0.0215	-0.0124	0.0732	-0.0106	0.0233	-0.0105
sad_vc_estimate_se	0.3216	0.1571	0.0762	0.0495	0.0142	0.0142	0.0062	0.0057	0.0062	0.0052	0.0051	0.0051	0.0048	0.0041	0.005	0.0042	0.0058	0.0041	0.0041	0.0048	0.005	0.0039	0.0036	0.0043	0.0058	0.0044	0.004	0.0038	0.004	0.004	0.0038	0.005	0.0039	0.0038	0.0038	0.004	0.0037	0.0039	0.0037	0.0039	0.0043	0.004	0.0038	0.0044	0.0038	0.0036	0.0035	0.0037	0.005	0.0035	0.0036	0.0037	0.0035	0.0045	0.0046	0.0036	0.0048	0.0039	0.0036	0.0037	0.0039	0.0035	0.0035	0.0034	0.0037	0.0037	0.0038	0.0045	0.0035	0.0035	0.0042	0.0042	0.0041	0.0034	0.0035	0.0036	0.0033	0.0036	0.0038	0.0036	0.0035	0.0036	0.0036	0.0035	0.0036	0.0036	0.0038	0.0034	0.0036	0.0036	0.0038	0.0042	0.0034	0.0035	0.0035	0.0034	0.0045	0.0041	0.0035	0.0033
sad_vc_pvals	0.809	0.763	0.744	0.315	0.161	0.182	0.488	0.573	0.1	0.938	0.027	0.438	0.07	0.545	0.036	0.275	0.62	0.255	0.729	0.848	0.704	0.341	0.018	0.93	0.824	0.525	0.934	0.477	0.903	0.43	0.868	0.025	0.865	0.063	0.455	0.073	0.208	0.591	0.973	0.419	0.869	0.592	0.228	0.867	0.564	0.5	0.703	0.012	0.032	0.238	0.272	0.726	0.724	0.056	0.452	0.949	0.137	0.428	0.053	0.527	0.721	0.685	0.662	0.58	0.641	0.94	0.35	0.131	0.395	0.613	0.546	0.63	0.643	0.227	0.141	0.859	0.36	0.422	0.565	0.012	0.463	0.062	0.001	0.746	0.483	0.388	0.869	0.691	0.292	0.179	0.325	0.048	0.437	0.566	0.144	0.895	0.021	0.564	0.157	0.78
upper95_perm_sad	3.9429	2.2166	1.0708	0.9394	0.2466	0.1188	0.0895	0.1179	0.0741	0.0621	0.0804	0.0841	0.0724	0.0749	0.0615	0.0619	0.068	0.0633	0.0663	0.0676	0.0721	0.056	0.0672	0.0863	0.0652	0.0774	0.0742	0.0756	0.0693	0.0694	0.0904	0.0644	0.0739	0.0635	0.0455	0.0933	0.0642	0.0599	0.0771	0.068	0.0752	0.0633	0.0626	0.0559	0.0889	0.0679	0.0595	0.0519	0.0624	0.0628	0.0673	0.0559	0.0685	0.0767	0.0544	0.0641	0.0472	0.0607	0.0651	0.069	0.0712	0.0672	0.066	0.0522	0.0764	0.0687	0.0588	0.0547	0.0659	0.0463	0.0562	0.0701	0.0535	0.0621	0.0635	0.0577	0.0581	0.0733	0.0736	0.0579	0.0494	0.0789	0.0622	0.0576	0.0711	0.0652	0.0631	0.0626	0.0583	0.0597	0.0791	0.051	0.053	0.0744	0.0618	0.0619	0.0651	0.0557	0.0708	0.0683
lower0_perm_sad	-1.6351	-0.7905	-0.3766	-0.2433	-0.0702	-0.0702	-0.0307	-0.028	-0.0307	-0.026	-0.0251	-0.0248	-0.0235	-0.0203	-0.025	-0.0211	-0.0288	-0.02	-0.0208	-0.0237	-0.0251	-0.0193	-0.0182	-0.0217	-0.0294	-0.0221	-0.02	-0.0182	-0.0201	-0.0202	-0.0191	-0.025	-0.0192	-0.0192	-0.0192	-0.0196	-0.0182	-0.0195	-0.0183	-0.0191	-0.0216	-0.0203	-0.0191	-0.0217	-0.019	-0.0182	-0.0173	-0.0186	-0.0246	-0.0178	-0.018	-0.0188	-0.0176	-0.0228	-0.0236	-0.0178	-0.0238	-0.0195	-0.0182	-0.0181	-0.0195	-0.0178	-0.0174	-0.017	-0.0189	-0.0187	-0.0188	-0.0221	-0.0174	-0.0178	-0.0209	-0.0207	-0.0203	-0.0168	-0.017	-0.0181	-0.0166	-0.0182	-0.0189	-0.018	-0.0178	-0.0183	-0.0182	-0.0177	-0.0181	-0.0178	-0.0189	-0.0174	-0.0176	-0.0177	-0.0191	-0.0213	-0.0166	-0.0176	-0.0175	-0.0171	-0.0227	-0.021	-0.0175	-0.0167
