	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-1.2882	5.2844	4.0216	5.697	0.0308	0.1087	0.0276	0.1161	0.0435	-0.0406	0.0103	-0.0165	-0.026	-0.026	0.034	0.0192	-0.0144	0.0724	-0.001	-0.0316	0.0092	-0.0208	-0.0219	0.0361	0.011	-0.0107	-0.0188	0.1194	0.0609	0.527	0.0102	0.0104	-0.0207	-0.0207	-0.0203	-0.0169	-0.0197	0.0209	-0.0263	0.3659	0.0947	0.0123	-0.0109	-0.0154	0.099	0.0559	-0.0146	0.0084	0.0468	-0.0142	-0.024	-0.0112	0.0785	-0.0272	0.0709	-0.0179	0.0402	-0.0239	0.0003	-0.0046	0.283	0.0449	-0.0089	0.0659	0.0197	0.0509	0.0617	-0.0138	0.1085	0.229	-0.0227	-0.017	0.0237	0.0098	0.1194	0.0794	0.261	0.0276	0.0254	-0.0224	0.0478	-0.0384	0.7668	-0.0071	-0.0161	0.0873	0.0041	0.0387	0.0059	0.0419	0.0458	0.162	0.0981	0.0014	-0.0169	0.0287	0.0041	-0.0076	0.1697	0.1204
direct_vc_estimate_se	0.0616	0.0303	0.0115	0.0155	0.0031	0.0014	0.0008	0.0008	0.0005	0.0008	0.0006	0.0006	0.0006	0.0005	0.0005	0.0009	0.0004	0.0007	0.0006	0.0007	0.0004	0.0005	0.0005	0.001	0.0007	0.0004	0.0004	0.0006	0.0007	0.0009	0.0006	0.0005	0.0004	0.001	0.0004	0.0009	0.0004	0.0005	0.0006	0.0008	0.0007	0.0005	0.0006	0.0008	0.0006	0.0009	0.0005	0.0008	0.0005	0.0003	0.0005	0.0003	0.0004	0.0006	0.0008	0.0009	0.0006	0.0005	0.0005	0.0007	0.0007	0.0007	0.0004	0.0003	0.0008	0.0008	0.0005	0.0003	0.0007	0.0006	0.0006	0.0008	0.0007	0.0005	0.0006	0.0004	0.0005	0.0005	0.0005	0.0005	0.0007	0.0008	0.0008	0.0007	0.0004	0.0006	0.0004	0.0006	0.0006	0.0004	0.0005	0.0005	0.0005	0.0004	0.0004	0.0006	0.0006	0.0006	0.0006	0.0009
direct_vc_pvals	0.441	0.188	0.0	0.023	0.524	0.337	0.233	0.279	0.212	0.989	0.38	0.552	0.89	0.941	0.208	0.409	0.713	0.286	0.584	0.909	0.33	0.736	0.858	0.645	0.607	0.509	0.871	0.15	0.171	0.009	0.355	0.387	0.985	0.696	0.882	0.782	0.831	0.353	0.925	0.029	0.288	0.51	0.54	0.569	0.238	0.434	0.733	0.479	0.196	0.924	0.873	0.647	0.25	0.87	0.226	0.655	0.141	0.907	0.527	0.44	0.072	0.569	0.662	0.24	0.43	0.331	0.262	0.753	0.168	0.03	0.812	0.665	0.457	0.434	0.169	0.07	0.019	0.249	0.386	0.843	0.39	0.917	0.001	0.555	0.83	0.2	0.398	0.241	0.371	0.32	0.135	0.036	0.168	0.504	0.775	0.482	0.483	0.55	0.165	0.267
upper95_perm_direct	7.6588	12.4466	1.113	4.8018	0.7608	0.6105	0.1422	0.3902	0.1547	0.158	0.1257	0.0997	0.1614	0.111	0.1361	0.2256	0.0458	0.2822	0.2791	0.5313	0.0959	0.1121	0.101	0.4737	0.521	0.0623	0.1101	0.2123	0.1447	0.3901	0.1458	0.1499	0.0819	0.5386	0.1772	0.1474	0.1424	0.1609	0.203	0.3369	0.3225	0.291	0.195	0.2475	0.3041	0.3942	0.3652	0.3015	0.1269	0.0789	0.1966	0.0581	0.1727	0.1242	0.2737	0.4074	0.0952	0.164	0.1945	0.2034	0.362	0.4578	0.1388	0.1381	0.3394	0.2938	0.1759	0.1217	0.2593	0.224	0.2751	0.4007	0.227	0.1888	0.2357	0.1006	0.1999	0.123	0.2341	0.1962	0.3261	0.4514	0.4329	0.2353	0.1783	0.2194	0.1102	0.1261	0.1349	0.1252	0.0971	0.154	0.193	0.1508	0.1032	0.3317	0.206	0.1551	0.3445	0.3361
lower0_perm_direct	-3.7549	-1.883	-0.6902	-0.9277	-0.1901	-0.0877	-0.0517	-0.0488	-0.0325	-0.0501	-0.0339	-0.0366	-0.0338	-0.0322	-0.0285	-0.0512	-0.0216	-0.0419	-0.0381	-0.0403	-0.0231	-0.0334	-0.0328	-0.0579	-0.046	-0.0265	-0.0249	-0.0369	-0.0429	-0.0543	-0.0333	-0.0303	-0.0259	-0.0605	-0.0276	-0.0502	-0.0271	-0.028	-0.0342	-0.0465	-0.0451	-0.0327	-0.0379	-0.0499	-0.039	-0.055	-0.0303	-0.0489	-0.0323	-0.018	-0.032	-0.019	-0.0244	-0.0353	-0.0469	-0.0567	-0.0335	-0.0317	-0.0275	-0.0452	-0.0432	-0.041	-0.0248	-0.0192	-0.0499	-0.0474	-0.0323	-0.0216	-0.0429	-0.039	-0.0357	-0.0496	-0.0432	-0.0326	-0.0386	-0.0241	-0.0318	-0.0301	-0.0319	-0.0309	-0.0447	-0.0495	-0.052	-0.0423	-0.024	-0.0363	-0.0263	-0.0348	-0.0374	-0.0212	-0.0291	-0.0281	-0.0319	-0.0263	-0.0236	-0.0345	-0.0354	-0.035	-0.0345	-0.0544
sad_vc_estimate	-1.011	3.8222	4.1291	4.3956	0.1077	0.1223	0.0345	0.123	0.0364	-0.0406	0.0178	-0.0136	-0.0261	-0.0252	0.0423	0.0045	-0.0156	0.0942	0.0137	-0.0189	0.0149	-0.0189	-0.0184	0.0592	0.0382	-0.0114	-0.0186	0.1171	0.097	0.5545	0.0196	0.0113	-0.0207	-0.0156	-0.0211	0.0097	-0.016	0.0255	-0.0273	0.3991	0.0712	0.0313	0.0025	-0.0175	0.1188	0.1103	-0.0211	0.0325	0.0237	-0.0145	-0.0246	-0.0116	0.0997	-0.0277	0.0987	0.0124	0.0464	-0.0247	-0.0081	0.0257	0.2834	0.0693	-0.008	0.0734	0.0339	0.0337	0.0691	-0.0152	0.0901	0.229	-0.0202	-0.0095	0.0428	0.0162	0.1226	0.0805	0.2852	0.0194	0.0384	-0.0233	0.062	-0.0362	0.8114	-0.0076	-0.016	0.129	0.006	0.0615	-0.0016	0.0202	0.0228	0.1509	0.1067	-0.0121	-0.0182	0.0245	0.0026	-0.0016	0.1625	0.1564
sad_vc_estimate_se	0.0616	0.0303	0.0115	0.0155	0.0031	0.0014	0.0008	0.0008	0.0005	0.0008	0.0006	0.0006	0.0006	0.0005	0.0005	0.0009	0.0004	0.0007	0.0006	0.0007	0.0004	0.0005	0.0005	0.001	0.0007	0.0004	0.0004	0.0006	0.0007	0.0009	0.0006	0.0005	0.0004	0.001	0.0004	0.0009	0.0004	0.0005	0.0006	0.0008	0.0007	0.0005	0.0006	0.0008	0.0006	0.0009	0.0005	0.0008	0.0005	0.0003	0.0005	0.0003	0.0004	0.0006	0.0008	0.0009	0.0006	0.0005	0.0005	0.0007	0.0007	0.0007	0.0004	0.0003	0.0008	0.0008	0.0005	0.0003	0.0007	0.0006	0.0006	0.0008	0.0007	0.0005	0.0006	0.0004	0.0005	0.0005	0.0005	0.0005	0.0007	0.0008	0.0008	0.0007	0.0004	0.0006	0.0004	0.0006	0.0006	0.0004	0.0005	0.0005	0.0005	0.0004	0.0004	0.0006	0.0006	0.0006	0.0006	0.0009
sad_vc_pvals	0.399	0.241	0.001	0.038	0.553	0.318	0.196	0.259	0.255	0.973	0.356	0.529	0.909	0.887	0.208	0.429	0.78	0.271	0.45	0.762	0.311	0.698	0.856	0.648	0.486	0.527	0.873	0.132	0.128	0.003	0.31	0.429	0.985	0.697	0.945	0.754	0.728	0.358	0.98	0.039	0.315	0.431	0.506	0.623	0.226	0.424	0.862	0.376	0.267	0.982	0.917	0.69	0.243	0.903	0.241	0.57	0.129	0.946	0.633	0.313	0.083	0.527	0.629	0.236	0.433	0.362	0.273	0.863	0.229	0.032	0.812	0.614	0.465	0.415	0.203	0.037	0.025	0.311	0.344	0.892	0.378	0.859	0.003	0.596	0.836	0.185	0.368	0.205	0.445	0.391	0.223	0.053	0.112	0.68	0.881	0.453	0.509	0.582	0.168	0.307
upper95_perm_sad	6.5091	13.6727	1.4267	4.0839	1.0658	0.5466	0.1459	0.3792	0.1509	0.1814	0.1362	0.1024	0.1595	0.1141	0.133	0.198	0.0457	0.3195	0.3143	0.6116	0.0927	0.1318	0.1193	0.4877	0.5669	0.0644	0.0849	0.2048	0.1777	0.4198	0.1373	0.1644	0.0734	0.679	0.182	0.1819	0.1438	0.1599	0.2547	0.4299	0.3602	0.3356	0.2275	0.2654	0.3366	0.5104	0.3269	0.3134	0.1422	0.08	0.1678	0.0585	0.1913	0.1482	0.3225	0.458	0.0972	0.1681	0.1732	0.2146	0.3931	0.4723	0.159	0.1451	0.3642	0.3022	0.2035	0.1226	0.2731	0.2187	0.31	0.3562	0.285	0.1949	0.2912	0.0816	0.2351	0.1141	0.2198	0.1912	0.3428	0.4511	0.4874	0.3036	0.1979	0.2561	0.0945	0.1471	0.1188	0.1154	0.1024	0.1687	0.1667	0.1604	0.0995	0.2973	0.2146	0.1925	0.3425	0.4219
lower0_perm_sad	-3.8847	-1.8174	-0.6953	-0.934	-0.1927	-0.0827	-0.0497	-0.0494	-0.0318	-0.0517	-0.0352	-0.0353	-0.0332	-0.0326	-0.0292	-0.0539	-0.0224	-0.0427	-0.0368	-0.043	-0.0236	-0.0312	-0.0346	-0.0588	-0.0473	-0.0271	-0.0261	-0.0371	-0.042	-0.0533	-0.0339	-0.0302	-0.0266	-0.0619	-0.0263	-0.0489	-0.028	-0.0282	-0.0329	-0.0469	-0.0473	-0.0313	-0.0395	-0.0496	-0.0385	-0.0545	-0.0295	-0.0464	-0.0329	-0.0189	-0.0313	-0.0191	-0.0258	-0.0358	-0.047	-0.0552	-0.0335	-0.0313	-0.0284	-0.0459	-0.0435	-0.0402	-0.0235	-0.0182	-0.0483	-0.0483	-0.0328	-0.0205	-0.0416	-0.0407	-0.0368	-0.0521	-0.041	-0.0324	-0.0381	-0.0253	-0.0323	-0.0301	-0.0317	-0.0312	-0.0444	-0.0506	-0.051	-0.0413	-0.0238	-0.0368	-0.0274	-0.0352	-0.0375	-0.022	-0.029	-0.0285	-0.0322	-0.0261	-0.0244	-0.0345	-0.0362	-0.0338	-0.0337	-0.0509
