	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.2244	-0.0851	0.0145	-0.0502	-0.0003	0.001	0.0044	0.0052	0.0128	-0.0021	-0.0023	-0.0041	-0.004	0.0001	0.001	-0.0032	-0.0036	0.0083	-0.0014	-0.0037	-0.0044	0.0383	-0.0042	-0.0019	0.0099	0.0003	-0.0043	-0.0027	0.0054	-0.0033	0.0041	-0.0042	0.0159	0.0113	0.0064	-0.0031	-0.0039	-0.0023	-0.0033	0.0691	-0.0024	0.0054	0.0104	-0.0039	-0.0013	0.0004	0.0519	-0.0033	-0.004	-0.0005	-0.0038	0.0037	-0.0029	0.0217	0.0052	-0.0011	-0.0002	0.0281	0.0085	0.0122	0.0125	-0.0037	0.0349	0.0646	-0.0001	0.0021	0.0289	-0.0005	0.0106	-0.0018	-0.0036	0.0006	0.0002	0.0013	0.0413	-0.0035	0.0026	0.0245	-0.0039	-0.0039	-0.0036	-0.0029	0.0048	-0.004	-0.0016	0.0084	0.035	-0.0013	-0.0037	-0.0036	-0.0032	0.0037	-0.0034	0.002	0.003	0.0604	-0.003	0.0275	0.0028	-0.003
direct_vc_estimate_se	4.2774	2.9543	1.043	0.9017	0.2845	0.1367	0.1119	0.1283	0.1003	0.0829	0.0925	0.0956	0.0808	0.0779	0.0788	0.0679	0.0658	0.0695	0.0728	0.0705	0.0782	0.0738	0.0744	0.0662	0.0698	0.0719	0.0758	0.0739	0.0701	0.0704	0.0708	0.0762	0.0729	0.0769	0.0723	0.0692	0.0695	0.0695	0.072	0.0725	0.074	0.0745	0.0715	0.0683	0.0716	0.0694	0.0728	0.0687	0.0712	0.0717	0.0717	0.072	0.07	0.0753	0.0712	0.0724	0.0681	0.0715	0.0701	0.0689	0.0691	0.0722	0.0682	0.0696	0.0685	0.075	0.0689	0.0671	0.0711	0.0675	0.0664	0.067	0.0689	0.0714	0.0693	0.0667	0.0691	0.0688	0.0721	0.0748	0.0709	0.0709	0.0676	0.0695	0.0692	0.0697	0.0686	0.0662	0.0693	0.0666	0.0686	0.0663	0.0664	0.0738	0.0714	0.0676	0.0694	0.0685	0.0713	0.0709
direct_vc_pvals	0.78	0.505	0.347	0.888	0.478	0.286	0.201	0.317	0.126	0.514	0.525	0.685	0.785	0.371	0.325	0.711	0.875	0.138	0.488	0.847	0.951	0.009	0.975	0.573	0.132	0.458	0.983	0.633	0.259	0.773	0.274	0.899	0.094	0.158	0.215	0.716	0.942	0.618	0.752	0.001	0.634	0.264	0.125	0.958	0.518	0.438	0.004	0.737	0.979	0.453	0.864	0.289	0.688	0.067	0.279	0.513	0.423	0.045	0.171	0.119	0.126	0.781	0.016	0.0	0.466	0.35	0.019	0.468	0.155	0.572	0.9	0.401	0.426	0.382	0.008	0.81	0.305	0.045	0.881	0.822	0.803	0.665	0.24	0.989	0.532	0.165	0.012	0.548	0.861	0.894	0.77	0.301	0.792	0.37	0.313	0.001	0.672	0.024	0.312	0.718
upper95_perm_direct	0.6786	0.6065	0.2484	0.2591	0.115	0.0231	0.0181	0.0435	0.0224	0.0198	0.0285	0.031	0.0237	0.0186	0.0197	0.0155	0.0142	0.0163	0.0199	0.0191	0.0237	0.0199	0.0254	0.0197	0.0222	0.0248	0.023	0.0196	0.0221	0.0251	0.0229	0.0277	0.0247	0.0289	0.0229	0.0209	0.0224	0.0197	0.0245	0.0267	0.0283	0.023	0.0205	0.0212	0.0251	0.0265	0.0256	0.023	0.0286	0.0262	0.0232	0.0237	0.0228	0.0258	0.0255	0.0235	0.019	0.0271	0.0249	0.0236	0.0216	0.0231	0.0239	0.0243	0.0224	0.0275	0.0184	0.02	0.0233	0.0218	0.0217	0.0241	0.0257	0.0237	0.0217	0.0218	0.0238	0.0239	0.023	0.0243	0.025	0.0194	0.018	0.0249	0.0194	0.0211	0.0214	0.021	0.024	0.025	0.0232	0.0226	0.024	0.0305	0.0248	0.0211	0.0211	0.021	0.0224	0.023
lower0_perm_direct	-0.2876	-0.1988	-0.0692	-0.059	-0.019	-0.0092	-0.0074	-0.0086	-0.0067	-0.0056	-0.0061	-0.0065	-0.0053	-0.0052	-0.0053	-0.0046	-0.0044	-0.0047	-0.0049	-0.0046	-0.0051	-0.0049	-0.005	-0.0044	-0.0047	-0.0049	-0.0051	-0.0049	-0.0048	-0.0046	-0.0047	-0.005	-0.0048	-0.0052	-0.0049	-0.0046	-0.0047	-0.0046	-0.0048	-0.005	-0.0049	-0.0049	-0.0048	-0.0046	-0.0047	-0.0046	-0.0049	-0.0047	-0.0048	-0.0048	-0.0048	-0.0048	-0.0046	-0.0051	-0.0049	-0.0048	-0.0046	-0.0048	-0.0047	-0.0046	-0.0046	-0.0048	-0.0045	-0.0047	-0.0046	-0.005	-0.0045	-0.0045	-0.0047	-0.0044	-0.0045	-0.0044	-0.0047	-0.0048	-0.0047	-0.0044	-0.0047	-0.0046	-0.0049	-0.0049	-0.0047	-0.0047	-0.0045	-0.0047	-0.0046	-0.0046	-0.0046	-0.0044	-0.0045	-0.0044	-0.0046	-0.0043	-0.0044	-0.0049	-0.0048	-0.0046	-0.0046	-0.0045	-0.0047	-0.0047
sad_vc_estimate	-0.2554	-0.1482	0.0554	-0.0489	-0.0008	0.0046	0.0127	-0.006	-0.0024	-0.0046	0.0017	0.0019	-0.003	-0.0031	-0.0039	-0.0007	-0.0037	0.0026	-0.0037	-0.0039	-0.0026	0.0365	-0.0004	-0.0026	0.0086	-0.0022	-0.0038	-0.0033	0.0304	-0.0025	0.0096	-0.0009	0.0146	0.0151	-0.0002	-0.0041	-0.0031	-0.0038	-0.0042	0.0582	-0.0039	0.0114	0.0062	-0.0035	-0.0028	0.0086	0.0682	0.0062	-0.0019	-0.0007	-0.0036	0.0085	-0.0035	0.0253	0.0047	-0.0034	-0.0025	0.0223	0.0154	0.0404	0.0202	-0.0017	0.0558	0.044	0.0009	0.0049	0.0539	0.001	0.0111	0.0001	-0.001	-0.0033	-0.0037	0.0047	0.0355	-0.0029	0.0038	0.0383	-0.0043	-0.0024	0.0003	-0.0042	0.0047	-0.004	-0.0039	0.0215	0.0185	-0.0007	-0.0022	-0.0037	-0.0031	0.0028	-0.0037	0.0111	0.0006	0.0545	-0.0024	0.0226	0.0127	-0.0033
sad_vc_estimate_se	4.516	3.1153	1.1182	0.9573	0.2996	0.1434	0.117	0.1347	0.1051	0.0874	0.0968	0.1008	0.0845	0.0818	0.0822	0.0712	0.0693	0.0731	0.0766	0.0738	0.0822	0.0772	0.0783	0.0697	0.0732	0.0753	0.0792	0.0771	0.0737	0.0737	0.0742	0.0797	0.0763	0.0802	0.0756	0.0725	0.0728	0.0729	0.0754	0.0758	0.0773	0.0779	0.0748	0.0716	0.075	0.0726	0.076	0.0721	0.0745	0.0753	0.0749	0.0755	0.0733	0.0785	0.0744	0.0759	0.0713	0.0748	0.0733	0.0723	0.0723	0.0755	0.0716	0.0728	0.0717	0.0783	0.0721	0.0705	0.0744	0.0708	0.0696	0.0704	0.0723	0.0747	0.0727	0.07	0.0723	0.0723	0.0753	0.0781	0.0741	0.0742	0.0708	0.0728	0.0725	0.0733	0.072	0.0694	0.0728	0.0699	0.072	0.0696	0.0697	0.0776	0.0749	0.0708	0.0726	0.0718	0.0745	0.0741
sad_vc_pvals	0.941	0.693	0.267	0.788	0.508	0.225	0.077	0.719	0.505	0.815	0.377	0.361	0.622	0.618	0.739	0.425	0.822	0.319	0.744	0.808	0.645	0.031	0.509	0.649	0.181	0.617	0.802	0.712	0.032	0.629	0.197	0.524	0.129	0.137	0.475	0.969	0.704	0.816	0.933	0.005	0.803	0.188	0.247	0.777	0.652	0.207	0.003	0.241	0.61	0.495	0.761	0.205	0.804	0.049	0.279	0.751	0.655	0.067	0.111	0.017	0.068	0.572	0.002	0.015	0.418	0.301	0.006	0.412	0.168	0.465	0.524	0.769	0.824	0.308	0.023	0.693	0.308	0.022	0.997	0.606	0.435	0.927	0.265	0.91	0.874	0.056	0.083	0.522	0.612	0.849	0.751	0.338	0.85	0.178	0.465	0.002	0.659	0.056	0.144	0.742
upper95_perm_sad	0.8177	0.7227	0.3131	0.2456	0.1321	0.034	0.0173	0.0534	0.0251	0.0208	0.0276	0.0323	0.0268	0.0184	0.021	0.0162	0.0182	0.0217	0.0192	0.023	0.0355	0.028	0.0391	0.0226	0.0246	0.0221	0.0301	0.0263	0.0271	0.0279	0.0286	0.0311	0.0269	0.0312	0.0245	0.0259	0.0293	0.0253	0.0293	0.0283	0.0264	0.0295	0.0289	0.0254	0.0259	0.0286	0.0279	0.0239	0.0298	0.0269	0.032	0.0284	0.0258	0.0268	0.0266	0.0275	0.0244	0.0274	0.0299	0.0283	0.0249	0.0286	0.0261	0.0268	0.0268	0.0273	0.0226	0.0267	0.0266	0.0268	0.0257	0.0321	0.0316	0.0249	0.027	0.0261	0.0262	0.0252	0.0278	0.0297	0.029	0.024	0.0254	0.0265	0.0238	0.0234	0.0257	0.0251	0.0253	0.024	0.0274	0.0247	0.0238	0.0319	0.0289	0.0248	0.0252	0.025	0.0263	0.0272
lower0_perm_sad	-0.3087	-0.2094	-0.0743	-0.0646	-0.0197	-0.0098	-0.0079	-0.0091	-0.0071	-0.0058	-0.0065	-0.0067	-0.0057	-0.0056	-0.0055	-0.0048	-0.0046	-0.0049	-0.0052	-0.0049	-0.0053	-0.0052	-0.0051	-0.0046	-0.0048	-0.0049	-0.0053	-0.0052	-0.0049	-0.005	-0.005	-0.0052	-0.0052	-0.0053	-0.0052	-0.0048	-0.0049	-0.0049	-0.0051	-0.0052	-0.0053	-0.0052	-0.0049	-0.0048	-0.0049	-0.0049	-0.0051	-0.0048	-0.005	-0.0051	-0.005	-0.005	-0.0049	-0.0053	-0.0049	-0.0052	-0.0046	-0.0049	-0.005	-0.0049	-0.0049	-0.005	-0.0047	-0.0047	-0.0049	-0.0052	-0.0047	-0.0046	-0.0049	-0.0046	-0.0047	-0.0046	-0.0048	-0.0049	-0.0049	-0.0047	-0.0049	-0.0048	-0.005	-0.0052	-0.005	-0.005	-0.0048	-0.0049	-0.0048	-0.0047	-0.0049	-0.0046	-0.0049	-0.0047	-0.0048	-0.0046	-0.0047	-0.005	-0.005	-0.0047	-0.0049	-0.0049	-0.0049	-0.0049
