	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.4359	0.4794	-0.1671	-0.95	-0.0597	0.0185	-0.0054	0.0009	-0.0281	-0.0152	-0.0257	-0.0182	-0.0123	-0.0088	0.0043	-0.0305	-0.0114	0.0451	0.0284	-0.0084	0.0079	-0.0103	-0.0262	-0.011	0.0031	-0.0111	-0.0104	-0.0265	-0.001	-0.0205	-0.0066	-0.0138	-0.0028	-0.0073	-0.0152	-0.0108	0.0143	0.0031	-0.0115	0.0638	-0.0073	-0.0063	-0.0133	-0.0072	-0.0033	-0.0193	-0.0263	-0.022	-0.0113	-0.0099	-0.0024	-0.0047	0.0053	-0.0086	-0.0075	-0.0048	-0.0136	-0.0125	0.0195	-0.0029	-0.0128	-0.0007	0.0022	-0.0066	0.088	-0.0231	-0.006	-0.0327	-0.0108	0.0297	-0.0022	-0.0199	0.0249	-0.0089	-0.0015	-0.0033	-0.0019	-0.013	0.006	-0.0089	0.0026	-0.0172	0.0028	-0.0198	0.0038	-0.0613	0.0001	-0.027	-0.0102	-0.0048	-0.0081	-0.0087	-0.0215	-0.0145	-0.0075	-0.0002	-0.0031	-0.0127	-0.0088	-0.0066
direct_vc_estimate_se	0.7666	0.6672	0.1083	0.5056	0.0325	0.0097	0.0043	0.0081	0.0194	0.0082	0.016	0.0102	0.0089	0.0049	0.0062	0.0184	0.0069	0.0222	0.0088	0.0079	0.0074	0.0056	0.0148	0.006	0.0041	0.01	0.006	0.0146	0.0026	0.0117	0.0092	0.0074	0.0042	0.0065	0.0083	0.0057	0.0031	0.006	0.008	0.0097	0.0043	0.0044	0.0141	0.0066	0.0047	0.0134	0.014	0.0117	0.0064	0.0056	0.0116	0.0045	0.0043	0.0062	0.0081	0.0027	0.0083	0.0087	0.0098	0.003	0.007	0.0073	0.0088	0.006	0.0132	0.0135	0.0045	0.0175	0.0089	0.0032	0.0134	0.0106	0.0041	0.0054	0.0041	0.0087	0.0108	0.007	0.005	0.0098	0.0035	0.0099	0.0075	0.0105	0.015	0.0326	0.0096	0.0144	0.0067	0.003	0.0049	0.0063	0.0115	0.0091	0.0048	0.0108	0.0051	0.0079	0.005	0.0038
direct_vc_pvals	0.238	0.226	0.711	0.965	0.865	0.697	0.639	0.783	0.703	0.826	0.854	0.918	0.759	0.813	0.407	0.708	0.625	0.073	0.156	0.358	0.125	0.844	0.305	0.802	0.117	0.583	0.582	0.736	0.465	0.106	0.614	0.944	0.303	0.583	0.922	1.0	0.035	0.507	0.898	0.073	0.884	0.535	0.575	0.363	0.125	0.347	0.967	0.964	0.714	0.933	0.549	0.914	0.162	0.457	0.48	0.813	0.546	0.208	0.104	0.65	0.848	0.178	0.146	0.272	0.097	0.808	0.577	0.835	0.296	0.035	0.11	0.943	0.038	0.319	0.291	0.458	0.295	0.873	0.575	0.753	0.061	0.749	0.355	0.962	0.776	0.982	0.536	1.0	0.602	0.62	0.956	0.816	0.962	0.682	0.678	0.359	0.417	0.9	0.837	0.658
upper95_perm_direct	2.3701	1.2772	0.0996	-0.3549	-0.0246	0.1109	-0.0029	0.0667	0.1103	0.005	-0.0168	0.1001	0.0259	0.0069	0.0234	0.0044	0.0058	0.0456	0.0441	0.011	0.0097	0.0062	-0.0233	0.0008	0.0042	0.0196	-0.002	0.0131	0.0084	-0.0191	0.0694	0.0063	0.0098	0.0188	-0.0009	0.0362	0.0123	0.0184	0.0145	0.0631	0.0059	0.0072	0.0686	0.0009	-0.0013	-0.004	-0.0081	0.0307	-0.0016	0.0446	0.037	0.0129	0.0123	0.0007	0.0018	0.0044	-0.0059	-0.0094	0.0198	0.0014	0.0161	0.0064	0.0053	-0.0006	0.0908	0.0068	0.004	-0.0044	-0.0036	0.0277	0.0082	-0.012	0.0246	-0.0069	0.0197	0.0529	0.0442	0.0204	0.0501	0.0498	0.0026	-0.0061	0.0247	0.0125	0.0663	0.091	0.0353	0.0699	0.0058	0.0078	0.0098	0.0629	0.0799	0.0299	0.0004	0.0286	0.015	0.0249	0.0262	0.0023
lower0_perm_direct	-1.5967	-1.0288	-0.2251	-1.0543	-0.0671	-0.0146	-0.0075	-0.0109	-0.0395	-0.0171	-0.0306	-0.0213	-0.0184	-0.0102	-0.0128	-0.0383	-0.0144	-0.0463	-0.0183	-0.0165	-0.0152	-0.0116	-0.031	-0.0126	-0.0085	-0.0207	-0.0126	-0.0303	-0.0054	-0.0245	-0.0186	-0.0153	-0.0088	-0.0135	-0.017	-0.012	-0.0065	-0.0079	-0.0142	-0.0201	-0.0087	-0.0091	-0.0284	-0.0137	-0.0097	-0.0279	-0.0292	-0.0244	-0.0134	-0.0116	-0.0224	-0.0066	-0.0087	-0.0129	-0.0157	-0.0056	-0.0173	-0.0181	-0.0203	-0.0056	-0.0145	-0.0151	-0.0183	-0.0124	-0.0276	-0.0275	-0.0094	-0.0364	-0.0185	-0.0066	-0.0279	-0.0221	-0.0085	-0.0112	-0.007	-0.0174	-0.0226	-0.0145	-0.0103	-0.0204	-0.0073	-0.0206	-0.0149	-0.0219	-0.011	-0.068	-0.015	-0.03	-0.0138	-0.0062	-0.0098	-0.0132	-0.0239	-0.019	-0.01	-0.0223	-0.0105	-0.0164	-0.0103	-0.0079
sad_vc_estimate	0.9282	-0.0927	-0.1735	-0.8766	-0.0574	0.0289	-0.0035	0.0035	-0.0342	-0.0143	-0.0092	-0.0147	-0.0087	-0.0081	0.013	-0.0311	-0.0121	0.0236	0.0302	-0.0029	-0.0005	-0.0104	-0.0276	-0.0108	0.0052	-0.0014	-0.0102	-0.026	-0.0004	-0.0184	-0.0085	-0.0133	0.0006	-0.007	-0.0132	-0.0099	0.0136	0.0008	-0.0123	0.0633	-0.0079	-0.0057	0.0082	-0.0102	-0.004	-0.0087	-0.0237	-0.0215	-0.0117	-0.0094	-0.0119	-0.0042	0.0047	-0.005	-0.007	-0.005	-0.0155	-0.0162	0.0401	-0.0031	-0.0129	0.0119	0.0082	-0.0066	0.0814	-0.0181	-0.0063	-0.0278	-0.0107	0.0346	0.0209	-0.0175	0.0278	-0.009	-0.0047	-0.0026	-0.0088	-0.0125	0.0111	-0.0061	0.0053	-0.0126	-0.0013	-0.0173	-0.0067	-0.054	-0.0024	-0.0266	-0.0114	-0.0038	-0.0075	-0.0074	-0.0214	-0.017	-0.0088	-0.0047	-0.0009	-0.0072	-0.0083	-0.0071
sad_vc_estimate_se	0.7667	0.6674	0.1083	0.5057	0.0326	0.0097	0.0043	0.0081	0.0194	0.0082	0.016	0.0102	0.0089	0.0049	0.0062	0.0184	0.0069	0.0222	0.0088	0.0079	0.0074	0.0056	0.0149	0.006	0.0041	0.01	0.006	0.0146	0.0026	0.0117	0.0092	0.0074	0.0042	0.0065	0.0083	0.0057	0.0031	0.006	0.008	0.0097	0.0043	0.0044	0.0141	0.0066	0.0047	0.0134	0.014	0.0117	0.0064	0.0056	0.0116	0.0045	0.0043	0.0062	0.0081	0.0027	0.0083	0.0087	0.0098	0.003	0.007	0.0073	0.0088	0.006	0.0132	0.0135	0.0045	0.0175	0.0089	0.0032	0.0134	0.0106	0.0041	0.0054	0.0041	0.0087	0.0108	0.007	0.005	0.0098	0.0035	0.0099	0.0075	0.0105	0.015	0.0326	0.0096	0.0144	0.0067	0.003	0.0049	0.0063	0.0115	0.0091	0.0048	0.0108	0.0051	0.0079	0.005	0.0038
sad_vc_pvals	0.234	0.533	0.824	0.663	0.663	0.589	0.189	0.768	0.779	0.834	0.81	0.864	0.707	0.768	0.365	0.764	0.775	0.036	0.132	0.316	0.451	0.933	1.0	0.909	0.132	0.446	0.521	0.735	0.44	0.469	0.65	0.815	0.173	0.496	0.652	0.887	0.024	0.709	0.934	0.066	0.863	0.578	0.39	0.452	0.301	0.198	0.685	0.943	0.75	0.885	0.834	0.97	0.229	0.377	0.497	1.0	0.875	0.832	0.1	0.665	0.86	0.257	0.164	0.234	0.099	0.587	0.631	0.72	0.309	0.0	0.102	0.567	0.036	0.287	0.563	0.498	0.437	0.968	0.52	0.723	0.096	0.6	0.621	0.77	0.934	0.804	0.533	0.913	0.738	0.518	0.79	0.83	0.907	0.9	0.867	0.498	0.283	0.731	0.72	0.771
upper95_perm_sad	2.0646	0.7374	0.0711	0.0498	0.0119	0.1052	-0.0023	0.0712	0.0924	0.0184	0.0026	0.1319	0.0191	0.0102	0.0292	-0.0099	0.0078	0.0232	0.0472	0.0236	0.0284	0.0146	-0.0132	0.0105	0.0077	0.0237	-0.0037	0.0455	0.0094	-0.0142	0.0877	0.0091	0.0136	0.0208	-0.0003	0.0563	0.013	0.0277	0.0206	0.0602	0.0136	0.0146	0.106	-0.002	0.0032	0.0097	0.0095	0.0483	-0.0056	0.0447	0.0647	0.0131	0.0141	0.0064	0.0027	0.0085	-0.0063	-0.0077	0.0399	0.0006	0.0143	0.0259	0.0147	-0.0035	0.0842	0.0255	0.0058	0.0273	-0.0062	0.0321	0.0289	-0.0049	0.027	-0.0078	0.0144	0.0557	0.0362	0.0296	0.0539	0.0609	0.0056	0.0002	0.021	0.0304	0.0876	0.1887	0.0336	0.1099	-0.0019	0.0106	0.0117	0.0758	0.076	0.0484	0.0084	0.0311	0.0116	0.0197	0.0309	0.0038
lower0_perm_sad	-1.5958	-0.5238	-0.2213	-1.0538	-0.0679	-0.0076	-0.0073	-0.0083	-0.0404	-0.0163	-0.0152	-0.0204	-0.0168	-0.0102	-0.0128	-0.0372	-0.0144	-0.0461	-0.0183	-0.0165	-0.0154	-0.0116	-0.0306	-0.0126	-0.0086	-0.0207	-0.0126	-0.0304	-0.0053	-0.0236	-0.019	-0.0154	-0.0088	-0.0135	-0.0173	-0.0117	-0.0065	-0.0089	-0.0141	-0.0202	-0.0089	-0.009	-0.0288	-0.0137	-0.0097	-0.0279	-0.0292	-0.0244	-0.0134	-0.0116	-0.0234	-0.0046	-0.0089	-0.0129	-0.0153	-0.0056	-0.0174	-0.0181	-0.0201	-0.0052	-0.0146	-0.0151	-0.0179	-0.0125	-0.0276	-0.0277	-0.0094	-0.0361	-0.0185	-0.0066	-0.028	-0.0221	-0.0084	-0.0112	-0.0078	-0.0169	-0.0225	-0.0143	-0.0104	-0.0204	-0.0071	-0.0191	-0.0132	-0.0209	-0.0134	-0.068	-0.0124	-0.0299	-0.0139	-0.0062	-0.0097	-0.0125	-0.024	-0.019	-0.01	-0.0224	-0.0105	-0.0148	-0.0103	-0.0079
