	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0219	0.0635	0.0238	0.0091	0.0025	0.0007	0.0044	-0.0012	0.0007	-0.0006	0.0003	0.0004	0.0049	-0.0005	0.0011	-0.0001	0.0	-0.0006	0.0005	-0.0005	0.0098	0.0034	-0.0005	0.0039	0.0189	0.003	0.0154	-0.0009	-0.0007	0.0051	0.0042	-0.0002	-0.0003	0.0063	-0.0008	-0.0011	0.0089	0.0007	-0.0003	0.0004	-0.0001	0.0032	0.0004	-0.0007	-0.0005	-0.0006	-0.0007	0.009	0.0015	0.0007	-0.0008	0.0004	-0.0008	0.0191	0.0054	0.0056	-0.0007	-0.0005	-0.0001	0.0009	0.0025	0.0	0.002	-0.0008	0.0014	0.0018	-0.0007	-0.0007	0.0019	0.0006	0.0014	0.0104	0.0014	-0.0006	0.0051	0.002	0.0118	-0.0006	-0.0003	-0.0004	-0.0006	0.0002	-0.0004	-0.0002	0.0024	0.0027	-0.0007	0.0002	0.0017	-0.0007	-0.0005	0.0	0.0027	-0.0007	0.0003	-0.0007	0.008	0.0026	0.0033	0.0002
direct_vc_estimate_se	0.3336	0.1807	0.0703	0.0561	0.0129	0.0114	0.0072	0.0062	0.0054	0.0048	0.0046	0.0045	0.0045	0.0045	0.0043	0.005	0.0041	0.0041	0.004	0.0046	0.0041	0.0034	0.0043	0.0046	0.0175	0.0048	0.0081	0.0049	0.0053	0.0075	0.0042	0.0043	0.0036	0.0045	0.0041	0.0054	0.0043	0.004	0.0038	0.0044	0.0044	0.0041	0.0034	0.0038	0.0043	0.0045	0.0042	0.0045	0.0039	0.004	0.0052	0.004	0.0039	0.0043	0.0042	0.0037	0.0039	0.0043	0.0038	0.0033	0.0042	0.0036	0.0042	0.0042	0.0034	0.0038	0.0036	0.0042	0.0032	0.0039	0.0039	0.0038	0.0038	0.0038	0.0036	0.0037	0.0037	0.0032	0.0034	0.0036	0.0037	0.0041	0.0036	0.004	0.0035	0.0031	0.0036	0.0033	0.0042	0.0035	0.0035	0.0039	0.0039	0.0036	0.0037	0.0038	0.0038	0.0035	0.0036	0.004
direct_vc_pvals	0.545	0.252	0.179	0.388	0.337	0.405	0.126	0.874	0.429	0.671	0.424	0.52	0.118	0.676	0.336	0.523	0.558	0.642	0.427	0.638	0.061	0.089	0.657	0.181	0.139	0.244	0.069	0.891	0.775	0.228	0.129	0.618	0.6	0.07	0.886	0.992	0.038	0.392	0.651	0.416	0.506	0.205	0.34	0.817	0.664	0.779	0.799	0.149	0.364	0.351	0.757	0.444	0.977	0.005	0.135	0.047	0.855	0.8	0.597	0.348	0.229	0.407	0.257	0.838	0.348	0.237	0.88	0.818	0.196	0.412	0.24	0.066	0.305	0.774	0.065	0.159	0.016	0.906	0.65	0.659	0.809	0.504	0.64	0.587	0.157	0.142	0.821	0.518	0.309	0.92	0.739	0.568	0.256	0.858	0.503	0.83	0.042	0.082	0.119	0.499
upper95_perm_direct	0.4745	0.249	0.0719	0.1003	0.0166	0.0166	0.0097	0.0138	0.011	0.0075	0.0067	0.0098	0.0089	0.0076	0.0067	0.007	0.0083	0.0038	0.0066	0.0073	0.0114	0.0051	0.0074	0.0106	0.0291	0.0096	0.0187	0.0092	0.0134	0.0154	0.0077	0.008	0.0046	0.0084	0.0091	0.0115	0.0089	0.0069	0.0081	0.0069	0.0073	0.0077	0.0044	0.0067	0.0065	0.0124	0.0077	0.0166	0.0095	0.006	0.0084	0.0066	0.005	0.0105	0.0107	0.0058	0.0068	0.0143	0.0076	0.007	0.0075	0.0032	0.0074	0.0073	0.0082	0.0071	0.0105	0.0071	0.0052	0.0073	0.0055	0.0131	0.0078	0.0065	0.0064	0.005	0.0082	0.0044	0.0056	0.0076	0.0063	0.0087	0.0061	0.007	0.0054	0.0053	0.0049	0.0078	0.0093	0.0057	0.0085	0.0083	0.0098	0.0075	0.0088	0.0079	0.0081	0.0036	0.0059	0.0073
lower0_perm_direct	-0.0891	-0.0495	-0.0195	-0.0154	-0.0036	-0.003	-0.0019	-0.0017	-0.0015	-0.0013	-0.0013	-0.0012	-0.0012	-0.0012	-0.0012	-0.0014	-0.0011	-0.0012	-0.0011	-0.0012	-0.0011	-0.0009	-0.0012	-0.0013	-0.0043	-0.0013	-0.0022	-0.0013	-0.0014	-0.002	-0.0012	-0.0011	-0.001	-0.0012	-0.0011	-0.0015	-0.0011	-0.0011	-0.001	-0.0012	-0.0012	-0.0011	-0.0009	-0.001	-0.0012	-0.0012	-0.0011	-0.0012	-0.001	-0.0011	-0.0014	-0.0011	-0.0011	-0.0011	-0.0012	-0.001	-0.001	-0.0012	-0.001	-0.0009	-0.0011	-0.001	-0.0011	-0.0011	-0.0009	-0.0011	-0.001	-0.0011	-0.0009	-0.001	-0.0011	-0.001	-0.0011	-0.0011	-0.001	-0.001	-0.0011	-0.0009	-0.0009	-0.001	-0.001	-0.0011	-0.001	-0.0011	-0.0009	-0.0008	-0.001	-0.0009	-0.0011	-0.0009	-0.0009	-0.0011	-0.001	-0.001	-0.001	-0.001	-0.001	-0.0009	-0.001	-0.0011
sad_vc_estimate	0.0012	0.1732	0.0316	0.0194	0.0038	0.0155	0.0055	0.0002	-0.0004	-0.0002	0.0019	-0.0009	0.0149	-0.0004	0.0001	0.0001	-0.0007	-0.0005	0.0011	0.004	0.0243	0.0033	0.0044	0.0121	0.0794	0.0082	0.0447	0.0031	-0.0008	0.0261	0.0036	0.0071	0.0008	0.0239	0.0014	-0.0008	0.0031	-0.0005	0.0009	0.0	0.0044	0.0078	-0.0001	-0.0007	0.002	0.0033	-0.0007	0.0148	0.0085	0.0063	0.0027	0.0046	0.0004	0.0359	0.0038	0.0139	0.0027	0.0027	0.0002	0.0026	-0.0008	0.0048	0.0141	0.0002	0.0023	0.0001	-0.0006	0.0087	-0.0004	0.0013	0.0041	0.0232	0.0009	0.0025	0.0061	0.0035	0.028	-0.0006	-0.0007	-0.0005	-0.0008	-0.0008	-0.0006	0.0035	0.0094	0.0048	0.0008	-0.0004	0.0017	-0.0007	-0.0007	0.0002	0.0088	-0.0004	0.0064	0.006	0.0027	0.0079	-0.0001	0.0011
sad_vc_estimate_se	0.3369	0.1825	0.071	0.0567	0.013	0.0115	0.0072	0.0063	0.0055	0.0048	0.0046	0.0045	0.0046	0.0046	0.0043	0.005	0.0041	0.0042	0.004	0.0047	0.0041	0.0034	0.0043	0.0047	0.0177	0.0049	0.0082	0.0049	0.0054	0.0076	0.0043	0.0043	0.0036	0.0045	0.0041	0.0055	0.0043	0.0041	0.0039	0.0044	0.0045	0.0041	0.0034	0.0039	0.0043	0.0045	0.0043	0.0045	0.0039	0.004	0.0052	0.004	0.0039	0.0044	0.0043	0.0037	0.0039	0.0043	0.0039	0.0034	0.0043	0.0036	0.0042	0.0042	0.0035	0.0039	0.0036	0.0043	0.0032	0.004	0.004	0.0038	0.0039	0.0039	0.0036	0.0037	0.0038	0.0032	0.0035	0.0037	0.0038	0.0041	0.0037	0.0041	0.0035	0.0031	0.0036	0.0034	0.0043	0.0036	0.0035	0.0039	0.004	0.0036	0.0037	0.0039	0.0038	0.0035	0.0036	0.004
sad_vc_pvals	0.602	0.245	0.331	0.468	0.382	0.178	0.176	0.697	0.747	0.636	0.408	0.907	0.095	0.723	0.602	0.619	0.866	0.763	0.499	0.332	0.057	0.166	0.261	0.175	0.239	0.34	0.132	0.428	0.887	0.19	0.316	0.242	0.469	0.016	0.528	0.844	0.327	0.786	0.547	0.667	0.222	0.163	0.581	0.933	0.311	0.391	0.841	0.254	0.167	0.161	0.294	0.264	0.54	0.008	0.353	0.025	0.335	0.55	0.631	0.351	0.937	0.115	0.081	0.688	0.431	0.624	0.926	0.122	0.771	0.48	0.209	0.067	0.544	0.364	0.181	0.212	0.015	0.854	0.974	0.772	0.979	0.937	0.868	0.294	0.089	0.181	0.437	0.797	0.486	0.891	0.964	0.653	0.189	0.779	0.215	0.235	0.281	0.053	0.633	0.521
upper95_perm_sad	0.9805	0.5701	0.1876	0.1848	0.0361	0.0346	0.0134	0.0408	0.0241	0.0113	0.0154	0.0177	0.0222	0.0146	0.0124	0.0173	0.0183	0.0109	0.0175	0.0176	0.0277	0.0079	0.0143	0.0254	0.1379	0.0269	0.072	0.0237	0.038	0.0541	0.0175	0.0223	0.0117	0.0178	0.0211	0.0238	0.0157	0.0162	0.0194	0.0185	0.0139	0.0159	0.0052	0.0153	0.0118	0.0195	0.0154	0.0405	0.019	0.0135	0.013	0.0162	0.0112	0.022	0.0205	0.0116	0.0168	0.0285	0.0174	0.0137	0.0179	0.0079	0.0199	0.0187	0.0178	0.014	0.026	0.015	0.0092	0.0146	0.0122	0.0284	0.0171	0.015	0.0148	0.0103	0.0212	0.0082	0.0103	0.0144	0.0135	0.0152	0.0138	0.0165	0.013	0.0124	0.0093	0.0157	0.0191	0.0143	0.015	0.0166	0.0201	0.0148	0.019	0.0185	0.0122	0.0089	0.0119	0.0157
lower0_perm_sad	-0.0929	-0.0495	-0.0203	-0.0157	-0.0035	-0.0031	-0.0019	-0.0016	-0.0014	-0.0013	-0.0012	-0.0012	-0.0013	-0.0012	-0.0011	-0.0013	-0.0012	-0.0011	-0.0011	-0.0013	-0.0011	-0.0009	-0.0012	-0.0012	-0.005	-0.0012	-0.0022	-0.0014	-0.0015	-0.002	-0.0012	-0.0011	-0.001	-0.0012	-0.0011	-0.0015	-0.0012	-0.0011	-0.001	-0.0011	-0.0012	-0.0011	-0.0009	-0.001	-0.0011	-0.0012	-0.0011	-0.0012	-0.001	-0.0011	-0.0014	-0.0011	-0.001	-0.0012	-0.0011	-0.001	-0.001	-0.0012	-0.0011	-0.0009	-0.0012	-0.0009	-0.0012	-0.0011	-0.0009	-0.0011	-0.001	-0.0011	-0.0009	-0.0011	-0.0011	-0.001	-0.001	-0.001	-0.001	-0.0011	-0.001	-0.0009	-0.0009	-0.001	-0.001	-0.0011	-0.001	-0.0011	-0.001	-0.0009	-0.001	-0.0009	-0.0012	-0.001	-0.0009	-0.001	-0.0011	-0.001	-0.0009	-0.001	-0.001	-0.0009	-0.001	-0.001
