	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1379	-0.0092	0.1079	0.3439	0.2035	0.0344	-0.001	0.1261	0.0002	0.0002	0.017	0.004	-0.0001	0.0046	0.0	-0.0002	0.0003	0.0029	-0.0001	0.0218	-0.0002	0.005	-0.0001	0.0018	0.0033	0.0045	0.0002	0.0002	-0.0	0.0015	0.0012	0.0014	-0.0002	0.0	-0.0001	0.002	0.003	-0.0002	0.0284	-0.0001	0.0002	0.0035	0.0031	0.0009	0.0008	0.0025	0.001	0.0014	0.0053	0.0007	0.0019	0.0042	0.0044	0.0034	0.0002	0.001	0.0139	-0.0001	-0.0002	0.0124	-0.0001	0.0023	0.0012	0.0001	0.0003	-0.0001	-0.0001	0.0155	0.0015	0.0058	0.0008	0.0005	0.0002	0.0036	0.0009	-0.0002	0.0003	-0.0001	0.0009	0.0398	-0.0001	0.003	-0.0001	0.0036	0.0078	0.0012	-0.0001	-0.0002	0.0012	0.0059	0.0015	0.0113	-0.0002	0.0034	0.0121	0.0011	0.0023	0.0036	0.0002	0.0102
direct_vc_estimate_se	0.0201	0.0064	0.002	0.0015	0.0005	0.0004	0.0006	0.0004	0.0002	0.0004	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
direct_vc_pvals	0.13	0.92	0.057	0.008	0.044	0.2	0.841	0.004	0.49	0.717	0.023	0.408	0.769	0.193	0.669	0.938	0.57	0.33	0.765	0.025	0.968	0.22	0.794	0.181	0.177	0.522	0.553	0.64	0.745	0.668	0.333	0.333	0.913	0.613	0.752	0.323	0.205	0.849	0.122	0.846	0.67	0.232	0.19	0.42	0.582	0.576	0.505	0.388	0.08	0.524	0.393	0.578	0.334	0.274	0.791	0.203	0.053	0.648	0.97	0.002	0.782	0.297	0.395	0.893	0.68	0.784	0.872	0.126	0.237	0.383	0.637	0.357	0.687	0.054	0.605	0.988	0.693	0.824	0.216	0.004	0.931	0.688	0.893	0.374	0.053	0.646	0.816	0.889	0.481	0.028	0.305	0.111	0.958	0.133	0.101	0.349	0.063	0.208	0.615	0.011
upper95_perm_direct	0.4438	0.5819	0.1848	0.328	0.3197	0.099	0.0171	0.1336	0.0064	0.0182	0.0219	0.0229	0.0093	0.0151	0.0069	0.0075	0.0082	0.0169	0.01	0.0302	0.0143	0.0175	0.0108	0.0061	0.0109	0.0311	0.0049	0.0105	0.011	0.0148	0.0087	0.0096	0.0119	0.0078	0.0048	0.0128	0.0109	0.0057	0.0562	0.0075	0.0086	0.0149	0.0119	0.0098	0.0146	0.0223	0.0156	0.0124	0.01	0.012	0.0139	0.0372	0.0165	0.0166	0.0107	0.004	0.0227	0.0063	0.0092	0.0117	0.0073	0.012	0.0101	0.0214	0.0325	0.0078	0.0132	0.0321	0.0056	0.0288	0.018	0.004	0.0166	0.0057	0.0152	0.0123	0.01	0.008	0.0043	0.0374	0.0075	0.0277	0.0063	0.0138	0.0122	0.0116	0.005	0.0132	0.0145	0.008	0.0068	0.0235	0.0116	0.0088	0.0282	0.008	0.0043	0.0114	0.0069	0.01
lower0_perm_direct	-0.0797	-0.0242	-0.0077	-0.0055	-0.0017	-0.0017	-0.0023	-0.0015	-0.0008	-0.0014	-0.0006	-0.0006	-0.0005	-0.0005	-0.0005	-0.0006	-0.0005	-0.0005	-0.0006	-0.0006	-0.0004	-0.0005	-0.0006	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0005	-0.0004	-0.0004	-0.0005	-0.0004	-0.0008	-0.0007	-0.0005	-0.0004	-0.0004	-0.0005	-0.0005	-0.0004	-0.0004	-0.0005	-0.0004	-0.0004	-0.0004	-0.0005	-0.0006	-0.0005	-0.0007	-0.0004	-0.0003	-0.0004	-0.0004	-0.0003	-0.0004	-0.0004	-0.0007	-0.0004	-0.0004	-0.0004	-0.0008	-0.0004	-0.0004	-0.0005	-0.0005	-0.0004	-0.0004	-0.0003	-0.0004	-0.0006	-0.0004	-0.0009	-0.0004	-0.0004	-0.0004	-0.0003	-0.0004	-0.0004	-0.0004	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0004	-0.0004	-0.0005	-0.0004	-0.0005	-0.0004	-0.0004	-0.0003	-0.0005	-0.0003	-0.0003	-0.0005	-0.0004	-0.0004	-0.0004
sad_vc_estimate	0.1836	0.024	0.3418	0.777	0.4444	0.0592	0.0001	0.3479	0.0034	0.0016	0.0375	0.0068	-0.0	0.0104	0.0019	0.0004	0.0	0.0029	0.0007	0.0532	-0.0001	0.0156	0.0014	0.0034	0.0117	0.0122	0.0008	0.0002	0.0014	0.0023	0.0043	0.0023	-0.0001	0.0029	-0.0003	0.0121	0.0097	-0.0002	0.0736	0.0003	0.0022	0.0063	0.0056	0.0006	0.0003	0.008	0.0079	0.0012	0.0108	0.0077	0.0062	0.017	0.0047	0.0057	0.0004	0.0017	0.0328	-0.0003	-0.0002	0.0209	0.0019	0.0048	0.0025	0.005	0.0006	0.0001	0.0035	0.0357	0.0039	0.0093	0.0015	0.0043	0.0048	0.0136	0.0003	-0.0	0.0008	-0.0	0.002	0.0669	-0.0001	0.0058	0.0003	0.0039	0.013	0.0039	-0.0002	0.0014	0.005	0.013	0.0036	0.0326	-0.0001	0.0082	0.0211	0.0034	0.0045	0.017	0.0072	0.0112
sad_vc_estimate_se	0.0201	0.0064	0.002	0.0015	0.0005	0.0004	0.0006	0.0004	0.0002	0.0004	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
sad_vc_pvals	0.255	0.739	0.001	0.001	0.037	0.221	0.727	0.0	0.205	0.674	0.011	0.466	0.787	0.16	0.342	0.652	0.763	0.477	0.597	0.012	0.901	0.123	0.602	0.143	0.107	0.389	0.438	0.745	0.585	0.758	0.235	0.417	0.94	0.225	0.905	0.16	0.156	0.997	0.062	0.738	0.457	0.239	0.218	0.573	0.781	0.478	0.302	0.585	0.055	0.253	0.301	0.365	0.519	0.332	0.826	0.25	0.025	0.971	0.947	0.012	0.355	0.285	0.411	0.568	0.668	0.683	0.257	0.077	0.173	0.47	0.601	0.071	0.399	0.001	0.827	0.821	0.677	0.763	0.227	0.005	0.88	0.778	0.668	0.467	0.061	0.563	0.924	0.534	0.332	0.013	0.216	0.082	0.961	0.091	0.107	0.275	0.16	0.108	0.188	0.027
upper95_perm_sad	0.79	1.1311	0.3123	0.6431	0.6958	0.1756	0.0318	0.2991	0.0121	0.0306	0.0401	0.0543	0.0135	0.0308	0.0117	0.0162	0.018	0.0439	0.0192	0.0677	0.0249	0.0365	0.0224	0.0092	0.0258	0.0484	0.0074	0.0176	0.0328	0.0269	0.0184	0.021	0.0295	0.0125	0.0053	0.0364	0.0281	0.0088	0.1243	0.0132	0.0201	0.0263	0.0201	0.0132	0.0328	0.0378	0.0384	0.0254	0.0176	0.0342	0.03	0.0781	0.0321	0.036	0.0203	0.0087	0.0452	0.0149	0.0245	0.0231	0.0137	0.0244	0.0191	0.0583	0.0631	0.0106	0.0154	0.0666	0.0107	0.0641	0.0302	0.0082	0.0395	0.0107	0.0287	0.0247	0.0215	0.0095	0.0082	0.0609	0.015	0.0579	0.0109	0.0196	0.0227	0.0232	0.0082	0.0227	0.0299	0.0149	0.0106	0.062	0.0308	0.0162	0.0454	0.0146	0.0114	0.0347	0.0255	0.0142
lower0_perm_sad	-0.0766	-0.0229	-0.0078	-0.0054	-0.0018	-0.0016	-0.0024	-0.0015	-0.0008	-0.0013	-0.0006	-0.0006	-0.0006	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0006	-0.0006	-0.0004	-0.0005	-0.0005	-0.0004	-0.0004	-0.0004	-0.0004	-0.0004	-0.0005	-0.0004	-0.0004	-0.0005	-0.0004	-0.0007	-0.0007	-0.0005	-0.0005	-0.0004	-0.0005	-0.0004	-0.0004	-0.0004	-0.0005	-0.0004	-0.0004	-0.0004	-0.0005	-0.0005	-0.0005	-0.0007	-0.0004	-0.0004	-0.0004	-0.0004	-0.0003	-0.0004	-0.0004	-0.0007	-0.0004	-0.0004	-0.0004	-0.0008	-0.0004	-0.0004	-0.0005	-0.0005	-0.0004	-0.0004	-0.0003	-0.0004	-0.0006	-0.0004	-0.0009	-0.0003	-0.0004	-0.0004	-0.0003	-0.0004	-0.0004	-0.0004	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0004	-0.0004	-0.0005	-0.0004	-0.0005	-0.0004	-0.0004	-0.0003	-0.0005	-0.0003	-0.0003	-0.0005	-0.0004	-0.0004	-0.0004
