	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.2455	-0.1209	-0.034	-0.023	-0.0034	-0.0062	-0.0038	0.0085	-0.0026	-0.0038	-0.0042	-0.0013	-0.0039	0.0074	-0.0037	0.0125	0.0028	0.007	-0.004	0.0007	0.0021	-0.0032	-0.0017	0.0143	-0.0002	-0.0007	-0.0032	-0.0017	-0.0023	0.0115	-0.0012	-0.0015	-0.0019	0.005	-0.0011	-0.0031	-0.0013	0.0049	-0.0012	-0.0011	-0.003	0.0103	-0.002	-0.0001	-0.001	0.0284	0.0105	-0.0034	0.0004	0.0085	-0.002	-0.0034	0.008	0.0014	0.0002	0.0228	-0.0031	-0.0033	-0.0027	-0.0023	-0.0034	-0.0032	-0.0019	-0.0019	-0.0012	-0.0012	-0.0034	-0.0032	-0.0023	-0.0014	-0.003	-0.0019	0.0027	-0.0026	0.0122	0.0186	-0.0025	-0.0033	-0.0019	-0.001	0.0136	-0.0018	0.0189	0.0057	0.0085	0.0092	-0.0028	-0.0007	0.0025	0.0141	0.0128	0.0059	-0.003	-0.0032	-0.0022	-0.0022	-0.0039	-0.0033	-0.0028	0.0496
direct_vc_estimate_se	12.532	7.6882	2.6972	1.8799	0.6616	0.362	0.3324	0.3118	0.2555	0.205	0.2448	0.2787	0.1948	0.1958	0.189	0.1717	0.1892	0.1686	0.2001	0.1644	0.1702	0.183	0.1623	0.1754	0.1822	0.192	0.1632	0.1665	0.174	0.1802	0.1557	0.1592	0.1652	0.1599	0.1678	0.1609	0.1882	0.1967	0.1775	0.1713	0.1631	0.1838	0.184	0.168	0.1634	0.172	0.1665	0.1714	0.1753	0.2178	0.1656	0.1765	0.1833	0.1723	0.1643	0.1758	0.1678	0.1675	0.185	0.1654	0.2012	0.1667	0.1642	0.1844	0.178	0.1797	0.1822	0.1629	0.1707	0.1855	0.1774	0.206	0.1774	0.1711	0.1705	0.1928	0.1617	0.1741	0.173	0.1703	0.1694	0.1527	0.1651	0.1679	0.1831	0.1676	0.1857	0.1519	0.1805	0.1518	0.1681	0.1733	0.1653	0.1607	0.2017	0.1799	0.1967	0.166	0.1714	0.1806
direct_vc_pvals	0.907	0.669	0.584	0.576	0.527	0.724	0.537	0.228	0.59	0.811	0.753	0.456	0.96	0.144	0.919	0.057	0.262	0.147	0.999	0.405	0.345	0.794	0.588	0.073	0.423	0.452	0.938	0.614	0.677	0.114	0.537	0.592	0.612	0.247	0.525	0.897	0.544	0.239	0.512	0.519	0.83	0.131	0.57	0.463	0.51	0.028	0.115	0.99	0.386	0.16	0.612	0.926	0.164	0.362	0.429	0.033	0.854	0.91	0.687	0.669	0.723	0.9	0.611	0.603	0.547	0.501	0.84	0.963	0.651	0.545	0.74	0.558	0.291	0.733	0.11	0.058	0.705	0.844	0.593	0.479	0.079	0.634	0.039	0.231	0.131	0.126	0.678	0.499	0.301	0.055	0.092	0.214	0.827	0.933	0.562	0.597	0.909	0.963	0.74	0.0
upper95_perm_direct	0.851	0.6924	0.2994	0.1687	0.1004	0.0298	0.0258	0.0486	0.0288	0.0169	0.0302	0.0343	0.0212	0.0199	0.0195	0.0171	0.0204	0.0179	0.0234	0.0242	0.0232	0.0246	0.0164	0.0216	0.0201	0.0204	0.0276	0.0277	0.0255	0.0274	0.0211	0.021	0.0233	0.0254	0.023	0.0213	0.0249	0.0292	0.0232	0.0234	0.0237	0.0257	0.0215	0.0255	0.0212	0.0246	0.023	0.0258	0.0223	0.0256	0.0215	0.0254	0.0239	0.0251	0.0218	0.0222	0.0243	0.0229	0.0261	0.0203	0.0243	0.0236	0.0227	0.0238	0.0259	0.0217	0.0194	0.0216	0.023	0.0229	0.0192	0.0227	0.0224	0.0275	0.0249	0.0247	0.0186	0.0208	0.0227	0.0192	0.0219	0.0206	0.0208	0.0257	0.0207	0.0228	0.0243	0.0207	0.0245	0.0201	0.0222	0.0257	0.0233	0.0239	0.0232	0.0204	0.0227	0.0234	0.0214	0.0234
lower0_perm_direct	-0.3491	-0.213	-0.0763	-0.0529	-0.0186	-0.0102	-0.0093	-0.0086	-0.0071	-0.0057	-0.0068	-0.0079	-0.0054	-0.0055	-0.0052	-0.0046	-0.0053	-0.0046	-0.0057	-0.0045	-0.0048	-0.005	-0.0045	-0.0048	-0.0051	-0.0053	-0.0046	-0.0047	-0.005	-0.0049	-0.0044	-0.0045	-0.0047	-0.0044	-0.0046	-0.0044	-0.0052	-0.0056	-0.0048	-0.0047	-0.0047	-0.0052	-0.005	-0.0046	-0.0047	-0.0046	-0.0047	-0.0047	-0.005	-0.006	-0.0045	-0.0049	-0.005	-0.0048	-0.0047	-0.0049	-0.0046	-0.0047	-0.005	-0.0046	-0.0055	-0.0048	-0.0047	-0.005	-0.0049	-0.0051	-0.0051	-0.0045	-0.0048	-0.0049	-0.0051	-0.0058	-0.005	-0.0049	-0.0047	-0.0054	-0.0046	-0.0048	-0.0047	-0.0048	-0.0046	-0.0041	-0.0046	-0.0046	-0.0053	-0.0047	-0.0051	-0.0042	-0.005	-0.0042	-0.0046	-0.0049	-0.0047	-0.0044	-0.0056	-0.0049	-0.0054	-0.0047	-0.0048	-0.0051
sad_vc_estimate	-0.2053	0.0069	-0.0387	-0.0387	0.0256	0.0035	-0.0037	-0.0064	0.0085	-0.0033	0.013	-0.0018	-0.003	0.0251	-0.0039	0.0139	0.0013	0.0097	-0.004	0.0035	0.0013	-0.0021	-0.0022	0.0071	-0.0024	-0.0011	-0.0005	-0.0025	0.0029	0.0097	-0.0031	-0.0033	0.004	0.0158	-0.0022	0.0003	0.0006	0.0059	-0.0036	-0.0025	-0.0031	0.0121	-0.0018	-0.0026	-0.0026	0.0255	0.0023	0.0021	-0.0035	0.0134	-0.0004	-0.0035	0.0076	0.0025	-0.0026	0.0331	-0.003	-0.0033	-0.0021	-0.0021	-0.0041	-0.0023	-0.0009	-0.0009	-0.0013	0.004	-0.0034	-0.0034	-0.0028	-0.0038	-0.0016	0.0109	0.0	-0.0032	0.0151	0.015	-0.0032	-0.0031	0.0059	0.0034	0.0164	-0.0005	0.0219	-0.0019	0.0091	0.0024	-0.0018	-0.0025	0.001	0.0048	0.0047	0.0062	-0.0018	0.0054	-0.0016	-0.0027	-0.004	-0.0032	-0.0012	0.0593
sad_vc_estimate_se	12.8827	7.9323	2.782	1.9417	0.684	0.3721	0.3408	0.3221	0.2632	0.2123	0.2522	0.2859	0.201	0.2016	0.1943	0.1767	0.1944	0.1742	0.2064	0.1696	0.1758	0.1888	0.1676	0.1811	0.1874	0.1977	0.1686	0.1719	0.1797	0.1857	0.1613	0.1645	0.1707	0.1653	0.1732	0.1663	0.1935	0.2022	0.1829	0.1767	0.1685	0.1892	0.1893	0.1737	0.1688	0.1773	0.1725	0.1767	0.1806	0.2231	0.1711	0.1819	0.1886	0.1776	0.1696	0.1811	0.1734	0.1728	0.1904	0.1708	0.2066	0.1721	0.1696	0.1897	0.1833	0.185	0.1875	0.1682	0.176	0.1908	0.1828	0.2112	0.1826	0.1764	0.1759	0.1984	0.167	0.1793	0.1783	0.1756	0.1747	0.1579	0.1709	0.1731	0.1884	0.1728	0.1911	0.1572	0.1858	0.1571	0.1735	0.1786	0.1705	0.166	0.207	0.1851	0.202	0.1713	0.1767	0.186
sad_vc_pvals	0.7	0.359	0.664	0.985	0.247	0.265	0.565	0.973	0.206	0.708	0.154	0.512	0.689	0.026	0.984	0.065	0.361	0.147	0.912	0.306	0.392	0.631	0.659	0.204	0.644	0.524	0.548	0.72	0.379	0.182	0.867	0.986	0.327	0.107	0.674	0.474	0.454	0.25	0.906	0.71	0.848	0.151	0.57	0.73	0.73	0.036	0.333	0.38	0.912	0.128	0.491	0.866	0.198	0.35	0.708	0.018	0.795	0.867	0.615	0.643	0.943	0.71	0.554	0.516	0.567	0.286	0.793	0.997	0.755	0.96	0.564	0.153	0.504	0.844	0.094	0.12	0.889	0.785	0.223	0.314	0.061	0.503	0.062	0.625	0.172	0.329	0.589	0.76	0.397	0.245	0.266	0.259	0.591	0.258	0.556	0.686	0.952	0.868	0.575	0.003
upper95_perm_sad	1.2063	0.6938	0.3833	0.2728	0.1255	0.0344	0.0331	0.0571	0.0349	0.0224	0.0339	0.037	0.0276	0.0208	0.0202	0.0202	0.0274	0.0253	0.0332	0.0279	0.0299	0.0263	0.023	0.0286	0.0235	0.0279	0.0332	0.0286	0.0336	0.031	0.0277	0.0297	0.0281	0.0301	0.0267	0.0294	0.0309	0.0291	0.0277	0.0281	0.0296	0.031	0.0273	0.0314	0.0262	0.0288	0.0293	0.0355	0.0295	0.0302	0.0304	0.032	0.0294	0.031	0.029	0.0257	0.0323	0.0245	0.0322	0.0257	0.0325	0.0257	0.028	0.0314	0.0275	0.0309	0.0255	0.0259	0.0276	0.028	0.0265	0.0277	0.0314	0.0279	0.0254	0.0329	0.0252	0.0234	0.029	0.0252	0.0227	0.0283	0.0297	0.0267	0.0287	0.0244	0.0273	0.0253	0.0318	0.0236	0.0276	0.0312	0.0269	0.0294	0.0308	0.027	0.0281	0.0282	0.0299	0.0304
lower0_perm_sad	-0.3529	-0.2275	-0.0752	-0.0554	-0.0188	-0.0103	-0.0096	-0.0088	-0.0072	-0.0058	-0.0071	-0.0081	-0.0057	-0.0056	-0.0053	-0.0049	-0.0055	-0.0047	-0.0057	-0.0048	-0.0048	-0.0052	-0.0046	-0.005	-0.0052	-0.0056	-0.0047	-0.0048	-0.0049	-0.0051	-0.0046	-0.0047	-0.0046	-0.0045	-0.0049	-0.0047	-0.0053	-0.0054	-0.0051	-0.005	-0.0047	-0.0052	-0.0053	-0.0049	-0.0048	-0.005	-0.0047	-0.0048	-0.005	-0.0062	-0.0047	-0.005	-0.0051	-0.0051	-0.0047	-0.005	-0.0049	-0.005	-0.0053	-0.0048	-0.0057	-0.0049	-0.0048	-0.0052	-0.0051	-0.0051	-0.0051	-0.0046	-0.0048	-0.0052	-0.0051	-0.0057	-0.0048	-0.0048	-0.0049	-0.0055	-0.0046	-0.0049	-0.005	-0.0048	-0.0049	-0.0043	-0.0047	-0.0047	-0.0052	-0.0048	-0.0052	-0.0044	-0.0052	-0.0043	-0.0049	-0.0049	-0.0048	-0.0046	-0.0057	-0.0053	-0.0056	-0.0048	-0.0049	-0.005
covar_vc_estimate	0.4692	0.1603	0.0711	0.0761	-0.0129	0.0079	0.0073	0.0116	-0.0016	0.0071	0.0029	0.003	0.008	-0.0284	0.0076	-0.0265	-0.0041	-0.0167	0.008	-0.0038	-0.0035	0.0057	0.0038	-0.0207	0.003	0.0017	0.0071	0.0042	0.0015	-0.0213	0.0073	0.0062	0.0001	-0.0187	0.0033	0.0053	0.0009	-0.0108	0.0063	0.0037	0.006	-0.0224	0.0037	0.0034	0.0039	-0.054	-0.0112	0.0067	0.0059	-0.0216	0.0106	0.0068	-0.0157	-0.0039	0.0033	-0.0551	0.0061	0.0069	0.0048	0.0043	0.0078	0.006	0.0028	0.0029	0.0024	-0.0014	0.0067	0.0065	0.005	0.007	0.005	-0.0033	-0.0025	0.0078	-0.0273	-0.0336	0.0071	0.0063	-0.0007	-0.0014	-0.03	0.0025	-0.0409	-0.0009	-0.0177	-0.0104	0.0047	0.0037	-0.0035	-0.0173	-0.0162	-0.0122	0.0052	0.0053	0.0038	0.0048	0.0078	0.0067	0.0044	-0.1086
covar_vc_estimate_se	25.0846	15.397	5.4149	3.7803	1.3437	0.7443	0.685	0.6438	0.5312	0.4302	0.5097	0.5775	0.4097	0.4117	0.3979	0.3634	0.3984	0.3571	0.4203	0.3488	0.3605	0.3861	0.3446	0.3708	0.3843	0.404	0.3465	0.353	0.3681	0.3805	0.3314	0.3385	0.3505	0.3398	0.3556	0.3418	0.3965	0.4135	0.3751	0.3626	0.3462	0.3876	0.3879	0.356	0.3467	0.364	0.3531	0.3628	0.3705	0.4555	0.3513	0.373	0.3866	0.3647	0.3487	0.3716	0.3557	0.3549	0.3901	0.3507	0.4225	0.3535	0.3484	0.3888	0.3759	0.3793	0.3843	0.3457	0.3614	0.3911	0.3748	0.432	0.3747	0.3622	0.361	0.4055	0.3434	0.3681	0.366	0.3606	0.3588	0.3253	0.3502	0.3557	0.3863	0.3551	0.3915	0.3238	0.381	0.3236	0.3561	0.3666	0.3505	0.3414	0.4234	0.3797	0.4134	0.352	0.3628	0.3813
