	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0517	0.0062	-0.0026	-0.0017	-0.0083	-0.0017	-0.0116	-0.0079	0.0305	0.0237	-0.0102	-0.0031	0.0277	0.0104	-0.0196	0.0261	-0.0125	0.0038	0.0184	-0.0082	0.0074	0.06	-0.0063	-0.0071	0.0791	-0.0019	0.0035	-0.0057	0.012	0.0	-0.0078	-0.0082	-0.0046	-0.0073	0.0049	0.0032	0.0044	-0.0047	-0.0034	-0.0058	0.0087	0.0	-0.0141	-0.0013	0.0204	0.0064	0.0036	-0.0054	-0.0052	-0.0029	-0.0077	-0.0052	-0.008	-0.0071	-0.0072	-0.0066	0.0323	0.0207	-0.0103	-0.0071	-0.0014	0.0567	-0.0074	-0.0193	0.0069	-0.0001	-0.0014	0.0054	0.0279	0.0021	-0.0065	0.0388	0.0357	0.0011	-0.0079	0.0276	-0.0061	-0.0112	-0.0101	-0.0053	0.0035	-0.0081	-0.0062	-0.0047	-0.01	0.0156	-0.0047	-0.0068	0.0144	0.0237	-0.0071	0.011	0.0546	0.003	0.1378	0.0292	-0.0005	0.0084	0.0381	0.0328
direct_vc_estimate_se	0.0219	0.0145	0.0083	0.0106	0.0113	0.0299	0.0105	0.0067	0.0225	0.0076	0.0097	0.0067	0.0248	0.013	0.0181	0.0096	0.0108	0.0108	0.0071	0.0071	0.0081	0.018	0.0063	0.0077	0.0087	0.007	0.0075	0.0066	0.0071	0.0098	0.0071	0.0069	0.0074	0.0072	0.0082	0.007	0.0155	0.006	0.0074	0.0064	0.0061	0.0086	0.0119	0.0273	0.0075	0.01	0.0075	0.0061	0.0081	0.006	0.0073	0.0066	0.0068	0.0063	0.0065	0.0066	0.0179	0.0106	0.0087	0.0108	0.0067	0.0073	0.008	0.0191	0.0061	0.0059	0.0183	0.0095	0.0102	0.0087	0.0107	0.0098	0.0257	0.0072	0.007	0.0091	0.0069	0.0119	0.0086	0.0081	0.0157	0.0071	0.0065	0.009	0.0086	0.0057	0.0082	0.007	0.0064	0.0056	0.0063	0.006	0.0112	0.0063	0.0066	0.013	0.0079	0.0089	0.0236	0.0093
direct_vc_pvals	0.135	0.341	0.485	0.519	0.679	0.754	0.854	0.954	0.384	0.136	0.828	0.561	0.43	0.432	0.927	0.184	0.914	0.428	0.139	0.908	0.275	0.166	0.736	0.726	0.016	0.471	0.369	0.645	0.137	0.501	0.843	0.955	0.577	0.797	0.252	0.341	0.535	0.636	0.52	0.658	0.239	0.47	0.991	0.765	0.175	0.4	0.324	0.713	0.626	0.523	0.814	0.62	0.932	0.853	0.823	0.749	0.327	0.173	0.979	0.689	0.497	0.023	0.716	0.922	0.315	0.474	0.672	0.335	0.187	0.433	0.631	0.099	0.4	0.386	0.879	0.175	0.712	0.82	0.947	0.613	0.526	0.871	0.712	0.61	0.916	0.178	0.648	0.731	0.174	0.112	0.851	0.196	0.084	0.436	0.0	0.224	0.449	0.291	0.379	0.117
upper95_perm_direct	0.1434	0.1115	0.0616	0.0932	0.0853	0.2093	0.0891	0.0467	0.1645	0.0588	0.0956	0.059	0.1715	0.118	0.1346	0.0825	0.0994	0.0839	0.0525	0.0736	0.0599	0.1519	0.0454	0.0835	0.0657	0.0536	0.0693	0.0417	0.0334	0.0786	0.0627	0.062	0.0515	0.0585	0.041	0.0605	0.1475	0.0438	0.0499	0.0415	0.0465	0.0804	0.1008	0.1949	0.0718	0.1073	0.046	0.0627	0.0662	0.0451	0.0661	0.0521	0.0523	0.0505	0.0445	0.0643	0.1513	0.0727	0.0993	0.091	0.0566	0.0542	0.062	0.1439	0.0646	0.0515	0.1417	0.0607	0.0855	0.0811	0.0851	0.0849	0.1775	0.0538	0.075	0.086	0.062	0.1427	0.0731	0.0597	0.1399	0.0468	0.0706	0.0909	0.0663	0.0564	0.0884	0.0476	0.0499	0.0573	0.047	0.0443	0.0979	0.0706	0.0581	0.0996	0.0563	0.0674	0.174	0.0736
lower0_perm_direct	-0.0435	-0.028	-0.0163	-0.0197	-0.0217	-0.0531	-0.0206	-0.013	-0.044	-0.0146	-0.0187	-0.0131	-0.0478	-0.0246	-0.0341	-0.0185	-0.0206	-0.02	-0.0137	-0.0133	-0.016	-0.0338	-0.0123	-0.0149	-0.0168	-0.0136	-0.0145	-0.0127	-0.0138	-0.0189	-0.0133	-0.0134	-0.0148	-0.0137	-0.0158	-0.014	-0.0298	-0.0118	-0.0141	-0.0122	-0.012	-0.0168	-0.0226	-0.047	-0.0145	-0.019	-0.015	-0.0118	-0.015	-0.0116	-0.0139	-0.0127	-0.0131	-0.012	-0.0123	-0.0126	-0.0327	-0.0204	-0.0167	-0.0205	-0.0129	-0.0138	-0.016	-0.0374	-0.0118	-0.0118	-0.0358	-0.0179	-0.0194	-0.0165	-0.0213	-0.0185	-0.0472	-0.0136	-0.0132	-0.0174	-0.0136	-0.0227	-0.0162	-0.0155	-0.0298	-0.014	-0.0126	-0.0173	-0.0168	-0.0109	-0.0158	-0.0136	-0.0125	-0.0108	-0.0121	-0.0119	-0.0215	-0.0126	-0.0127	-0.0246	-0.0156	-0.0175	-0.0416	-0.0183
sad_vc_estimate	0.2163	0.0653	-0.0005	0.0083	-0.0134	0.0228	-0.0094	-0.0015	-0.0027	0.0378	-0.0116	0.0007	0.0162	0.0099	-0.0166	0.0363	-0.0128	0.0108	0.0098	-0.0042	0.0261	0.025	-0.0073	0.0013	0.103	-0.0005	0.0143	-0.006	0.017	-0.0053	-0.0073	-0.0053	0.0037	-0.0052	0.0206	0.0002	-0.0083	-0.007	-0.0067	-0.0062	-0.0057	-0.0013	-0.014	0.0025	0.0323	0.0017	-0.001	-0.0053	-0.0081	-0.0048	0.0009	0.0002	-0.0075	-0.0066	-0.0077	-0.0078	0.0449	0.0551	-0.0103	-0.012	-0.0024	0.0498	0.0174	-0.022	0.0016	-0.0018	0.0051	0.0162	0.0135	0.0078	-0.0101	0.0202	0.0267	-0.007	-0.0033	0.0682	-0.0014	0.0044	-0.0103	-0.0093	-0.0059	-0.0002	0.0223	-0.0002	-0.0099	0.0444	0.0014	-0.006	0.017	0.0541	-0.0001	0.0299	0.105	0.0128	0.1884	0.0669	0.0149	0.0214	0.0273	0.0428
sad_vc_estimate_se	0.0221	0.0146	0.0083	0.0106	0.0114	0.0299	0.0105	0.0067	0.0226	0.0076	0.0098	0.0068	0.0249	0.013	0.0181	0.0097	0.0108	0.0108	0.0071	0.0071	0.0081	0.018	0.0063	0.0078	0.0088	0.0071	0.0076	0.0067	0.0072	0.0099	0.0071	0.007	0.0075	0.0073	0.0083	0.0071	0.0156	0.0061	0.0075	0.0065	0.0062	0.0086	0.0119	0.0274	0.0076	0.0101	0.0075	0.0062	0.0081	0.0061	0.0073	0.0067	0.0069	0.0064	0.0065	0.0066	0.0179	0.0106	0.0087	0.0108	0.0068	0.0073	0.008	0.0191	0.0061	0.0059	0.0183	0.0095	0.0102	0.0087	0.0107	0.0098	0.0257	0.0072	0.0071	0.0091	0.007	0.012	0.0087	0.0082	0.0157	0.0072	0.0066	0.0091	0.0086	0.0057	0.0083	0.0071	0.0064	0.0056	0.0063	0.006	0.0112	0.0063	0.0066	0.013	0.008	0.009	0.0236	0.0093
sad_vc_pvals	0.037	0.116	0.472	0.409	0.964	0.559	0.745	0.532	0.687	0.141	0.998	0.556	0.534	0.455	0.846	0.148	0.981	0.362	0.28	0.666	0.154	0.413	0.915	0.492	0.008	0.488	0.243	0.701	0.158	0.618	0.803	0.69	0.368	0.628	0.155	0.504	0.704	0.899	0.701	0.747	0.756	0.532	0.968	0.7	0.135	0.509	0.455	0.759	0.763	0.728	0.487	0.443	0.831	0.794	0.945	0.952	0.254	0.078	0.955	0.883	0.565	0.065	0.178	0.958	0.48	0.616	0.539	0.25	0.331	0.396	0.778	0.269	0.485	0.765	0.599	0.062	0.548	0.501	0.988	0.879	0.646	0.482	0.181	0.555	0.902	0.048	0.545	0.729	0.185	0.052	0.474	0.091	0.027	0.331	0.003	0.087	0.239	0.219	0.451	0.105
upper95_perm_sad	0.2838	0.1483	0.0779	0.1307	0.1122	0.2482	0.1127	0.0736	0.2006	0.1085	0.1246	0.1	0.2134	0.1313	0.1437	0.1035	0.119	0.1185	0.068	0.0998	0.0746	0.1666	0.0696	0.0975	0.0839	0.0761	0.0779	0.0632	0.0554	0.11	0.0924	0.0791	0.068	0.078	0.0663	0.0965	0.1872	0.0571	0.0514	0.0567	0.071	0.0928	0.1164	0.2268	0.0897	0.11	0.0654	0.0808	0.0888	0.0712	0.0795	0.0602	0.0741	0.0655	0.0574	0.0806	0.1715	0.096	0.1219	0.1221	0.0683	0.0794	0.0711	0.174	0.0782	0.0882	0.1521	0.0741	0.1068	0.1005	0.1	0.1102	0.2006	0.0771	0.0978	0.1101	0.0929	0.1832	0.087	0.0739	0.1623	0.066	0.0802	0.1153	0.085	0.06	0.1271	0.0648	0.0699	0.078	0.0696	0.0637	0.1151	0.1049	0.0903	0.1166	0.0733	0.1027	0.2088	0.09
lower0_perm_sad	-0.0428	-0.0282	-0.0159	-0.0209	-0.0221	-0.0552	-0.0207	-0.0128	-0.0443	-0.0153	-0.0182	-0.013	-0.0472	-0.0245	-0.0341	-0.0187	-0.0209	-0.0212	-0.0141	-0.0141	-0.0153	-0.0344	-0.012	-0.0155	-0.0176	-0.0136	-0.0151	-0.013	-0.0139	-0.0189	-0.0137	-0.0137	-0.014	-0.0139	-0.0159	-0.0131	-0.0285	-0.0118	-0.0147	-0.0125	-0.0121	-0.0163	-0.0233	-0.0514	-0.0149	-0.0196	-0.0143	-0.0116	-0.0159	-0.0114	-0.0137	-0.0129	-0.0132	-0.012	-0.0124	-0.0126	-0.0348	-0.0203	-0.0167	-0.0211	-0.0129	-0.014	-0.0151	-0.0345	-0.0118	-0.0113	-0.0354	-0.0178	-0.02	-0.0171	-0.0206	-0.0188	-0.0469	-0.0137	-0.0136	-0.0171	-0.0135	-0.0239	-0.0162	-0.016	-0.0298	-0.0132	-0.0124	-0.0176	-0.0167	-0.011	-0.0158	-0.0137	-0.0122	-0.0113	-0.0118	-0.0113	-0.0212	-0.0121	-0.0125	-0.025	-0.0152	-0.0174	-0.0436	-0.0181
