	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0048	0.1122	-0.0106	0.0302	0.0013	-0.0001	0.0002	-0.0099	0.0308	0.1635	0.0225	0.0301	-0.0044	0.0509	-0.0009	-0.0041	-0.0028	-0.0015	0.0963	0.0012	0.0173	0.0932	-0.0005	-0.0032	-0.0025	0.0336	-0.0038	0.0067	0.0059	-0.0036	-0.005	-0.0034	-0.0043	0.0035	0.0091	0.0015	0.0543	-0.0064	-0.0039	-0.0065	-0.0079	0.1825	0.0043	0.0421	0.0046	-0.0036	0.0706	-0.0043	-0.0034	0.0125	0.0503	0.0249	-0.0013	0.0531	0.0092	-0.0051	0.0063	-0.0035	0.004	0.0426	-0.0074	0.0041	0.0049	-0.0021	0.1088	0.067	-0.0011	0.0068	0.0012	0.0928	-0.0036	0.0021	-0.0016	-0.0035	-0.0027	0.0039	-0.0043	0.0103	0.0157	0.0145	-0.0036	-0.0013	0.0033	0.0371	0.0125	0.0009	0.0014	0.0045	-0.0009	0.033	0.0018	0.0009	-0.0116	-0.0036	0.1381	0.0907	-0.0104	0.0588	-0.0027	-0.0028
direct_vc_estimate_se	0.0145	0.0031	0.0029	0.0017	0.0011	0.0013	0.0012	0.0024	0.0011	0.0016	0.001	0.0021	0.0011	0.001	0.0009	0.001	0.001	0.001	0.0034	0.0011	0.001	0.0044	0.0009	0.0008	0.0025	0.0009	0.0009	0.0013	0.001	0.001	0.0014	0.0014	0.0011	0.0014	0.0012	0.0011	0.0012	0.0018	0.0011	0.0016	0.0019	0.001	0.001	0.0008	0.0012	0.0009	0.001	0.0011	0.0009	0.0011	0.001	0.0009	0.0008	0.0016	0.0018	0.0018	0.0016	0.0018	0.0008	0.0007	0.0026	0.0008	0.0011	0.0015	0.0025	0.0008	0.001	0.0008	0.0008	0.0008	0.0009	0.0019	0.0008	0.002	0.0009	0.0008	0.0011	0.0011	0.0009	0.0009	0.0016	0.001	0.0014	0.0008	0.0009	0.0008	0.0007	0.0009	0.0012	0.0009	0.0008	0.0011	0.0032	0.0009	0.0013	0.0008	0.0036	0.0022	0.0009	0.0015
direct_vc_pvals	0.488	0.102	0.822	0.179	0.592	0.599	0.639	0.965	0.22	0.022	0.24	0.197	0.929	0.051	0.676	0.963	0.859	0.707	0.049	0.617	0.314	0.122	0.632	0.962	0.409	0.16	0.979	0.405	0.402	0.884	0.775	0.677	0.977	0.469	0.321	0.474	0.069	0.82	0.866	0.979	0.994	0.005	0.43	0.164	0.619	0.903	0.104	0.972	0.866	0.449	0.058	0.205	0.677	0.173	0.338	0.732	0.275	0.622	0.398	0.071	0.711	0.515	0.328	0.541	0.007	0.011	0.781	0.437	0.52	0.031	0.919	0.392	0.752	0.545	0.831	0.486	0.9	0.214	0.277	0.212	0.689	0.604	0.541	0.047	0.273	0.516	0.588	0.305	0.639	0.062	0.513	0.532	0.782	0.953	0.003	0.009	0.709	0.029	0.798	0.684
upper95_perm_direct	0.3292	0.1947	0.0658	0.0771	0.0694	0.0797	0.0871	0.1876	0.0858	0.1379	0.079	0.0941	0.1071	0.057	0.0461	0.0975	0.125	0.0595	0.1113	0.0907	0.0732	0.1616	0.0552	0.0526	0.0377	0.0711	0.0526	0.0684	0.0493	0.0541	0.0313	0.052	0.0408	0.0742	0.0581	0.0456	0.0684	0.0698	0.0492	0.0441	0.0797	0.109	0.0461	0.0903	0.1246	0.0474	0.1158	0.0504	0.0709	0.1473	0.0578	0.0715	0.0468	0.1258	0.0649	0.0904	0.0393	0.0603	0.0385	0.0563	0.0749	0.0679	0.0408	0.0352	0.0732	0.0418	0.0762	0.0653	0.0408	0.0942	0.067	0.0462	0.0625	0.042	0.0639	0.0498	0.0504	0.0366	0.0546	0.0393	0.0581	0.0424	0.0865	0.041	0.046	0.0445	0.0644	0.0316	0.0521	0.0402	0.0441	0.056	0.0529	0.0554	0.0747	0.0603	0.0984	0.0558	0.0565	0.0723
lower0_perm_direct	-0.0823	-0.0178	-0.0164	-0.0091	-0.006	-0.0068	-0.0065	-0.0135	-0.0061	-0.0085	-0.0052	-0.0118	-0.0062	-0.0054	-0.0049	-0.0054	-0.0051	-0.0055	-0.0181	-0.0062	-0.0054	-0.024	-0.0049	-0.0041	-0.0132	-0.0049	-0.005	-0.007	-0.0052	-0.0051	-0.0078	-0.0079	-0.0056	-0.0072	-0.0064	-0.0058	-0.0068	-0.0096	-0.0059	-0.0085	-0.0105	-0.0055	-0.0054	-0.0045	-0.0063	-0.005	-0.0051	-0.0057	-0.005	-0.0061	-0.0051	-0.0052	-0.0043	-0.0084	-0.01	-0.0099	-0.0088	-0.0098	-0.0043	-0.0042	-0.0136	-0.0044	-0.006	-0.0079	-0.0143	-0.0045	-0.0053	-0.0044	-0.0041	-0.0049	-0.005	-0.0104	-0.0041	-0.011	-0.0048	-0.0043	-0.0059	-0.0057	-0.0049	-0.0052	-0.0094	-0.0059	-0.0075	-0.0043	-0.0046	-0.0044	-0.004	-0.0046	-0.0068	-0.005	-0.0041	-0.0058	-0.0176	-0.0049	-0.0067	-0.0042	-0.0198	-0.012	-0.0051	-0.0087
sad_vc_estimate	0.159	0.1802	-0.0108	0.0221	-0.0011	0.0018	0.0014	-0.01	0.0548	0.2574	0.0076	0.0252	0.002	0.0547	-0.0009	-0.0014	0.0003	0.0173	0.1273	-0.0003	0.0386	0.1637	-0.0015	0.0097	-0.0024	0.0751	-0.0027	0.0384	0.004	-0.0012	-0.0053	-0.0053	0.0037	0.0049	0.0033	0.0019	0.0452	-0.0054	-0.004	-0.0055	-0.0073	0.3082	-0.0005	0.0465	-0.0048	-0.0032	0.0779	-0.0002	-0.0031	0.0305	0.0668	0.0321	0.0055	0.073	0.0267	-0.0074	0.0183	0.0087	-0.002	0.0834	-0.003	0.004	0.0084	0.0084	0.1004	0.0913	0.0045	0.011	0.0011	0.159	-0.0037	0.0191	-0.003	0.0052	-0.0034	0.0129	-0.002	0.041	0.0421	0.0291	0.0037	-0.0032	0.0058	0.1002	0.0531	0.0162	0.0064	0.001	-0.0007	0.0426	-0.0004	0.0018	-0.0114	-0.0037	0.2106	0.1617	-0.011	0.0858	-0.0037	0.0014
sad_vc_estimate_se	0.0145	0.0031	0.0029	0.0017	0.0011	0.0013	0.0012	0.0024	0.0011	0.0016	0.001	0.0021	0.0011	0.001	0.0009	0.001	0.001	0.001	0.0034	0.0011	0.001	0.0044	0.0009	0.0008	0.0025	0.0009	0.0009	0.0013	0.001	0.001	0.0014	0.0014	0.0011	0.0014	0.0012	0.0011	0.0012	0.0018	0.0011	0.0016	0.0019	0.001	0.001	0.0008	0.0012	0.0009	0.001	0.0011	0.0009	0.0011	0.001	0.0009	0.0008	0.0016	0.0018	0.0018	0.0016	0.0018	0.0008	0.0007	0.0026	0.0008	0.0011	0.0015	0.0025	0.0008	0.001	0.0008	0.0008	0.0009	0.0009	0.0019	0.0008	0.002	0.0009	0.0008	0.0011	0.0011	0.0009	0.0009	0.0016	0.001	0.0014	0.0008	0.0009	0.0008	0.0007	0.0009	0.0012	0.001	0.0008	0.0011	0.0032	0.0009	0.0013	0.0008	0.0036	0.0022	0.0009	0.0015
sad_vc_pvals	0.344	0.122	0.871	0.322	0.751	0.625	0.71	0.99	0.247	0.036	0.547	0.363	0.719	0.122	0.747	0.795	0.738	0.35	0.083	0.712	0.254	0.111	0.772	0.406	0.512	0.092	0.829	0.233	0.542	0.73	0.869	0.902	0.5	0.571	0.525	0.545	0.201	0.794	0.89	0.822	0.874	0.012	0.686	0.281	0.981	0.864	0.159	0.685	0.893	0.421	0.069	0.234	0.509	0.186	0.312	0.958	0.222	0.428	0.777	0.041	0.662	0.615	0.359	0.325	0.06	0.016	0.733	0.467	0.632	0.026	0.969	0.255	0.929	0.405	0.943	0.438	0.732	0.092	0.212	0.15	0.593	0.817	0.569	0.016	0.069	0.269	0.529	0.594	0.745	0.095	0.686	0.612	0.787	0.978	0.005	0.003	0.763	0.067	0.978	0.646
upper95_perm_sad	0.6133	0.3762	0.1335	0.1263	0.1234	0.1132	0.159	0.2901	0.1668	0.2583	0.1295	0.1593	0.1652	0.1003	0.0842	0.1646	0.1672	0.0896	0.2002	0.1333	0.1205	0.2972	0.0893	0.0767	0.0717	0.1211	0.0792	0.1148	0.0849	0.0742	0.0477	0.0914	0.0712	0.1192	0.08	0.0696	0.1286	0.1129	0.0782	0.0832	0.1218	0.1915	0.0784	0.1525	0.1714	0.0763	0.1686	0.0976	0.1144	0.2169	0.0909	0.1076	0.0826	0.1822	0.1174	0.1069	0.0707	0.0778	0.066	0.0901	0.1308	0.1147	0.0575	0.062	0.1236	0.0632	0.1453	0.1036	0.074	0.1488	0.1207	0.0863	0.1115	0.0758	0.076	0.0986	0.0898	0.0641	0.109	0.0681	0.1007	0.0776	0.1351	0.0751	0.0722	0.0608	0.0929	0.0605	0.1039	0.0639	0.0791	0.0918	0.088	0.097	0.1278	0.0931	0.182	0.1092	0.0799	0.1231
lower0_perm_sad	-0.0756	-0.0174	-0.0166	-0.0093	-0.006	-0.0067	-0.0067	-0.0131	-0.0062	-0.0093	-0.0054	-0.0111	-0.0061	-0.0055	-0.0047	-0.0059	-0.0047	-0.0055	-0.0179	-0.0063	-0.0053	-0.0238	-0.0048	-0.0042	-0.0137	-0.0049	-0.0048	-0.0068	-0.0054	-0.0051	-0.0078	-0.0075	-0.0056	-0.0079	-0.0062	-0.0057	-0.0066	-0.0098	-0.0057	-0.0088	-0.0104	-0.0054	-0.0051	-0.0043	-0.0062	-0.0049	-0.0055	-0.0057	-0.0049	-0.0058	-0.0051	-0.0049	-0.0044	-0.0083	-0.0097	-0.0097	-0.009	-0.0095	-0.0043	-0.0037	-0.0136	-0.0044	-0.0058	-0.0079	-0.0144	-0.0046	-0.0051	-0.0044	-0.0042	-0.0047	-0.0051	-0.0108	-0.0042	-0.0116	-0.0046	-0.0046	-0.006	-0.0058	-0.0049	-0.0051	-0.0086	-0.0055	-0.0076	-0.0046	-0.0047	-0.0045	-0.004	-0.0044	-0.0068	-0.005	-0.0042	-0.0058	-0.0171	-0.0048	-0.0069	-0.0043	-0.0198	-0.0117	-0.0049	-0.0084
