	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.5599	0.1246	0.0883	0.0503	-0.0002	0.0709	0.0971	0.0203	0.0063	0.0198	0.0736	0.0483	0.0355	0.033	0.001	-0.0015	-0.0018	0.0048	0.1052	0.0015	0.007	0.0017	0.0028	-0.0009	-0.0002	0.057	0.001	0.0095	0.0255	0.0032	-0.0018	0.0032	-0.0017	0.0235	0.0106	0.0016	0.0006	0.0404	-0.0019	0.0994	-0.0012	0.0041	0.0011	0.0027	0.0208	0.0003	-0.0019	0.0058	-0.0019	-0.0013	0.0041	0.0057	0.0115	-0.0019	0.0352	0.0411	0.0065	0.0253	0.0001	0.0034	0.002	-0.0001	0.0015	0.0105	0.0028	-0.0017	-0.0018	0.0223	0.0103	-0.0025	0.0334	-0.0017	0.0167	0.0087	0.002	-0.0015	-0.0016	0.0066	0.0035	-0.0016	-0.0013	0.0087	0.0002	0.0107	0.0067	0.0035	0.0208	0.0037	0.0284	0.0015	0.0014	-0.0001	0.0093	0.0005	0.0228	0.0009	0.0174	0.032	0.0025	0.0083
direct_vc_estimate_se	0.0126	0.0051	0.0038	0.0038	0.0031	0.0035	0.0038	0.0035	0.0031	0.0044	0.0049	0.0039	0.0037	0.003	0.0032	0.004	0.0033	0.003	0.0042	0.0033	0.0029	0.003	0.0036	0.0031	0.0034	0.0043	0.003	0.0031	0.0029	0.0038	0.003	0.003	0.003	0.0029	0.003	0.0036	0.0034	0.0029	0.003	0.0033	0.0029	0.0028	0.0033	0.0029	0.0033	0.0031	0.0048	0.0029	0.0031	0.004	0.0027	0.0027	0.003	0.0031	0.003	0.0029	0.0034	0.0041	0.0035	0.0027	0.0032	0.003	0.0028	0.0031	0.0033	0.0029	0.0029	0.003	0.0033	0.0047	0.0028	0.004	0.0031	0.0039	0.0033	0.0028	0.0034	0.0031	0.0036	0.0026	0.003	0.0026	0.0032	0.0028	0.0032	0.0027	0.003	0.0029	0.0029	0.0048	0.0028	0.0028	0.0029	0.0031	0.0053	0.0027	0.0028	0.0031	0.003	0.0037
direct_vc_pvals	0.061	0.114	0.011	0.041	0.691	0.024	0.022	0.06	0.294	0.142	0.017	0.073	0.044	0.176	0.546	0.633	0.857	0.349	0.002	0.466	0.177	0.341	0.64	0.796	0.579	0.021	0.541	0.215	0.08	0.774	0.921	0.401	0.887	0.227	0.284	0.664	0.61	0.005	1.0	0.001	0.858	0.465	0.495	0.341	0.037	0.539	0.674	0.311	0.978	0.567	0.486	0.157	0.253	0.917	0.05	0.029	0.316	0.176	0.57	0.369	0.412	0.676	0.594	0.174	0.277	0.848	0.945	0.148	0.221	0.791	0.024	0.769	0.208	0.133	0.517	0.821	0.812	0.226	0.361	0.937	0.717	0.228	0.723	0.074	0.302	0.375	0.07	0.36	0.021	0.367	0.454	0.748	0.2	0.687	0.105	0.47	0.152	0.056	0.565	0.272
upper95_perm_direct	1.0728	0.2987	0.0984	0.0884	0.06	0.0929	0.1525	0.0391	0.0474	0.0658	0.0894	0.104	0.067	0.1071	0.0563	0.0285	0.0525	0.0467	0.0902	0.047	0.0303	0.0261	0.0795	0.0773	0.0378	0.0805	0.0413	0.0456	0.06	0.1112	0.0421	0.0424	0.0476	0.088	0.0713	0.0973	0.0563	0.0414	0.0937	0.0759	0.0693	0.0664	0.0433	0.0317	0.0321	0.0322	0.0388	0.0393	0.0348	0.0216	0.0674	0.0235	0.0633	0.038	0.0652	0.0665	0.0451	0.0949	0.041	0.038	0.0353	0.0533	0.0518	0.0419	0.0282	0.0218	0.0382	0.0699	0.0482	0.0416	0.0424	0.0567	0.0727	0.0313	0.0618	0.0444	0.0499	0.0372	0.043	0.0266	0.0239	0.0384	0.0916	0.0229	0.054	0.0338	0.0444	0.0483	0.0356	0.0286	0.037	0.0526	0.0361	0.0595	0.0588	0.0307	0.0594	0.0568	0.0632	0.0516
lower0_perm_direct	-0.0184	-0.008	-0.0053	-0.0061	-0.0048	-0.0054	-0.0057	-0.0055	-0.0049	-0.0069	-0.0077	-0.0057	-0.0059	-0.0043	-0.0048	-0.0065	-0.005	-0.0049	-0.0065	-0.0048	-0.0045	-0.0047	-0.0052	-0.0048	-0.0055	-0.0062	-0.0045	-0.0049	-0.0043	-0.0054	-0.0047	-0.0049	-0.0046	-0.0047	-0.0048	-0.0054	-0.0055	-0.0043	-0.0046	-0.0049	-0.0046	-0.0041	-0.0053	-0.0044	-0.0051	-0.0046	-0.0077	-0.0044	-0.0043	-0.0061	-0.0041	-0.0043	-0.0047	-0.0046	-0.0046	-0.0043	-0.0053	-0.0059	-0.0056	-0.0042	-0.0047	-0.0047	-0.0042	-0.0048	-0.0052	-0.0045	-0.0043	-0.0045	-0.0047	-0.0075	-0.0042	-0.0064	-0.0044	-0.0059	-0.0051	-0.0041	-0.0052	-0.0049	-0.0054	-0.0042	-0.0049	-0.0042	-0.0047	-0.0041	-0.0049	-0.0042	-0.0047	-0.0047	-0.0044	-0.0078	-0.0046	-0.0045	-0.0045	-0.0046	-0.0085	-0.0045	-0.0042	-0.005	-0.0047	-0.0058
sad_vc_estimate	1.5791	0.294	0.2251	0.1109	0.0056	0.1019	0.1613	0.0286	0.0118	0.0109	0.1232	0.0404	0.0276	0.0624	0.0059	0.0046	-0.0021	0.0023	0.1558	0.0014	0.0051	0.0034	0.0013	0.0008	-0.0021	0.1223	0.0038	0.0135	0.0517	0.0265	-0.0018	0.0089	-0.0018	0.0522	0.0252	0.0153	0.002	0.062	-0.0019	0.128	0.0059	0.0106	0.005	-0.0018	0.0543	0.0025	-0.0006	0.0174	-0.0019	0.0018	0.0134	0.0054	0.0208	-0.002	0.0576	0.068	0.0191	0.0607	-0.0002	0.0002	0.0188	0.0002	0.0064	0.0356	0.0141	-0.0016	-0.0016	0.0491	0.0188	-0.0025	0.0484	-0.0015	0.0294	-0.0007	0.024	-0.0014	-0.0012	0.0025	0.0029	-0.0016	-0.0017	0.0072	-0.0002	0.0103	0.007	0.0088	0.0305	0.0159	0.0282	0.0042	0.0112	0.0051	0.0184	0.004	0.0456	-0.0008	0.0267	0.0728	0.0017	0.0299
sad_vc_estimate_se	0.0126	0.0051	0.0038	0.0038	0.0031	0.0035	0.0039	0.0035	0.0031	0.0044	0.0049	0.0039	0.0038	0.003	0.0032	0.0041	0.0033	0.003	0.0043	0.0033	0.003	0.003	0.0036	0.0031	0.0034	0.0043	0.003	0.0031	0.0029	0.0038	0.003	0.003	0.003	0.0029	0.003	0.0037	0.0034	0.0029	0.003	0.0033	0.0029	0.0028	0.0033	0.0029	0.0033	0.0031	0.0048	0.0029	0.0031	0.004	0.0027	0.0027	0.003	0.0032	0.0031	0.0029	0.0034	0.0041	0.0036	0.0028	0.0032	0.003	0.0028	0.0031	0.0033	0.0029	0.0029	0.003	0.0033	0.0047	0.0028	0.004	0.0032	0.0039	0.0033	0.0028	0.0034	0.0031	0.0036	0.0026	0.003	0.0026	0.0032	0.0028	0.0032	0.0027	0.003	0.0029	0.0029	0.0048	0.0028	0.0029	0.0029	0.0031	0.0053	0.0027	0.0028	0.0031	0.003	0.0038
sad_vc_pvals	0.01	0.064	0.004	0.034	0.511	0.024	0.017	0.042	0.326	0.361	0.009	0.11	0.162	0.179	0.411	0.348	0.986	0.566	0.003	0.573	0.32	0.381	0.822	0.747	0.942	0.016	0.488	0.23	0.047	0.591	0.919	0.344	0.926	0.193	0.216	0.538	0.648	0.019	0.983	0.004	0.618	0.374	0.441	0.926	0.012	0.493	0.623	0.229	0.922	0.408	0.411	0.307	0.287	0.99	0.067	0.039	0.159	0.113	0.705	0.709	0.149	0.74	0.547	0.079	0.14	0.845	0.874	0.103	0.241	0.858	0.022	0.801	0.224	0.664	0.268	0.862	0.821	0.504	0.515	0.92	0.851	0.399	0.853	0.162	0.415	0.274	0.094	0.285	0.048	0.382	0.2	0.682	0.197	0.637	0.111	0.768	0.246	0.051	0.713	0.161
upper95_perm_sad	2.0326	0.5626	0.2265	0.1664	0.1018	0.1393	0.2314	0.0474	0.0867	0.1037	0.1386	0.1079	0.0897	0.1801	0.0748	0.0518	0.0868	0.0762	0.1436	0.0739	0.0436	0.0383	0.1355	0.1253	0.0659	0.1579	0.0705	0.0708	0.0904	0.2058	0.0686	0.0791	0.0737	0.1718	0.1111	0.1678	0.098	0.0827	0.1602	0.1194	0.1279	0.0927	0.0769	0.0513	0.0589	0.0563	0.0703	0.0751	0.0526	0.0353	0.1222	0.0463	0.1238	0.064	0.1172	0.1175	0.0661	0.1502	0.0812	0.0766	0.0693	0.1014	0.1015	0.083	0.0518	0.0353	0.0594	0.1184	0.0872	0.0773	0.0624	0.1019	0.1302	0.0564	0.1117	0.064	0.1102	0.0615	0.0715	0.0522	0.0467	0.0651	0.1697	0.0422	0.073	0.0483	0.0821	0.1003	0.0539	0.0554	0.0451	0.0875	0.0729	0.116	0.117	0.0575	0.1342	0.1275	0.1177	0.0986
lower0_perm_sad	-0.017	-0.0076	-0.0058	-0.0061	-0.0046	-0.0053	-0.0056	-0.0055	-0.0045	-0.0062	-0.0073	-0.0056	-0.006	-0.0045	-0.0052	-0.0063	-0.0051	-0.0046	-0.0064	-0.0053	-0.0048	-0.0043	-0.0056	-0.0051	-0.0047	-0.0061	-0.0046	-0.0047	-0.0042	-0.0058	-0.0049	-0.0049	-0.0049	-0.004	-0.0046	-0.0053	-0.0049	-0.0046	-0.0044	-0.0046	-0.0042	-0.0041	-0.0048	-0.0047	-0.0053	-0.0047	-0.0075	-0.0044	-0.0049	-0.0059	-0.0038	-0.0045	-0.0046	-0.0046	-0.0045	-0.0041	-0.0047	-0.0066	-0.0054	-0.004	-0.0047	-0.0049	-0.0045	-0.005	-0.005	-0.0043	-0.0044	-0.0044	-0.0051	-0.0071	-0.0041	-0.0056	-0.005	-0.006	-0.0053	-0.0041	-0.0055	-0.0048	-0.0051	-0.004	-0.0048	-0.0038	-0.0048	-0.0041	-0.0046	-0.0044	-0.0048	-0.0043	-0.0043	-0.0078	-0.0045	-0.004	-0.0045	-0.0044	-0.0077	-0.0045	-0.0044	-0.0043	-0.0045	-0.0054
