	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.6323	0.1165	0.0712	0.0208	0.0004	0.0164	0.0549	-0.0005	0.003	0.0054	0.0122	0.0003	0.0044	0.0269	0.0035	0.0015	0.0016	-0.0003	0.0428	0.0015	0.0042	0.0002	0.0107	0.0056	0.0012	0.0443	-0.0001	0.0004	0.0257	0.0183	0.0	0.0041	0.0004	0.0199	0.015	0.004	0.0089	0.0066	0.0001	0.0273	0.0024	0.0011	0.0045	0.0	0.0026	0.0011	-0.0016	0.0026	0.0018	0.0015	0.0028	0.0002	0.0042	0.0002	0.0493	0.0141	0.0079	0.0416	0.0005	-0.0002	0.0035	0.0004	-0.0002	0.011	0.0012	-0.0002	-0.0001	0.0256	0.0145	-0.0013	0.0048	-0.0011	0.0243	0.0003	0.0077	0.0012	0.0028	0.0014	0.0018	-0.0003	-0.0	0.0019	0.0136	0.0003	0.0125	0.0037	-0.0002	0.0047	0.0116	0.0055	0.0059	0.0111	0.0059	0.0006	0.0171	0.0002	0.0069	0.0119	0.0132	0.0162
direct_vc_estimate_se	0.0035	0.0014	0.0008	0.0008	0.0006	0.0007	0.0013	0.0008	0.0006	0.0017	0.0021	0.0006	0.0011	0.0007	0.0006	0.0015	0.0006	0.0004	0.0017	0.0008	0.0006	0.0004	0.0013	0.0005	0.0009	0.0017	0.0005	0.0006	0.0004	0.0014	0.0007	0.0007	0.0004	0.0005	0.0007	0.0013	0.0011	0.0005	0.0006	0.0009	0.0005	0.0006	0.0007	0.0005	0.0009	0.0006	0.0024	0.0006	0.0007	0.0016	0.0004	0.0005	0.0004	0.0007	0.0006	0.0006	0.0009	0.0017	0.001	0.0005	0.0006	0.0006	0.0004	0.0006	0.0009	0.0005	0.0005	0.0007	0.0008	0.0024	0.0006	0.0018	0.0009	0.0016	0.001	0.0005	0.0008	0.0005	0.0015	0.0004	0.0007	0.0004	0.0008	0.0005	0.0009	0.0005	0.0004	0.0006	0.0007	0.0023	0.0004	0.0004	0.0006	0.0006	0.0024	0.0005	0.0006	0.0007	0.0007	0.0014
direct_vc_pvals	0.033	0.098	0.008	0.19	0.793	0.116	0.048	0.968	0.4	0.365	0.064	0.711	0.262	0.255	0.347	0.318	0.578	0.969	0.002	0.434	0.123	0.497	0.458	0.432	0.484	0.009	0.797	0.627	0.028	0.455	0.755	0.325	0.687	0.193	0.24	0.537	0.283	0.21	0.883	0.06	0.729	0.64	0.36	0.724	0.348	0.377	1.0	0.468	0.388	0.169	0.56	0.581	0.462	0.84	0.013	0.182	0.148	0.048	0.609	0.885	0.203	0.737	0.929	0.059	0.36	0.779	0.723	0.065	0.075	0.804	0.208	0.901	0.111	0.455	0.262	0.651	0.498	0.471	0.525	0.987	0.651	0.603	0.369	0.507	0.147	0.34	0.922	0.327	0.077	0.136	0.109	0.217	0.195	0.78	0.13	0.688	0.343	0.234	0.252	0.059
upper95_perm_direct	1.0243	0.234	0.0717	0.0655	0.0446	0.0416	0.0896	0.012	0.0263	0.0367	0.0242	0.0177	0.022	0.0861	0.0272	0.0114	0.0311	0.026	0.0477	0.0189	0.0121	0.005	0.048	0.0403	0.0193	0.0522	0.0264	0.0177	0.0365	0.0824	0.0301	0.0243	0.0228	0.0496	0.0561	0.0543	0.0414	0.0239	0.0676	0.0483	0.0595	0.0356	0.0282	0.0159	0.0148	0.0123	0.0227	0.022	0.0165	0.0063	0.0467	0.0092	0.0458	0.0201	0.0512	0.0469	0.0197	0.071	0.0208	0.0196	0.0154	0.0354	0.0423	0.0198	0.0123	0.0123	0.0127	0.0462	0.0275	0.0266	0.0181	0.0297	0.0553	0.0132	0.03	0.0289	0.0409	0.0181	0.0245	0.0154	0.0106	0.0253	0.0712	0.0077	0.0308	0.0214	0.019	0.0312	0.0237	0.016	0.0135	0.0305	0.0175	0.0419	0.0445	0.0194	0.0394	0.0445	0.0502	0.028
lower0_perm_direct	-0.0051	-0.002	-0.0011	-0.0011	-0.0009	-0.001	-0.0018	-0.0012	-0.001	-0.0025	-0.0032	-0.0009	-0.0017	-0.001	-0.0008	-0.0024	-0.0008	-0.0007	-0.0026	-0.0012	-0.0009	-0.0006	-0.0017	-0.0007	-0.0014	-0.0023	-0.0007	-0.0009	-0.0007	-0.0019	-0.0011	-0.001	-0.0007	-0.0007	-0.0011	-0.0019	-0.0016	-0.0007	-0.0008	-0.0013	-0.0007	-0.0008	-0.001	-0.0008	-0.0013	-0.0009	-0.0037	-0.0009	-0.0011	-0.0024	-0.0006	-0.0007	-0.0006	-0.0011	-0.0009	-0.0009	-0.0014	-0.0025	-0.0015	-0.0007	-0.0009	-0.0009	-0.0007	-0.0009	-0.0013	-0.0007	-0.0008	-0.001	-0.0012	-0.0036	-0.0009	-0.0027	-0.0013	-0.0023	-0.0015	-0.0007	-0.0012	-0.0009	-0.0022	-0.0006	-0.001	-0.0006	-0.0011	-0.0008	-0.0013	-0.0007	-0.0006	-0.0009	-0.001	-0.0034	-0.0006	-0.0005	-0.0009	-0.0009	-0.0035	-0.0007	-0.0009	-0.0009	-0.0011	-0.002
sad_vc_estimate	1.4444	0.3655	0.1901	0.0547	0.005	0.0474	0.1123	-0.0004	0.0018	0.0058	0.0657	0.0014	0.0011	0.0608	0.0019	0.0147	0.0005	0.0001	0.0953	0.003	0.0045	0.0016	0.0129	0.0072	0.0037	0.111	0.0002	0.0015	0.0438	0.0558	0.0	0.0074	0.0	0.0411	0.0256	0.0076	0.0157	0.0092	0.0005	0.0508	0.0128	0.0055	0.0139	-0.0001	0.0108	0.0045	0.0053	0.0139	0.0022	0.0059	0.006	0.0007	0.0156	0.0023	0.0741	0.0335	0.0256	0.0762	0.0016	0.0	0.0159	0.0004	-0.0002	0.037	0.0095	-0.0003	0.0016	0.0594	0.029	-0.0012	0.0074	0.0044	0.0514	0.0092	0.0402	0.0063	0.0013	0.0011	0.0012	-0.0003	-0.0004	0.0027	0.0191	0.0008	0.0113	0.0068	0.0005	0.0132	0.0162	0.0086	0.009	0.0312	0.0203	0.0049	0.0383	0.0022	0.0128	0.0398	0.0218	0.0422
sad_vc_estimate_se	0.0035	0.0014	0.0008	0.0008	0.0006	0.0007	0.0013	0.0008	0.0006	0.0017	0.0021	0.0006	0.0011	0.0007	0.0006	0.0015	0.0006	0.0004	0.0017	0.0008	0.0006	0.0004	0.0013	0.0005	0.0009	0.0017	0.0005	0.0006	0.0004	0.0014	0.0007	0.0007	0.0005	0.0005	0.0007	0.0013	0.0011	0.0005	0.0006	0.0009	0.0005	0.0006	0.0007	0.0005	0.0009	0.0006	0.0024	0.0006	0.0007	0.0016	0.0004	0.0005	0.0004	0.0007	0.0006	0.0006	0.0009	0.0017	0.001	0.0005	0.0006	0.0006	0.0004	0.0006	0.0009	0.0005	0.0005	0.0007	0.0008	0.0024	0.0006	0.0018	0.0009	0.0016	0.001	0.0005	0.0008	0.0005	0.0015	0.0004	0.0007	0.0004	0.0008	0.0005	0.0009	0.0005	0.0004	0.0006	0.0007	0.0023	0.0004	0.0004	0.0006	0.0006	0.0024	0.0005	0.0006	0.0007	0.0007	0.0014
sad_vc_pvals	0.013	0.013	0.004	0.187	0.601	0.07	0.046	0.893	0.652	0.489	0.015	0.683	0.722	0.204	0.581	0.083	0.775	0.85	0.004	0.511	0.238	0.409	0.651	0.551	0.486	0.003	0.826	0.615	0.049	0.292	0.829	0.352	0.836	0.248	0.278	0.609	0.354	0.378	0.911	0.062	0.566	0.5	0.278	0.816	0.197	0.352	0.362	0.261	0.503	0.168	0.563	0.632	0.389	0.732	0.035	0.129	0.035	0.047	0.704	0.874	0.104	0.814	0.941	0.015	0.185	0.93	0.58	0.03	0.084	0.882	0.236	0.528	0.1	0.213	0.112	0.443	0.746	0.636	0.714	0.98	0.956	0.605	0.504	0.562	0.308	0.345	0.799	0.336	0.125	0.232	0.129	0.14	0.135	0.691	0.133	0.646	0.46	0.134	0.347	0.042
upper95_perm_sad	1.8831	0.4944	0.1779	0.1519	0.0929	0.0902	0.1871	0.0279	0.0587	0.082	0.0821	0.0393	0.0569	0.1666	0.0461	0.0342	0.0633	0.0619	0.1055	0.04	0.0195	0.0161	0.0997	0.0778	0.0484	0.1088	0.061	0.0405	0.0739	0.1686	0.0586	0.0464	0.0483	0.1142	0.1051	0.113	0.0881	0.0645	0.13	0.0916	0.1051	0.0718	0.0647	0.029	0.0337	0.0322	0.051	0.0547	0.0361	0.0187	0.1076	0.0252	0.0864	0.0505	0.1063	0.0921	0.0406	0.13	0.0491	0.0421	0.0358	0.0722	0.0977	0.0427	0.0328	0.0219	0.0266	0.0904	0.0595	0.0595	0.0345	0.0644	0.1075	0.0392	0.0811	0.052	0.0964	0.0376	0.0577	0.0432	0.022	0.0476	0.1452	0.0189	0.0485	0.0397	0.049	0.0769	0.0391	0.037	0.0232	0.0714	0.0509	0.0943	0.0923	0.0451	0.1136	0.1024	0.1101	0.0673
lower0_perm_sad	-0.0053	-0.002	-0.0012	-0.0011	-0.001	-0.001	-0.0016	-0.0012	-0.001	-0.0025	-0.0031	-0.0009	-0.0016	-0.0009	-0.0008	-0.0022	-0.0009	-0.0007	-0.0024	-0.0011	-0.0008	-0.0006	-0.0017	-0.0007	-0.0014	-0.0025	-0.0007	-0.0008	-0.0006	-0.0018	-0.0011	-0.001	-0.0007	-0.0007	-0.001	-0.0019	-0.0017	-0.0007	-0.0008	-0.0013	-0.0006	-0.0007	-0.001	-0.0008	-0.0014	-0.0008	-0.0037	-0.001	-0.001	-0.0023	-0.0006	-0.0007	-0.0006	-0.001	-0.0009	-0.0008	-0.0012	-0.0024	-0.0015	-0.0007	-0.0009	-0.0008	-0.0005	-0.001	-0.0013	-0.0007	-0.0008	-0.001	-0.0012	-0.0033	-0.0009	-0.0026	-0.0012	-0.0023	-0.0015	-0.0007	-0.0012	-0.0008	-0.002	-0.0005	-0.001	-0.0006	-0.0011	-0.0008	-0.0012	-0.0007	-0.0006	-0.0009	-0.001	-0.0033	-0.0006	-0.0005	-0.001	-0.0009	-0.0037	-0.0007	-0.0008	-0.001	-0.001	-0.0021
