	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0253	0.0485	0.0577	-0.0029	0.0065	0.0297	0.0138	-0.0025	0.0043	-0.0017	0.0004	0.0044	0.0041	-0.0023	0.0087	0.0097	0.0027	-0.002	-0.0022	0.0292	-0.0001	-0.0017	0.0006	-0.0012	0.0009	0.0355	-0.0014	-0.0011	0.0033	0.0044	-0.0011	0.0199	0.02	0.0002	0.0153	0.0265	-0.0017	0.0184	0.0207	-0.0023	0.0162	0.0007	-0.0013	0.0071	0.0013	0.0009	0.0008	-0.0022	0.0038	0.0053	0.0056	0.009	-0.0023	0.003	-0.0004	-0.0001	0.0015	-0.0026	-0.0021	-0.0012	-0.002	0.0073	0.0025	0.0125	0.004	0.0044	0.0063	0.0023	-0.0022	0.0002	0.0005	0.0007	-0.0025	0.0036	0.0058	-0.0021	0.0105	0.0054	-0.0012	0.0053	0.007	0.0029	-0.0012	-0.0025	0.0021	0.0241	0.0059	-0.0025	0.0042	0.0031	-0.0017	0.0153	-0.0015	-0.0019	-0.0018	-0.002	-0.0021	0.0134	0.0163	0.0418
direct_vc_estimate_se	0.1205	0.0473	0.042	0.041	0.0366	0.0512	0.0389	0.0368	0.0335	0.0411	0.0318	0.0371	0.0299	0.0331	0.0361	0.0321	0.0308	0.0333	0.0348	0.0357	0.0356	0.0301	0.0352	0.0311	0.0294	0.0428	0.0362	0.0324	0.0346	0.0332	0.0283	0.0338	0.031	0.0313	0.035	0.0366	0.029	0.0313	0.0336	0.0329	0.0336	0.0329	0.0323	0.0334	0.0391	0.0317	0.0361	0.0338	0.0351	0.0303	0.0387	0.0333	0.0323	0.0332	0.0333	0.0333	0.0314	0.0361	0.0326	0.0324	0.0333	0.0336	0.0316	0.037	0.0387	0.042	0.0372	0.0322	0.0314	0.03	0.0345	0.0329	0.0377	0.0289	0.0441	0.032	0.0354	0.031	0.0351	0.03	0.0319	0.0366	0.0274	0.0355	0.0281	0.0341	0.028	0.0409	0.0284	0.0381	0.0405	0.0305	0.029	0.0304	0.0297	0.0285	0.0404	0.0327	0.0338	0.0304
direct_vc_pvals	0.25	0.033	0.003	0.918	0.258	0.038	0.183	0.871	0.257	0.723	0.542	0.28	0.315	0.947	0.183	0.231	0.37	0.81	0.835	0.021	0.532	0.785	0.51	0.688	0.44	0.023	0.706	0.646	0.384	0.282	0.655	0.044	0.038	0.501	0.073	0.029	0.773	0.062	0.052	0.925	0.115	0.484	0.722	0.215	0.42	0.485	0.417	0.858	0.287	0.217	0.263	0.17	0.999	0.375	0.578	0.538	0.465	0.921	0.797	0.676	0.781	0.148	0.378	0.184	0.323	0.255	0.245	0.371	0.905	0.526	0.521	0.504	0.849	0.339	0.235	0.84	0.123	0.206	0.661	0.227	0.161	0.347	0.706	0.928	0.377	0.044	0.257	0.799	0.229	0.39	0.647	0.09	0.75	0.841	0.813	0.954	0.701	0.114	0.08	0.012
upper95_perm_direct	0.134	0.064	0.0464	0.0435	0.0444	0.0414	0.0495	0.0408	0.0283	0.0467	0.0429	0.0376	0.0385	0.0378	0.0396	0.044	0.0391	0.0379	0.0367	0.032	0.0352	0.0365	0.0419	0.0373	0.0303	0.0459	0.0436	0.0345	0.0438	0.0348	0.0291	0.0326	0.0314	0.0363	0.0313	0.0378	0.0348	0.0343	0.0353	0.0437	0.0456	0.0362	0.0431	0.034	0.0347	0.0355	0.0319	0.0339	0.0361	0.0272	0.0376	0.0314	0.0465	0.0432	0.0411	0.0335	0.0345	0.0388	0.0265	0.0405	0.038	0.0275	0.0354	0.0522	0.0401	0.0324	0.0423	0.0336	0.0469	0.0393	0.04	0.0406	0.0375	0.0369	0.0356	0.0381	0.029	0.0275	0.0357	0.0295	0.0269	0.0377	0.0342	0.0283	0.0316	0.0389	0.0357	0.0327	0.0263	0.0439	0.0311	0.0358	0.0305	0.0369	0.0308	0.0444	0.0301	0.0334	0.0364	0.0442
lower0_perm_direct	-0.0178	-0.0071	-0.0063	-0.006	-0.0053	-0.0078	-0.0059	-0.0055	-0.0051	-0.0061	-0.0046	-0.0056	-0.0043	-0.0048	-0.0052	-0.0046	-0.0042	-0.0047	-0.0051	-0.0055	-0.0053	-0.0043	-0.0053	-0.0043	-0.0042	-0.0064	-0.0055	-0.0048	-0.005	-0.005	-0.0042	-0.0051	-0.0046	-0.0048	-0.0051	-0.0055	-0.0042	-0.0048	-0.0047	-0.0048	-0.005	-0.0049	-0.0046	-0.005	-0.0057	-0.0049	-0.0052	-0.0049	-0.0051	-0.0044	-0.0058	-0.005	-0.0046	-0.0048	-0.0049	-0.0049	-0.0044	-0.0053	-0.005	-0.0047	-0.0049	-0.0051	-0.0045	-0.0056	-0.0058	-0.0062	-0.0054	-0.0047	-0.0047	-0.0043	-0.0051	-0.0047	-0.0056	-0.0041	-0.0064	-0.0046	-0.0052	-0.0044	-0.0054	-0.0044	-0.0047	-0.0053	-0.004	-0.0049	-0.0042	-0.0047	-0.004	-0.0058	-0.0041	-0.0057	-0.0061	-0.0045	-0.0042	-0.0046	-0.0043	-0.0041	-0.006	-0.0046	-0.0051	-0.0043
sad_vc_estimate	0.211	-0.0013	0.2425	-0.0005	0.019	0.0736	0.0238	-0.0022	0.0007	0.0033	-0.001	0.0047	0.0358	-0.0001	0.0414	0.0247	0.0056	-0.0023	-0.0023	0.0312	0.014	-0.0017	0.0108	-0.0022	-0.0007	0.0626	-0.0013	-0.0006	0.0192	0.0044	-0.0016	0.0643	0.0362	-0.0	0.0379	0.0732	-0.0021	0.059	0.0338	0.0086	0.0354	0.012	0.0017	0.0059	-0.0026	0.0009	0.014	-0.0024	0.0063	0.0012	0.0006	0.0033	-0.0013	0.0089	-0.0017	0.0024	0.0043	0.0005	-0.0023	0.0044	-0.002	0.0029	0.0017	0.0113	0.0073	0.0264	0.0103	0.0029	0.0024	-0.001	0.0022	0.0148	-0.0021	0.0034	0.0195	0.0028	0.0223	0.0179	0.0008	0.006	0.0048	-0.0002	0.0028	-0.0013	0.0029	0.0514	0.0208	-0.0018	0.0117	0.0046	-0.0029	0.0153	0.0065	0.001	0.0022	-0.0021	0.002	0.023	0.0234	0.0779
sad_vc_estimate_se	0.1212	0.0477	0.0422	0.0413	0.0368	0.0514	0.0391	0.037	0.0338	0.0413	0.032	0.0373	0.0301	0.0333	0.0363	0.0323	0.031	0.0335	0.035	0.0359	0.0358	0.0303	0.0354	0.0313	0.0296	0.043	0.0364	0.0327	0.0348	0.0334	0.0285	0.034	0.0312	0.0315	0.0352	0.0369	0.0292	0.0315	0.0338	0.0331	0.0338	0.0331	0.0325	0.0336	0.0393	0.0319	0.0363	0.034	0.0353	0.0305	0.0389	0.0335	0.0325	0.0334	0.0335	0.0335	0.0316	0.0363	0.0328	0.0326	0.0335	0.0338	0.0318	0.0372	0.0389	0.0422	0.0374	0.0324	0.0316	0.0302	0.0347	0.0331	0.038	0.0291	0.0444	0.0322	0.0356	0.0312	0.0353	0.0302	0.0321	0.0368	0.0276	0.0357	0.0283	0.0344	0.0282	0.0411	0.0286	0.0383	0.0407	0.0307	0.0292	0.0307	0.0299	0.0287	0.0406	0.0329	0.034	0.0306
sad_vc_pvals	0.018	0.749	0.0	0.655	0.175	0.004	0.225	0.846	0.555	0.517	0.765	0.44	0.064	0.672	0.086	0.162	0.422	0.924	0.915	0.073	0.192	0.821	0.341	0.945	0.732	0.026	0.757	0.695	0.286	0.463	0.787	0.007	0.038	0.63	0.046	0.007	0.942	0.016	0.067	0.314	0.087	0.262	0.583	0.343	0.891	0.588	0.198	0.953	0.372	0.53	0.601	0.428	0.769	0.3	0.828	0.544	0.452	0.605	0.958	0.486	0.83	0.473	0.564	0.34	0.365	0.09	0.316	0.474	0.531	0.754	0.513	0.238	0.832	0.482	0.149	0.515	0.123	0.137	0.547	0.372	0.345	0.65	0.452	0.698	0.468	0.015	0.155	0.736	0.174	0.452	0.952	0.228	0.393	0.596	0.477	0.995	0.488	0.13	0.16	0.006
upper95_perm_sad	0.2213	0.1291	0.0862	0.0837	0.0728	0.0631	0.1073	0.0942	0.0567	0.0912	0.0862	0.0809	0.0683	0.0859	0.0869	0.0829	0.0812	0.0929	0.0733	0.0655	0.0562	0.059	0.1001	0.0683	0.0656	0.0842	0.0758	0.0718	0.1005	0.0728	0.0577	0.0564	0.0585	0.0585	0.0595	0.0728	0.0684	0.067	0.0662	0.0719	0.0853	0.0721	0.0786	0.0527	0.0746	0.0818	0.0561	0.0653	0.0652	0.053	0.0686	0.0526	0.0789	0.0797	0.0711	0.0759	0.0672	0.0724	0.0503	0.0746	0.0624	0.0528	0.0703	0.1052	0.0752	0.0588	0.0729	0.0613	0.0813	0.0685	0.0753	0.0684	0.074	0.0646	0.0651	0.0842	0.0602	0.0566	0.0656	0.0582	0.0498	0.0747	0.059	0.0556	0.0623	0.0582	0.0691	0.0583	0.0459	0.0749	0.0716	0.0709	0.0675	0.0685	0.0531	0.0729	0.0576	0.0681	0.075	0.0751
lower0_perm_sad	-0.0168	-0.0069	-0.0062	-0.0061	-0.0052	-0.0075	-0.0056	-0.0055	-0.0047	-0.0063	-0.0043	-0.0053	-0.0043	-0.0049	-0.0051	-0.0047	-0.0044	-0.005	-0.0048	-0.0049	-0.0053	-0.0047	-0.0051	-0.0047	-0.0043	-0.0061	-0.0052	-0.0043	-0.005	-0.0047	-0.0041	-0.0047	-0.0047	-0.0044	-0.0051	-0.0055	-0.0043	-0.0047	-0.0051	-0.005	-0.0048	-0.0049	-0.0047	-0.0052	-0.0059	-0.0047	-0.005	-0.0052	-0.0054	-0.0043	-0.0055	-0.0047	-0.0046	-0.0049	-0.0047	-0.0047	-0.0046	-0.0052	-0.0049	-0.0048	-0.0047	-0.0049	-0.0045	-0.0055	-0.0059	-0.0061	-0.0053	-0.0046	-0.0046	-0.0043	-0.005	-0.0046	-0.0055	-0.0041	-0.0064	-0.0047	-0.005	-0.0047	-0.0054	-0.0044	-0.0049	-0.0053	-0.0038	-0.0052	-0.0042	-0.0052	-0.0043	-0.0058	-0.0042	-0.0057	-0.0059	-0.0044	-0.0043	-0.0043	-0.0043	-0.0041	-0.0059	-0.0047	-0.0051	-0.0044
