	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0169	-0.0071	-0.0007	0.0122	0.0196	0.0179	-0.0003	0.0033	-0.0014	0.0009	-0.0043	-0.0042	-0.0036	-0.0032	-0.0007	0.0307	0.0008	-0.002	-0.0044	0.0269	0.0048	-0.0027	-0.004	-0.0023	-0.0039	-0.0026	0.0272	-0.0034	-0.0044	-0.0027	-0.0024	-0.0016	0.0004	0.0003	-0.003	0.0233	0.0072	-0.0008	-0.0043	0.0112	0.002	0.01	0.0079	0.0048	-0.0044	0.0038	-0.0027	0.0704	-0.0007	0.0069	0.0006	0.0109	-0.0009	0.0098	0.0018	-0.0022	-0.0018	-0.0022	0.0096	0.004	0.0007	-0.0002	-0.0042	0.0011	-0.0031	-0.004	0.0048	0.0008	0.0033	-0.0019	-0.0018	-0.0029	-0.0034	-0.001	0.0123	0.0042	-0.0045	0.0066	0.0026	-0.0018	-0.0017	0.0264	-0.002	-0.004	-0.004	-0.0036	-0.0007	-0.003	0.0087	0.001	-0.0005	0.0002	0.0102	-0.0039	-0.004	0.0005	0.0243	0.0088	-0.0023	0.0462
direct_vc_estimate_se	1.3349	0.5626	0.43	0.3477	0.3423	0.3376	0.3415	0.3385	0.3559	0.3303	0.3341	0.3295	0.3244	0.331	0.3217	0.3369	0.3274	0.3335	0.3391	0.3314	0.3527	0.3194	0.3239	0.3192	0.3196	0.3325	0.3246	0.3105	0.3476	0.3228	0.3289	0.3279	0.3357	0.3394	0.31	0.3378	0.339	0.3576	0.3533	0.314	0.3206	0.3403	0.326	0.3306	0.3411	0.3139	0.3178	0.3195	0.3215	0.3192	0.3286	0.3166	0.3187	0.3232	0.3324	0.3226	0.3304	0.3318	0.3304	0.3143	0.3205	0.3534	0.3269	0.3158	0.313	0.3096	0.3161	0.3271	0.3528	0.3246	0.3168	0.3579	0.3191	0.3209	0.3224	0.3301	0.3513	0.3188	0.3225	0.3233	0.3168	0.3898	0.31	0.3224	0.3456	0.3072	0.3323	0.335	0.3171	0.3092	0.3207	0.2943	0.3013	0.3092	0.3412	0.3348	0.3339	0.3097	0.3233	0.3168
direct_vc_pvals	0.911	0.907	0.508	0.136	0.058	0.095	0.464	0.343	0.551	0.401	0.985	0.915	0.758	0.703	0.485	0.029	0.455	0.552	0.967	0.04	0.273	0.675	0.891	0.6	0.855	0.641	0.047	0.777	0.89	0.651	0.612	0.562	0.416	0.418	0.703	0.054	0.22	0.489	0.869	0.141	0.373	0.169	0.176	0.268	0.979	0.276	0.652	0.0	0.468	0.221	0.42	0.16	0.527	0.153	0.37	0.597	0.54	0.547	0.17	0.248	0.392	0.431	0.933	0.37	0.725	0.953	0.267	0.386	0.269	0.567	0.594	0.686	0.754	0.489	0.156	0.293	0.916	0.204	0.341	0.548	0.545	0.056	0.607	0.844	0.814	0.82	0.487	0.683	0.168	0.407	0.461	0.446	0.151	0.907	0.791	0.416	0.057	0.168	0.629	0.008
upper95_perm_direct	0.1407	0.048	0.0424	0.0313	0.0271	0.0353	0.0316	0.0357	0.0324	0.0301	0.0262	0.0322	0.037	0.0291	0.0282	0.0297	0.0334	0.0266	0.0364	0.0289	0.032	0.0302	0.0306	0.029	0.0273	0.0314	0.0323	0.0318	0.0298	0.0273	0.0327	0.0281	0.0282	0.0382	0.0236	0.031	0.0341	0.0317	0.0327	0.0336	0.028	0.0287	0.0284	0.0314	0.0274	0.0268	0.0306	0.0259	0.0298	0.0318	0.0267	0.0311	0.0299	0.0287	0.0302	0.0271	0.0286	0.0277	0.0328	0.0232	0.0297	0.0277	0.0271	0.026	0.0288	0.0286	0.0257	0.0264	0.0259	0.0297	0.0279	0.0292	0.0283	0.031	0.034	0.0313	0.0288	0.026	0.0326	0.0267	0.0315	0.0363	0.0317	0.0272	0.0304	0.0273	0.0306	0.0292	0.0253	0.0282	0.0286	0.0269	0.0282	0.0294	0.0255	0.0283	0.0318	0.0228	0.0332	0.0307
lower0_perm_direct	-0.0253	-0.0106	-0.008	-0.0066	-0.0068	-0.0064	-0.0065	-0.0064	-0.0066	-0.0066	-0.0065	-0.0063	-0.0062	-0.0062	-0.0062	-0.0066	-0.0064	-0.0062	-0.0065	-0.0064	-0.0069	-0.0062	-0.0062	-0.0063	-0.0059	-0.0062	-0.0062	-0.0059	-0.0064	-0.0062	-0.0063	-0.0062	-0.0062	-0.0064	-0.0059	-0.0066	-0.0062	-0.0066	-0.0069	-0.0061	-0.0063	-0.0066	-0.0065	-0.0062	-0.0063	-0.0059	-0.0061	-0.0061	-0.0064	-0.0061	-0.0064	-0.0061	-0.0061	-0.0062	-0.0063	-0.0062	-0.0063	-0.0064	-0.0063	-0.0058	-0.0061	-0.0069	-0.0062	-0.0059	-0.0062	-0.0059	-0.006	-0.0062	-0.0067	-0.0061	-0.0058	-0.0067	-0.0059	-0.0061	-0.0061	-0.0061	-0.0067	-0.006	-0.0062	-0.0063	-0.006	-0.0076	-0.0059	-0.0063	-0.0065	-0.006	-0.0064	-0.0062	-0.0061	-0.0059	-0.0061	-0.0055	-0.0059	-0.0058	-0.0066	-0.0064	-0.0062	-0.0058	-0.0063	-0.0062
sad_vc_estimate	-0.0178	-0.0077	0.0133	0.0218	0.0038	0.0388	0.037	0.0008	-0.0018	0.0126	0.0048	-0.0021	0.0006	0.0073	0.0114	0.0407	-0.0027	-0.0046	0.002	0.0636	0.0058	-0.0043	0.0073	-0.0007	-0.0037	-0.0042	0.0178	0.0078	-0.0047	-0.0026	0.0	0.0012	0.0028	0.0006	0.0055	0.0514	0.0096	0.0059	-0.002	0.0189	0.0016	0.0096	0.013	0.0238	-0.0045	0.0135	-0.0029	0.0474	0.001	0.0108	0.0054	0.0128	0.0048	0.0066	0.0021	0.0221	-0.0022	-0.0038	0.016	0.0103	0.0013	-0.0048	0.0003	-0.0032	-0.0041	-0.0042	0.0148	-0.0035	-0.0004	-0.0044	-0.0023	-0.0049	-0.0043	-0.0027	0.0134	0.0019	-0.0046	0.0161	-0.0013	-0.0015	-0.0007	0.0143	-0.0027	0.0187	-0.0006	-0.0042	-0.0024	-0.004	0.013	0.0114	0.0004	-0.0034	0.0314	-0.0041	-0.0047	-0.0016	0.0316	0.0076	-0.0005	0.1074
sad_vc_estimate_se	1.4151	0.5973	0.4553	0.3711	0.3646	0.3591	0.3631	0.3593	0.3773	0.3511	0.3548	0.35	0.3452	0.3519	0.3426	0.3579	0.3481	0.3546	0.3598	0.3522	0.3734	0.3398	0.3444	0.3397	0.3405	0.353	0.346	0.3315	0.3679	0.3434	0.3492	0.3481	0.3559	0.3597	0.3302	0.3582	0.3595	0.378	0.3736	0.3345	0.3413	0.3607	0.3462	0.3508	0.3621	0.3345	0.3379	0.3399	0.3423	0.3397	0.3487	0.3368	0.339	0.3434	0.3528	0.3434	0.3509	0.3518	0.3506	0.3362	0.3406	0.3738	0.3469	0.3358	0.3332	0.3296	0.3362	0.3479	0.3732	0.3445	0.3367	0.3776	0.339	0.3412	0.3427	0.3503	0.3713	0.3388	0.3427	0.3444	0.3365	0.4099	0.3298	0.3423	0.3656	0.3273	0.3523	0.3547	0.337	0.3291	0.3403	0.3142	0.3214	0.3292	0.3618	0.3551	0.3539	0.3297	0.3432	0.3365
sad_vc_pvals	0.902	0.994	0.262	0.119	0.367	0.039	0.043	0.458	0.586	0.219	0.338	0.635	0.533	0.273	0.216	0.036	0.657	0.987	0.437	0.013	0.321	0.95	0.321	0.527	0.8	0.855	0.132	0.264	0.943	0.694	0.521	0.438	0.409	0.487	0.302	0.017	0.24	0.317	0.627	0.132	0.434	0.22	0.193	0.105	0.904	0.188	0.686	0.018	0.461	0.227	0.309	0.167	0.347	0.306	0.406	0.115	0.629	0.773	0.141	0.238	0.456	0.953	0.503	0.748	0.878	0.928	0.131	0.757	0.531	0.977	0.634	0.974	0.943	0.664	0.181	0.453	0.868	0.137	0.558	0.571	0.543	0.179	0.72	0.123	0.565	0.934	0.658	0.794	0.174	0.211	0.506	0.771	0.053	0.891	0.995	0.557	0.048	0.225	0.512	0.0
upper95_perm_sad	0.1844	0.078	0.065	0.0442	0.0417	0.0429	0.0411	0.0515	0.0459	0.0471	0.0446	0.0488	0.0476	0.0452	0.0444	0.0407	0.0419	0.0419	0.0462	0.0476	0.0459	0.0398	0.0435	0.0363	0.0428	0.0468	0.048	0.0423	0.0459	0.0371	0.0436	0.0438	0.042	0.0441	0.0393	0.0423	0.0473	0.043	0.0467	0.0401	0.0405	0.0422	0.0401	0.0473	0.0424	0.0414	0.0417	0.0407	0.0358	0.0489	0.0455	0.0374	0.0406	0.0449	0.0412	0.0411	0.0402	0.0379	0.0417	0.04	0.04	0.0432	0.0438	0.0462	0.0451	0.0413	0.0336	0.0375	0.0442	0.0389	0.0389	0.0449	0.0415	0.0425	0.0427	0.0458	0.0486	0.0394	0.041	0.0392	0.0385	0.0461	0.0428	0.0429	0.0455	0.042	0.0357	0.0479	0.0382	0.0402	0.0436	0.0406	0.0402	0.0447	0.0435	0.0369	0.0401	0.0351	0.0384	0.0367
lower0_perm_sad	-0.027	-0.0113	-0.0088	-0.0069	-0.0069	-0.0066	-0.0067	-0.0068	-0.0071	-0.0067	-0.0065	-0.0068	-0.0066	-0.0067	-0.0069	-0.0067	-0.0067	-0.0068	-0.0066	-0.0069	-0.0072	-0.0065	-0.0065	-0.0065	-0.0068	-0.0066	-0.0064	-0.0067	-0.0071	-0.0064	-0.0068	-0.0067	-0.0068	-0.0066	-0.0063	-0.0068	-0.0067	-0.0072	-0.0074	-0.0063	-0.0063	-0.0066	-0.0067	-0.0065	-0.0069	-0.0064	-0.0064	-0.0063	-0.0067	-0.0064	-0.0069	-0.0066	-0.0065	-0.0063	-0.0069	-0.0066	-0.0064	-0.0067	-0.0069	-0.0064	-0.0065	-0.007	-0.0066	-0.0064	-0.0061	-0.0063	-0.0065	-0.0068	-0.007	-0.0066	-0.0063	-0.0072	-0.0065	-0.0064	-0.0064	-0.0067	-0.0068	-0.0066	-0.0064	-0.0064	-0.0064	-0.0077	-0.0062	-0.0065	-0.0069	-0.0062	-0.0067	-0.0066	-0.0064	-0.0063	-0.0065	-0.0061	-0.0064	-0.0063	-0.0067	-0.0067	-0.007	-0.0063	-0.0062	-0.0067
