	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1787	0.006	0.0038	0.0152	-0.0218	0.0168	-0.0058	-0.0245	-0.0119	-0.037	-0.0036	-0.0305	-0.0317	0.0053	0.0194	-0.0093	0.0014	-0.0173	0.0661	0.0111	-0.0234	0.0242	-0.0084	-0.0131	-0.0085	0.0048	-0.021	-0.0095	0.0333	0.0868	0.1135	0.0119	0.0013	-0.0098	0.0134	0.0007	0.0031	-0.0139	-0.0144	0.0041	0.0194	0.0101	0.0049	-0.0302	-0.0067	-0.0118	-0.0032	-0.0084	0.0117	-0.0068	0.0033	-0.0224	0.0253	0.0087	-0.0065	0.0058	-0.0152	-0.0005	0.0014	0.0325	-0.0237	-0.001	-0.0017	-0.0203	0.0009	0.0011	0.0103	-0.0114	0.0129	-0.0061	-0.0033	-0.005	0.0042	0.0326	-0.0032	0.0046	0.0135	-0.0119	0.0534	-0.002	-0.0114	-0.008	-0.0131	0.02	-0.0099	-0.0076	-0.0119	-0.0121	0.0694	0.0291	-0.0082	0.0138	-0.0082	0.0349	-0.0096	0.0155	-0.0095	-0.0135	-0.0142	-0.0126
direct_vc_estimate_se	0.0105	0.0008	0.0018	0.002	0.0022	0.0016	0.0043	0.0026	0.0012	0.0037	0.0013	0.0036	0.0037	0.0027	0.0015	0.0014	0.0006	0.0063	0.0016	0.0017	0.0023	0.0014	0.0018	0.0013	0.0011	0.0013	0.0022	0.001	0.0008	0.0011	0.0014	0.0008	0.0009	0.001	0.0008	0.0021	0.0011	0.0014	0.0014	0.0013	0.0018	0.001	0.0031	0.0032	0.0025	0.0012	0.0014	0.0008	0.0016	0.0008	0.0006	0.0022	0.001	0.0012	0.0009	0.0008	0.0016	0.0004	0.0006	0.0012	0.0023	0.0007	0.0005	0.0021	0.0007	0.0016	0.001	0.0011	0.0015	0.0006	0.0007	0.0006	0.0017	0.0018	0.0007	0.0007	0.0008	0.0014	0.0013	0.0012	0.0011	0.0008	0.0019	0.0007	0.0015	0.0014	0.0015	0.0012	0.0011	0.0008	0.0009	0.0011	0.0009	0.003	0.0014	0.0009	0.003	0.0013	0.0015	0.0014
direct_vc_pvals	0.193	0.187	0.379	0.059	0.94	0.271	0.306	0.76	0.912	0.871	0.39	0.724	0.71	0.225	0.033	0.646	0.423	0.365	0.084	0.175	0.929	0.169	0.458	0.911	0.767	0.419	0.825	0.794	0.178	0.006	0.016	0.149	0.198	0.946	0.255	0.222	0.461	0.914	0.997	0.378	0.092	0.447	0.275	0.752	0.433	0.815	0.402	0.866	0.171	0.717	0.235	0.994	0.148	0.26	0.436	0.261	0.785	0.272	0.438	0.078	0.972	0.552	0.497	0.895	0.527	0.288	0.266	0.984	0.34	0.933	0.501	0.719	0.377	0.129	0.539	0.313	0.073	0.621	0.027	0.421	0.96	0.941	0.441	0.089	0.513	0.588	0.691	0.901	0.053	0.095	0.829	0.286	0.826	0.38	0.699	0.086	0.574	0.964	0.831	0.808
upper95_perm_direct	0.4625	0.0181	0.0891	0.0195	0.1027	0.085	0.102	0.0091	0.019	0.0963	0.0144	0.0771	0.0595	0.0525	0.0185	0.0601	0.0385	0.0977	0.0896	0.0441	0.0721	0.056	0.038	0.1163	0.0587	0.0672	0.0677	0.0696	0.0516	0.0655	0.0758	0.0278	0.0075	0.0353	0.0399	0.0337	0.0339	0.0129	0.0959	0.0527	0.0286	0.0473	0.0817	0.0533	0.0995	0.0331	0.0397	0.0218	0.0417	0.0167	0.0149	0.0938	0.0516	0.0402	0.0082	0.0294	0.0175	0.0068	0.022	0.0436	0.1642	0.0211	0.0223	0.116	0.0356	0.0298	0.0341	0.0121	0.091	0.0202	0.023	0.0196	0.08	0.06	0.0243	0.0293	0.0174	0.0211	0.0465	0.0468	0.0254	0.0394	0.0236	0.0295	0.0336	0.0365	0.0578	0.0067	0.0757	0.0414	0.0168	0.0633	0.0412	0.1387	0.0792	0.023	0.1487	0.0173	0.0446	0.0385
lower0_perm_direct	-0.1359	-0.0098	-0.0219	-0.0251	-0.028	-0.0198	-0.053	-0.0331	-0.0149	-0.046	-0.0163	-0.0453	-0.0472	-0.0338	-0.0187	-0.0173	-0.0073	-0.0777	-0.0196	-0.0214	-0.0291	-0.0179	-0.0228	-0.0165	-0.0135	-0.016	-0.0268	-0.0131	-0.01	-0.014	-0.0171	-0.0094	-0.0106	-0.0119	-0.01	-0.0258	-0.0137	-0.0179	-0.0174	-0.0165	-0.0225	-0.012	-0.0387	-0.0409	-0.0323	-0.0155	-0.0182	-0.0108	-0.0198	-0.0102	-0.0072	-0.0286	-0.0124	-0.015	-0.012	-0.0105	-0.0198	-0.0053	-0.0083	-0.0156	-0.0301	-0.009	-0.0063	-0.026	-0.0087	-0.0201	-0.0123	-0.0139	-0.0182	-0.0077	-0.0088	-0.0075	-0.0218	-0.0222	-0.0086	-0.0084	-0.0104	-0.0184	-0.0162	-0.0151	-0.0146	-0.0102	-0.0246	-0.0092	-0.0183	-0.0176	-0.0189	-0.0154	-0.014	-0.0099	-0.0109	-0.0139	-0.0108	-0.0382	-0.0171	-0.0114	-0.038	-0.0167	-0.0184	-0.0175
sad_vc_estimate	0.0475	0.0025	0.0276	0.0204	-0.011	0.0122	-0.0268	-0.0184	-0.0087	-0.0347	0.0048	-0.0357	-0.0227	-0.0072	0.0003	-0.0126	-0.0028	0.0965	0.1024	0.0305	-0.0238	0.0311	0.0042	-0.0051	-0.0096	0.0008	-0.022	-0.0073	0.0583	0.0771	0.1385	0.0139	-0.0055	-0.0099	0.0164	0.0048	0.0282	-0.0136	-0.0094	-0.0052	-0.0016	0.027	0.0552	-0.0298	-0.0172	-0.0122	-0.0113	-0.0048	0.0194	-0.0081	0.0216	-0.0219	0.0304	0.0188	0.0057	0.0203	-0.0147	-0.0035	0.0013	0.0469	-0.0155	0.0104	-0.0019	-0.0157	0.0144	0.003	0.0112	-0.0083	0.0199	-0.0054	0.0111	-0.0057	-0.0078	0.0508	0.0088	0.0075	0.0027	-0.0104	0.0812	0.0009	-0.0105	-0.0078	-0.0149	0.0094	-0.0137	-0.0131	0.0053	-0.0104	0.0875	0.0293	-0.0084	0.0634	-0.0078	-0.0152	-0.0031	0.017	-0.03	-0.0124	-0.0148	-0.0076
sad_vc_estimate_se	0.0105	0.0008	0.0018	0.002	0.0022	0.0016	0.0043	0.0026	0.0012	0.0038	0.0013	0.0036	0.0037	0.0027	0.0015	0.0014	0.0006	0.0063	0.0016	0.0017	0.0023	0.0014	0.0018	0.0013	0.0011	0.0013	0.0022	0.001	0.0008	0.0011	0.0014	0.0008	0.0009	0.001	0.0008	0.0021	0.0011	0.0014	0.0014	0.0013	0.0018	0.001	0.0031	0.0032	0.0025	0.0012	0.0014	0.0008	0.0016	0.0008	0.0006	0.0022	0.001	0.0012	0.0009	0.0008	0.0016	0.0004	0.0006	0.0012	0.0023	0.0007	0.0005	0.0021	0.0007	0.0016	0.001	0.0011	0.0015	0.0006	0.0007	0.0006	0.0017	0.0018	0.0007	0.0007	0.0008	0.0014	0.0013	0.0012	0.0011	0.0008	0.0019	0.0007	0.0015	0.0014	0.0015	0.0012	0.0011	0.0008	0.0009	0.0011	0.0009	0.003	0.0014	0.0009	0.003	0.0013	0.0015	0.0014
sad_vc_pvals	0.388	0.371	0.347	0.085	0.804	0.329	0.522	0.406	0.448	0.733	0.429	0.975	0.771	0.524	0.184	0.916	0.593	0.156	0.13	0.226	0.976	0.231	0.367	0.685	0.824	0.549	0.915	0.697	0.091	0.004	0.013	0.204	0.701	0.965	0.289	0.227	0.223	0.816	0.702	0.52	0.257	0.368	0.117	0.714	0.672	0.883	0.748	0.512	0.233	0.98	0.046	0.929	0.207	0.187	0.155	0.145	0.778	0.688	0.623	0.125	0.724	0.341	0.544	0.771	0.372	0.187	0.214	0.537	0.366	0.823	0.247	0.87	0.624	0.108	0.266	0.408	0.318	0.635	0.019	0.449	0.791	0.91	0.523	0.212	0.733	0.755	0.358	0.592	0.037	0.146	0.866	0.073	0.786	0.575	0.598	0.149	0.95	0.744	0.943	0.633
upper95_perm_sad	0.5348	0.0252	0.1523	0.0282	0.1312	0.0898	0.0961	-0.0037	0.0031	0.1569	0.0307	0.0989	0.0731	0.0798	0.0109	0.0724	0.0491	0.1422	0.1424	0.0833	0.1053	0.0708	0.0717	0.1388	0.072	0.0751	0.059	0.0849	0.072	0.0554	0.1031	0.0454	0.0145	0.029	0.0584	0.0393	0.0547	0.0056	0.1027	0.0552	0.0128	0.0696	0.0814	0.0195	0.1223	0.0528	0.0599	0.0242	0.0675	0.0075	0.0213	0.1285	0.0791	0.0419	0.0163	0.036	0.012	0.0085	0.0286	0.0843	0.1783	0.0394	0.0243	0.171	0.0458	0.021	0.0313	0.0161	0.1333	0.0371	0.0392	0.0237	0.0938	0.084	0.0377	0.0483	0.0186	0.017	0.0707	0.0484	0.038	0.0365	0.0168	0.0386	0.0189	0.0375	0.0502	0.0065	0.0845	0.0487	0.0264	0.0879	0.0679	0.0889	0.1275	0.036	0.1629	0.0156	0.0316	0.0574
lower0_perm_sad	-0.1324	-0.0096	-0.0221	-0.0257	-0.0285	-0.0199	-0.0529	-0.0322	-0.0148	-0.0488	-0.0163	-0.0441	-0.0424	-0.0335	-0.0186	-0.0164	-0.0073	-0.0775	-0.0194	-0.0213	-0.03	-0.0178	-0.0232	-0.0171	-0.0139	-0.0169	-0.0281	-0.013	-0.0099	-0.0138	-0.0174	-0.0099	-0.0104	-0.0127	-0.0097	-0.0258	-0.0141	-0.0174	-0.0175	-0.0162	-0.0222	-0.0116	-0.0394	-0.0399	-0.0313	-0.0158	-0.0175	-0.0105	-0.0199	-0.0101	-0.007	-0.0282	-0.0123	-0.015	-0.0121	-0.0105	-0.0203	-0.0053	-0.0078	-0.0158	-0.0292	-0.0091	-0.0062	-0.0267	-0.0086	-0.0205	-0.0128	-0.0142	-0.0189	-0.0077	-0.0086	-0.0076	-0.0213	-0.0217	-0.0085	-0.0083	-0.0107	-0.0181	-0.0169	-0.0156	-0.0143	-0.01	-0.0237	-0.0091	-0.0187	-0.0183	-0.0188	-0.0154	-0.0139	-0.0097	-0.0111	-0.0144	-0.0108	-0.0378	-0.0171	-0.011	-0.0372	-0.0169	-0.0191	-0.0177
