	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.7461	-0.3054	0.5689	4.0716	0.1955	1.7155	1.9379	1.8319	0.1278	-0.0866	-0.0253	0.9733	-0.2571	-0.1471	0.0347	-0.2139	1.3625	0.0356	-0.1127	0.1051	0.145	-0.2081	1.8271	0.1067	0.0825	1.6348	-0.0663	-0.2071	-0.1973	-0.2345	0.2013	0.127	-0.1907	-0.1485	-0.1622	-0.2161	-0.1757	0.493	0.2284	-0.247	0.3835	-0.1151	-0.2488	-0.1699	-0.214	-0.131	-0.0531	-0.1901	-0.0608	0.2091	0.081	-0.2235	-0.2069	-0.2415	0.2038	-0.2086	-0.0835	0.134	-0.1716	-0.1964	-0.1291	-0.0739	-0.0922	-0.0856	-0.172	-0.2348	-0.2553	2.2519	0.7059	-0.2395	0.2111	-0.0116	-0.2333	-0.001	-0.1588	1.4337	-0.1901	0.5563	-0.2366	0.4262	-0.2701	-0.2143	0.2511	-0.1047	0.029	-0.2259	-0.2224	-0.1365	-0.2446	1.9178	0.3109	0.7011	0.065	-0.1932	0.8479	-0.0964	-0.2388	-0.1974	0.4879	1.9046
direct_vc_estimate_se	0.0205	0.01	0.0072	0.0081	0.0072	0.0068	0.0072	0.0077	0.0073	0.0064	0.0064	0.0065	0.0071	0.0074	0.0068	0.0076	0.007	0.0077	0.0061	0.007	0.0068	0.0068	0.0064	0.006	0.0061	0.006	0.0067	0.0061	0.0071	0.0061	0.0064	0.0064	0.0066	0.0057	0.0064	0.0064	0.0054	0.0072	0.0059	0.0064	0.0061	0.0067	0.0065	0.007	0.0063	0.0052	0.0061	0.0057	0.0053	0.0061	0.005	0.0069	0.0059	0.0064	0.0055	0.0076	0.0066	0.0062	0.0057	0.0058	0.0054	0.0056	0.0064	0.006	0.0055	0.0061	0.0073	0.0066	0.0061	0.0063	0.0056	0.0061	0.0066	0.0059	0.0057	0.0055	0.0059	0.0055	0.0063	0.0056	0.007	0.0055	0.0061	0.0056	0.0059	0.0059	0.0058	0.0058	0.0064	0.0056	0.0055	0.0056	0.0058	0.0055	0.0069	0.0058	0.0062	0.0054	0.0057	0.0063
direct_vc_pvals	0.844	0.735	0.174	0.01	0.373	0.019	0.049	0.065	0.344	0.568	0.497	0.109	0.904	0.625	0.426	0.679	0.245	0.448	0.543	0.338	0.411	0.79	0.102	0.323	0.375	0.029	0.582	0.789	0.698	0.942	0.505	0.36	0.729	0.694	0.629	0.8	0.749	0.371	0.353	0.98	0.317	0.559	0.95	0.693	0.846	0.684	0.535	0.808	0.612	0.318	0.364	0.768	0.833	0.905	0.251	0.645	0.582	0.274	0.738	0.757	0.651	0.487	0.514	0.582	0.7	0.973	0.799	0.033	0.212	0.899	0.244	0.506	0.886	0.345	0.675	0.03	0.82	0.146	0.892	0.309	0.95	0.999	0.295	0.576	0.404	0.912	0.924	0.671	0.954	0.013	0.407	0.158	0.311	0.797	0.213	0.501	0.981	0.851	0.188	0.009
upper95_perm_direct	3.9671	2.9253	1.7067	2.6011	2.3805	1.4962	2.3703	2.5837	1.4757	1.7813	1.866	1.6793	3.4034	2.3992	1.7975	1.5409	3.923	2.2866	1.3355	1.5855	2.2375	2.2444	2.9317	1.1203	1.3689	1.5597	1.8944	1.7092	2.3476	1.1114	3.4178	1.5996	2.0657	1.7238	1.2403	1.5617	1.2284	3.2677	2.0601	1.3613	2.2804	1.6105	1.9135	3.0128	2.4077	1.3809	1.6428	2.0543	2.1116	1.9098	1.41	2.5568	1.2305	2.3766	1.3881	1.8036	2.222	1.1154	1.4933	0.9916	1.6419	1.0411	1.5196	2.2596	1.0093	2.3649	1.7192	2.2503	2.3002	1.5056	1.1878	1.8559	3.3152	0.932	1.6911	1.4352	1.9278	1.3288	2.1794	2.4523	1.6998	1.549	1.6202	1.3137	1.5053	1.2467	1.1656	1.7136	2.3093	1.386	2.1823	1.9731	1.1252	1.1788	2.639	1.136	1.845	1.0885	1.5162	1.2443
lower0_perm_direct	-1.1852	-0.5515	-0.4263	-0.466	-0.405	-0.4009	-0.4185	-0.4242	-0.3956	-0.3611	-0.3671	-0.3647	-0.4156	-0.4254	-0.393	-0.4261	-0.3794	-0.4544	-0.3602	-0.3836	-0.3834	-0.3776	-0.3569	-0.3352	-0.3341	-0.3363	-0.3673	-0.3515	-0.4054	-0.3498	-0.3471	-0.361	-0.3839	-0.3185	-0.3585	-0.3646	-0.2949	-0.3962	-0.3339	-0.3654	-0.3493	-0.3661	-0.3803	-0.3738	-0.3555	-0.293	-0.3403	-0.3249	-0.2911	-0.3465	-0.282	-0.3903	-0.331	-0.3682	-0.3203	-0.4283	-0.3694	-0.3604	-0.328	-0.334	-0.3002	-0.3183	-0.3775	-0.3534	-0.325	-0.3484	-0.4099	-0.3643	-0.3558	-0.3626	-0.3124	-0.325	-0.3675	-0.3391	-0.3277	-0.3064	-0.3275	-0.3154	-0.3601	-0.3182	-0.405	-0.301	-0.3422	-0.3154	-0.3417	-0.3439	-0.3309	-0.3366	-0.3658	-0.3211	-0.3054	-0.3198	-0.3193	-0.3137	-0.3963	-0.3343	-0.3418	-0.3092	-0.307	-0.3493
sad_vc_estimate	-0.7258	-0.1787	0.7109	4.6698	0.1444	1.8487	2.1889	1.9966	0.0661	-0.1398	-0.0411	1.0643	-0.2574	-0.1266	0.0547	-0.2186	1.4091	0.0763	-0.0803	0.2772	0.2435	-0.2373	1.8172	0.0636	0.1776	1.6145	-0.09	-0.2211	-0.1995	-0.2311	0.1967	0.1969	-0.23	-0.1414	-0.0752	-0.1748	-0.1695	0.5489	0.145	-0.2464	0.2566	-0.0242	-0.2466	-0.1202	-0.2133	-0.1559	0.0315	-0.1825	-0.0665	0.1604	0.0412	-0.2526	-0.1947	-0.2275	0.2173	-0.2434	-0.0596	0.1251	-0.1815	-0.1957	-0.1261	-0.0267	-0.0879	-0.0447	-0.174	-0.233	-0.2518	2.2869	0.6264	-0.223	0.1664	-0.0026	-0.2464	0.0539	-0.2016	1.3874	-0.1917	0.5425	-0.2327	0.4187	-0.2709	-0.2115	0.2179	-0.106	0.0729	-0.228	-0.2224	-0.1168	-0.2445	2.0204	0.3088	0.884	0.1085	-0.205	0.8664	-0.0735	-0.2094	-0.1962	0.5157	2.1418
sad_vc_estimate_se	0.0205	0.01	0.0072	0.0081	0.0072	0.0068	0.0072	0.0077	0.0073	0.0064	0.0064	0.0065	0.0071	0.0075	0.0068	0.0076	0.007	0.0077	0.0062	0.007	0.0068	0.0068	0.0064	0.006	0.0061	0.006	0.0067	0.0061	0.0071	0.0061	0.0064	0.0064	0.0066	0.0057	0.0064	0.0064	0.0054	0.0072	0.0059	0.0064	0.0061	0.0067	0.0065	0.007	0.0063	0.0052	0.0061	0.0057	0.0053	0.0061	0.005	0.0069	0.0059	0.0064	0.0055	0.0076	0.0066	0.0062	0.0057	0.0058	0.0055	0.0056	0.0064	0.006	0.0055	0.0061	0.0073	0.0066	0.0061	0.0063	0.0056	0.0061	0.0066	0.0059	0.0057	0.0055	0.0059	0.0055	0.0063	0.0056	0.007	0.0055	0.0061	0.0056	0.0059	0.0059	0.0058	0.0058	0.0064	0.0056	0.0055	0.0056	0.0058	0.0055	0.0069	0.0058	0.0062	0.0054	0.0057	0.0063
sad_vc_pvals	0.819	0.616	0.122	0.007	0.42	0.017	0.054	0.073	0.36	0.63	0.514	0.1	0.898	0.631	0.403	0.664	0.24	0.477	0.514	0.25	0.385	0.84	0.135	0.361	0.292	0.033	0.584	0.847	0.717	0.897	0.523	0.327	0.841	0.71	0.48	0.694	0.743	0.357	0.4	0.953	0.363	0.483	0.936	0.65	0.838	0.732	0.425	0.791	0.635	0.374	0.391	0.9	0.771	0.841	0.284	0.736	0.558	0.308	0.763	0.757	0.627	0.418	0.515	0.55	0.744	0.949	0.814	0.032	0.279	0.823	0.304	0.503	0.939	0.277	0.831	0.024	0.809	0.13	0.891	0.338	0.967	0.928	0.313	0.564	0.372	0.936	0.934	0.604	0.94	0.013	0.41	0.147	0.334	0.864	0.207	0.473	0.823	0.844	0.179	0.004
upper95_perm_sad	3.7407	2.8599	1.6369	2.8412	2.7637	1.5801	2.7298	2.9543	1.6301	1.5999	1.7622	1.8104	3.4032	2.6401	2.0836	1.6934	4.3691	2.4324	1.495	1.6676	2.4887	2.828	3.3959	1.3272	1.3564	1.7043	1.6838	1.8237	2.6102	1.2434	3.7651	1.8463	2.0369	2.0764	1.3312	1.9046	1.4483	3.4998	2.0882	1.4385	2.1835	1.9602	1.8239	3.2289	2.6047	1.7158	1.7221	2.1231	2.0215	1.7859	1.2088	2.3145	1.4939	2.3517	1.4701	1.9966	1.9219	1.0965	1.5683	1.1771	1.3011	1.0716	1.4371	2.3376	1.3687	2.4512	1.903	2.2734	2.6566	1.6334	1.3228	2.18	3.5951	0.8994	1.5195	1.3755	2.5079	1.3097	2.5626	2.7537	1.7291	1.8125	1.5246	1.3626	1.3342	1.2478	1.0844	1.6585	2.5142	1.53	2.3909	2.2587	1.3143	1.2521	2.7901	1.2035	1.7212	1.0758	1.4429	1.3465
lower0_perm_sad	-1.1526	-0.5876	-0.4149	-0.4691	-0.4054	-0.3923	-0.4156	-0.4154	-0.4001	-0.3658	-0.365	-0.3712	-0.3951	-0.4234	-0.3852	-0.42	-0.389	-0.4479	-0.3502	-0.4082	-0.3845	-0.3954	-0.3608	-0.3406	-0.3302	-0.3311	-0.3803	-0.349	-0.3925	-0.3528	-0.3478	-0.3692	-0.3529	-0.3127	-0.3683	-0.3664	-0.2971	-0.3953	-0.3246	-0.3409	-0.3367	-0.3864	-0.3612	-0.404	-0.3586	-0.3028	-0.3384	-0.3133	-0.3069	-0.3395	-0.284	-0.3714	-0.319	-0.3675	-0.2914	-0.441	-0.3593	-0.3499	-0.3142	-0.3282	-0.3207	-0.3232	-0.365	-0.3433	-0.3137	-0.326	-0.4164	-0.3646	-0.3368	-0.3629	-0.3259	-0.3456	-0.3561	-0.3371	-0.3207	-0.3063	-0.3308	-0.3005	-0.3461	-0.2917	-0.3943	-0.3178	-0.3441	-0.3231	-0.3427	-0.3338	-0.3374	-0.3243	-0.3498	-0.3164	-0.3051	-0.3108	-0.3297	-0.3	-0.4005	-0.3216	-0.3565	-0.2948	-0.312	-0.3608
