	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	1.496	1.3641	0.163	0.5215	-0.0015	0.0379	0.0116	0.0011	0.0208	0.2147	0.0401	0.0098	0.1562	0.2567	0.0394	0.094	-0.0012	-0.0006	0.1323	0.0152	0.0309	0.0225	0.0282	0.0876	0.0263	0.0129	0.0078	0.1161	0.0459	0.1577	0.015	0.0015	0.0003	0.036	0.0416	0.0516	0.0587	-0.0018	-0.0031	0.0005	0.0489	0.0031	0.0095	0.0699	-0.0011	-0.0017	-0.0022	0.2952	0.064	0.0346	0.1114	0.0067	0.014	0.0127	0.1779	0.0409	0.0394	-0.0006	0.1082	0.0046	0.0135	0.1329	0.1494	-0.0003	0.0046	0.0654	-0.0006	0.0042	0.0061	0.0042	0.1108	0.0527	0.0873	0.0154	0.0264	0.1589	0.0385	0.0586	0.0175	0.6321	0.1128	0.1013	0.0247	0.0155	0.181	0.0365	0.0007	0.0197	0.0215	0.0332	0.0117	0.2346	0.036	0.0019	0.086	-0.0023	0.1611	0.0249	0.2091	-0.0001
direct_vc_estimate_se	0.0027	0.0028	0.0007	0.001	0.0005	0.0006	0.0009	0.0009	0.0004	0.0007	0.0005	0.001	0.0005	0.0008	0.0005	0.0006	0.0012	0.0006	0.0007	0.0005	0.0005	0.0009	0.0008	0.0006	0.0008	0.0005	0.0006	0.0012	0.0005	0.0005	0.0007	0.001	0.0005	0.0005	0.0006	0.0006	0.0006	0.0006	0.0009	0.0004	0.0006	0.0009	0.0006	0.0005	0.0006	0.0006	0.0006	0.0005	0.0005	0.0005	0.0009	0.0004	0.0005	0.0005	0.0006	0.0006	0.0006	0.0006	0.0006	0.0007	0.0005	0.0005	0.0006	0.0009	0.0007	0.0006	0.0005	0.0006	0.0006	0.0009	0.0007	0.0009	0.0006	0.0006	0.0005	0.0012	0.0009	0.001	0.0009	0.0006	0.0006	0.0007	0.0007	0.0009	0.0004	0.0005	0.0005	0.0006	0.0005	0.0005	0.0006	0.0006	0.0005	0.0008	0.0006	0.0007	0.0006	0.0007	0.0005	0.0005
direct_vc_pvals	0.189	0.01	0.532	0.018	0.938	0.561	0.726	0.833	0.448	0.002	0.168	0.691	0.081	0.004	0.054	0.163	0.752	0.779	0.06	0.351	0.332	0.264	0.415	0.189	0.432	0.66	0.707	0.228	0.56	0.135	0.804	0.636	0.831	0.229	0.025	0.329	0.293	0.947	0.861	0.721	0.464	0.546	0.48	0.159	0.958	0.864	0.976	0.01	0.009	0.209	0.035	0.563	0.731	0.483	0.162	0.196	0.227	0.869	0.224	0.522	0.494	0.008	0.218	0.827	0.774	0.923	0.86	0.63	0.909	0.755	0.038	0.123	0.049	0.424	0.267	0.288	0.237	0.21	0.364	0.01	0.065	0.142	0.26	0.258	0.117	0.289	0.794	0.406	0.325	0.518	0.769	0.048	0.248	0.556	0.422	0.866	0.238	0.135	0.106	0.72
upper95_perm_direct	4.7309	1.6225	1.4667	0.7226	0.169	0.4228	0.3546	0.3111	0.2662	0.1817	0.1333	0.4902	0.3079	0.2532	0.0692	0.2932	0.1264	0.1134	0.2443	0.1212	0.2008	0.1106	0.2383	0.2568	0.2195	0.2932	0.429	0.3963	0.264	0.4011	0.3725	0.1342	0.234	0.1439	0.057	0.2649	0.2798	0.4238	0.1	0.0721	0.2335	0.1061	0.1275	0.1907	0.4953	0.1508	0.2084	0.3548	0.0838	0.1096	0.1719	0.1255	0.2285	0.1308	0.4848	0.1483	0.1584	0.2902	0.3654	0.0936	0.1924	0.1564	0.5092	0.3161	0.3625	0.6184	0.1255	0.1637	0.6315	0.4661	0.1695	0.1403	0.15	0.1535	0.1029	0.4882	0.1559	0.2359	0.0938	0.8374	0.2154	0.272	0.1246	0.0718	0.4366	0.1656	0.1797	0.1639	0.1158	0.4212	0.3726	0.407	0.1478	0.0931	0.5844	0.0255	0.6373	0.0778	0.4712	0.0852
lower0_perm_direct	-0.0239	-0.0255	-0.0047	-0.0064	-0.0045	-0.0056	-0.0084	-0.0086	-0.0042	-0.0069	-0.0053	-0.0093	-0.0035	-0.0078	-0.0049	-0.0049	-0.0115	-0.0056	-0.006	-0.0051	-0.0045	-0.0085	-0.0064	-0.0061	-0.0072	-0.0048	-0.0056	-0.0109	-0.0048	-0.0047	-0.0052	-0.0094	-0.0047	-0.0046	-0.0048	-0.0053	-0.0052	-0.0052	-0.009	-0.0037	-0.0049	-0.0084	-0.0052	-0.0043	-0.005	-0.0062	-0.0054	-0.005	-0.0046	-0.0043	-0.0078	-0.0041	-0.0048	-0.0047	-0.0049	-0.0052	-0.0056	-0.0056	-0.0049	-0.0065	-0.0046	-0.0045	-0.0052	-0.0083	-0.0067	0.0262	-0.0044	-0.0055	-0.0046	-0.0079	-0.0059	-0.0087	-0.0051	-0.0058	-0.0048	-0.0087	-0.0091	-0.0094	-0.0084	-0.0053	-0.0055	-0.0062	-0.006	-0.0077	-0.0039	-0.005	-0.0048	-0.0054	-0.0046	-0.005	-0.0053	-0.0052	-0.0042	-0.0081	-0.0051	-0.0064	-0.0055	-0.0063	-0.0041	-0.0049
sad_vc_estimate	1.9987	2.1361	0.2406	0.7895	-0.0006	0.0546	0.0158	-0.0032	0.037	0.3221	0.0551	0.0062	0.2858	0.3774	0.0722	0.1305	-0.0008	-0.0009	0.1894	0.0197	0.0478	0.0426	0.0351	0.1037	0.0243	0.0179	0.0072	0.1504	0.0721	0.2479	0.013	-0.0013	0.0044	0.043	0.068	0.071	0.1309	-0.0009	0.0034	-0.0	0.0936	0.005	0.0156	0.1126	0.0005	-0.0011	-0.0023	0.4551	0.0703	0.0548	0.1061	0.0018	0.0155	0.0186	0.3103	0.0754	0.0634	0.0023	0.1388	0.0111	0.0144	0.1548	0.1994	0.0028	-0.0017	0.1031	-0.0018	0.0082	0.0026	0.0054	0.1024	0.1121	0.1191	0.0241	0.0233	0.2116	0.0425	0.068	0.0277	0.8892	0.1512	0.1197	0.0292	0.0434	0.2643	0.0463	0.0122	0.0368	0.0332	0.0386	0.0229	0.3071	0.0532	0.0091	0.0861	-0.0024	0.2189	0.0353	0.2549	-0.0008
sad_vc_estimate_se	0.0027	0.0028	0.0007	0.001	0.0005	0.0006	0.0009	0.0009	0.0004	0.0007	0.0005	0.001	0.0005	0.0008	0.0005	0.0006	0.0012	0.0006	0.0007	0.0005	0.0005	0.0009	0.0008	0.0006	0.0008	0.0005	0.0006	0.0012	0.0005	0.0005	0.0007	0.001	0.0005	0.0005	0.0006	0.0006	0.0006	0.0006	0.0009	0.0004	0.0006	0.0009	0.0006	0.0005	0.0006	0.0006	0.0006	0.0005	0.0005	0.0005	0.0009	0.0004	0.0005	0.0005	0.0006	0.0006	0.0006	0.0006	0.0006	0.0007	0.0005	0.0005	0.0006	0.0009	0.0007	0.0006	0.0005	0.0006	0.0006	0.0009	0.0007	0.0009	0.0006	0.0006	0.0005	0.0012	0.0009	0.001	0.0009	0.0006	0.0006	0.0007	0.0007	0.0009	0.0005	0.0005	0.0005	0.0006	0.0005	0.0005	0.0006	0.0006	0.0005	0.0008	0.0006	0.0007	0.0006	0.0007	0.0005	0.0005
sad_vc_pvals	0.196	0.005	0.514	0.009	0.862	0.51	0.726	0.975	0.406	0.001	0.141	0.728	0.038	0.006	0.036	0.137	0.739	0.841	0.066	0.396	0.294	0.171	0.447	0.226	0.489	0.628	0.768	0.208	0.557	0.089	0.874	0.8	0.721	0.246	0.023	0.335	0.129	0.895	0.569	0.764	0.348	0.568	0.476	0.146	0.941	0.855	0.988	0.006	0.019	0.064	0.135	0.746	0.806	0.42	0.074	0.126	0.209	0.844	0.232	0.389	0.502	0.022	0.286	0.807	0.92	0.893	0.988	0.607	0.929	0.776	0.118	0.031	0.07	0.422	0.352	0.301	0.228	0.268	0.391	0.006	0.067	0.171	0.305	0.108	0.102	0.297	0.543	0.38	0.338	0.511	0.696	0.053	0.216	0.461	0.5	0.893	0.23	0.096	0.167	0.81
upper95_perm_sad	6.752	2.1923	2.0045	1.0349	0.2352	0.4956	0.451	0.3842	0.2893	0.2795	0.1722	0.5362	0.4761	0.3884	0.1052	0.3826	0.133	0.2016	0.3512	0.1731	0.2041	0.1312	0.307	0.3088	0.2426	0.3819	0.5917	0.4402	0.3867	0.5519	0.5273	0.2171	0.2661	0.1747	0.0846	0.3321	0.3674	0.6397	0.1209	0.0838	0.3456	0.154	0.1791	0.2861	0.6306	0.1829	0.3087	0.493	0.1037	0.1026	0.2437	0.1873	0.3188	0.1314	0.6101	0.2169	0.237	0.3557	0.4632	0.1121	0.2299	0.2054	0.7223	0.3918	0.4472	0.809	0.1803	0.1859	0.7884	0.5427	0.2336	0.1619	0.2221	0.2252	0.1412	0.7184	0.1827	0.3033	0.1467	1.0706	0.2979	0.3389	0.1883	0.099	0.5678	0.2421	0.211	0.2313	0.1631	0.5348	0.4958	0.519	0.1937	0.108	0.7267	0.0279	0.8054	0.0757	0.6874	0.107
lower0_perm_sad	-0.0204	-0.0228	-0.0058	-0.0066	-0.0046	-0.0053	-0.0078	-0.0074	-0.0043	-0.0068	-0.0049	-0.0098	-0.0033	-0.0077	-0.0048	-0.0054	-0.0106	-0.0054	-0.006	-0.0052	-0.0046	-0.0088	-0.0073	-0.0058	-0.0073	-0.0046	-0.0056	-0.01	-0.004	-0.0051	-0.0055	-0.0095	-0.0049	-0.0045	-0.0051	-0.0056	-0.0055	-0.005	-0.009	-0.0034	-0.0053	-0.0081	-0.0055	-0.004	-0.0053	-0.0056	-0.0053	-0.0047	-0.0043	-0.0045	-0.008	-0.0039	-0.0042	-0.0051	-0.0056	-0.0055	-0.0055	-0.0049	-0.0048	-0.0066	-0.0046	-0.0044	-0.0054	-0.0079	-0.0069	0.0395	-0.0047	-0.0056	-0.0055	-0.0082	-0.0061	-0.0081	-0.0058	-0.0056	-0.0048	-0.0104	-0.0085	-0.0085	-0.0086	-0.0059	-0.0059	-0.0057	-0.0066	-0.0083	-0.0042	-0.0047	-0.0051	-0.0048	-0.0045	-0.0044	-0.0049	-0.0053	-0.0043	-0.0078	-0.0052	-0.0062	-0.0049	-0.0064	-0.0046	-0.0048
