	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.2403	0.1197	0.1507	0.0569	-0.0055	-0.0047	0.0006	0.0008	-0.0029	0.0329	0.0032	0.0128	-0.0016	-0.0029	0.0082	0.0033	0.0042	0.0024	-0.0036	0.001	-0.0006	0.002	-0.0023	0.0082	-0.0006	-0.0024	0.0205	0.0032	-0.0024	-0.0007	0.0082	-0.0019	0.0001	0.0035	-0.0016	-0.0019	0.008	-0.0021	-0.0025	-0.0022	0.0023	-0.0029	-0.0013	0.0237	0.0055	-0.0004	-0.0001	0.0094	-0.0029	0.0011	0.0041	0.0011	-0.0013	0.0028	-0.002	0.001	0.008	-0.0022	0.0332	0.0015	-0.0004	0.0446	-0.0016	0.0015	-0.0003	-0.0024	0.0053	0.0018	-0.0019	0.0001	0.0012	0.0059	0.0014	-0.0012	-0.0022	-0.0027	0.0088	-0.0022	0.0156	0.0002	-0.0013	0.0014	-0.0001	-0.0008	-0.0012	0.0066	0.0005	-0.0019	0.01	-0.0003	-0.0016	0.0056	0.0055	0.0072	0.0011	-0.002	-0.0025	-0.0021	-0.0012	-0.0012
direct_vc_estimate_se	0.0198	0.0084	0.003	0.003	0.0008	0.0003	0.0003	0.0003	0.0003	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0003	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0001	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0001	0.0002	0.0001	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002
direct_vc_pvals	0.706	0.323	0.2	0.271	0.579	0.92	0.332	0.478	0.688	0.02	0.381	0.226	0.603	0.953	0.099	0.286	0.425	0.421	0.801	0.441	0.542	0.398	0.665	0.204	0.485	0.692	0.18	0.382	0.957	0.671	0.321	0.838	0.573	0.513	0.809	0.664	0.286	0.677	0.951	0.809	0.311	0.933	0.536	0.067	0.186	0.486	0.426	0.246	0.968	0.406	0.321	0.539	0.74	0.413	0.735	0.388	0.338	0.877	0.019	0.407	0.571	0.021	0.647	0.321	0.682	0.767	0.147	0.338	0.648	0.493	0.356	0.342	0.441	0.645	0.919	0.924	0.358	0.965	0.09	0.591	0.583	0.474	0.468	0.591	0.571	0.255	0.54	0.731	0.215	0.473	0.725	0.259	0.118	0.163	0.442	0.92	0.982	0.84	0.613	0.634
upper95_perm_direct	1.2827	1.027	0.4192	0.3094	0.0788	0.0201	0.0174	0.0404	0.0268	0.0307	0.0296	0.0405	0.0159	0.0134	0.0139	0.0194	0.0361	0.0388	0.0187	0.023	0.0223	0.026	0.0199	0.026	0.0147	0.0143	0.0482	0.0318	0.0194	0.0263	0.0473	0.0185	0.0232	0.0456	0.0185	0.013	0.0365	0.0277	0.0216	0.0253	0.0173	0.0253	0.0185	0.0323	0.016	0.0177	0.011	0.0331	0.0182	0.0205	0.0239	0.0258	0.034	0.0333	0.0128	0.0216	0.0455	0.0163	0.0275	0.0281	0.0208	0.0359	0.0244	0.0156	0.0255	0.0277	0.0131	0.016	0.0194	0.0238	0.0183	0.0307	0.0219	0.0135	0.0216	0.0258	0.0563	0.0174	0.0257	0.0293	0.0152	0.0267	0.0139	0.0274	0.0131	0.0257	0.0244	0.0453	0.0318	0.014	0.0169	0.0242	0.012	0.0196	0.0251	0.0127	0.0433	0.0235	0.0225	0.021
lower0_perm_direct	-0.4061	-0.1741	-0.0631	-0.0611	-0.017	-0.0067	-0.0053	-0.0069	-0.0054	-0.0042	-0.005	-0.0069	-0.0039	-0.004	-0.0036	-0.0041	-0.0039	-0.0057	-0.0054	-0.0046	-0.0037	-0.004	-0.0044	-0.004	-0.0034	-0.0045	-0.0051	-0.004	-0.0034	-0.0033	-0.0043	-0.003	-0.0027	-0.0053	-0.0028	-0.0036	-0.0033	-0.0048	-0.0035	-0.0039	-0.0034	-0.004	-0.0043	-0.0037	-0.0029	-0.0036	-0.0029	-0.0042	-0.0041	-0.0039	-0.0035	-0.0037	-0.0044	-0.0045	-0.0034	-0.0039	-0.0045	-0.0032	-0.0046	-0.0044	-0.0034	-0.0052	-0.0042	-0.0038	-0.0038	-0.0043	-0.0039	-0.0032	-0.0042	-0.0035	-0.0037	-0.0044	-0.0033	-0.0032	-0.0033	-0.0039	-0.0054	-0.003	-0.0037	-0.003	-0.0034	-0.0037	-0.0031	-0.0039	-0.0037	-0.0035	-0.003	-0.0045	-0.0033	-0.003	-0.003	-0.0035	-0.0029	-0.0035	-0.004	-0.0028	-0.0036	-0.0032	-0.004	-0.0037
sad_vc_estimate	-0.274	0.344	0.1605	0.0751	0.0013	-0.003	0.009	-0.0031	0.0014	0.0382	0.0094	0.0287	-0.001	-0.0026	0.0093	0.007	0.0053	0.0113	-0.0037	0.0039	-0.0008	0.0092	-0.0013	0.013	0.0026	0.0026	0.018	-0.0003	-0.0021	0.0019	0.0196	-0.0021	-0.0008	0.0144	-0.0009	-0.0017	0.0097	0.0014	-0.0024	0.002	0.006	-0.0029	-0.001	0.0111	0.0091	0.0006	-0.0016	0.0232	-0.0022	0.0014	0.0015	0.0028	0.0033	0.0039	-0.0025	-0.0014	0.0061	-0.0022	0.0272	0.0007	0.0072	0.0468	0.0069	-0.0017	0.0009	0.0024	0.0143	0.0052	0.001	0.0039	0.0006	0.0221	0.0026	-0.0012	-0.0008	-0.0024	0.0155	-0.0021	0.0266	0.0041	-0.0023	0.0079	-0.0012	0.0022	-0.0003	0.0052	0.0009	-0.0033	0.0148	0.0004	-0.0021	0.0101	0.0133	0.0199	-0.0008	-0.002	-0.0015	-0.0012	0.0012	0.0016
sad_vc_estimate_se	0.0199	0.0084	0.003	0.003	0.0009	0.0003	0.0003	0.0003	0.0003	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0003	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0001	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0001	0.0002	0.0001	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002
sad_vc_pvals	0.846	0.178	0.188	0.266	0.515	0.625	0.139	0.68	0.467	0.022	0.192	0.193	0.578	0.824	0.199	0.253	0.396	0.315	0.893	0.435	0.657	0.238	0.627	0.223	0.283	0.303	0.306	0.598	0.829	0.612	0.229	0.989	0.689	0.387	0.751	0.661	0.267	0.492	0.876	0.604	0.274	0.984	0.594	0.197	0.166	0.534	0.763	0.12	0.757	0.497	0.538	0.378	0.449	0.401	0.999	0.664	0.452	0.909	0.05	0.558	0.305	0.052	0.237	0.675	0.715	0.506	0.095	0.291	0.424	0.388	0.5	0.163	0.428	0.662	0.658	0.826	0.248	0.909	0.073	0.387	0.835	0.248	0.621	0.481	0.549	0.292	0.487	0.974	0.181	0.524	0.928	0.215	0.07	0.054	0.635	0.932	0.834	0.722	0.47	0.453
upper95_perm_sad	1.8428	1.0462	0.487	0.3762	0.1188	0.022	0.0208	0.0475	0.0384	0.0357	0.0294	0.0707	0.0262	0.0177	0.0246	0.0307	0.0432	0.0609	0.0277	0.0451	0.0409	0.0358	0.0323	0.0391	0.0173	0.0203	0.0695	0.0335	0.0244	0.0382	0.0617	0.022	0.0293	0.0666	0.027	0.0204	0.0333	0.0383	0.0265	0.0412	0.0263	0.0423	0.0286	0.0323	0.0248	0.0353	0.0153	0.0427	0.0287	0.0375	0.0415	0.0246	0.0409	0.0422	0.0138	0.032	0.0595	0.021	0.0321	0.0386	0.0296	0.0586	0.0323	0.0229	0.043	0.046	0.0232	0.0276	0.0295	0.0336	0.0261	0.0492	0.03	0.0212	0.0278	0.0286	0.0559	0.0235	0.0375	0.0319	0.0206	0.0308	0.0199	0.0407	0.0231	0.0278	0.0251	0.0647	0.041	0.0239	0.0217	0.031	0.0187	0.0252	0.0403	0.0158	0.0616	0.0332	0.0306	0.0317
lower0_perm_sad	-0.4077	-0.1686	-0.0622	-0.0649	-0.0178	-0.0069	-0.0053	-0.0069	-0.0055	-0.0043	-0.0051	-0.0071	-0.004	-0.004	-0.0037	-0.0041	-0.0038	-0.0059	-0.0054	-0.0047	-0.0037	-0.004	-0.0045	-0.004	-0.0034	-0.0044	-0.0051	-0.0038	-0.0034	-0.0033	-0.0043	-0.0031	-0.0026	-0.0054	-0.0027	-0.0037	-0.0033	-0.0046	-0.0035	-0.0038	-0.0035	-0.0041	-0.0043	-0.0038	-0.003	-0.0035	-0.0029	-0.0043	-0.0041	-0.0039	-0.0034	-0.0038	-0.0045	-0.0044	-0.0034	-0.0039	-0.0045	-0.0031	-0.0047	-0.0043	-0.0035	-0.0052	-0.0042	-0.0038	-0.0038	-0.0041	-0.0038	-0.0032	-0.0041	-0.0034	-0.0035	-0.0045	-0.0033	-0.0032	-0.0031	-0.0038	-0.0057	-0.0032	-0.0037	-0.003	-0.0035	-0.0037	-0.0032	-0.0039	-0.0037	-0.0035	-0.003	-0.0046	-0.0033	-0.0031	-0.0031	-0.0036	-0.0031	-0.0034	-0.004	-0.0028	-0.0035	-0.0032	-0.0041	-0.0038
