	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.3341	-0.1681	-0.0501	-0.0679	0.0548	-0.0046	-0.0067	0.0441	-0.0047	-0.0025	0.0122	-0.0063	0.01	-0.0013	0.0077	-0.0053	0.003	0.0037	-0.006	0.0113	0.0054	-0.0049	-0.0052	0.0034	0.0089	-0.0046	0.0088	-0.0048	-0.0057	0.0028	-0.0055	-0.0047	0.0033	0.0006	-0.0059	-0.0056	0.0075	0.006	0.01	-0.0006	0.023	-0.0039	0.0018	0.0078	0.0047	0.0076	0.0403	-0.0056	-0.0048	-0.0019	-0.0043	-0.006	-0.0014	-0.0054	0.0136	-0.0037	0.0071	-0.0031	-0.0032	-0.0053	-0.0044	0.0014	-0.0026	0.0148	-0.005	0.002	0.0135	-0.0053	0.0003	-0.0013	-0.0027	-0.004	0.0017	-0.0051	0.015	0.0034	-0.0057	0.0078	-0.002	-0.0012	-0.0043	-0.0016	-0.0003	0.0033	-0.0057	-0.0053	-0.0054	0.0292	-0.0054	-0.0026	-0.0067	0.0087	0.0233	0.0202	-0.0051	-0.0012	0.0147	-0.0049	-0.0011	0.0003
direct_vc_estimate_se	1.4269	0.9899	0.3633	0.2838	0.1031	0.0471	0.0343	0.0395	0.037	0.0335	0.0343	0.0316	0.029	0.0249	0.025	0.0269	0.0235	0.0271	0.0249	0.0259	0.0227	0.022	0.0218	0.0265	0.0231	0.0254	0.0226	0.0246	0.0242	0.0264	0.0238	0.0258	0.023	0.0232	0.0273	0.023	0.0233	0.0241	0.0229	0.0225	0.0249	0.0227	0.0225	0.0246	0.0244	0.0228	0.0243	0.0228	0.0226	0.0251	0.0273	0.0249	0.0258	0.0239	0.0228	0.0252	0.0244	0.0254	0.0234	0.0227	0.024	0.0261	0.0251	0.0228	0.0224	0.0236	0.0245	0.0221	0.0254	0.0228	0.0235	0.0276	0.0214	0.0235	0.0233	0.0234	0.025	0.0233	0.0245	0.0259	0.0228	0.0217	0.0226	0.0233	0.0236	0.0218	0.0229	0.0268	0.0236	0.0225	0.0276	0.0232	0.0235	0.0239	0.023	0.0222	0.0245	0.0225	0.0225	0.0235
direct_vc_pvals	0.85	0.586	0.564	0.911	0.161	0.428	0.655	0.071	0.548	0.415	0.172	0.743	0.192	0.456	0.181	0.715	0.259	0.352	0.911	0.22	0.259	0.826	0.906	0.301	0.189	0.681	0.197	0.732	0.879	0.352	0.861	0.683	0.335	0.411	0.763	0.968	0.221	0.299	0.199	0.429	0.072	0.66	0.411	0.252	0.287	0.23	0.016	0.994	0.761	0.522	0.632	0.95	0.529	0.842	0.141	0.635	0.236	0.584	0.63	0.858	0.669	0.393	0.55	0.138	0.827	0.369	0.179	0.928	0.402	0.507	0.554	0.596	0.367	0.794	0.14	0.313	0.849	0.248	0.511	0.469	0.688	0.515	0.47	0.331	0.936	0.99	0.92	0.051	0.832	0.582	0.989	0.169	0.08	0.106	0.807	0.496	0.149	0.783	0.471	0.424
upper95_perm_direct	1.3093	0.803	0.4198	0.3556	0.1741	0.0472	0.0295	0.0641	0.0476	0.029	0.0446	0.0483	0.0355	0.033	0.0264	0.0328	0.0278	0.0441	0.0357	0.0451	0.0369	0.0315	0.0252	0.0397	0.0302	0.0409	0.0334	0.042	0.028	0.0432	0.0411	0.0352	0.0377	0.0357	0.0331	0.0362	0.0325	0.0399	0.0369	0.0337	0.0341	0.0406	0.0403	0.0407	0.0347	0.0385	0.0287	0.0391	0.0304	0.0401	0.0407	0.0417	0.0468	0.0359	0.0373	0.0387	0.0357	0.047	0.0377	0.0382	0.0368	0.0379	0.0347	0.0365	0.0325	0.0346	0.0458	0.04	0.0349	0.0343	0.034	0.0332	0.0401	0.0423	0.0351	0.0394	0.0345	0.0399	0.0339	0.0354	0.0322	0.0412	0.0348	0.0341	0.0395	0.0344	0.0386	0.0358	0.0375	0.0391	0.0397	0.0313	0.0369	0.0382	0.0305	0.0328	0.0392	0.0327	0.0338	0.0359
lower0_perm_direct	-0.4791	-0.3343	-0.1234	-0.0953	-0.0351	-0.0158	-0.0115	-0.0134	-0.0127	-0.0111	-0.0116	-0.0104	-0.0099	-0.0084	-0.0083	-0.009	-0.0078	-0.0091	-0.0084	-0.0087	-0.0077	-0.0074	-0.0074	-0.0089	-0.0078	-0.0086	-0.0076	-0.0082	-0.008	-0.0088	-0.008	-0.0086	-0.0078	-0.0079	-0.0092	-0.0078	-0.0077	-0.008	-0.0077	-0.0076	-0.0084	-0.0076	-0.0075	-0.0084	-0.0081	-0.0077	-0.0083	-0.0078	-0.0075	-0.0085	-0.0091	-0.0082	-0.0088	-0.0081	-0.0077	-0.0084	-0.0082	-0.0087	-0.008	-0.0075	-0.008	-0.0089	-0.0085	-0.0077	-0.0074	-0.008	-0.0083	-0.0076	-0.0086	-0.0077	-0.008	-0.0094	-0.0072	-0.0079	-0.0078	-0.0078	-0.0085	-0.0079	-0.0084	-0.0086	-0.0076	-0.0071	-0.0077	-0.0079	-0.0079	-0.0075	-0.0078	-0.0089	-0.0077	-0.0075	-0.0094	-0.0076	-0.0078	-0.008	-0.0077	-0.0076	-0.0082	-0.0074	-0.0077	-0.0079
sad_vc_estimate	-0.3559	0.1972	-0.0231	-0.0541	0.1159	0.0099	-0.0082	0.0976	0.0019	-0.0033	0.0327	-0.0074	0.0202	-0.0006	0.0132	-0.0062	0.0047	-0.002	-0.0063	0.0063	0.0013	-0.0048	-0.0052	0.0237	0.0032	-0.0048	0.0081	-0.0042	-0.0047	0.009	-0.0058	0.0029	-0.0039	0.0097	-0.006	-0.0057	0.0032	0.0163	0.007	0.0067	0.0161	-0.0057	0.0026	0.0073	-0.0003	0.013	0.0579	-0.0044	-0.0047	0.0034	-0.0057	-0.006	-0.0051	-0.0059	0.0247	-0.0057	0.0073	-0.0017	0.003	-0.004	-0.006	-0.0054	-0.004	0.0243	-0.0049	-0.0012	0.0218	-0.0037	0.0025	-0.0036	-0.0028	-0.0045	0.0028	-0.0011	0.0134	-0.0016	-0.0052	0.0149	-0.0059	0.005	-0.0026	-0.0026	-0.0023	0.0058	-0.0059	-0.0053	-0.0057	0.0297	-0.0053	-0.0009	-0.0055	0.0101	0.0269	0.0201	-0.0058	-0.0055	0.035	-0.004	-0.0042	0.001
sad_vc_estimate_se	1.4746	1.0217	0.3757	0.293	0.1064	0.0486	0.0353	0.0408	0.0382	0.0344	0.0354	0.0326	0.0299	0.0257	0.0258	0.0277	0.0243	0.0279	0.0257	0.0268	0.0235	0.0228	0.0225	0.0273	0.0239	0.0262	0.0234	0.0254	0.025	0.0272	0.0246	0.0266	0.0238	0.024	0.028	0.0237	0.0241	0.0249	0.0236	0.0233	0.0257	0.0235	0.0233	0.0253	0.0252	0.0236	0.0251	0.0236	0.0234	0.0258	0.0281	0.0256	0.0266	0.0247	0.0236	0.026	0.0252	0.0262	0.0242	0.0235	0.0248	0.0269	0.0258	0.0235	0.0231	0.0244	0.0253	0.0229	0.0262	0.0236	0.0243	0.0284	0.0222	0.0243	0.0241	0.0241	0.0258	0.024	0.0252	0.0267	0.0236	0.0224	0.0234	0.0241	0.0243	0.0226	0.0237	0.0276	0.0244	0.0232	0.0284	0.024	0.0243	0.0247	0.0238	0.023	0.0253	0.0233	0.0232	0.0243
sad_vc_pvals	0.928	0.208	0.454	0.705	0.071	0.24	0.839	0.009	0.347	0.472	0.061	0.79	0.111	0.436	0.132	0.784	0.212	0.523	0.958	0.304	0.404	0.803	0.85	0.098	0.334	0.715	0.221	0.686	0.716	0.266	0.889	0.365	0.665	0.218	0.761	0.946	0.309	0.17	0.242	0.28	0.123	0.977	0.362	0.271	0.46	0.16	0.015	0.726	0.763	0.355	0.774	0.882	0.728	0.9	0.074	0.79	0.233	0.539	0.344	0.666	0.954	0.756	0.624	0.082	0.793	0.502	0.116	0.651	0.346	0.63	0.58	0.627	0.388	0.516	0.182	0.512	0.757	0.172	0.882	0.28	0.579	0.567	0.577	0.297	0.951	0.89	0.951	0.052	0.796	0.494	0.727	0.191	0.06	0.121	0.982	0.901	0.053	0.66	0.701	0.419
upper95_perm_sad	1.2921	0.8726	0.4744	0.3821	0.1764	0.0562	0.0357	0.068	0.0529	0.036	0.0444	0.0483	0.0429	0.0344	0.0292	0.0307	0.0246	0.044	0.0402	0.0466	0.0371	0.0435	0.0251	0.0396	0.0387	0.0427	0.0379	0.0432	0.0396	0.0525	0.0512	0.0399	0.0421	0.0373	0.037	0.0378	0.0345	0.0487	0.0385	0.0342	0.0394	0.049	0.0382	0.0429	0.043	0.0402	0.0378	0.0479	0.0363	0.0501	0.0472	0.0425	0.0468	0.0388	0.0366	0.0392	0.0417	0.0393	0.0396	0.0404	0.0424	0.043	0.0448	0.0401	0.0377	0.0414	0.0464	0.04	0.0406	0.0395	0.0391	0.0342	0.0332	0.0419	0.0455	0.0413	0.0444	0.0432	0.0385	0.0417	0.0381	0.0358	0.0364	0.0395	0.0436	0.0379	0.0393	0.0371	0.0411	0.038	0.0442	0.0362	0.0376	0.0456	0.0363	0.0396	0.044	0.0382	0.0418	0.044
lower0_perm_sad	-0.492	-0.3423	-0.1287	-0.0983	-0.0351	-0.0165	-0.0116	-0.0137	-0.0128	-0.0116	-0.0122	-0.011	-0.0101	-0.0086	-0.0086	-0.0092	-0.0083	-0.0094	-0.0085	-0.0089	-0.008	-0.0079	-0.0074	-0.0094	-0.0081	-0.0089	-0.0079	-0.0084	-0.0084	-0.0093	-0.0084	-0.0089	-0.0081	-0.008	-0.0094	-0.008	-0.0082	-0.0083	-0.0081	-0.0077	-0.0088	-0.0079	-0.0078	-0.0084	-0.0085	-0.0079	-0.0083	-0.0077	-0.0079	-0.0085	-0.0096	-0.0087	-0.009	-0.0082	-0.0078	-0.0087	-0.0084	-0.0086	-0.008	-0.0078	-0.0081	-0.0091	-0.0088	-0.0078	-0.0079	-0.0081	-0.0085	-0.0076	-0.0088	-0.0079	-0.0081	-0.0097	-0.0074	-0.0083	-0.008	-0.008	-0.0087	-0.008	-0.0084	-0.0088	-0.0078	-0.0075	-0.0078	-0.0082	-0.0081	-0.0077	-0.0079	-0.0092	-0.0081	-0.0078	-0.0096	-0.0082	-0.0083	-0.0083	-0.0079	-0.0076	-0.0086	-0.008	-0.0078	-0.0083
