	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.2083	-0.0789	0.013	-0.047	0.0003	-0.0001	0.0041	0.005	0.0117	-0.002	-0.0021	-0.0038	-0.0038	0.0003	0.0011	-0.0031	-0.0034	0.0076	-0.0012	-0.0034	-0.0041	0.0354	-0.0039	-0.0019	0.0099	0.0003	-0.004	-0.0026	0.0047	-0.003	0.0038	-0.0039	0.015	0.0101	0.0057	-0.0029	-0.0037	-0.002	-0.0032	0.0656	-0.0022	0.005	0.0091	-0.0036	-0.0013	0.0004	0.0495	-0.0031	-0.0038	-0.0004	-0.0036	0.0035	-0.0027	0.0199	0.005	-0.0011	-0.0002	0.0266	0.0081	0.0111	0.0113	-0.0034	0.0324	0.0608	-0.0001	0.002	0.0269	-0.0005	0.0103	-0.0017	-0.0034	0.0005	0.0003	0.0012	0.0382	-0.0032	0.0025	0.0223	-0.0037	-0.0036	-0.0034	-0.0028	0.0045	-0.0037	-0.0015	0.0075	0.0329	-0.0013	-0.0036	-0.0034	-0.0031	0.0035	-0.0031	0.0018	0.0029	0.0557	-0.0028	0.0251	0.003	-0.0029
direct_vc_estimate_se	4.1352	2.8561	1.0084	0.8717	0.275	0.1322	0.1082	0.124	0.0969	0.0802	0.0894	0.0924	0.0781	0.0753	0.0761	0.0656	0.0636	0.0672	0.0704	0.0681	0.0756	0.0714	0.0719	0.064	0.0675	0.0695	0.0733	0.0714	0.0678	0.0681	0.0685	0.0737	0.0705	0.0744	0.0699	0.0669	0.0672	0.0672	0.0696	0.0701	0.0716	0.0721	0.0691	0.0661	0.0692	0.0671	0.0703	0.0664	0.0688	0.0694	0.0693	0.0696	0.0677	0.0728	0.0688	0.07	0.0658	0.0692	0.0677	0.0666	0.0668	0.0698	0.0659	0.0673	0.0662	0.0725	0.0666	0.0649	0.0687	0.0652	0.0642	0.0648	0.0666	0.069	0.067	0.0645	0.0668	0.0665	0.0697	0.0723	0.0685	0.0685	0.0653	0.0672	0.0669	0.0674	0.0663	0.064	0.067	0.0643	0.0664	0.0641	0.0642	0.0714	0.0691	0.0654	0.0671	0.0662	0.0689	0.0686
direct_vc_pvals	0.794	0.502	0.373	0.89	0.444	0.323	0.22	0.305	0.132	0.482	0.537	0.69	0.79	0.387	0.329	0.736	0.87	0.154	0.463	0.826	0.959	0.007	0.956	0.592	0.114	0.411	0.965	0.628	0.243	0.787	0.273	0.873	0.08	0.166	0.21	0.721	0.94	0.62	0.744	0.002	0.611	0.228	0.153	0.976	0.521	0.43	0.004	0.768	0.989	0.465	0.854	0.272	0.667	0.07	0.263	0.508	0.435	0.028	0.201	0.12	0.116	0.805	0.011	0.001	0.455	0.331	0.017	0.455	0.142	0.581	0.883	0.419	0.443	0.392	0.012	0.804	0.333	0.047	0.892	0.804	0.828	0.69	0.234	0.987	0.525	0.178	0.01	0.531	0.877	0.868	0.75	0.299	0.772	0.341	0.337	0.002	0.719	0.033	0.306	0.703
upper95_perm_direct	0.6499	0.535	0.245	0.2112	0.0918	0.0214	0.0196	0.0409	0.023	0.0168	0.0221	0.0272	0.0212	0.018	0.0179	0.014	0.0145	0.0166	0.0157	0.0187	0.0235	0.0198	0.0236	0.0185	0.0189	0.018	0.0247	0.0197	0.0192	0.0212	0.0228	0.0263	0.0206	0.0308	0.02	0.0212	0.0215	0.0207	0.0245	0.0215	0.0264	0.0188	0.0225	0.0197	0.0203	0.0254	0.0234	0.0209	0.0231	0.024	0.0216	0.0196	0.0211	0.0246	0.0245	0.0214	0.0176	0.0207	0.0258	0.0219	0.019	0.021	0.0218	0.0219	0.0203	0.0225	0.0195	0.0194	0.0227	0.0212	0.0184	0.0233	0.0235	0.0225	0.0201	0.0218	0.0241	0.023	0.0202	0.0233	0.0212	0.0223	0.022	0.0195	0.0176	0.0218	0.0195	0.0219	0.0208	0.0203	0.0227	0.0215	0.0217	0.0233	0.0225	0.0204	0.02	0.0195	0.0235	0.0223
lower0_perm_direct	-0.2641	-0.1865	-0.0638	-0.0578	-0.0174	-0.0085	-0.0068	-0.0079	-0.006	-0.0055	-0.0058	-0.006	-0.0049	-0.0048	-0.0052	-0.0042	-0.0042	-0.0045	-0.0044	-0.0044	-0.0047	-0.0047	-0.0045	-0.0042	-0.0043	-0.0045	-0.0047	-0.0045	-0.0043	-0.0045	-0.0047	-0.0048	-0.0045	-0.0051	-0.0046	-0.0044	-0.0043	-0.0043	-0.0044	-0.0045	-0.0046	-0.0047	-0.0044	-0.0043	-0.0046	-0.0046	-0.0044	-0.0042	-0.0044	-0.0044	-0.0044	-0.0044	-0.0045	-0.0048	-0.0045	-0.0045	-0.0044	-0.0045	-0.0044	-0.0042	-0.0046	-0.0045	-0.0044	-0.0043	-0.0044	-0.0048	-0.0042	-0.0042	-0.0045	-0.0042	-0.0042	-0.0041	-0.0042	-0.0046	-0.0043	-0.0042	-0.0045	-0.0042	-0.0046	-0.0048	-0.0045	-0.0044	-0.0041	-0.0043	-0.0043	-0.0043	-0.0042	-0.0041	-0.0044	-0.0041	-0.0043	-0.0041	-0.0042	-0.0046	-0.0047	-0.0042	-0.0043	-0.0042	-0.0045	-0.0044
sad_vc_estimate	-0.2069	-0.165	0.0152	-0.0414	-0.0101	0.009	0.0179	0.0117	0.0034	-0.0006	-0.0024	-0.0033	-0.0039	-0.002	-0.0022	-0.0031	-0.0028	0.0038	0.0011	-0.0034	0.0	0.0533	-0.002	-0.0024	0.0092	-0.0021	-0.0035	-0.004	0.0164	-0.0019	0.0122	-0.0043	0.0321	0.0164	0.0033	-0.0039	-0.0038	-0.0037	-0.0037	0.0561	-0.0029	0.008	0.0005	-0.0035	-0.0033	0.0154	0.0638	0.001	-0.0028	-0.0007	-0.004	0.001	-0.0029	0.0268	0.007	-0.004	-0.0004	0.0134	0.0175	0.0365	0.0317	0.0015	0.0511	0.0343	0.0023	0.0034	0.05	-0.0001	0.007	-0.0026	-0.0005	-0.0004	-0.0004	0.0027	0.0348	-0.0037	0.0036	0.0395	-0.004	-0.0018	-0.0036	-0.004	0.0054	-0.0039	-0.0022	0.0122	0.0313	-0.0025	-0.0018	-0.0023	-0.003	0.0027	-0.0034	0.0009	0.0042	0.0618	-0.0032	0.0158	0.0135	-0.0038
sad_vc_estimate_se	4.4195	3.0479	1.0926	0.9349	0.2931	0.1403	0.1144	0.1318	0.1028	0.0856	0.0947	0.0985	0.0827	0.0799	0.0803	0.0697	0.0678	0.0716	0.075	0.0721	0.0804	0.0754	0.0765	0.0682	0.0716	0.0737	0.0774	0.0754	0.0721	0.0721	0.0725	0.0779	0.0746	0.0783	0.0739	0.0709	0.0712	0.0713	0.0737	0.0741	0.0756	0.0761	0.0732	0.0701	0.0733	0.071	0.0743	0.0705	0.0729	0.0737	0.0733	0.0738	0.0717	0.0768	0.0728	0.0742	0.0697	0.0731	0.0717	0.0707	0.0707	0.0739	0.07	0.0712	0.0702	0.0765	0.0705	0.0689	0.0728	0.0693	0.0681	0.0689	0.0707	0.0731	0.0711	0.0685	0.0707	0.0707	0.0736	0.0763	0.0725	0.0726	0.0692	0.0712	0.0709	0.0717	0.0704	0.0679	0.0712	0.0684	0.0704	0.0681	0.0682	0.0758	0.0732	0.0693	0.071	0.0702	0.0728	0.0725
sad_vc_pvals	0.74	0.904	0.364	0.725	0.687	0.172	0.08	0.259	0.289	0.399	0.55	0.599	0.763	0.534	0.561	0.697	0.676	0.274	0.358	0.777	0.475	0.007	0.64	0.654	0.163	0.598	0.778	0.877	0.105	0.611	0.13	0.995	0.02	0.109	0.315	0.929	0.887	0.887	0.817	0.004	0.684	0.187	0.422	0.828	0.787	0.111	0.002	0.414	0.706	0.499	0.98	0.401	0.712	0.044	0.234	0.916	0.492	0.142	0.076	0.023	0.026	0.372	0.009	0.018	0.338	0.341	0.009	0.479	0.235	0.665	0.518	0.526	0.48	0.365	0.021	0.943	0.298	0.008	0.951	0.602	0.805	0.972	0.24	0.95	0.648	0.123	0.03	0.671	0.602	0.636	0.735	0.346	0.797	0.403	0.332	0.002	0.747	0.089	0.111	0.882
upper95_perm_sad	0.7956	0.61	0.2912	0.2747	0.1206	0.0298	0.0234	0.0484	0.0263	0.018	0.0283	0.0253	0.0249	0.0228	0.0224	0.0171	0.0202	0.0203	0.018	0.0234	0.0277	0.0241	0.0358	0.0223	0.0236	0.0239	0.0268	0.0239	0.0259	0.0233	0.0246	0.03	0.0242	0.0282	0.0273	0.0264	0.0237	0.0227	0.0277	0.0257	0.0261	0.0275	0.0231	0.0254	0.0276	0.0277	0.0235	0.0278	0.0249	0.0249	0.0249	0.0236	0.0222	0.0256	0.0265	0.0256	0.0239	0.0252	0.0241	0.0271	0.0242	0.0248	0.0231	0.0234	0.0245	0.0282	0.0235	0.0247	0.0259	0.0233	0.0267	0.023	0.0269	0.0276	0.0224	0.022	0.0267	0.0229	0.0255	0.0257	0.0233	0.0233	0.0238	0.0243	0.0225	0.0223	0.0259	0.0254	0.0235	0.0267	0.0241	0.023	0.0259	0.0279	0.0313	0.021	0.0231	0.0231	0.0244	0.0277
lower0_perm_sad	-0.2949	-0.2036	-0.0689	-0.0613	-0.0191	-0.0092	-0.0074	-0.0086	-0.0067	-0.0055	-0.0061	-0.0063	-0.0051	-0.0051	-0.0052	-0.0045	-0.0043	-0.0046	-0.005	-0.0047	-0.0052	-0.0051	-0.005	-0.0043	-0.0049	-0.0047	-0.005	-0.0048	-0.0046	-0.0047	-0.0048	-0.005	-0.0049	-0.0052	-0.0047	-0.0045	-0.0046	-0.0046	-0.0048	-0.0047	-0.005	-0.0049	-0.0047	-0.0047	-0.0047	-0.0046	-0.0049	-0.0045	-0.0047	-0.0049	-0.0047	-0.0048	-0.0048	-0.005	-0.0048	-0.0048	-0.0044	-0.0046	-0.0047	-0.0045	-0.0045	-0.0048	-0.0048	-0.0048	-0.0045	-0.0049	-0.0045	-0.0045	-0.0047	-0.0044	-0.0045	-0.0044	-0.0045	-0.0047	-0.0046	-0.0045	-0.0048	-0.0045	-0.0047	-0.0052	-0.0046	-0.0046	-0.0045	-0.0048	-0.0045	-0.0049	-0.0045	-0.0045	-0.0046	-0.0044	-0.0045	-0.0044	-0.0046	-0.0048	-0.005	-0.0045	-0.0046	-0.0044	-0.005	-0.0047
