	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.1938	1.8136	0.1857	0.0191	-0.024	-0.0069	0.0345	-0.0096	-0.0002	0.0099	-0.0053	0.0056	0.0117	-0.0059	-0.0054	-0.0016	0.0074	-0.0073	-0.0017	-0.0044	0.017	-0.0027	0.0364	-0.0012	-0.0042	-0.0048	-0.0041	-0.004	-0.0062	0.0059	-0.0019	-0.0056	0.0156	-0.0021	0.008	-0.0058	-0.0048	-0.0023	0.0038	0.0314	0.0034	-0.0021	-0.0049	0.0098	-0.0045	-0.0052	0.0128	-0.005	0.015	-0.0007	-0.0047	0.003	0.0035	-0.0024	-0.0006	-0.0059	0.0232	-0.0044	-0.0019	-0.004	-0.0054	-0.004	0.0026	-0.0011	-0.0051	-0.0068	0.0006	0.0146	-0.0061	0.0068	-0.0037	-0.0043	-0.0055	-0.0018	-0.0039	0.0004	-0.0067	0.0005	-0.0048	0.0018	0.0014	0.0003	-0.0001	-0.0032	-0.0038	0.0006	-0.0033	0.001	-0.0046	-0.0054	0.004	-0.0019	-0.0037	-0.0048	0.0106	-0.0034	-0.003	-0.0035	-0.0012	-0.0011
direct_vc_estimate_se	0.0971	0.0608	0.0229	0.0153	0.0059	0.0026	0.0021	0.0024	0.002	0.0022	0.0019	0.0015	0.0013	0.0018	0.0013	0.0012	0.0012	0.0019	0.001	0.0011	0.0017	0.0021	0.0029	0.0014	0.0016	0.0014	0.0011	0.001	0.0016	0.0016	0.0013	0.0014	0.0014	0.0019	0.0015	0.0014	0.0015	0.0009	0.0014	0.0013	0.0012	0.0015	0.0014	0.0014	0.0012	0.0014	0.0016	0.0014	0.0015	0.0013	0.0012	0.0012	0.0013	0.0011	0.0012	0.0015	0.0015	0.0012	0.0011	0.0014	0.0015	0.0015	0.0012	0.0012	0.0012	0.0018	0.0016	0.0014	0.0016	0.0014	0.0016	0.0011	0.0015	0.0012	0.001	0.0013	0.0016	0.001	0.0012	0.0016	0.0016	0.001	0.0012	0.0018	0.0009	0.0013	0.0012	0.0011	0.0012	0.0015	0.0012	0.0015	0.0009	0.0012	0.0013	0.001	0.0011	0.0015	0.0011	0.0013
direct_vc_pvals	0.179	0.003	0.083	0.299	0.942	0.536	0.032	0.836	0.31	0.069	0.564	0.209	0.111	0.654	0.968	0.419	0.04	0.823	0.389	0.904	0.097	0.484	0.066	0.405	0.597	0.707	0.789	0.892	0.862	0.241	0.405	0.978	0.092	0.366	0.223	0.955	0.645	0.549	0.202	0.005	0.11	0.538	0.728	0.096	0.798	0.788	0.095	0.716	0.084	0.37	0.846	0.313	0.278	0.496	0.343	0.857	0.04	0.691	0.529	0.557	0.752	0.522	0.279	0.418	0.957	0.819	0.297	0.143	0.816	0.218	0.617	0.793	0.747	0.455	0.792	0.202	0.947	0.379	0.776	0.187	0.284	0.239	0.372	0.431	0.931	0.22	0.639	0.301	0.786	0.785	0.208	0.391	0.961	0.878	0.089	0.705	0.611	0.562	0.396	0.357
upper95_perm_direct	0.7406	0.7392	0.2381	0.2173	0.0601	0.0243	0.028	0.0351	0.0206	0.0136	0.0209	0.0206	0.0197	0.0199	0.0166	0.0121	0.0062	0.0298	0.008	0.0111	0.0262	0.0245	0.041	0.0181	0.0277	0.0117	0.0198	0.013	0.0184	0.025	0.0118	0.0136	0.0215	0.0171	0.026	0.0173	0.0145	0.0106	0.0149	0.0139	0.0088	0.0298	0.0198	0.014	0.013	0.0155	0.0188	0.0129	0.0187	0.0163	0.0181	0.0231	0.0217	0.0103	0.0129	0.013	0.0202	0.009	0.0208	0.0156	0.0123	0.013	0.0183	0.0181	0.0183	0.021	0.0184	0.0277	0.0116	0.0221	0.0337	0.011	0.0186	0.0136	0.0129	0.0099	0.0189	0.0164	0.0054	0.0108	0.018	0.0082	0.0184	0.0149	0.0077	0.0091	0.0161	0.0159	0.0164	0.0298	0.0161	0.0168	0.0116	0.0166	0.0151	0.0137	0.0202	0.022	0.0117	0.0131
lower0_perm_direct	-0.4517	-0.2769	-0.1029	-0.0697	-0.0267	-0.0119	-0.0094	-0.0111	-0.0091	-0.0101	-0.0087	-0.007	-0.0059	-0.0084	-0.006	-0.0053	-0.0055	-0.0086	-0.0048	-0.005	-0.0077	-0.0097	-0.0133	-0.0064	-0.0077	-0.0061	-0.0052	-0.0045	-0.0073	-0.0071	-0.0063	-0.0063	-0.0063	-0.0089	-0.0069	-0.0064	-0.0067	-0.0042	-0.0065	-0.006	-0.0054	-0.0067	-0.0063	-0.0068	-0.0054	-0.0065	-0.0071	-0.0063	-0.0067	-0.006	-0.0055	-0.0055	-0.0059	-0.005	-0.0057	-0.0069	-0.0066	-0.0058	-0.0051	-0.0068	-0.0068	-0.0072	-0.0057	-0.0058	-0.0057	-0.0081	-0.0071	-0.0063	-0.0071	-0.0067	-0.0071	-0.0052	-0.0069	-0.0055	-0.0048	-0.0058	-0.0074	-0.0045	-0.0058	-0.0072	-0.0074	-0.0044	-0.0054	-0.0082	-0.0042	-0.0062	-0.0053	-0.0049	-0.0056	-0.0071	-0.0053	-0.0072	-0.0043	-0.0057	-0.0059	-0.0046	-0.0052	-0.007	-0.0052	-0.0059
sad_vc_estimate	0.1405	2.0215	0.0864	0.0273	-0.0048	-0.0051	0.0595	-0.01	-0.0062	0.0099	-0.0058	0.0005	0.0214	-0.005	-0.0052	0.008	0.0176	-0.0055	-0.0017	-0.0044	0.0344	-0.0075	0.019	-0.0008	-0.0063	-0.0056	-0.0029	-0.0035	-0.0045	0.0043	0.0024	-0.0052	0.0096	-0.0078	0.005	0.0014	-0.0059	-0.0003	0.003	0.0246	0.0143	0.0015	-0.0057	0.0083	-0.0049	-0.0026	0.0181	-0.0042	0.0269	0.0063	-0.0019	0.0046	0.0204	-0.0035	-0.0035	0.0045	0.0225	-0.0016	-0.0026	-0.0058	-0.0056	-0.0025	0.0207	0.004	-0.0049	-0.0059	0.006	0.0294	-0.0058	0.0075	-0.0047	-0.0032	-0.0046	-0.004	-0.001	0.0115	0.0024	0.0002	-0.0039	-0.005	0.0067	-0.001	0.0013	-0.0057	-0.0035	-0.0049	-0.0038	0.008	-0.0034	-0.0058	0.0113	0.0004	-0.0023	-0.0044	0.0289	-0.0038	-0.0044	-0.0056	-0.0002	-0.0051
sad_vc_estimate_se	0.0974	0.061	0.023	0.0154	0.0059	0.0026	0.0021	0.0025	0.002	0.0022	0.0019	0.0015	0.0013	0.0018	0.0013	0.0012	0.0012	0.0019	0.001	0.0011	0.0017	0.0021	0.0029	0.0014	0.0017	0.0014	0.0011	0.001	0.0016	0.0016	0.0014	0.0014	0.0014	0.0019	0.0015	0.0014	0.0015	0.0009	0.0014	0.0013	0.0012	0.0015	0.0014	0.0014	0.0012	0.0014	0.0016	0.0014	0.0015	0.0013	0.0012	0.0012	0.0013	0.0011	0.0012	0.0015	0.0015	0.0012	0.0011	0.0014	0.0015	0.0016	0.0013	0.0012	0.0013	0.0018	0.0016	0.0014	0.0016	0.0014	0.0016	0.0011	0.0015	0.0012	0.001	0.0013	0.0017	0.001	0.0012	0.0016	0.0016	0.001	0.0012	0.0018	0.0009	0.0014	0.0012	0.0011	0.0012	0.0015	0.0012	0.0015	0.0009	0.0012	0.0013	0.001	0.0011	0.0015	0.0011	0.0013
sad_vc_pvals	0.25	0.005	0.161	0.278	0.42	0.475	0.021	0.983	0.657	0.127	0.643	0.409	0.034	0.585	0.92	0.138	0.019	0.62	0.452	0.99	0.024	0.72	0.133	0.417	0.826	0.946	0.656	0.738	0.665	0.32	0.225	0.832	0.189	0.875	0.294	0.363	0.909	0.379	0.273	0.028	0.025	0.46	0.935	0.137	0.966	0.509	0.083	0.63	0.049	0.25	0.543	0.316	0.09	0.632	0.639	0.161	0.059	0.406	0.64	0.941	0.831	0.356	0.084	0.312	0.846	0.72	0.195	0.093	0.733	0.333	0.694	0.621	0.617	0.697	0.469	0.034	0.278	0.44	0.605	0.66	0.185	0.429	0.398	0.601	0.784	0.731	0.722	0.223	0.607	0.845	0.125	0.332	0.606	0.786	0.031	0.823	0.906	0.833	0.415	0.868
upper95_perm_sad	1.1105	0.7342	0.2272	0.2436	0.0665	0.0309	0.0337	0.0476	0.03	0.024	0.0303	0.0271	0.0179	0.0195	0.0299	0.0146	0.0105	0.0259	0.0112	0.0152	0.0243	0.0261	0.0352	0.019	0.0288	0.0214	0.0259	0.0153	0.0307	0.0272	0.0131	0.0207	0.0258	0.019	0.0279	0.0264	0.0184	0.0126	0.0202	0.0199	0.0096	0.0389	0.0284	0.016	0.0114	0.0195	0.0238	0.0158	0.0252	0.0267	0.0217	0.0278	0.0297	0.0123	0.017	0.0141	0.0242	0.0131	0.0207	0.0266	0.0221	0.0115	0.0268	0.0247	0.0201	0.0238	0.0192	0.0409	0.0142	0.0334	0.0363	0.0133	0.0168	0.0157	0.0152	0.0094	0.0216	0.0201	0.009	0.0181	0.02	0.0126	0.028	0.0118	0.0108	0.0141	0.0202	0.0234	0.0183	0.0401	0.0234	0.0184	0.0154	0.0253	0.0232	0.0214	0.023	0.0258	0.0195	0.0138
lower0_perm_sad	-0.4438	-0.2824	-0.1092	-0.0692	-0.0276	-0.0119	-0.0096	-0.0114	-0.0091	-0.0103	-0.0088	-0.0071	-0.0058	-0.0082	-0.0059	-0.0054	-0.0056	-0.0087	-0.0048	-0.005	-0.0078	-0.0098	-0.0141	-0.0064	-0.0079	-0.0062	-0.0051	-0.0046	-0.0074	-0.0074	-0.0062	-0.0062	-0.0067	-0.009	-0.007	-0.0063	-0.0067	-0.0041	-0.0065	-0.006	-0.0055	-0.0065	-0.0064	-0.0065	-0.0055	-0.0064	-0.0071	-0.0062	-0.0066	-0.006	-0.0056	-0.0057	-0.0058	-0.005	-0.0055	-0.0068	-0.0066	-0.0058	-0.005	-0.0064	-0.0066	-0.0072	-0.0056	-0.0057	-0.0057	-0.0084	-0.0072	-0.0062	-0.0071	-0.0065	-0.0071	-0.0052	-0.0069	-0.0053	-0.0048	-0.0058	-0.0075	-0.0046	-0.0056	-0.0073	-0.0075	-0.0043	-0.0056	-0.0084	-0.0042	-0.0062	-0.0053	-0.0049	-0.0058	-0.0068	-0.0052	-0.007	-0.0041	-0.0055	-0.0059	-0.0048	-0.0051	-0.0067	-0.0053	-0.0059
