	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0001	-0.0024	0.0231	0.1479	0.0657	0.0073	-0.0003	0.0549	0.0005	0.0005	0.0027	0.0017	-0.0001	0.0018	0.0005	0.0002	0.0	-0.0	0.0003	0.006	0.0001	0.0033	0.0	0.0008	0.0007	0.0026	-0.0001	-0.0	-0.0001	0.0011	0.0003	0.0015	-0.0001	0.0005	0.0	0.0011	0.002	-0.0001	0.0058	0.0001	0.0003	0.0012	0.0007	-0.0001	0.0007	0.0003	0.0004	0.0002	0.003	-0.0002	0.0004	0.0018	0.0012	0.0004	0.0001	0.0009	0.0064	0.0007	0.0001	0.0055	0.0	0.0006	0.0003	0.0011	0.0002	-0.0002	0.0006	0.0039	0.0003	0.0036	0.0001	0.0003	0.0001	0.0016	0.0005	-0.0001	0.0004	-0.0001	0.0001	0.0131	0.0001	0.0011	-0.0001	0.0011	0.0022	0.0008	0.0	-0.0001	-0.0001	0.001	-0.0001	0.0068	0.0002	0.0022	0.0045	0.0005	0.0005	0.0002	0.0003	0.0037
direct_vc_estimate_se	0.0152	0.0057	0.0022	0.0018	0.0005	0.0003	0.0005	0.0003	0.0002	0.0003	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
direct_vc_pvals	0.442	0.845	0.238	0.005	0.089	0.39	0.751	0.001	0.268	0.557	0.18	0.399	0.735	0.245	0.292	0.425	0.579	0.745	0.479	0.076	0.694	0.118	0.686	0.204	0.323	0.375	0.678	0.688	0.864	0.447	0.408	0.105	0.821	0.312	0.494	0.236	0.125	0.862	0.373	0.566	0.477	0.276	0.332	0.842	0.392	0.759	0.531	0.583	0.036	0.963	0.519	0.525	0.408	0.515	0.671	0.067	0.049	0.205	0.625	0.001	0.562	0.401	0.463	0.516	0.64	0.936	0.343	0.273	0.34	0.196	0.715	0.304	0.622	0.063	0.54	0.966	0.464	0.823	0.41	0.007	0.435	0.699	0.751	0.414	0.083	0.471	0.556	0.795	0.833	0.141	0.915	0.041	0.584	0.083	0.104	0.341	0.183	0.53	0.398	0.007
upper95_perm_direct	0.1319	0.2231	0.0727	0.1432	0.1212	0.0321	0.0062	0.0508	0.0033	0.0065	0.0093	0.0093	0.0034	0.0067	0.0033	0.0026	0.0025	0.0058	0.0042	0.0103	0.005	0.0074	0.0042	0.003	0.0038	0.0122	0.0017	0.0034	0.0042	0.0056	0.0031	0.0033	0.0045	0.0032	0.002	0.0049	0.0049	0.0026	0.0218	0.0029	0.0037	0.0054	0.0044	0.0033	0.0053	0.0074	0.0067	0.0043	0.004	0.0048	0.005	0.0135	0.0063	0.0062	0.004	0.0016	0.01	0.0027	0.0038	0.0045	0.0024	0.0047	0.004	0.0075	0.0113	0.0028	0.0039	0.0107	0.002	0.0094	0.0082	0.002	0.0065	0.0027	0.0054	0.0047	0.0034	0.0027	0.002	0.0137	0.0024	0.0095	0.0027	0.0053	0.0043	0.0046	0.0022	0.0051	0.0045	0.0027	0.0021	0.0092	0.004	0.0041	0.0088	0.0038	0.0018	0.0044	0.0026	0.0033
lower0_perm_direct	-0.0341	-0.0125	-0.0047	-0.0039	-0.001	-0.0008	-0.001	-0.0007	-0.0005	-0.0006	-0.0004	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0004	-0.0002	-0.0002	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0005	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002
sad_vc_estimate	0.029	0.0151	0.1323	0.4907	0.2475	0.0172	0.0011	0.2185	0.0044	0.0029	0.0111	0.0046	-0.0001	0.0074	0.0023	0.0007	0.0004	-0.0002	0.0006	0.0288	-0.0001	0.0126	0.0022	0.003	0.0047	0.0104	-0.0001	-0.0	0.0019	0.0031	0.0024	0.0045	-0.0	-0.0001	-0.0001	0.0092	0.0078	-0.0001	0.0293	0.0004	0.0018	0.004	0.0027	0.0003	0.0003	0.0033	0.0051	0.0005	0.0081	0.0029	0.0031	0.0112	0.001	0.002	0.0007	0.0018	0.0175	0.0004	0.0	0.0118	0.0015	0.0031	0.0014	0.0072	0.0006	0.0001	0.0054	0.0143	0.0029	0.007	0.0013	0.0028	0.0038	0.0083	0.0005	0.0002	0.0013	0.0001	0.0002	0.0305	0.0006	0.0038	0.0006	0.001	0.005	0.002	-0.0001	0.0035	0.0002	0.004	0.0007	0.0197	0.0002	0.0066	0.0122	0.0023	0.0007	0.0072	0.0049	0.0065
sad_vc_estimate_se	0.0161	0.0062	0.0022	0.0019	0.0005	0.0004	0.0005	0.0004	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
sad_vc_pvals	0.533	0.716	0.01	0.0	0.036	0.378	0.586	0.0	0.087	0.387	0.067	0.433	0.792	0.119	0.182	0.505	0.627	0.986	0.549	0.006	0.881	0.047	0.364	0.1	0.171	0.192	0.81	0.802	0.408	0.462	0.213	0.112	0.852	0.851	0.709	0.11	0.072	0.951	0.197	0.587	0.38	0.198	0.231	0.586	0.711	0.638	0.261	0.626	0.016	0.383	0.298	0.328	0.698	0.437	0.733	0.165	0.055	0.677	0.775	0.006	0.322	0.292	0.415	0.311	0.658	0.639	0.073	0.204	0.086	0.334	0.498	0.072	0.358	0.005	0.714	0.691	0.466	0.609	0.496	0.005	0.478	0.75	0.466	0.608	0.111	0.551	0.769	0.305	0.732	0.07	0.404	0.081	0.75	0.056	0.057	0.238	0.578	0.2	0.213	0.006
upper95_perm_sad	0.5135	0.6084	0.1389	0.3041	0.3468	0.0858	0.0157	0.1565	0.0091	0.0164	0.0191	0.0288	0.0056	0.0168	0.0071	0.0095	0.0096	0.0202	0.0117	0.0331	0.0113	0.0183	0.0144	0.0061	0.0141	0.0261	0.0042	0.0098	0.0167	0.0141	0.0089	0.0103	0.0152	0.0071	0.0031	0.0212	0.0134	0.0058	0.0674	0.0059	0.0119	0.0123	0.0111	0.0069	0.0163	0.0183	0.0212	0.0144	0.0086	0.0216	0.0151	0.0426	0.0176	0.0182	0.0111	0.0048	0.0273	0.0101	0.0118	0.0108	0.0087	0.0124	0.011	0.0328	0.0322	0.0066	0.0094	0.0338	0.0054	0.0304	0.0166	0.0047	0.0225	0.0065	0.0171	0.0131	0.0098	0.0052	0.0046	0.0277	0.0069	0.0279	0.0067	0.0115	0.0108	0.0125	0.0041	0.0165	0.0143	0.0069	0.0052	0.037	0.0136	0.01	0.0188	0.0085	0.0079	0.022	0.0177	0.0058
lower0_perm_sad	-0.0357	-0.013	-0.0047	-0.0039	-0.0011	-0.0008	-0.001	-0.0007	-0.0005	-0.0007	-0.0004	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0002	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0004	-0.0003	-0.0002	-0.0002	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0004	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0003
