	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0003	0.0304	-0.0068	0.0326	0.0593	0.0429	-0.0106	-0.0064	0.0871	-0.0042	-0.0111	0.0084	0.0604	0.0565	0.0757	0.0176	-0.0111	-0.0111	-0.0078	-0.0042	0.0457	0.0916	0.0027	-0.0085	0.0547	-0.0073	0.0187	-0.0057	-0.0057	0.0664	-0.007	-0.0046	0.0233	-0.0026	-0.0068	-0.0061	0.0411	-0.0051	0.0551	0.0037	0.0035	0.1346	-0.0185	0.0103	0.0121	0.0188	-0.0051	-0.0059	-0.0054	-0.0059	-0.0025	0.0028	0.0091	-0.0063	0.0002	-0.0043	0.0805	0.0494	-0.0116	-0.007	-0.0066	0.1071	0.0075	0.062	0.0255	-0.0058	0.033	0.041	-0.001	0.0263	-0.0114	0.017	0.0274	0.0123	-0.004	-0.0003	0.0293	-0.0127	-0.0072	-0.0092	0.0238	-0.0052	-0.0059	-0.0005	-0.0115	0.0069	-0.0079	-0.0024	-0.006	-0.0036	-0.0059	-0.0013	0.0566	-0.0	0.0654	0.0046	-0.0062	-0.0027	0.0237	0.0657
direct_vc_estimate_se	0.0127	0.01	0.0057	0.0088	0.0096	0.0361	0.0085	0.004	0.0257	0.0057	0.0087	0.0037	0.0281	0.0134	0.0201	0.0079	0.0092	0.0093	0.0048	0.0051	0.0052	0.02	0.0036	0.0059	0.006	0.0048	0.0056	0.0035	0.0035	0.0091	0.0043	0.0038	0.005	0.0049	0.0042	0.0041	0.0163	0.0036	0.0044	0.0038	0.0035	0.0071	0.0116	0.0333	0.0054	0.009	0.0047	0.0036	0.0054	0.0036	0.0049	0.0041	0.0051	0.004	0.0042	0.0038	0.02	0.0069	0.0071	0.0103	0.0041	0.0056	0.0057	0.0219	0.0039	0.0038	0.0198	0.0076	0.0094	0.0072	0.0092	0.008	0.0298	0.0051	0.0049	0.0075	0.0053	0.0122	0.0062	0.0056	0.0151	0.0035	0.0041	0.0081	0.007	0.0037	0.0062	0.0035	0.0037	0.0036	0.004	0.0035	0.0111	0.0038	0.0045	0.0134	0.0056	0.006	0.0275	0.0078
direct_vc_pvals	0.403	0.242	0.698	0.204	0.064	0.655	0.789	0.895	0.256	0.613	0.81	0.331	0.449	0.183	0.17	0.318	0.859	0.856	0.988	0.668	0.062	0.132	0.371	0.815	0.029	0.822	0.194	0.929	0.949	0.045	0.922	0.66	0.112	0.537	0.909	0.812	0.365	0.759	0.009	0.272	0.253	0.0	0.972	0.809	0.224	0.354	0.684	0.912	0.651	0.977	0.557	0.309	0.318	0.872	0.357	0.653	0.149	0.071	0.961	0.78	0.935	0.003	0.346	0.298	0.07	0.848	0.489	0.089	0.614	0.222	0.859	0.337	0.665	0.243	0.609	0.586	0.097	0.829	0.765	0.952	0.47	0.791	0.801	0.577	0.972	0.2	0.776	0.563	0.884	0.621	0.786	0.415	0.111	0.472	0.01	0.707	0.718	0.625	0.677	0.065
upper95_perm_direct	0.102	0.1059	0.0614	0.0833	0.0751	0.2246	0.0924	0.0458	0.1911	0.0628	0.0914	0.0499	0.1814	0.1098	0.1378	0.0663	0.0789	0.0675	0.0395	0.0834	0.0592	0.1488	0.0373	0.0621	0.0494	0.0329	0.0523	0.0255	0.0288	0.0726	0.0469	0.0317	0.0442	0.0383	0.0376	0.0316	0.1418	0.027	0.0366	0.0262	0.0256	0.0775	0.0942	0.211	0.0497	0.0859	0.0521	0.0381	0.0428	0.0306	0.0454	0.032	0.0507	0.0316	0.0281	0.0344	0.1405	0.0658	0.0826	0.0825	0.032	0.0537	0.0594	0.1487	0.0388	0.0293	0.1601	0.0594	0.0746	0.0746	0.0829	0.068	0.1844	0.0484	0.0498	0.0662	0.0457	0.1113	0.064	0.0534	0.1336	0.0305	0.0335	0.0901	0.0612	0.0245	0.0768	0.0368	0.033	0.029	0.0293	0.0212	0.0924	0.04	0.0454	0.0994	0.0489	0.0666	0.1749	0.0836
lower0_perm_direct	-0.0278	-0.0218	-0.0127	-0.0188	-0.0204	-0.0499	-0.0183	-0.0088	-0.0481	-0.0121	-0.0208	-0.008	-0.053	-0.0285	-0.0418	-0.0179	-0.0193	-0.0199	-0.0103	-0.011	-0.0108	-0.0445	-0.0086	-0.0127	-0.0139	-0.0107	-0.0126	-0.0082	-0.008	-0.0189	-0.0094	-0.0088	-0.0111	-0.0115	-0.0099	-0.0096	-0.0335	-0.0078	-0.0096	-0.0085	-0.0078	-0.016	-0.0238	-0.0482	-0.0115	-0.019	-0.0103	-0.0086	-0.0116	-0.0084	-0.0111	-0.0091	-0.0118	-0.0088	-0.0093	-0.0085	-0.0407	-0.0149	-0.015	-0.0223	-0.0087	-0.0126	-0.0132	-0.0418	-0.0089	-0.0087	-0.0411	-0.0163	-0.02	-0.0156	-0.0198	-0.0181	-0.0581	-0.0114	-0.0113	-0.0158	-0.0112	-0.0254	-0.0135	-0.0123	-0.0332	-0.0078	-0.0095	-0.0176	-0.0148	-0.0079	-0.0143	-0.0085	-0.0089	-0.0081	-0.0095	-0.0075	-0.025	-0.0087	-0.0097	-0.0279	-0.012	-0.0129	-0.0519	-0.0163
sad_vc_estimate	0.0467	0.0856	-0.0058	0.056	0.065	0.0583	-0.0139	-0.0062	0.0755	-0.0026	-0.0135	0.0207	0.0889	0.09	0.1439	0.0287	-0.013	-0.012	-0.0056	0.0291	0.06	0.0306	0.0167	-0.0085	0.0571	-0.0012	0.0129	-0.0045	0.0041	0.0632	-0.0035	-0.0024	0.0306	0.0113	-0.0067	-0.0067	0.0169	-0.0059	0.0548	0.0001	-0.001	0.1451	-0.0149	-0.015	0.0268	0.0238	-0.001	-0.0061	-0.0044	-0.0057	-0.0043	0.0032	-0.0037	-0.0063	0.0123	0.006	0.1355	0.0453	-0.0085	-0.0088	-0.0041	0.1204	0.0081	0.0316	0.0224	-0.0011	0.0352	0.0604	0.0101	0.0223	-0.0127	0.0236	0.0254	0.0158	0.0039	0.0226	0.0229	-0.015	-0.0045	-0.0084	0.0266	-0.0027	0.0114	0.0064	-0.0077	0.0299	-0.0092	-0.0031	-0.0056	-0.0033	-0.0064	-0.0038	0.0942	0.0041	0.061	0.046	-0.0089	-0.0085	0.032	0.0734
sad_vc_estimate_se	0.0129	0.0101	0.0057	0.0088	0.0097	0.0362	0.0085	0.0041	0.0257	0.0057	0.0088	0.0038	0.0282	0.0135	0.0201	0.0079	0.0093	0.0094	0.0048	0.0051	0.0052	0.0201	0.0037	0.006	0.0061	0.0048	0.0057	0.0036	0.0036	0.0091	0.0044	0.0038	0.0051	0.005	0.0042	0.0041	0.0164	0.0037	0.0044	0.0038	0.0036	0.0072	0.0117	0.0334	0.0054	0.009	0.0048	0.0037	0.0054	0.0036	0.0049	0.0041	0.0052	0.004	0.0042	0.0039	0.0201	0.007	0.0071	0.0103	0.0041	0.0057	0.0058	0.022	0.0039	0.0038	0.0198	0.0077	0.0095	0.0073	0.0093	0.008	0.0299	0.0052	0.005	0.0075	0.0054	0.0123	0.0062	0.0057	0.0152	0.0036	0.0042	0.0082	0.0071	0.0037	0.0063	0.0036	0.0038	0.0036	0.0041	0.0035	0.0111	0.0039	0.0046	0.0134	0.0056	0.0061	0.0275	0.0078
sad_vc_pvals	0.261	0.104	0.688	0.148	0.093	0.56	0.96	0.874	0.378	0.627	0.893	0.342	0.287	0.109	0.046	0.28	0.88	0.83	0.715	0.249	0.073	0.509	0.206	0.818	0.054	0.492	0.275	0.709	0.35	0.103	0.65	0.57	0.157	0.288	0.903	0.935	0.558	0.915	0.037	0.449	0.526	0.006	0.877	0.92	0.153	0.344	0.538	0.988	0.642	0.864	0.653	0.42	0.61	0.892	0.202	0.383	0.064	0.129	0.774	0.795	0.667	0.006	0.394	0.53	0.139	0.575	0.481	0.064	0.465	0.317	0.84	0.322	0.676	0.248	0.415	0.292	0.173	0.815	0.662	0.867	0.465	0.61	0.267	0.501	0.728	0.076	0.865	0.678	0.833	0.637	0.882	0.648	0.066	0.437	0.041	0.302	0.903	0.826	0.63	0.067
upper95_perm_sad	0.219	0.1496	0.0707	0.1099	0.0985	0.2521	0.1318	0.0778	0.2161	0.0908	0.1139	0.0958	0.1998	0.1405	0.1599	0.1065	0.1001	0.0953	0.0631	0.1042	0.087	0.1976	0.0596	0.0774	0.0666	0.0511	0.0514	0.0385	0.0439	0.1038	0.0675	0.0483	0.0711	0.0576	0.0594	0.0479	0.2049	0.0455	0.0568	0.0392	0.0479	0.1063	0.1199	0.2391	0.0688	0.1049	0.073	0.0586	0.0641	0.0511	0.0683	0.0506	0.063	0.0432	0.0427	0.0612	0.1688	0.0812	0.1153	0.1006	0.0461	0.0716	0.0853	0.1842	0.0507	0.0554	0.1813	0.0783	0.1014	0.1148	0.1069	0.0949	0.2166	0.0575	0.0654	0.1002	0.0623	0.1385	0.0875	0.064	0.1462	0.0494	0.0521	0.1126	0.0807	0.044	0.1071	0.055	0.0511	0.0454	0.0513	0.0291	0.117	0.0661	0.0652	0.137	0.0638	0.0827	0.2034	0.0986
lower0_perm_sad	-0.0276	-0.0218	-0.0122	-0.0194	-0.0222	-0.073	-0.0203	-0.0091	-0.0528	-0.0119	-0.0195	-0.0085	-0.057	-0.0274	-0.043	-0.0181	-0.0217	-0.0215	-0.0109	-0.011	-0.0114	-0.0423	-0.0085	-0.0128	-0.0132	-0.011	-0.0128	-0.0078	-0.0082	-0.0192	-0.01	-0.0082	-0.011	-0.0114	-0.0091	-0.009	-0.0346	-0.0083	-0.0098	-0.0084	-0.0081	-0.0164	-0.0265	-0.0559	-0.0124	-0.0203	-0.0109	-0.0084	-0.0116	-0.0082	-0.0112	-0.0091	-0.0115	-0.0086	-0.0089	-0.0086	-0.04	-0.0147	-0.016	-0.0235	-0.009	-0.0123	-0.0127	-0.0461	-0.0082	-0.0083	-0.043	-0.0163	-0.0208	-0.0156	-0.0202	-0.0171	-0.0587	-0.0116	-0.0109	-0.0171	-0.0118	-0.0266	-0.0141	-0.0123	-0.0331	-0.008	-0.0095	-0.0182	-0.0156	-0.008	-0.0136	-0.0079	-0.0086	-0.0076	-0.009	-0.0077	-0.0231	-0.0088	-0.01	-0.0296	-0.0122	-0.0138	-0.056	-0.0181
