	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0006	0.0184	0.0018	0.0049	0.001	0.0032	0.0059	0.0226	0.0163	0.0053	0.0022	0.042	-0.0001	0.0011	0.0062	0.0026	0.0383	0.0003	0.0015	0.0002	0.0035	0.0028	0.0047	-0.0002	0.0014	0.0084	0.0058	-0.0002	0.0268	0.0022	0.0007	0.0039	0.0073	0.0016	0.0022	0.0009	0.0	-0.0003	0.0004	0.0014	0.0006	0.0098	0.0002	0.0083	0.0057	0.0025	0.0029	0.0021	0.0071	0.0016	0.0039	-0.0004	0.0077	0.0008	0.0017	0.0162	-0.0001	0.0059	0.001	-0.0002	-0.0001	-0.0001	0.005	-0.0001	0.004	0.0078	0.0011	0.002	0.0103	0.0	0.0006	0.0035	0.0007	0.0229	0.0038	0.0024	-0.0001	-0.0001	0.0049	0.0001	0.0002	0.0004	0.0061	0.0034	0.001	0.0009	0.0003	0.0012	0.0111	0.0019	0.0033	-0.0001	-0.0001	0.0023	0.0028	0.014	0.0003	-0.0005	0.006	0.0002
direct_vc_estimate_se	0.0011	0.0012	0.0002	0.0005	0.0006	0.0003	0.0009	0.0011	0.0016	0.0006	0.0005	0.0015	0.0002	0.0007	0.0007	0.0005	0.0013	0.0005	0.0006	0.0005	0.0003	0.0003	0.0006	0.0005	0.0003	0.0007	0.0005	0.0003	0.0011	0.0004	0.0003	0.0005	0.0007	0.0002	0.0009	0.0004	0.0001	0.0004	0.0005	0.0002	0.0004	0.0005	0.0003	0.0007	0.0004	0.0005	0.0003	0.0003	0.0008	0.0002	0.0007	0.0005	0.0006	0.0003	0.0005	0.0007	0.0001	0.0005	0.0003	0.0003	0.0002	0.0002	0.0004	0.0005	0.0004	0.0004	0.0003	0.0004	0.0008	0.0002	0.0003	0.0006	0.0003	0.0009	0.0003	0.0003	0.0003	0.0001	0.0003	0.0002	0.0002	0.0004	0.0007	0.0003	0.0004	0.0003	0.0003	0.0005	0.0015	0.0004	0.0003	0.0002	0.0003	0.0005	0.0003	0.0009	0.0004	0.0007	0.0004	0.0003
direct_vc_pvals	0.768	0.336	0.093	0.098	0.256	0.347	0.618	0.398	0.463	0.594	0.101	0.094	0.711	0.745	0.411	0.492	0.174	0.65	0.155	0.585	0.607	0.887	0.057	0.726	0.222	0.765	0.629	0.847	0.228	0.717	0.397	0.552	0.647	0.23	0.49	0.377	0.795	0.952	0.644	0.529	0.436	0.064	0.394	0.725	0.701	0.991	0.076	0.307	0.74	0.142	0.818	0.962	0.707	0.65	0.627	0.389	0.568	0.075	0.335	0.93	0.915	0.894	0.069	0.653	0.611	0.175	0.737	0.171	0.847	0.582	0.34	0.594	0.326	0.037	0.595	0.941	0.787	0.598	0.023	0.629	0.449	0.635	0.916	0.089	0.648	0.856	0.375	0.446	0.868	0.513	0.01	0.77	0.777	0.067	0.743	0.556	0.594	0.909	0.332	0.318
upper95_perm_direct	0.0081	0.0286	0.0027	0.0056	0.003	0.0062	0.0277	0.0351	0.0365	0.0142	0.0029	0.0448	0.0011	0.0119	0.014	0.0101	0.0454	0.0044	0.0026	0.0074	0.0097	0.0076	0.0047	0.0034	0.0033	0.017	0.013	0.0016	0.0334	0.0111	0.003	0.0105	0.0158	0.0032	0.0092	0.0036	0.0027	0.0027	0.0095	0.0042	0.0039	0.0102	0.0018	0.02	0.0124	0.01	0.0032	0.0036	0.0252	0.0025	0.0137	0.0057	0.0152	0.0052	0.0059	0.0238	0.0003	0.0063	0.0027	0.0025	0.0026	0.0021	0.0054	0.0045	0.0068	0.0097	0.0045	0.0034	0.0283	0.0021	0.0025	0.0141	0.0016	0.0212	0.0074	0.0086	0.0042	0.0002	0.004	0.0026	0.002	0.0046	0.0193	0.0044	0.0074	0.0089	0.0018	0.0062	0.0417	0.0051	0.0021	0.0012	0.0023	0.0025	0.0059	0.022	0.0049	0.005	0.0087	0.0014
lower0_perm_direct	-0.0009	0.0018	-0.0002	-0.0004	-0.0005	-0.0001	-0.0002	0.0045	-0.0006	0.0001	-0.0004	0.0122	-0.0002	-0.0006	-0.0005	-0.0004	0.0064	-0.0004	-0.0005	-0.0004	-0.0	0.0013	-0.0005	-0.0004	-0.0002	0.0042	0.0011	-0.0003	0.0053	-0.0003	-0.0002	-0.0003	0.0013	-0.0002	-0.0007	-0.0004	-0.0001	-0.0003	-0.0004	-0.0002	-0.0003	-0.0004	-0.0003	0.0031	0.0015	0.0018	-0.0002	-0.0002	0.0006	-0.0002	0.0014	-0.0004	0.0027	-0.0003	-0.0002	0.0042	-0.0001	-0.0005	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0004	0.0018	0.0005	-0.0001	-0.0003	0.0038	-0.0002	-0.0003	-0.0005	-0.0002	0.0007	0.0008	0.0011	-0.0002	-0.0001	-0.0003	-0.0002	-0.0002	-0.0003	0.0023	-0.0002	-0.0004	-0.0001	-0.0002	-0.0004	0.0053	-0.0002	-0.0003	-0.0001	-0.0002	-0.0004	0.0009	0.0052	-0.0003	-0.0006	0.0014	-0.0002
sad_vc_estimate	0.0004	0.0749	0.0081	0.0155	0.0017	0.01	0.0449	0.0953	0.0355	0.0229	0.0027	0.1412	-0.0	0.0009	0.0123	0.0185	0.0924	-0.0004	0.0127	0.0002	0.0117	0.0072	0.018	0.0001	0.0003	0.0174	0.0263	-0.0002	0.0675	0.0087	0.0009	0.0076	0.0175	0.0023	-0.0007	0.001	0.0018	0.0005	0.0021	0.0042	0.0016	0.0267	0.0012	0.0209	0.0194	0.0034	0.0052	0.0064	0.0195	0.0048	0.0101	-0.0004	0.0191	0.0023	0.0115	0.0685	0.0003	0.0271	0.0089	0.0007	0.0	-0.0002	0.0194	0.0	0.0133	0.0322	0.0012	0.0028	0.0406	0.0015	0.0046	0.0156	0.0043	0.0869	0.0144	0.0073	-0.0001	-0.0001	0.0157	-0.0002	0.0037	0.0007	0.0177	0.0059	0.0002	0.0047	0.0019	0.0002	0.0267	0.005	0.0041	-0.0001	0.0011	0.0124	0.0128	0.0498	0.0016	-0.0004	0.0216	0.0
sad_vc_estimate_se	0.0012	0.0013	0.0002	0.0006	0.0006	0.0003	0.0009	0.0012	0.0017	0.0007	0.0005	0.0016	0.0002	0.0007	0.0008	0.0005	0.0014	0.0005	0.0007	0.0005	0.0004	0.0003	0.0007	0.0005	0.0003	0.0008	0.0005	0.0003	0.0012	0.0004	0.0003	0.0006	0.0007	0.0003	0.0009	0.0004	0.0002	0.0004	0.0005	0.0002	0.0004	0.0005	0.0003	0.0007	0.0004	0.0006	0.0003	0.0003	0.0008	0.0002	0.0008	0.0005	0.0007	0.0003	0.0006	0.0008	0.0001	0.0006	0.0003	0.0003	0.0002	0.0002	0.0004	0.0005	0.0004	0.0005	0.0003	0.0004	0.0009	0.0003	0.0003	0.0006	0.0003	0.001	0.0003	0.0003	0.0003	0.0001	0.0003	0.0003	0.0003	0.0004	0.0007	0.0003	0.0005	0.0003	0.0003	0.0006	0.0016	0.0004	0.0004	0.0002	0.0003	0.0005	0.0003	0.0009	0.0004	0.0008	0.0005	0.0003
sad_vc_pvals	0.708	0.235	0.016	0.175	0.482	0.434	0.273	0.151	0.571	0.471	0.314	0.11	0.71	0.798	0.624	0.238	0.315	0.954	0.151	0.782	0.549	0.876	0.166	0.706	0.653	0.934	0.377	0.839	0.411	0.641	0.598	0.734	0.826	0.432	0.964	0.601	0.588	0.569	0.661	0.534	0.544	0.104	0.331	0.756	0.586	0.999	0.094	0.284	0.812	0.192	0.853	0.92	0.851	0.705	0.323	0.086	0.138	0.012	0.1	0.664	0.809	0.929	0.083	0.796	0.603	0.118	0.877	0.29	0.684	0.171	0.219	0.443	0.39	0.042	0.484	0.932	0.855	0.98	0.048	0.974	0.133	0.703	0.953	0.211	0.872	0.805	0.251	0.814	0.906	0.535	0.143	0.859	0.402	0.065	0.408	0.46	0.549	0.892	0.362	0.72
upper95_perm_sad	0.0332	0.1094	0.0067	0.0236	0.0155	0.0223	0.0663	0.1111	0.133	0.0534	0.0077	0.1537	0.0044	0.0442	0.0559	0.0328	0.1318	0.0086	0.0175	0.0199	0.0281	0.0256	0.0217	0.0107	0.0078	0.0595	0.0457	0.0066	0.1004	0.0283	0.0108	0.0385	0.0495	0.0121	0.04	0.0128	0.0074	0.0079	0.0323	0.0133	0.015	0.0308	0.0053	0.0739	0.0347	0.0411	0.0064	0.0119	0.0685	0.0096	0.0504	0.0283	0.0531	0.0167	0.0241	0.0715	0.0006	0.0196	0.011	0.0122	0.0064	0.0088	0.022	0.0198	0.026	0.0374	0.0167	0.0081	0.0802	0.0034	0.0092	0.0384	0.011	0.084	0.0255	0.0266	0.0127	0.0026	0.0149	0.0092	0.006	0.0146	0.0627	0.0103	0.0291	0.0225	0.0046	0.0202	0.1461	0.0183	0.0067	0.0062	0.0072	0.0143	0.021	0.0836	0.0186	0.0168	0.0357	0.0067
lower0_perm_sad	-0.001	0.0019	-0.0002	-0.0004	-0.0005	-0.0002	0.0014	0.0161	-0.001	-0.0003	-0.0004	0.0283	-0.0002	-0.0006	-0.0006	-0.0004	0.022	-0.0004	-0.0006	-0.0004	0.0	0.0029	-0.0006	-0.0004	-0.0003	0.0091	0.0019	-0.0003	0.0168	-0.0001	-0.0003	-0.0004	0.0055	-0.0002	-0.0007	-0.0004	-0.0001	-0.0003	-0.0004	-0.0001	-0.0003	-0.0004	-0.0003	0.0065	0.0062	0.0034	-0.0002	-0.0003	0.0037	-0.0002	0.0016	-0.0004	0.0057	-0.0003	-0.0004	0.0149	-0.0001	-0.0005	-0.0002	-0.0002	-0.0002	-0.0002	-0.0003	-0.0004	0.0034	0.0001	-0.0002	-0.0003	0.0149	-0.0002	-0.0003	-0.0005	-0.0003	0.0003	0.0028	0.0035	-0.0002	-0.0001	-0.0003	-0.0002	-0.0002	-0.0003	0.0107	-0.0002	-0.0004	0.0	-0.0002	-0.0005	0.0135	-0.0003	-0.0003	-0.0002	-0.0002	-0.0004	0.0019	0.0107	-0.0003	-0.0006	0.0027	-0.0002
