	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0046	0.0101	0.0298	-0.0023	0.0045	0.0064	-0.0011	0.0011	0.0008	0.0181	0.0207	-0.0007	0.0221	-0.0019	-0.0014	-0.0024	0.0125	0.0263	-0.0012	0.0011	0.0026	0.0374	0.001	-0.0015	-0.0006	0.0029	-0.0012	-0.0004	0.0066	0.0031	0.0072	0.0056	0.0008	-0.0017	0.0104	0.0237	0.0005	0.0052	-0.0	0.0035	0.0005	0.0222	0.0	0.0115	0.0026	-0.0	0.0135	0.0147	0.0018	0.0174	0.0047	0.0031	0.0085	0.0079	-0.0006	0.0042	-0.0002	0.0067	-0.0002	0.0002	-0.0021	-0.001	-0.0016	0.0498	-0.0003	0.0255	0.0062	-0.001	0.0182	0.0011	-0.0013	0.0048	-0.0013	0.0259	0.0085	0.0248	0.0001	0.0019	0.0048	0.0005	0.0042	0.0016	0.0079	-0.0008	0.016	-0.0011	0.0046	0.0028	0.0191	0.0024	0.0022	0.0013	-0.0008	-0.0021	-0.0014	-0.001	0.004	0.001	-0.0034	0.005
direct_vc_estimate_se	0.0211	0.0097	0.0152	0.0106	0.0052	0.006	0.007	0.0059	0.0106	0.0052	0.0075	0.006	0.0068	0.0095	0.0107	0.0108	0.0053	0.0065	0.0061	0.0073	0.0058	0.0064	0.0067	0.0066	0.0051	0.0089	0.0056	0.008	0.0077	0.008	0.0057	0.0139	0.0054	0.008	0.0068	0.0101	0.0057	0.0156	0.0055	0.0061	0.0051	0.0098	0.0087	0.0077	0.0057	0.0081	0.0073	0.006	0.0045	0.0118	0.0056	0.0048	0.0056	0.0058	0.0052	0.0063	0.0108	0.0057	0.0075	0.0055	0.0094	0.0055	0.0073	0.0093	0.0114	0.0073	0.0067	0.0048	0.0059	0.0057	0.0056	0.0052	0.0109	0.0066	0.0058	0.0071	0.0055	0.0055	0.005	0.0069	0.0051	0.0051	0.0072	0.0057	0.0071	0.0046	0.0052	0.011	0.0062	0.0048	0.0059	0.0067	0.0053	0.0108	0.012	0.0046	0.0046	0.0056	0.0151	0.0093
direct_vc_pvals	0.9	0.398	0.042	0.911	0.18	0.263	0.781	0.543	0.558	0.009	0.07	0.72	0.084	0.873	0.734	0.909	0.037	0.076	0.871	0.507	0.408	0.015	0.627	0.928	0.753	0.461	0.95	0.599	0.325	0.382	0.238	0.381	0.463	0.912	0.229	0.015	0.559	0.442	0.626	0.373	0.699	0.033	0.585	0.233	0.34	0.625	0.079	0.042	0.48	0.159	0.327	0.299	0.151	0.287	0.766	0.525	0.624	0.267	0.644	0.55	0.945	0.836	0.945	0.003	0.652	0.044	0.272	0.905	0.112	0.418	0.982	0.18	0.707	0.173	0.169	0.157	0.611	0.407	0.153	0.599	0.315	0.486	0.239	0.694	0.093	0.981	0.304	0.487	0.168	0.302	0.396	0.472	0.724	0.835	0.759	0.929	0.192	0.497	0.98	0.304
upper95_perm_direct	0.0685	0.0595	0.0323	0.0301	0.0131	0.021	0.0232	0.0227	0.0292	0.0126	0.0265	0.0228	0.0302	0.0359	0.0285	0.023	0.0126	0.0343	0.0292	0.0213	0.0197	0.0284	0.0361	0.0197	0.0231	0.0303	0.0253	0.0185	0.0318	0.024	0.0216	0.037	0.0131	0.0376	0.0309	0.0181	0.0193	0.0408	0.0201	0.0238	0.0315	0.0214	0.0251	0.0328	0.0163	0.0285	0.0186	0.0144	0.0209	0.0327	0.0221	0.0143	0.0179	0.0256	0.0197	0.0441	0.0275	0.023	0.0285	0.0139	0.0186	0.0209	0.0232	0.0251	0.0377	0.0271	0.0241	0.0206	0.0313	0.0158	0.0206	0.014	0.0346	0.059	0.02	0.0491	0.0226	0.0183	0.0119	0.0241	0.0196	0.0213	0.0241	0.0144	0.0259	0.0228	0.0197	0.0369	0.036	0.0123	0.0189	0.0184	0.0131	0.0268	0.0172	0.0109	0.0104	0.0166	0.0355	0.0225
lower0_perm_direct	-0.0065	-0.003	-0.0046	-0.0033	-0.0015	-0.0018	-0.0022	-0.0018	-0.0033	-0.0016	-0.0024	-0.0019	-0.002	-0.0029	-0.0034	-0.0033	-0.0016	-0.002	-0.0018	-0.0022	-0.0018	-0.0018	-0.002	-0.002	-0.0016	-0.0029	-0.0017	-0.0025	-0.0023	-0.0024	-0.0018	-0.0042	-0.0017	-0.0024	-0.002	-0.003	-0.0017	-0.0048	-0.0016	-0.0019	-0.0015	-0.003	-0.0028	-0.0024	-0.0017	-0.0025	-0.0022	-0.0019	-0.0014	-0.0035	-0.0016	-0.0015	-0.0017	-0.0017	-0.0016	-0.002	-0.0033	-0.0016	-0.0022	-0.0016	-0.0027	-0.0017	-0.0022	-0.0029	-0.0033	-0.0023	-0.0022	-0.0015	-0.0017	-0.0018	-0.0017	-0.0017	-0.0032	-0.002	-0.0018	-0.0021	-0.0017	-0.0016	-0.0015	-0.0021	-0.0015	-0.0016	-0.0022	-0.0017	-0.0022	-0.0014	-0.0015	-0.0033	-0.0019	-0.0015	-0.0019	-0.002	-0.0016	-0.0032	-0.0036	-0.0013	-0.0015	-0.0017	-0.0048	-0.0028
sad_vc_estimate	-0.0042	0.0298	0.0735	-0.0022	0.0168	0.007	0.0033	-0.0011	0.0097	0.0334	0.1193	-0.0014	0.0301	-0.0022	-0.0011	0.0011	0.0124	0.072	0.0056	0.0141	0.0019	0.0967	0.0005	0.0014	-0.0009	0.0019	-0.0012	0.0011	0.0178	0.0309	0.0166	0.009	0.0035	0.0026	0.004	0.0384	0.0018	0.003	0.0002	0.0032	0.0053	0.0377	-0.0018	0.0083	0.0176	0.0011	0.0443	0.0094	0.0017	0.0431	0.0112	-0.0011	0.0088	0.0214	0.009	0.0445	0.0022	0.0272	-0.0015	0.0164	-0.0	-0.0013	0.0011	0.0949	0.011	0.0473	0.0094	0.001	0.026	0.0018	-0.0013	0.0228	0.0073	0.0496	0.014	0.0837	0.0005	0.0009	0.0223	-0.0009	0.0013	0.0001	0.0242	-0.0005	0.0383	-0.0011	0.0098	0.0234	0.0475	0.0013	-0.001	0.0011	0.0014	-0.0011	-0.0026	-0.0001	0.0085	-0.0013	-0.0031	-0.0012
sad_vc_estimate_se	0.0215	0.01	0.0154	0.0107	0.0054	0.0061	0.0071	0.006	0.0107	0.0054	0.0076	0.0061	0.0069	0.0096	0.0108	0.0109	0.0055	0.0067	0.0062	0.0074	0.0059	0.0065	0.0068	0.0068	0.0052	0.0091	0.0057	0.0081	0.0078	0.0082	0.0058	0.014	0.0055	0.0081	0.0069	0.0102	0.0059	0.0157	0.0056	0.0063	0.0052	0.0099	0.0088	0.0079	0.0058	0.0083	0.0074	0.0061	0.0046	0.012	0.0057	0.0049	0.0057	0.0059	0.0053	0.0065	0.0109	0.0058	0.0076	0.0056	0.0095	0.0056	0.0074	0.0094	0.0115	0.0074	0.0068	0.0049	0.006	0.0058	0.0057	0.0054	0.011	0.0067	0.0059	0.0073	0.0056	0.0056	0.0051	0.007	0.0052	0.0052	0.0074	0.0058	0.0072	0.0048	0.0053	0.0111	0.0063	0.0049	0.0061	0.0069	0.0054	0.0109	0.0121	0.0047	0.0047	0.0057	0.0152	0.0094
sad_vc_pvals	0.899	0.351	0.022	0.913	0.115	0.448	0.567	0.897	0.39	0.03	0.004	0.992	0.219	0.962	0.754	0.594	0.229	0.071	0.537	0.259	0.613	0.014	0.75	0.644	0.87	0.632	0.916	0.575	0.293	0.141	0.211	0.449	0.427	0.707	0.624	0.036	0.657	0.576	0.739	0.629	0.577	0.06	0.912	0.471	0.198	0.671	0.032	0.274	0.615	0.095	0.37	0.942	0.366	0.186	0.393	0.221	0.571	0.172	0.885	0.165	0.675	0.984	0.638	0.002	0.395	0.066	0.347	0.688	0.21	0.577	0.965	0.117	0.454	0.22	0.289	0.081	0.734	0.612	0.049	0.85	0.687	0.735	0.162	0.737	0.069	0.949	0.344	0.256	0.15	0.58	0.873	0.634	0.549	0.727	0.924	0.706	0.2	0.959	0.902	0.753
upper95_perm_sad	0.1676	0.1507	0.0655	0.0682	0.0282	0.0637	0.0611	0.0506	0.0633	0.0318	0.0556	0.0518	0.0677	0.0744	0.0575	0.0505	0.0337	0.0963	0.0647	0.05	0.0465	0.0689	0.0662	0.0561	0.0419	0.0694	0.0534	0.0379	0.0593	0.0592	0.0468	0.0725	0.0269	0.0797	0.0911	0.0374	0.0516	0.076	0.0475	0.0776	0.0759	0.0432	0.0536	0.0719	0.0431	0.0573	0.0447	0.0374	0.0423	0.0606	0.0558	0.0311	0.0445	0.0519	0.0525	0.1044	0.0552	0.0584	0.0528	0.0387	0.0378	0.0509	0.0568	0.0521	0.0699	0.0594	0.052	0.0495	0.0641	0.0357	0.0468	0.0388	0.0633	0.1256	0.0517	0.1104	0.0563	0.0347	0.0257	0.0599	0.0488	0.0437	0.0552	0.0295	0.0493	0.038	0.053	0.0822	0.0899	0.0276	0.0535	0.0394	0.028	0.0581	0.0378	0.0246	0.0218	0.0382	0.0622	0.0351
lower0_perm_sad	-0.0063	-0.0031	-0.0045	-0.0032	-0.0016	-0.0019	-0.0021	-0.0018	-0.0034	-0.0017	-0.0024	-0.0018	-0.0021	-0.0029	-0.0033	-0.0033	-0.0016	-0.0019	-0.0019	-0.0023	-0.0017	-0.0019	-0.0021	-0.002	-0.0015	-0.0027	-0.0017	-0.0024	-0.0023	-0.0023	-0.0018	-0.0043	-0.0016	-0.0024	-0.0022	-0.003	-0.0019	-0.0047	-0.0017	-0.0019	-0.0015	-0.003	-0.0026	-0.0023	-0.0019	-0.0025	-0.0022	-0.0019	-0.0013	-0.0036	-0.0017	-0.0014	-0.0016	-0.0017	-0.0015	-0.0019	-0.0033	-0.0017	-0.0023	-0.0018	-0.003	-0.0017	-0.0021	-0.0028	-0.0035	-0.0023	-0.0021	-0.0014	-0.0018	-0.0017	-0.0017	-0.0015	-0.0034	-0.0021	-0.0017	-0.0021	-0.0016	-0.0017	-0.0016	-0.002	-0.0016	-0.0015	-0.0024	-0.0018	-0.0021	-0.0014	-0.0015	-0.0033	-0.002	-0.0016	-0.0019	-0.0021	-0.0016	-0.0033	-0.0036	-0.0014	-0.0015	-0.0017	-0.0046	-0.0028
covar_vc_estimate	0.0104	-0.0353	-0.0942	0.0051	-0.0179	-0.0134	0.0063	0.001	-0.0077	-0.0494	-0.1006	0.0027	-0.0516	0.0042	0.0025	0.0038	-0.0249	-0.0873	0.0052	-0.0098	-0.0045	-0.1207	0.0077	0.0024	0.0031	-0.0048	0.0027	-0.0004	-0.0222	-0.0219	-0.0221	-0.0144	-0.0038	0.002	-0.0131	-0.0604	-0.0021	-0.0081	0.0052	-0.0067	-0.0042	-0.058	0.0052	-0.0196	-0.0146	-0.001	-0.0495	-0.0236	-0.0036	-0.0553	-0.0147	0.0031	-0.0174	-0.0262	-0.0025	-0.0294	-0.0016	-0.0277	0.0023	-0.0077	0.0051	0.0026	0.0028	-0.1377	-0.006	-0.0697	-0.0153	0.0014	-0.0436	-0.0029	0.0025	-0.0216	-0.0018	-0.0718	-0.022	-0.0917	-0.0006	-0.0027	-0.0214	0.0008	-0.0051	-0.0015	-0.0281	0.0013	-0.0499	0.0022	-0.0135	-0.0185	-0.0606	-0.0036	0.0002	-0.0024	0.0003	0.0034	0.0045	0.0024	-0.0118	0.002	0.007	-0.0011
covar_vc_estimate_se	0.1464	0.0974	0.1224	0.1012	0.0708	0.0758	0.0818	0.0751	0.1011	0.0708	0.0848	0.0758	0.0805	0.0958	0.1017	0.1022	0.0714	0.0793	0.0762	0.0837	0.0746	0.0782	0.08	0.0798	0.0695	0.0927	0.0733	0.0873	0.0859	0.088	0.074	0.1165	0.0716	0.0877	0.0806	0.0987	0.0741	0.1239	0.0725	0.0768	0.0695	0.0973	0.0913	0.0861	0.0737	0.0884	0.0836	0.0759	0.0652	0.1072	0.0733	0.0677	0.0732	0.0743	0.0706	0.0779	0.102	0.0737	0.0849	0.0722	0.0951	0.0722	0.0835	0.0948	0.1053	0.0837	0.0801	0.0677	0.0751	0.0736	0.0731	0.0707	0.1026	0.0795	0.0743	0.0829	0.0725	0.0723	0.0692	0.0812	0.0698	0.0695	0.0834	0.0738	0.0824	0.0666	0.0704	0.1031	0.0769	0.0675	0.0754	0.0804	0.071	0.1024	0.1078	0.0659	0.0665	0.0728	0.1216	0.0945
covar_vc_pvals	0.086	0.418	0.016	0.095	0.129	0.4	0.051	0.196	0.454	0.011	0.012	0.14	0.115	0.103	0.184	0.155	0.087	0.052	0.041	0.401	0.409	0.004	0.028	0.156	0.075	0.397	0.073	0.301	0.334	0.252	0.192	0.484	0.487	0.15	0.48	0.006	0.343	0.41	0.055	0.455	0.258	0.021	0.085	0.398	0.278	0.286	0.026	0.115	0.363	0.07	0.38	0.082	0.247	0.204	0.322	0.411	0.319	0.211	0.183	0.373	0.031	0.099	0.145	0.0	0.349	0.026	0.332	0.12	0.119	0.468	0.086	0.134	0.291	0.183	0.226	0.082	0.291	0.379	0.073	0.192	0.423	0.292	0.189	0.227	0.058	0.08	0.346	0.423	0.127	0.498	0.239	0.378	0.313	0.149	0.076	0.095	0.161	0.159	0.061	0.344
upper975_perm_covar	0.0245	0.0159	0.0114	0.0124	0.0073	0.0114	0.0106	0.0079	0.0122	0.0087	0.0104	0.0116	0.0096	0.0113	0.0116	0.0113	0.0066	0.0152	0.008	0.0133	0.0087	0.0134	0.0094	0.0092	0.0068	0.0119	0.0062	0.0077	0.0097	0.0096	0.0089	0.0092	0.0063	0.0125	0.0158	0.0078	0.0104	0.011	0.01	0.0183	0.0087	0.0074	0.0109	0.0117	0.0083	0.0109	0.0085	0.008	0.0076	0.012	0.0103	0.0073	0.0089	0.0067	0.0085	0.0095	0.0086	0.0106	0.0111	0.0107	0.0058	0.007	0.0108	0.0082	0.0094	0.0123	0.0085	0.0058	0.0097	0.0102	0.0061	0.0109	0.0089	0.0153	0.0091	0.0127	0.0093	0.0064	0.0064	0.0106	0.0088	0.0066	0.0077	0.007	0.0059	0.0052	0.0093	0.0138	0.0097	0.0072	0.0101	0.0072	0.0071	0.0102	0.0077	0.0062	0.0049	0.0066	0.0114	0.0077
lower025_perm_covar	-0.2345	-0.1925	-0.0909	-0.0908	-0.0377	-0.0815	-0.0859	-0.0747	-0.0932	-0.0403	-0.0745	-0.0715	-0.092	-0.1032	-0.0756	-0.0731	-0.046	-0.1206	-0.0916	-0.0647	-0.0631	-0.0925	-0.0967	-0.0756	-0.065	-0.0959	-0.0753	-0.0515	-0.0843	-0.0805	-0.066	-0.1049	-0.041	-0.1192	-0.1265	-0.0548	-0.0698	-0.0996	-0.0674	-0.0876	-0.0969	-0.0638	-0.0715	-0.0938	-0.0591	-0.0837	-0.0563	-0.0483	-0.0566	-0.0847	-0.0777	-0.0431	-0.0574	-0.0733	-0.0684	-0.1384	-0.081	-0.0824	-0.0716	-0.0536	-0.0523	-0.0644	-0.0802	-0.0714	-0.0983	-0.0772	-0.0725	-0.0724	-0.0876	-0.0528	-0.0682	-0.0492	-0.0958	-0.1778	-0.0685	-0.1441	-0.0723	-0.0449	-0.0337	-0.0876	-0.0654	-0.0588	-0.0786	-0.0448	-0.0753	-0.059	-0.0675	-0.1204	-0.1189	-0.0371	-0.0736	-0.0663	-0.0452	-0.0822	-0.0513	-0.0334	-0.0338	-0.0503	-0.0862	-0.057
