	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0416	-0.0117	0.0023	-0.0067	-0.0035	0.0127	-0.0015	0.0112	0.0232	0.0029	-0.0076	0.0085	-0.0055	-0.0014	-0.0084	-0.0035	-0.0008	-0.0018	0.0036	-0.0075	-0.007	0.0058	-0.0094	-0.0001	-0.0065	-0.0052	-0.0042	-0.0051	0.0184	-0.007	-0.0141	-0.0127	-0.0024	0.0028	-0.0004	0.0057	0.0027	-0.0037	-0.0098	-0.0084	-0.0022	0.0063	0.0027	-0.0015	0.0327	-0.0038	-0.0019	-0.0008	-0.0042	-0.0018	-0.0044	-0.001	-0.0044	-0.0045	0.0035	-0.0104	-0.0022	-0.0029	0.0321	0.0143	-0.0023	0.0026	-0.0055	-0.001	-0.0114	0.0074	-0.0014	-0.0082	-0.0166	0.0033	0.0106	-0.002	0.0003	-0.0106	0.0004	0.0044	-0.0046	0.0014	0.0011	-0.0009	-0.0051	0.01	-0.0143	-0.0196	-0.0073	-0.0044	-0.003	0.0119	-0.0013	-0.0059	0.0103	-0.0063	-0.0022	-0.0017	-0.0064	-0.0027	-0.0086	-0.0047	-0.004	-0.0021
direct_vc_estimate_se	0.0005	0.0003	0.0001	0.0002	0.0003	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0003	0.0003	0.0001	0.0002	0.0002	0.0001	0.0001	0.0	0.0003	0.0002	0.0004	0.0002	0.0001	0.0001	0.0004	0.0001	0.0002	0.0001	0.0002	0.0004	0.0004	0.0001	0.0001	0.0002	0.0001	0.0003	0.0001	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0003	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0003	0.0001	0.0001	0.0002	0.0004	0.0001	0.0002	0.0002	0.0	0.0004	0.0002	0.0	0.0002	0.0005	0.0	0.0001	0.0001	0.0001	0.0003	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0002	0.0003	0.0005	0.0002	0.0001	0.0001	0.0002	0.0001	0.0002	0.0002	0.0002	0.0004	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001
direct_vc_pvals	0.131	0.873	0.639	0.619	0.391	0.512	0.131	0.524	0.131	1.0	1.0	0.264	0.393	0.505	1.0	0.607	0.247	0.867	0.264	1.0	1.0	0.131	1.0	0.0	1.0	1.0	0.734	0.265	0.264	0.873	0.607	0.74	0.869	0.131	0.393	0.131	0.264	0.873	0.867	0.476	1.0	1.0	0.529	0.735	0.131	0.391	0.127	0.264	0.736	0.742	0.391	0.867	1.0	1.0	0.131	0.734	0.0	1.0	0.131	0.258	0.641	0.258	0.476	0.127	0.476	0.397	1.0	0.734	0.476	0.393	0.524	0.869	0.609	0.607	0.867	0.0	0.397	1.0	0.356	0.609	0.736	0.391	0.753	0.734	0.867	0.867	0.64	0.391	1.0	0.734	0.131	1.0	0.873	1.0	0.867	0.603	0.734	0.607	0.772	0.734
upper95_perm_direct	0.0416	0.0272	0.0047	-0.0058	0.004	0.0142	-0.0015	0.0154	0.0229	0.0081	0.0125	0.0129	-0.0023	-0.0009	0.015	0.0298	-0.0004	0.0034	0.004	0.0001	-0.0054	0.0057	-0.006	-0.0001	0.0016	0.0893	0.0077	-0.0036	0.0187	0.0083	0.0154	-0.0054	0.0039	0.0027	0.0103	0.0056	0.0051	-0.0008	0.0251	-0.0003	0.0208	0.0314	0.0044	-0.0001	0.0323	0.0015	0.0012	-0.0001	0.0084	-0.0009	-0.0037	0.0055	0.0018	0.0103	0.0035	0.0182	-0.0021	-0.0008	0.0317	0.018	0.0018	0.0033	0.0104	-0.0008	0.0377	0.0125	-0.0	-0.0006	-0.0051	0.0045	0.0122	0.0027	0.0054	0.0256	0.0066	0.0043	0.0001	0.0209	0.0011	0.0019	-0.0025	0.0152	-0.0121	0.0048	-0.0063	-0.0032	-0.0012	0.0196	0.0087	0.0156	0.0102	0.0173	0.0253	0.0085	0.0039	0.0216	0.0143	0.0123	-0.0029	0.0093
lower0_perm_direct	-0.0229	-0.012	0.0004	-0.007	-0.0112	0.0095	-0.0028	-0.0051	0.0017	0.0026	-0.0078	-0.0135	-0.0121	-0.0019	-0.0086	-0.0075	-0.0025	-0.0027	0.0	-0.0077	-0.0071	-0.0076	-0.0096	-0.0024	-0.0067	-0.0053	-0.0055	-0.0088	0.0045	-0.0074	-0.0169	-0.014	-0.0025	-0.0034	-0.0103	-0.0057	-0.0151	-0.004	-0.0101	-0.0087	-0.0022	0.0056	0.0008	-0.002	-0.0113	-0.0094	-0.0059	-0.0105	-0.0047	-0.0019	-0.005	-0.001	-0.0045	-0.0046	-0.0019	-0.0122	-0.0037	-0.003	0.0073	-0.0159	-0.0035	-0.0109	-0.0101	-0.0018	-0.0177	-0.0083	-0.0015	-0.0101	-0.0197	-0.0016	0.0073	-0.002	-0.0011	-0.0129	-0.0003	-0.0026	-0.009	0.0013	-0.0004	-0.0021	-0.0053	-0.0102	-0.0146	-0.0208	-0.0076	-0.0046	-0.0037	-0.0002	-0.0014	-0.0086	-0.0066	-0.0065	-0.0059	-0.0018	-0.0066	-0.004	-0.0094	-0.0055	-0.0042	-0.003
sad_vc_estimate	0.059	-0.0068	0.0038	-0.0043	0.0022	0.0106	0.0025	0.015	0.0163	0.0117	-0.0075	0.0137	0.0197	0.0014	-0.0078	0.0025	0.0065	-0.0036	0.0057	-0.0122	0.0003	-0.0087	-0.0026	-0.002	-0.0037	-0.0026	-0.005	-0.0024	0.0317	-0.0077	-0.0153	0.0085	0.0	0.0005	0.0165	0.0019	0.0376	-0.0026	-0.0072	-0.0053	0.0038	0.002	0.0029	-0.0018	0.0316	0.0036	-0.0015	0.0273	-0.005	-0.0025	-0.0012	-0.0012	-0.0027	-0.0043	0.0044	-0.0134	0.0004	0.0009	0.0402	0.043	0.0041	0.0274	-0.0087	-0.0003	-0.0029	0.0353	-0.0014	-0.0025	0.012	0.0051	0.015	-0.0003	0.005	-0.0098	0.0031	0.0021	0.0133	0.0033	0.0036	0.0099	-0.0009	0.0337	-0.0054	-0.0097	-0.0054	-0.0047	-0.0031	0.0096	-0.0029	-0.0036	0.0112	-0.0064	-0.0092	-0.0034	-0.0058	-0.0044	-0.0092	-0.0049	-0.0009	-0.0003
sad_vc_estimate_se	0.0005	0.0003	0.0001	0.0002	0.0003	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0003	0.0003	0.0001	0.0002	0.0002	0.0001	0.0001	0.0	0.0003	0.0002	0.0004	0.0002	0.0001	0.0002	0.0004	0.0001	0.0002	0.0001	0.0002	0.0004	0.0004	0.0001	0.0001	0.0002	0.0001	0.0003	0.0001	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0003	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0003	0.0001	0.0001	0.0002	0.0004	0.0001	0.0002	0.0002	0.0	0.0004	0.0002	0.0	0.0002	0.0005	0.0	0.0001	0.0001	0.0001	0.0003	0.0001	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0002	0.0003	0.0005	0.0002	0.0001	0.0001	0.0002	0.0001	0.0002	0.0002	0.0002	0.0004	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001
sad_vc_pvals	0.13	0.614	0.363	0.353	0.493	0.353	0.13	0.363	0.237	0.87	0.87	0.107	0.363	0.493	0.744	0.744	0.483	1.0	0.107	1.0	0.737	0.237	0.363	0.237	0.498	0.87	1.0	0.107	0.107	1.0	0.87	0.614	0.763	0.237	0.363	0.237	0.107	0.614	0.614	0.256	0.87	0.87	0.107	1.0	0.237	0.386	0.754	0.107	0.893	0.614	0.647	1.0	0.734	0.87	0.608	1.0	0.13	0.734	0.237	0.493	0.256	0.493	0.637	0.386	0.637	0.107	0.893	0.893	0.637	0.363	0.256	0.763	0.614	0.744	1.0	0.237	0.107	0.87	1.0	0.0	0.246	0.493	0.624	1.0	0.107	0.614	0.123	0.511	0.87	0.893	0.237	0.87	0.614	0.87	0.614	1.0	1.0	0.744	0.246	0.893
upper95_perm_sad	0.0597	0.0303	0.0064	-0.0037	0.0277	0.0123	0.0027	0.021	0.018	0.0228	0.0388	0.0136	0.0282	0.0028	0.0451	0.064	0.0077	0.0012	0.0057	-0.0089	0.0023	-0.0078	-0.0009	-0.0017	-0.0023	0.1558	0.0173	-0.0023	0.032	0.0006	0.004	0.0291	0.0052	0.0008	0.0273	0.0026	0.0376	0.0024	0.0279	-0.0016	0.0356	0.0355	0.0028	0.001	0.0326	0.0233	0.0076	0.0276	0.0232	-0.0019	0.0021	0.0106	0.0103	0.0225	0.0085	0.0571	0.0008	0.0048	0.0411	0.0581	0.014	0.031	0.01	0.0004	0.045	0.0349	0.002	0.02	0.044	0.0069	0.0163	0.0124	0.0145	0.0536	0.0201	0.0022	0.0131	0.0222	0.0043	0.01	0.0053	0.0521	0.0016	0.0573	-0.005	0.003	-0.0029	0.028	0.0102	0.0422	0.0125	0.0292	0.0082	0.0082	0.0174	0.0275	0.0331	0.0276	0.0015	0.0155
lower0_perm_sad	-0.0177	-0.0092	0.0008	-0.0059	-0.01	0.006	-0.001	-0.0043	-0.002	0.0103	-0.0076	-0.0127	-0.0128	-0.0024	-0.008	-0.0072	0.0015	-0.0037	-0.0004	-0.0125	0.0001	-0.0163	-0.0097	-0.0028	-0.0066	-0.0029	-0.0051	-0.0083	0.0043	-0.0078	-0.0162	0.0024	-0.0001	-0.0035	-0.0095	-0.0056	-0.0121	-0.0036	-0.01	-0.0083	0.0024	0.0013	-0.0001	-0.0018	-0.0124	-0.0092	-0.0054	-0.0108	-0.0051	-0.0026	-0.0028	-0.0013	-0.0031	-0.0045	0.0012	-0.0137	-0.0033	0.0005	0.0047	-0.016	-0.0047	-0.0061	-0.0101	-0.0016	-0.0084	-0.0071	-0.0014	-0.0025	0.0037	-0.0013	0.01	-0.0004	0.0002	-0.0123	0.0028	-0.0047	-0.0088	0.0019	0.0032	-0.0021	-0.0049	-0.0078	-0.0086	-0.0099	-0.0069	-0.005	-0.004	-0.0019	-0.003	-0.0037	-0.0042	-0.0066	-0.0144	-0.0035	-0.0062	-0.0045	-0.0094	-0.0053	-0.0042	-0.0003
