	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0731	-0.0243	-0.0159	-0.012	0.0228	-0.0093	-0.0096	-0.0142	-0.0126	-0.0112	0.0102	-0.0121	-0.0119	-0.003	0.0466	-0.0112	-0.0123	-0.0172	0.0486	0.0626	-0.0145	-0.0201	0.0274	-0.0158	0.0008	-0.0195	0.0226	0.0283	-0.0043	-0.0122	0.1779	-0.0004	0.0033	-0.0096	-0.0142	0.0693	-0.0192	-0.0055	-0.0011	-0.0093	0.0103	-0.0059	-0.0133	-0.0141	-0.0149	-0.0207	-0.0099	-0.0145	-0.0136	-0.0183	-0.0201	-0.011	-0.0088	-0.0134	-0.0045	0.0079	-0.0136	-0.0156	-0.0142	0.0128	0.0311	-0.0115	0.0067	-0.0144	0.0002	-0.0073	0.0658	0.0604	-0.0164	-0.0092	-0.012	0.1286	-0.0081	-0.0046	-0.0056	0.0737	-0.0138	-0.0099	-0.0139	-0.0119	-0.0128	0.0055	-0.0055	0.1	0.0377	-0.0118	-0.0102	0.0277	-0.0019	0.0147	-0.0044	-0.0022	0.0225	-0.0064	0.0269	-0.0126	-0.0095	0.0008	-0.0094	-0.009
direct_vc_estimate_se	0.0221	0.0088	0.0055	0.0047	0.0055	0.0039	0.0044	0.0054	0.0052	0.0039	0.006	0.005	0.0043	0.0048	0.0067	0.0052	0.0046	0.0062	0.0052	0.0064	0.0047	0.0061	0.0054	0.0051	0.0048	0.0061	0.0056	0.0041	0.0049	0.0047	0.005	0.0038	0.0032	0.0047	0.0043	0.0057	0.006	0.005	0.0041	0.0034	0.0039	0.0047	0.0045	0.0051	0.0061	0.0064	0.004	0.0044	0.0041	0.0057	0.0061	0.0059	0.004	0.0058	0.0049	0.0036	0.0049	0.005	0.0045	0.0045	0.0058	0.0038	0.004	0.0043	0.0047	0.0031	0.0048	0.005	0.0052	0.0045	0.0039	0.005	0.0047	0.0054	0.004	0.0043	0.0046	0.0048	0.0043	0.0046	0.0046	0.0045	0.0038	0.005	0.0054	0.004	0.0036	0.0055	0.0033	0.0049	0.005	0.0039	0.0051	0.0052	0.0044	0.0038	0.003	0.0039	0.0039	0.0043
direct_vc_pvals	0.982	0.696	0.783	0.641	0.22	0.634	0.585	0.703	0.598	0.738	0.288	0.688	0.706	0.377	0.049	0.579	0.642	0.704	0.083	0.076	0.801	0.979	0.115	0.835	0.357	0.878	0.183	0.12	0.457	0.666	0.0	0.287	0.344	0.592	0.959	0.04	0.871	0.431	0.385	0.737	0.206	0.435	0.728	0.71	0.644	0.893	0.621	0.978	0.965	0.876	0.964	0.528	0.597	0.612	0.495	0.338	0.689	0.856	0.833	0.256	0.193	0.759	0.158	0.998	0.401	0.72	0.086	0.027	0.838	0.607	0.799	0.005	0.52	0.347	0.458	0.039	0.775	0.443	0.882	0.67	0.703	0.363	0.472	0.015	0.075	0.777	0.708	0.13	0.338	0.143	0.438	0.442	0.175	0.503	0.106	0.983	0.877	0.267	0.595	0.594
upper95_perm_direct	0.3322	0.1003	0.0907	0.0648	0.0832	0.0454	0.0607	0.0702	0.0515	0.066	0.0874	0.0863	0.0562	0.0455	0.0516	0.056	0.0485	0.0633	0.077	0.0907	0.0491	0.0876	0.0595	0.0846	0.0624	0.0528	0.0686	0.0571	0.0638	0.0566	0.0724	0.0314	0.0493	0.0687	0.0528	0.0656	0.0785	0.0498	0.0558	0.0524	0.0424	0.0529	0.0435	0.0622	0.0808	0.094	0.0408	0.0415	0.0404	0.0758	0.0998	0.055	0.0584	0.0558	0.0736	0.0718	0.0385	0.0561	0.0701	0.0658	0.0955	0.0493	0.0273	0.0738	0.0705	0.0548	0.0934	0.0466	0.0586	0.0774	0.0337	0.073	0.0637	0.0521	0.0475	0.072	0.0521	0.0283	0.0386	0.0501	0.0553	0.0753	0.0491	0.0703	0.0548	0.0567	0.0342	0.0558	0.0281	0.0435	0.0644	0.0562	0.0753	0.0681	0.0485	0.0406	0.0468	0.0358	0.0429	0.0675
lower0_perm_direct	-0.095	-0.0384	-0.0239	-0.0209	-0.024	-0.0167	-0.0186	-0.024	-0.023	-0.0168	-0.0262	-0.0222	-0.0188	-0.0213	-0.029	-0.0227	-0.0202	-0.0279	-0.0227	-0.0291	-0.0204	-0.0274	-0.0239	-0.0227	-0.0207	-0.0264	-0.0245	-0.0183	-0.0225	-0.0203	-0.0228	-0.0171	-0.0144	-0.0206	-0.0183	-0.0251	-0.0269	-0.0219	-0.0174	-0.015	-0.0174	-0.0209	-0.0197	-0.0226	-0.0259	-0.0282	-0.0172	-0.0191	-0.0183	-0.0252	-0.0271	-0.0252	-0.0182	-0.0255	-0.0224	-0.0161	-0.0219	-0.0215	-0.0202	-0.0197	-0.0246	-0.0163	-0.0178	-0.0191	-0.02	-0.0131	-0.0214	-0.022	-0.0237	-0.0192	-0.0173	-0.0214	-0.0216	-0.0249	-0.0175	-0.0191	-0.0202	-0.0211	-0.0188	-0.0202	-0.0202	-0.0199	-0.0166	-0.0222	-0.0227	-0.0177	-0.0156	-0.0244	-0.015	-0.0219	-0.0227	-0.0168	-0.0225	-0.0225	-0.019	-0.0171	-0.013	-0.0176	-0.017	-0.0192
sad_vc_estimate	-0.0457	-0.0287	-0.018	0.0056	0.0355	-0.01	-0.0108	-0.0175	-0.0153	-0.0118	0.0109	-0.0082	-0.0029	-0.016	0.0119	-0.0069	-0.0092	-0.0147	0.0351	0.0224	-0.0108	-0.0183	0.1287	-0.0131	-0.0041	-0.0185	0.0892	0.0379	-0.0137	-0.0148	0.2256	0.0082	-0.0041	-0.0118	-0.0129	0.0311	-0.0192	-0.0064	-0.0123	-0.0099	0.0158	0.0138	-0.0039	0.0017	-0.0121	-0.0153	-0.0052	-0.0047	-0.0136	-0.0122	-0.0201	-0.017	-0.0059	-0.0169	-0.0132	0.0127	-0.0017	-0.0096	-0.0139	0.0259	0.0474	-0.0099	0.011	-0.0142	-0.0072	-0.01	0.0988	0.0125	-0.0149	-0.0116	-0.0125	0.1061	-0.0061	0.0425	-0.0045	0.0375	-0.0039	0.0139	-0.0133	0.0021	-0.0099	0.0186	-0.0089	0.1502	0.0756	-0.0125	-0.0041	0.0023	-0.0044	0.0417	-0.0119	-0.0124	0.0611	0.0126	0.0309	-0.0104	-0.0076	0.0228	-0.0101	-0.0076
sad_vc_estimate_se	0.0221	0.0088	0.0055	0.0048	0.0056	0.0039	0.0044	0.0054	0.0052	0.0039	0.006	0.005	0.0043	0.0049	0.0068	0.0052	0.0046	0.0063	0.0052	0.0064	0.0047	0.0061	0.0054	0.0051	0.0049	0.0061	0.0056	0.0041	0.0049	0.0047	0.005	0.0038	0.0032	0.0047	0.0043	0.0057	0.006	0.005	0.0041	0.0034	0.0039	0.0047	0.0045	0.0051	0.0061	0.0064	0.004	0.0044	0.0041	0.0057	0.0061	0.0059	0.004	0.0058	0.0049	0.0036	0.0049	0.005	0.0046	0.0045	0.0058	0.0039	0.004	0.0044	0.0047	0.0031	0.0048	0.005	0.0052	0.0045	0.0039	0.005	0.0048	0.0055	0.004	0.0044	0.0046	0.0048	0.0043	0.0046	0.0047	0.0045	0.0038	0.0051	0.0054	0.004	0.0036	0.0055	0.0034	0.005	0.005	0.0039	0.0051	0.0052	0.0044	0.0038	0.003	0.004	0.0039	0.0043
sad_vc_pvals	0.678	0.918	0.931	0.281	0.214	0.658	0.741	0.905	0.741	0.808	0.306	0.614	0.524	0.93	0.209	0.466	0.578	0.596	0.115	0.21	0.582	0.787	0.01	0.73	0.472	0.784	0.035	0.103	0.751	0.834	0.002	0.234	0.514	0.658	0.787	0.182	0.897	0.466	0.784	0.804	0.19	0.243	0.417	0.362	0.565	0.675	0.534	0.39	0.955	0.641	0.949	0.756	0.531	0.745	0.785	0.307	0.292	0.585	0.82	0.182	0.163	0.695	0.21	0.935	0.58	0.902	0.05	0.185	0.78	0.724	0.893	0.028	0.543	0.059	0.467	0.103	0.422	0.152	0.81	0.34	0.594	0.25	0.655	0.01	0.015	0.859	0.427	0.328	0.449	0.066	0.695	0.87	0.091	0.257	0.134	0.704	0.663	0.102	0.622	0.55
upper95_perm_sad	0.464	0.1543	0.1228	0.0721	0.1203	0.0455	0.0983	0.0817	0.056	0.0656	0.0953	0.123	0.0883	0.0746	0.0593	0.058	0.0728	0.0667	0.0746	0.0803	0.0523	0.0829	0.0826	0.1129	0.0751	0.0681	0.0823	0.0653	0.0918	0.0602	0.1146	0.045	0.0514	0.0644	0.0463	0.0917	0.0937	0.0692	0.0475	0.0665	0.0529	0.0733	0.0468	0.0671	0.0932	0.1162	0.0666	0.034	0.0434	0.0817	0.0943	0.0857	0.0783	0.0665	0.0864	0.1025	0.0409	0.0833	0.0801	0.0787	0.1208	0.0537	0.0523	0.0931	0.0989	0.06	0.1112	0.058	0.0896	0.0897	0.0352	0.0985	0.0738	0.0546	0.0521	0.0719	0.0612	0.0422	0.0539	0.0669	0.0529	0.0891	0.0457	0.1009	0.0497	0.0651	0.0412	0.0665	0.0333	0.0605	0.086	0.065	0.0896	0.0786	0.072	0.0558	0.0413	0.0435	0.0448	0.0722
lower0_perm_sad	-0.0952	-0.038	-0.0239	-0.0206	-0.0236	-0.0165	-0.0186	-0.0248	-0.0233	-0.0179	-0.0257	-0.0216	-0.0191	-0.0212	-0.0297	-0.0233	-0.0202	-0.0277	-0.0223	-0.0279	-0.0205	-0.0268	-0.023	-0.0221	-0.0207	-0.0271	-0.0244	-0.0183	-0.0212	-0.0215	-0.0218	-0.0176	-0.0139	-0.0207	-0.0183	-0.0248	-0.0264	-0.0227	-0.0181	-0.0149	-0.0178	-0.0204	-0.0201	-0.0228	-0.027	-0.0288	-0.0178	-0.019	-0.0178	-0.0247	-0.0273	-0.0263	-0.0178	-0.0256	-0.022	-0.0156	-0.0208	-0.0218	-0.02	-0.0195	-0.0251	-0.0164	-0.0175	-0.0195	-0.0201	-0.0138	-0.022	-0.0225	-0.0227	-0.0195	-0.0172	-0.0219	-0.0202	-0.0243	-0.0174	-0.0191	-0.0204	-0.0212	-0.0187	-0.0206	-0.02	-0.02	-0.0173	-0.0225	-0.0235	-0.0175	-0.0151	-0.0238	-0.0149	-0.0214	-0.0217	-0.0171	-0.0226	-0.0237	-0.0197	-0.017	-0.0135	-0.0177	-0.0175	-0.0185
