	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0574	-0.0074	-0.0217	-0.0068	-0.0192	-0.0043	-0.0214	-0.091	-0.0304	-1.3522	-0.0208	0.0742	-0.0597	-0.0039	-0.0189	-0.1025	-0.0213	-0.05	-0.081	-0.0858	-0.0294	-0.052	0.0206	-0.0364	0.0209	-0.0775	-0.0219	-0.0405	-0.0123	-0.0132	-0.0964	-0.0231	-0.0251	0.0312	-0.021	-0.0299	-0.0188	-0.0963	-0.0057	-0.0649	-0.0314	-0.1374	0.0144	0.0246	-0.014	0.0093	-0.0307	-0.0281	-0.0133	-0.0172	-0.0415	0.0184	-0.0407	-0.0381	-0.0277	-0.0238	-0.0211	0.0415	-0.0178	0.0524	-0.0195	-0.021	-0.0224	-0.0159	0.1072	-0.0075	-0.0152	-0.0037	-0.013	-0.0804	-0.0053	0.0257	0.0158	-0.0167	-0.0217	0.0429	-0.0049	-0.0138	-0.0165	-0.0221	-0.0195	0.0226	-0.0303	-0.0242	-0.0349	-0.0087	-0.0479	-0.0181	-0.101	0.0291	-0.0183	-0.0464	-0.0131	0.0005	-0.0354	-0.0201	-0.0911	-0.0323	-0.0475	-0.0416
direct_vc_estimate_se	0.0229	0.0218	0.0042	0.0054	0.0041	0.0039	0.007	0.0187	0.0073	0.2559	0.0039	0.0086	0.012	0.0042	0.004	0.0251	0.004	0.0096	0.0164	0.0164	0.0072	0.0106	0.0051	0.0071	0.0042	0.0151	0.0041	0.0086	0.0146	0.0038	0.0285	0.0059	0.0047	0.0171	0.004	0.008	0.0044	0.024	0.0042	0.0127	0.0072	0.0258	0.0076	0.0049	0.0035	0.0038	0.0074	0.0052	0.0035	0.0034	0.0078	0.0035	0.0081	0.0138	0.0058	0.0077	0.0066	0.0038	0.0036	0.0038	0.0111	0.0055	0.0044	0.0073	0.0037	0.0037	0.0045	0.0052	0.0048	0.0183	0.0035	0.0037	0.0033	0.0076	0.0041	0.0094	0.0039	0.0063	0.0058	0.0049	0.0037	0.0035	0.0056	0.0045	0.0065	0.0062	0.0089	0.0034	0.0194	0.0041	0.0034	0.0104	0.0037	0.0036	0.0066	0.0087	0.017	0.0067	0.0093	0.0085
direct_vc_pvals	0.18	0.13	0.865	0.345	0.716	0.421	0.391	0.536	0.539	0.28	0.958	0.025	0.709	0.457	0.72	0.275	0.906	0.815	0.563	0.752	0.527	0.666	0.23	0.765	0.188	0.703	0.885	0.61	0.118	0.615	0.154	0.539	0.985	0.011	0.869	0.485	0.664	0.3	0.377	0.676	0.576	0.753	0.15	0.155	0.665	0.27	0.545	0.961	0.636	0.812	0.897	0.213	0.727	0.232	0.693	0.364	0.412	0.108	0.753	0.099	0.229	0.488	0.808	0.307	0.01	0.487	0.587	0.29	0.465	0.349	0.413	0.149	0.249	0.299	0.9	0.036	0.432	0.344	0.433	0.678	0.853	0.178	1.0	0.94	0.957	0.307	0.985	0.983	0.697	0.138	0.957	0.501	0.573	0.323	0.965	0.243	0.914	0.694	0.721	0.674
upper95_perm_direct	0.2753	0.0618	0.065	0.0719	0.0769	0.0739	0.05	0.002	0.0501	-1.3554	0.1012	0.0449	0.0613	0.0988	0.0779	-0.0429	0.0827	0.0461	-0.0032	0.0063	0.0693	0.0407	0.1036	0.0502	0.1058	0.0173	0.0624	0.0467	0.028	0.085	-0.053	0.07	0.1032	-0.0271	0.1079	0.0718	0.088	-0.0206	0.0808	0.0132	0.0681	-0.0683	0.0627	0.084	0.1077	0.0748	0.0574	0.0697	0.0764	0.0862	0.0482	0.1039	0.0625	0.0361	0.0483	0.0533	0.0542	0.0795	0.0709	0.0897	0.0386	0.0592	0.087	0.0555	0.0682	0.0997	0.098	0.0629	0.0702	-0.0263	0.0552	0.0655	0.0792	0.0494	0.0704	0.0394	0.0943	0.0548	0.0655	0.0672	0.0817	0.0712	0.0791	0.0679	0.0873	0.0594	0.021	0.0737	-0.0351	0.0666	0.073	0.0277	0.067	0.0663	0.0602	0.0445	0.0004	0.0619	0.0225	0.0555
lower0_perm_direct	-0.1691	-0.157	-0.0315	-0.039	-0.0305	-0.0284	-0.0552	-0.1364	-0.0532	-2.029	-0.0281	-0.0643	-0.0887	-0.0296	-0.0321	-0.1861	-0.03	-0.0767	-0.1227	-0.1213	-0.0513	-0.0819	-0.0379	-0.0527	-0.0301	-0.1135	-0.03	-0.063	-0.1115	-0.0279	-0.2133	-0.042	-0.0343	-0.1268	-0.0326	-0.0593	-0.0334	-0.1775	-0.0319	-0.0946	-0.0543	-0.194	-0.0596	-0.0391	-0.0267	-0.0274	-0.0542	-0.0381	-0.0254	-0.0253	-0.0552	-0.0257	-0.0585	-0.1022	-0.0425	-0.0566	-0.0497	-0.0267	-0.0266	-0.0285	-0.0824	-0.0406	-0.0307	-0.0543	-0.0276	-0.0276	-0.0324	-0.0387	-0.0364	-0.1352	-0.0254	-0.0272	-0.026	-0.0555	-0.0289	-0.0696	-0.0295	-0.0466	-0.0404	-0.0366	-0.0273	-0.026	-0.0402	-0.034	-0.0522	-0.0461	-0.0714	-0.025	-0.142	-0.0329	-0.0237	-0.0758	-0.0268	-0.0262	-0.048	-0.0698	-0.127	-0.0531	-0.0689	-0.0635
sad_vc_estimate	0.0968	-0.0043	-0.0225	0.029	-0.0205	-0.0076	0.0004	-0.0778	-0.0262	-1.3666	-0.0191	0.0929	-0.06	0.0023	-0.0196	-0.0782	-0.02	-0.0333	-0.0815	-0.0697	-0.0027	-0.0555	0.0445	-0.0247	0.045	-0.0768	-0.022	-0.0151	0.0093	0.0032	-0.0525	-0.0318	-0.0229	0.029	-0.0149	-0.0177	-0.0097	-0.086	-0.0152	-0.0577	-0.0084	-0.1317	0.0213	0.0487	-0.0098	0.0086	0.0133	-0.0264	-0.0121	-0.0182	-0.0359	0.0014	-0.041	0.0081	-0.0301	-0.0377	-0.0128	0.0219	-0.0027	0.0785	-0.0106	-0.028	-0.0203	-0.0127	0.1419	0.0065	-0.0186	-0.0025	0.0055	-0.0816	-0.0056	0.0266	0.0568	0.0347	-0.0148	0.0168	0.0039	0.0077	-0.0094	-0.014	-0.0057	0.0986	-0.0304	-0.0244	-0.0289	-0.0012	-0.0472	-0.018	-0.0993	0.0674	-0.0185	-0.046	-0.011	-0.0059	-0.0345	-0.0242	-0.0702	-0.0289	-0.0456	-0.046
sad_vc_estimate_se	0.0229	0.0218	0.0042	0.0054	0.0041	0.0039	0.007	0.0187	0.0073	0.256	0.0039	0.0086	0.012	0.0042	0.004	0.0251	0.0041	0.0096	0.0164	0.0164	0.0072	0.0106	0.0051	0.0071	0.0042	0.0151	0.0041	0.0087	0.0147	0.0038	0.0285	0.006	0.0047	0.0171	0.0041	0.008	0.0045	0.024	0.0043	0.0127	0.0072	0.0258	0.0076	0.0049	0.0036	0.0038	0.0074	0.0052	0.0035	0.0035	0.0078	0.0035	0.0082	0.0138	0.0058	0.0077	0.0066	0.0038	0.0036	0.0039	0.0112	0.0055	0.0044	0.0073	0.0037	0.0037	0.0045	0.0052	0.0048	0.0183	0.0035	0.0038	0.0033	0.0076	0.0041	0.0094	0.0039	0.0064	0.0059	0.0049	0.0038	0.0035	0.0056	0.0045	0.0065	0.0062	0.0089	0.0034	0.0194	0.0041	0.0034	0.0105	0.0037	0.0036	0.0066	0.0087	0.017	0.0067	0.0094	0.0086
sad_vc_pvals	0.164	0.144	0.951	0.174	0.833	0.477	0.233	0.41	0.454	0.493	0.819	0.036	0.718	0.405	0.778	0.157	0.818	0.472	0.592	0.391	0.284	0.821	0.171	0.455	0.164	0.668	0.915	0.302	0.118	0.42	0.101	0.91	0.816	0.024	0.629	0.374	0.463	0.285	0.593	0.477	0.349	0.585	0.135	0.118	0.597	0.316	0.181	0.795	0.626	0.911	0.624	0.408	0.742	0.087	0.83	0.706	0.335	0.257	0.425	0.07	0.204	0.782	0.717	0.307	0.008	0.328	0.696	0.333	0.306	0.375	0.446	0.166	0.127	0.071	0.593	0.115	0.394	0.178	0.383	0.485	0.471	0.057	0.993	0.988	0.683	0.282	0.846	0.941	0.643	0.053	0.975	0.524	0.541	0.473	0.842	0.363	0.366	0.625	0.654	0.963
upper95_perm_sad	0.3474	0.1083	0.1005	0.1056	0.0979	0.0976	0.0692	0.0249	0.0611	-1.3576	0.1097	0.0873	0.0786	0.1306	0.0822	-0.035	0.1121	0.09	0.0084	0.0079	0.088	0.0684	0.1413	0.0669	0.1244	0.031	0.0843	0.0757	0.063	0.119	-0.0146	0.0778	0.1353	-0.0043	0.1012	0.0805	0.098	0.011	0.1007	0.0141	0.0938	-0.0461	0.0747	0.1004	0.1304	0.0939	0.0701	0.0631	0.1008	0.1175	0.0654	0.1176	0.0778	0.0339	0.0743	0.0693	0.0722	0.1238	0.0869	0.115	0.072	0.0584	0.0793	0.0631	0.0768	0.0989	0.1212	0.0848	0.0985	-0.0025	0.0702	0.0863	0.1121	0.0518	0.0946	0.0515	0.1167	0.0637	0.0902	0.0808	0.0972	0.1185	0.0915	0.0762	0.1134	0.0878	0.0371	0.085	-0.0238	0.0794	0.1005	0.0539	0.0763	0.0887	0.0672	0.0638	0.0078	0.0883	0.0519	0.0748
lower0_perm_sad	-0.1635	-0.1542	-0.0313	-0.0402	-0.0325	-0.0287	-0.0558	-0.1485	-0.054	-2.0189	-0.0286	-0.0636	-0.0896	-0.0313	-0.0322	-0.1939	-0.03	-0.071	-0.1225	-0.1313	-0.0547	-0.0826	-0.038	-0.0518	-0.0314	-0.1102	-0.0298	-0.0629	-0.1099	-0.0277	-0.2026	-0.0424	-0.0345	-0.128	-0.0311	-0.0601	-0.0335	-0.1928	-0.0297	-0.0973	-0.0536	-0.2015	-0.0605	-0.0365	-0.0284	-0.0272	-0.0582	-0.0394	-0.0258	-0.0257	-0.0574	-0.0282	-0.0581	-0.1038	-0.0424	-0.0576	-0.0493	-0.0281	-0.0271	-0.0286	-0.0831	-0.0401	-0.0313	-0.0546	-0.0274	-0.0294	-0.0329	-0.0392	-0.0368	-0.1328	-0.0262	-0.0277	-0.0259	-0.0589	-0.0301	-0.0747	-0.0306	-0.047	-0.0402	-0.0355	-0.0273	-0.0281	-0.0413	-0.0321	-0.0474	-0.0455	-0.0631	-0.0249	-0.1557	-0.0306	-0.0254	-0.0779	-0.0274	-0.0265	-0.0477	-0.0648	-0.124	-0.0484	-0.0663	-0.0622
