	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.4682	0.0295	-0.0028	0.0013	0.0022	-0.0006	0.0038	0.0021	-0.0005	0.0028	-0.0002	-0.0	0.0061	-0.0	0.0035	0.0008	-0.0003	0.0012	0.0011	-0.0002	0.0013	0.0013	-0.0002	-0.0003	0.001	0.0007	-0.0002	-0.0003	0.0029	-0.0	0.0013	0.0001	0.0015	0.0001	0.0021	0.0029	-0.0003	0.0004	0.0003	-0.0002	-0.0	-0.0	0.0042	0.0003	0.0003	0.0022	-0.0003	0.0064	0.0007	-0.0002	-0.0	0.0007	-0.0002	0.0009	0.0023	0.0013	-0.0001	-0.0002	0.0003	0.0004	0.0002	-0.0002	-0.0002	0.0004	-0.0002	0.0003	0.0003	-0.0003	-0.0	0.0001	0.0005	0.0045	-0.0002	-0.0002	0.0002	0.0014	0.0001	0.0014	-0.0003	0.0033	-0.0001	0.0005	0.0024	0.0007	-0.0003	0.0004	0.0007	0.0002	-0.0003	0.0007	-0.0001	0.0016	0.0014	0.0045	-0.0001	-0.0002	0.0007	0.0016	0.0016	0.0008
direct_vc_estimate_se	0.0233	0.0124	0.0061	0.0044	0.0008	0.0011	0.0004	0.0004	0.0006	0.0004	0.0005	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0004	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0004	0.0002	0.0002	0.0003	0.0004	0.0003	0.0003	0.0002	0.0004	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0003	0.0002	0.0004	0.0003	0.0003	0.0002	0.0002	0.0004	0.0003	0.0003	0.0003	0.0003	0.0002	0.0003	0.0002	0.0003	0.0003	0.0002	0.0002	0.0004	0.0003	0.0002	0.0003	0.0002	0.0002	0.0003	0.0003	0.0002	0.0002	0.0002	0.0003	0.0003	0.0003	0.0004	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003
direct_vc_pvals	0.002	0.262	0.799	0.563	0.355	0.801	0.083	0.29	0.932	0.242	0.729	0.813	0.032	0.6	0.107	0.389	0.94	0.492	0.383	0.822	0.202	0.323	0.935	0.945	0.33	0.468	0.812	0.982	0.197	0.605	0.319	0.705	0.141	0.388	0.286	0.212	0.864	0.461	0.553	0.861	0.684	0.653	0.096	0.545	0.433	0.136	0.923	0.073	0.431	0.825	0.711	0.449	0.931	0.631	0.163	0.259	0.747	0.757	0.548	0.526	0.586	0.669	0.869	0.407	0.949	0.525	0.446	0.972	0.714	0.673	0.364	0.059	0.903	0.86	0.464	0.279	0.577	0.373	0.852	0.141	0.72	0.408	0.087	0.449	0.915	0.373	0.451	0.482	0.949	0.549	0.634	0.465	0.243	0.213	0.735	0.909	0.428	0.239	0.177	0.464
upper95_perm_direct	0.1805	0.1165	0.1181	0.0523	0.0112	0.0177	0.0052	0.008	0.0183	0.0068	0.0066	0.0078	0.0058	0.0028	0.0053	0.0048	0.0062	0.0096	0.0063	0.0061	0.0037	0.0062	0.0055	0.0044	0.0046	0.0061	0.0028	0.0039	0.0063	0.0042	0.0054	0.0074	0.0028	0.0018	0.007	0.0075	0.0066	0.0044	0.0053	0.008	0.0048	0.0042	0.0061	0.006	0.0026	0.0037	0.0073	0.008	0.0053	0.0065	0.0035	0.0071	0.0104	0.0146	0.0047	0.0041	0.0051	0.0037	0.0045	0.005	0.0054	0.0024	0.003	0.0028	0.0039	0.0067	0.0033	0.0035	0.0047	0.009	0.0029	0.0051	0.0045	0.004	0.0036	0.0041	0.0039	0.0079	0.0073	0.0052	0.0042	0.0039	0.0032	0.0062	0.0058	0.0029	0.0045	0.0029	0.0025	0.006	0.0032	0.011	0.0038	0.0103	0.0021	0.0028	0.0045	0.0044	0.004	0.0065
lower0_perm_direct	-0.0247	-0.0133	-0.0064	-0.0047	-0.0008	-0.0012	-0.0005	-0.0004	-0.0006	-0.0004	-0.0005	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0005	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004	-0.0002	-0.0002	-0.0003	-0.0004	-0.0003	-0.0003	-0.0002	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0002	-0.0004	-0.0003	-0.0003	-0.0002	-0.0002	-0.0005	-0.0004	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0003	-0.0003	-0.0002	-0.0003	-0.0004	-0.0004	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0005	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003
sad_vc_estimate	0.7897	0.1217	0.0149	0.0122	0.0039	0.0048	0.0102	0.0078	0.0001	0.006	-0.0002	-0.0001	0.0229	0.0026	0.0091	0.0007	-0.0003	0.0032	0.0014	-0.0001	0.0019	-0.0002	-0.0	0.0001	-0.0001	0.0006	-0.0002	-0.0002	0.0111	-0.0002	0.0051	-0.0001	0.0017	0.0024	0.002	0.0125	-0.0003	0.0026	0.002	-0.0003	0.0007	0.0022	0.0142	0.0057	0.0001	0.0041	-0.0003	0.024	0.0029	-0.0002	0.001	0.0031	-0.0002	0.0013	0.0047	0.0026	0.0028	-0.0003	0.0	0.0012	0.0	0.0039	0.0011	0.0	0.0	0.0028	0.0006	-0.0001	-0.0002	0.0016	0.0029	0.0077	-0.0002	-0.0003	0.0018	0.0036	0.0006	0.0018	-0.0003	0.0126	-0.0002	0.0015	0.0035	0.0014	0.0015	0.0041	0.0011	0.0016	0.0024	0.0001	0.0023	0.0069	0.0045	0.0097	-0.0002	-0.0001	0.0003	0.0015	0.0079	0.0043
sad_vc_estimate_se	0.024	0.0127	0.0063	0.0045	0.0008	0.0012	0.0005	0.0004	0.0006	0.0004	0.0005	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0004	0.0003	0.0004	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0003	0.0004	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0004	0.0003	0.0003	0.0004	0.0003	0.0004	0.0003	0.0004	0.0002	0.0002	0.0003	0.0004	0.0003	0.0003	0.0002	0.0004	0.0003	0.0004	0.0003	0.0004	0.0003	0.0003	0.0003	0.0002	0.0004	0.0003	0.0003	0.0002	0.0002	0.0004	0.0004	0.0003	0.0003	0.0003	0.0002	0.0003	0.0002	0.0003	0.0003	0.0002	0.0003	0.0004	0.0004	0.0002	0.0003	0.0002	0.0002	0.0003	0.0003	0.0002	0.0002	0.0003	0.0003	0.0003	0.0003	0.0005	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0003	0.0003
sad_vc_pvals	0.003	0.173	0.677	0.53	0.459	0.543	0.059	0.216	0.835	0.235	0.791	0.904	0.015	0.251	0.075	0.549	0.934	0.555	0.581	0.821	0.392	0.83	0.818	0.76	0.821	0.662	0.922	0.867	0.057	0.812	0.176	0.907	0.418	0.231	0.514	0.097	0.863	0.364	0.499	0.976	0.621	0.42	0.052	0.292	0.721	0.078	0.978	0.02	0.35	0.849	0.49	0.382	0.926	0.707	0.168	0.353	0.364	0.988	0.768	0.488	0.815	0.188	0.407	0.713	0.762	0.448	0.506	0.756	0.906	0.616	0.213	0.169	0.919	0.925	0.364	0.238	0.622	0.553	0.985	0.07	0.849	0.362	0.264	0.551	0.494	0.175	0.553	0.258	0.292	0.788	0.276	0.391	0.213	0.228	0.869	0.845	0.679	0.476	0.105	0.314
upper95_perm_sad	0.3807	0.2507	0.3349	0.1381	0.025	0.0559	0.0117	0.0194	0.0451	0.0151	0.0156	0.02	0.0143	0.0079	0.0106	0.0089	0.0153	0.0313	0.0177	0.0134	0.0094	0.0156	0.0127	0.0128	0.0091	0.0141	0.0064	0.011	0.0116	0.012	0.0112	0.0165	0.0092	0.0066	0.0192	0.0157	0.0165	0.0123	0.0129	0.0235	0.0129	0.0115	0.0147	0.0178	0.0058	0.0051	0.0163	0.0196	0.0126	0.0179	0.0085	0.0178	0.0248	0.038	0.0091	0.0124	0.0128	0.0105	0.0122	0.009	0.0134	0.0097	0.0074	0.0055	0.0095	0.0172	0.0081	0.0094	0.012	0.0212	0.0071	0.0147	0.01	0.0117	0.0086	0.01	0.0109	0.0216	0.0158	0.0147	0.0106	0.0078	0.0097	0.0145	0.0126	0.0082	0.0101	0.0054	0.0082	0.0121	0.0077	0.0289	0.0115	0.0222	0.0065	0.0077	0.0094	0.0115	0.0117	0.0155
lower0_perm_sad	-0.0251	-0.013	-0.0065	-0.0046	-0.0008	-0.0012	-0.0005	-0.0004	-0.0006	-0.0004	-0.0005	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0004	-0.0003	-0.0005	-0.0003	-0.0003	-0.0004	-0.0003	-0.0004	-0.0003	-0.0004	-0.0002	-0.0002	-0.0003	-0.0004	-0.0003	-0.0003	-0.0002	-0.0004	-0.0003	-0.0005	-0.0003	-0.0004	-0.0003	-0.0003	-0.0003	-0.0002	-0.0004	-0.0003	-0.0003	-0.0002	-0.0002	-0.0005	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0003	-0.0003	-0.0002	-0.0003	-0.0004	-0.0004	-0.0002	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003	-0.0003	-0.0003	-0.0005	-0.0002	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0003	-0.0003
