	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0291	-0.0264	0.0486	-0.0058	0.0257	0.0003	0.0152	0.012	0.0016	-0.0005	0.0009	0.0	-0.0004	0.0019	0.003	-0.0003	-0.0006	0.0037	0.0002	0.0184	0.0088	0.0065	-0.0007	-0.0007	-0.0008	0.0006	-0.0002	0.0004	-0.0005	-0.0001	-0.0004	0.0031	0.0002	-0.0	-0.0006	-0.0007	-0.0005	-0.0005	0.0007	-0.0002	0.0068	0.0021	-0.0003	-0.0002	0.0001	0.004	0.0268	0.0005	0.0006	-0.0001	-0.0005	-0.0002	-0.0005	-0.0007	0.0009	0.0041	-0.0005	-0.0007	-0.0005	0.0001	-0.0003	0.0008	-0.0004	0.0035	0.0005	0.0026	0.0054	-0.0005	-0.0004	0.0007	0.0004	0.0009	-0.0007	-0.0003	0.0031	0.011	-0.0006	0.0089	-0.0005	-0.0006	-0.0009	-0.0006	-0.0002	0.015	0.0009	0.001	0.0007	-0.0006	0.0004	-0.0007	0.0037	0.0023	0.0005	-0.0008	-0.0004	0.0045	0.0027	0.0017	0.001	0.002
direct_vc_estimate_se	0.0609	0.0431	0.0104	0.0102	0.0021	0.0008	0.0011	0.0008	0.001	0.0006	0.0005	0.0006	0.0013	0.0005	0.0007	0.0005	0.0006	0.0006	0.0005	0.0009	0.0005	0.0008	0.0007	0.0008	0.0009	0.0006	0.0005	0.0007	0.0005	0.0003	0.0005	0.0007	0.0004	0.0011	0.0006	0.0007	0.0009	0.0005	0.0007	0.0006	0.0006	0.0006	0.0003	0.0004	0.0005	0.0007	0.001	0.0005	0.0006	0.0007	0.0006	0.0006	0.0005	0.0007	0.0004	0.0005	0.0005	0.0007	0.0009	0.0005	0.0008	0.0008	0.0004	0.0006	0.0006	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0005	0.0008	0.0003	0.0004	0.0007	0.0006	0.0006	0.0008	0.0008	0.0008	0.0007	0.0004	0.0009	0.0006	0.0006	0.0006	0.0007	0.0007	0.0008	0.0008	0.0005	0.0004	0.001	0.0005	0.0006	0.0005	0.0005	0.0005	0.001
direct_vc_pvals	0.506	0.641	0.036	0.647	0.059	0.424	0.028	0.035	0.268	0.794	0.321	0.328	0.413	0.305	0.427	0.754	0.988	0.264	0.467	0.023	0.034	0.042	0.909	0.789	0.793	0.311	0.586	0.54	0.824	0.631	0.748	0.183	0.44	0.607	0.81	0.798	0.563	0.847	0.666	0.623	0.066	0.261	0.796	0.712	0.506	0.273	0.001	0.44	0.303	0.544	0.853	0.677	0.808	0.931	0.215	0.143	0.845	0.912	0.715	0.413	0.462	0.478	0.846	0.146	0.38	0.158	0.197	0.896	0.789	0.451	0.442	0.227	0.856	0.97	0.102	0.024	0.98	0.002	0.613	0.704	0.94	0.847	0.658	0.001	0.245	0.344	0.338	0.837	0.536	0.822	0.195	0.218	0.381	0.588	0.758	0.12	0.081	0.424	0.274	0.132
upper95_perm_direct	0.8519	0.3782	0.05	0.0991	0.034	0.0063	0.0158	0.0122	0.0088	0.0045	0.005	0.0021	0.0047	0.0097	0.0164	0.0068	0.0053	0.0121	0.0052	0.0191	0.0095	0.0067	0.0068	0.0078	0.0067	0.004	0.0041	0.0104	0.0039	0.0047	0.0048	0.0078	0.0045	0.0145	0.0035	0.0056	0.0061	0.0064	0.0141	0.0067	0.0091	0.0079	0.0028	0.0054	0.005	0.0158	0.017	0.0065	0.0047	0.0069	0.0111	0.0082	0.0032	0.0053	0.004	0.0089	0.004	0.0057	0.0136	0.0036	0.0042	0.0128	0.0035	0.0085	0.0056	0.0069	0.013	0.0073	0.0094	0.0087	0.0055	0.0037	0.0089	0.0047	0.0054	0.0106	0.0033	0.0054	0.0048	0.0071	0.0076	0.0103	0.0046	0.0064	0.004	0.0076	0.0057	0.0099	0.0111	0.0075	0.011	0.0069	0.005	0.003	0.0032	0.0083	0.0041	0.0095	0.0046	0.0049
lower0_perm_direct	-0.0887	-0.0625	-0.0155	-0.0149	-0.0032	-0.0012	-0.0017	-0.0012	-0.0015	-0.0008	-0.0008	-0.0009	-0.0019	-0.0008	-0.001	-0.0007	-0.0009	-0.0009	-0.0008	-0.0013	-0.0007	-0.0013	-0.001	-0.0012	-0.0013	-0.0009	-0.0008	-0.0011	-0.0007	-0.0005	-0.0008	-0.0011	-0.0007	-0.0016	-0.0009	-0.001	-0.0014	-0.0008	-0.001	-0.0009	-0.0009	-0.0009	-0.0005	-0.0006	-0.0007	-0.0011	-0.0014	-0.0008	-0.0008	-0.001	-0.0008	-0.0009	-0.0008	-0.001	-0.0006	-0.0008	-0.0008	-0.001	-0.0014	-0.0007	-0.0012	-0.0012	-0.0006	-0.0008	-0.0008	-0.0009	-0.0008	-0.0008	-0.0008	-0.0009	-0.0007	-0.0007	-0.0011	-0.0004	-0.0005	-0.001	-0.0008	-0.001	-0.0011	-0.0012	-0.0012	-0.001	-0.0007	-0.0013	-0.0009	-0.0009	-0.0009	-0.001	-0.001	-0.0011	-0.0012	-0.0008	-0.0006	-0.0015	-0.0007	-0.0009	-0.0007	-0.0008	-0.0007	-0.0015
sad_vc_estimate	0.4775	0.108	0.0219	0.0303	0.0529	0.0019	0.0153	0.0144	0.0024	0.0012	0.0025	0.0027	-0.0014	0.0046	0.0056	0.0	-0.0006	0.0031	0.0008	0.0316	0.0103	0.0028	-0.0007	-0.0007	-0.0004	-0.0	0.0031	0.0022	0.0011	0.0001	0.0003	0.0014	-0.0003	-0.0012	0.0001	0.0005	0.0054	-0.0006	0.0005	-0.0004	0.0153	0.0026	0.0004	0.002	0.0018	0.0107	0.034	0.0038	-0.0006	0.003	-0.0006	-0.0006	-0.0005	-0.0005	0.002	0.0061	0.0	-0.0007	-0.0009	-0.0001	-0.0008	0.0028	-0.0003	0.0076	0.0004	0.001	0.0104	0.0013	-0.0	0.0023	-0.0001	0.0038	0.0002	-0.0003	0.0039	0.0111	-0.0003	0.0193	-0.0007	0.0011	0.0003	-0.0002	0.0018	0.0158	-0.0006	0.0013	-0.0004	-0.0003	0.0017	-0.0008	0.0027	0.0035	0.0011	-0.0007	0.0014	0.0027	0.0008	0.0009	0.0038	0.0007
sad_vc_estimate_se	0.0616	0.0437	0.0105	0.0104	0.0021	0.0008	0.0011	0.0008	0.001	0.0006	0.0006	0.0006	0.0013	0.0005	0.0007	0.0005	0.0006	0.0006	0.0005	0.0009	0.0005	0.0008	0.0007	0.0008	0.0009	0.0006	0.0005	0.0007	0.0005	0.0003	0.0005	0.0007	0.0004	0.0011	0.0006	0.0007	0.0009	0.0005	0.0007	0.0006	0.0006	0.0006	0.0003	0.0004	0.0005	0.0007	0.001	0.0005	0.0006	0.0007	0.0006	0.0006	0.0005	0.0007	0.0004	0.0005	0.0005	0.0007	0.0009	0.0005	0.0008	0.0008	0.0004	0.0006	0.0006	0.0006	0.0006	0.0005	0.0006	0.0006	0.0005	0.0005	0.0008	0.0003	0.0004	0.0007	0.0006	0.0006	0.0008	0.0009	0.0008	0.0007	0.0005	0.0009	0.0006	0.0006	0.0006	0.0007	0.0007	0.0008	0.0008	0.0005	0.0004	0.001	0.0005	0.0006	0.0005	0.0006	0.0005	0.001
sad_vc_pvals	0.171	0.379	0.226	0.386	0.037	0.362	0.064	0.046	0.316	0.293	0.292	0.135	0.983	0.274	0.377	0.671	0.926	0.269	0.455	0.023	0.091	0.242	0.921	0.834	0.73	0.618	0.188	0.484	0.226	0.587	0.506	0.405	0.664	0.934	0.489	0.516	0.221	0.936	0.777	0.811	0.052	0.322	0.456	0.332	0.336	0.201	0.015	0.211	0.847	0.289	0.995	0.886	0.82	0.735	0.25	0.177	0.552	0.928	0.892	0.618	0.886	0.379	0.744	0.088	0.527	0.42	0.171	0.412	0.704	0.364	0.65	0.166	0.671	0.949	0.11	0.097	0.643	0.009	0.837	0.436	0.589	0.71	0.183	0.029	0.844	0.475	0.781	0.75	0.376	0.992	0.377	0.238	0.383	0.796	0.326	0.28	0.367	0.644	0.117	0.477
upper95_perm_sad	1.1878	0.8088	0.0884	0.1877	0.0593	0.0142	0.0195	0.017	0.0146	0.0056	0.0103	0.0058	0.0116	0.0173	0.0235	0.0125	0.0099	0.0125	0.0086	0.0311	0.0166	0.0118	0.0117	0.0154	0.0142	0.0113	0.0082	0.0204	0.0045	0.0066	0.0086	0.0133	0.0048	0.025	0.0066	0.0115	0.0164	0.0122	0.0255	0.0113	0.0192	0.0137	0.0046	0.0092	0.0095	0.0244	0.0266	0.0109	0.0096	0.0133	0.016	0.0153	0.0097	0.0097	0.0069	0.0142	0.006	0.0092	0.0187	0.0064	0.0106	0.0177	0.0072	0.0127	0.009	0.0108	0.0244	0.0121	0.0145	0.0137	0.0089	0.0097	0.0172	0.0068	0.0067	0.0184	0.0059	0.0153	0.0122	0.0132	0.0176	0.0183	0.0054	0.0156	0.0065	0.0142	0.0115	0.019	0.0128	0.0172	0.0195	0.0122	0.0085	0.0132	0.0074	0.012	0.0065	0.0163	0.0077	0.0142
lower0_perm_sad	-0.0932	-0.0648	-0.0158	-0.0152	-0.0031	-0.0012	-0.0017	-0.0012	-0.0016	-0.0008	-0.0008	-0.0009	-0.002	-0.0008	-0.001	-0.0007	-0.0009	-0.0009	-0.0008	-0.0013	-0.0007	-0.0012	-0.001	-0.0012	-0.0013	-0.0009	-0.0008	-0.0011	-0.0007	-0.0005	-0.0008	-0.0011	-0.0007	-0.0016	-0.001	-0.0011	-0.0014	-0.0008	-0.001	-0.0009	-0.0009	-0.0009	-0.0005	-0.0006	-0.0007	-0.0011	-0.0014	-0.0008	-0.0009	-0.001	-0.0008	-0.0009	-0.0008	-0.001	-0.0006	-0.0008	-0.0008	-0.001	-0.0014	-0.0007	-0.0012	-0.0012	-0.0006	-0.0008	-0.0008	-0.0009	-0.0009	-0.0008	-0.0009	-0.0008	-0.0007	-0.0007	-0.0011	-0.0004	-0.0005	-0.001	-0.0008	-0.001	-0.0011	-0.0012	-0.0012	-0.001	-0.0007	-0.0013	-0.0009	-0.0009	-0.0009	-0.001	-0.001	-0.0012	-0.0012	-0.0008	-0.0006	-0.0015	-0.0007	-0.0009	-0.0007	-0.0008	-0.0007	-0.0015
