	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.2493	-0.0196	-0.0086	-0.0068	0.0087	0.0029	0.0013	-0.0	0.0004	0.0057	0.0046	-0.0003	0.0004	0.0006	0.0023	0.0049	0.0008	-0.0003	0.0001	0.0019	0.0036	0.002	-0.0	0.0029	0.0011	-0.0003	-0.0001	0.0035	0.0007	0.0024	0.0039	0.0036	0.0008	-0.0002	0.0	0.0076	0.0043	0.0017	0.0014	0.0002	0.0018	0.0065	-0.0005	0.004	0.0	0.0161	0.0062	0.0021	0.0009	-0.0	0.0008	-0.0003	-0.0004	-0.0006	0.0008	0.0024	0.0048	0.0008	0.0022	-0.0005	-0.0004	0.0001	-0.0002	0.0031	0.0081	0.004	0.0014	-0.0002	-0.0004	0.0086	-0.0005	0.0028	0.0036	0.0034	0.0003	-0.0004	0.0009	0.0009	0.001	0.0001	-0.0003	0.0046	0.0009	0.007	0.0045	-0.0005	0.0022	-0.0005	0.0015	0.0017	0.0004	-0.0002	0.0017	0.0004	0.0024	-0.0004	0.0096	-0.0004	0.0051	0.0003
direct_vc_estimate_se	0.0116	0.0064	0.0027	0.0021	0.0007	0.0003	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
direct_vc_pvals	0.152	0.88	0.939	0.962	0.438	0.165	0.273	0.612	0.518	0.089	0.23	0.788	0.325	0.309	0.094	0.044	0.249	0.853	0.538	0.065	0.214	0.19	0.645	0.08	0.38	0.81	0.667	0.224	0.645	0.217	0.209	0.352	0.417	0.756	0.664	0.086	0.33	0.253	0.344	0.639	0.286	0.057	0.887	0.087	0.609	0.0	0.092	0.273	0.323	0.594	0.394	0.863	0.924	0.994	0.435	0.217	0.068	0.333	0.355	0.931	0.816	0.533	0.794	0.15	0.06	0.144	0.44	0.704	0.872	0.025	0.975	0.288	0.221	0.152	0.467	0.792	0.252	0.36	0.296	0.473	0.746	0.197	0.183	0.061	0.079	0.978	0.304	0.927	0.179	0.255	0.405	0.731	0.507	0.388	0.111	0.953	0.014	0.913	0.073	0.602
upper95_perm_direct	0.5578	0.2877	0.1114	0.0584	0.0381	0.0073	0.0053	0.0122	0.0081	0.0084	0.0123	0.0099	0.0036	0.0037	0.0033	0.0049	0.003	0.0079	0.0051	0.0023	0.0099	0.0051	0.0077	0.0038	0.008	0.0067	0.0074	0.0106	0.012	0.0073	0.0102	0.0131	0.0057	0.0079	0.0098	0.0103	0.017	0.0059	0.0076	0.0103	0.0065	0.0072	0.009	0.0059	0.0055	0.0066	0.009	0.0086	0.0057	0.0054	0.0062	0.0079	0.0048	0.0089	0.0071	0.0071	0.0059	0.0045	0.0116	0.0075	0.0154	0.004	0.0089	0.0066	0.0092	0.0071	0.0107	0.0047	0.0042	0.0075	0.0069	0.0107	0.0099	0.0061	0.0047	0.0051	0.0039	0.0063	0.0043	0.0044	0.0046	0.0107	0.0025	0.0081	0.0058	0.0097	0.0084	0.0055	0.0036	0.0055	0.0039	0.0063	0.013	0.0042	0.0038	0.0056	0.006	0.0081	0.0063	0.0076
lower0_perm_direct	-0.0488	-0.0275	-0.0111	-0.0084	-0.0027	-0.0012	-0.0008	-0.0011	-0.0008	-0.0008	-0.0008	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0005	-0.0006	-0.0007	-0.0004	-0.0006	-0.0006	-0.0005	-0.0005	-0.0005	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0005	-0.0006	-0.0007	-0.0008	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0005	-0.0005	-0.0005	-0.0007	-0.0005	-0.0006	-0.0005	-0.0005	-0.0007	-0.0006	-0.0007	-0.0005	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0005	-0.0005	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0005	-0.0006	-0.0005	-0.0006	-0.0004	-0.0005	-0.0005	-0.0007	-0.0005	-0.0006	-0.0005	-0.0006	-0.0005	-0.0007	-0.0005	-0.0005	-0.0005	-0.0006	-0.0005	-0.0005	-0.0005	-0.0005	-0.0006	-0.0006	-0.0005	-0.0005
sad_vc_estimate	0.4018	0.0023	0.0014	-0.0064	0.0822	0.0083	0.0062	-0.0006	0.0003	0.0147	0.0187	-0.0002	-0.0002	-0.0005	0.0081	0.0052	0.0018	-0.0003	-0.0005	0.0071	0.0066	0.0039	-0.0004	0.0082	0.0012	0.001	-0.0001	0.0044	0.003	0.0023	0.0023	0.0021	0.0026	0.0049	-0.0004	0.0206	0.0102	0.0044	0.0081	-0.0002	0.0036	0.0204	-0.0006	0.0068	0.0005	0.0259	0.0209	0.0116	0.0038	-0.0001	0.0031	0.0006	0.0002	0.0002	0.0029	0.0165	0.0098	0.0012	0.0024	-0.0005	-0.0005	0.002	-0.0003	0.0115	0.0159	0.0046	0.0035	-0.0004	-0.0004	0.0212	-0.0004	0.0052	0.0121	0.0028	0.0012	0.0013	0.0037	0.0007	0.0028	0.0036	-0.0002	0.0081	-0.0002	0.0041	0.0174	-0.0002	0.0089	-0.0005	0.0022	0.0069	0.0013	-0.0004	0.0043	0.0044	0.0074	-0.0002	0.0169	-0.0001	0.0089	0.0016
sad_vc_estimate_se	0.0118	0.0065	0.0027	0.0021	0.0007	0.0003	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0001	0.0002	0.0002	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
sad_vc_pvals	0.216	0.752	0.702	0.905	0.079	0.185	0.137	0.851	0.635	0.06	0.168	0.804	0.727	0.875	0.042	0.171	0.248	0.914	0.897	0.017	0.264	0.262	0.942	0.066	0.606	0.607	0.784	0.386	0.665	0.524	0.514	0.665	0.408	0.376	0.885	0.082	0.405	0.223	0.186	0.827	0.42	0.04	0.982	0.141	0.629	0.006	0.059	0.144	0.301	0.755	0.325	0.651	0.689	0.733	0.416	0.098	0.08	0.496	0.561	0.958	0.933	0.317	0.921	0.066	0.095	0.317	0.442	0.988	0.915	0.026	0.884	0.375	0.188	0.354	0.488	0.433	0.194	0.58	0.286	0.177	0.76	0.265	0.694	0.332	0.024	0.851	0.202	0.951	0.256	0.193	0.439	0.875	0.569	0.149	0.09	0.806	0.061	0.84	0.14	0.589
upper95_perm_sad	1.1086	0.6752	0.2449	0.1695	0.099	0.0202	0.0117	0.0328	0.0179	0.0175	0.0407	0.0231	0.0087	0.0103	0.0079	0.0115	0.0055	0.0241	0.0125	0.0051	0.0201	0.013	0.0161	0.0099	0.0203	0.0165	0.0208	0.0246	0.0311	0.0216	0.0245	0.0319	0.0147	0.02	0.0238	0.0287	0.048	0.0134	0.0182	0.0217	0.0194	0.0203	0.0271	0.0135	0.0147	0.0128	0.0234	0.0209	0.0141	0.0123	0.0135	0.0191	0.0135	0.0247	0.0165	0.0218	0.0132	0.0116	0.0282	0.0192	0.0383	0.0098	0.0265	0.0138	0.0222	0.0191	0.0222	0.0106	0.0074	0.0176	0.0145	0.0266	0.0268	0.0129	0.0122	0.0109	0.0094	0.0142	0.0104	0.0081	0.0085	0.0277	0.0058	0.0175	0.0151	0.0211	0.023	0.0123	0.0081	0.0154	0.0107	0.0134	0.036	0.0084	0.0107	0.0126	0.0195	0.0229	0.0152	0.0196
lower0_perm_sad	-0.0495	-0.0249	-0.0108	-0.009	-0.0028	-0.0012	-0.0008	-0.0011	-0.0008	-0.0008	-0.0008	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0005	-0.0006	-0.0007	-0.0004	-0.0006	-0.0005	-0.0005	-0.0005	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0007	-0.0007	-0.0009	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0005	-0.0005	-0.0006	-0.0007	-0.0005	-0.0007	-0.0005	-0.0005	-0.0007	-0.0006	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0007	-0.0006	-0.0006	-0.0005	-0.0006	-0.0005	-0.0006	-0.0004	-0.0006	-0.0006	-0.0007	-0.0005	-0.0006	-0.0005	-0.0006	-0.0005	-0.0007	-0.0005	-0.0005	-0.0005	-0.0006	-0.0006	-0.0005	-0.0006	-0.0005	-0.0006	-0.0005	-0.0005	-0.0005
