	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0264	0.193	0.1866	0.332	0.3133	0.0027	-0.0008	0.0257	0.0006	0.0	0.0009	-0.0003	0.0002	0.0063	0.0013	-0.0005	-0.0005	0.0015	0.0012	0.0216	0.0113	0.0158	0.0009	0.0061	0.0138	0.0029	0.0016	0.002	0.0004	-0.0001	0.0046	0.0223	-0.0007	0.0085	-0.0003	-0.0003	0.0004	0.0018	0.0001	0.0011	-0.0007	0.0036	-0.0002	0.0082	0.0045	0.0008	0.005	0.0036	0.0002	0.0006	0.0122	0.0057	0.0026	0.0046	0.0008	-0.0003	-0.0003	-0.0004	0.0004	-0.0002	0.0005	0.0073	0.0014	0.0016	0.0025	-0.0003	0.0067	-0.0003	0.0005	-0.0001	-0.0002	-0.0003	0.0063	0.0006	0.0065	0.002	0.0004	0.0041	0.0008	-0.0003	0.0082	0.0048	-0.0005	0.0019	-0.0002	0.002	-0.0002	-0.0004	0.0049	-0.0004	0.0048	0.0027	0.0054	0.0084	0.009	-0.0002	-0.0005	0.0024	0.0031	0.0054
direct_vc_estimate_se	0.0357	0.0189	0.0123	0.0068	0.0016	0.0015	0.0011	0.0006	0.0005	0.0005	0.0005	0.0009	0.0004	0.0007	0.0005	0.0006	0.0008	0.0004	0.0006	0.0006	0.0005	0.0005	0.0005	0.0007	0.0005	0.0004	0.001	0.001	0.0007	0.0005	0.0005	0.0006	0.0014	0.0011	0.0005	0.0005	0.0004	0.0004	0.0004	0.0007	0.0008	0.0004	0.0006	0.0007	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0008	0.0004	0.0004	0.0004	0.0004	0.0005	0.0005	0.0005	0.0004	0.0005	0.0004	0.0005	0.0005	0.0005	0.0004	0.0004	0.0005	0.0005	0.0004	0.0005	0.0004	0.0005	0.0005	0.0005	0.0007	0.0004	0.0004	0.0003	0.0005	0.0005	0.0005	0.0003	0.0008	0.0013	0.0004	0.0004	0.0006	0.0005	0.0004	0.0013	0.0004	0.0005	0.0006	0.0005	0.0005	0.0005	0.0006	0.0004	0.0005	0.0004
direct_vc_pvals	0.487	0.156	0.01	0.0	0.005	0.44	0.824	0.069	0.456	0.662	0.635	0.676	0.623	0.356	0.148	0.943	0.709	0.239	0.407	0.028	0.009	0.005	0.242	0.17	0.019	0.191	0.293	0.227	0.448	0.712	0.264	0.005	0.659	0.314	0.823	0.85	0.648	0.239	0.639	0.333	0.943	0.118	0.681	0.29	0.397	0.451	0.047	0.101	0.462	0.488	0.034	0.079	0.159	0.021	0.541	0.889	0.865	0.944	0.552	0.606	0.612	0.086	0.631	0.268	0.345	0.9	0.008	0.866	0.387	0.566	0.758	0.891	0.145	0.453	0.023	0.311	0.405	0.168	0.506	0.796	0.159	0.206	0.703	0.368	0.729	0.246	0.776	0.952	0.159	0.615	0.134	0.234	0.375	0.034	0.105	0.733	0.953	0.126	0.257	0.032
upper95_perm_direct	0.6079	0.5854	0.2056	0.1953	0.3574	0.0354	0.0121	0.0493	0.0097	0.0152	0.025	0.0149	0.0106	0.0321	0.0044	0.0115	0.0064	0.0074	0.0106	0.0323	0.0104	0.0125	0.0053	0.018	0.0174	0.0111	0.0119	0.0089	0.0123	0.0105	0.0195	0.0225	0.0087	0.0359	0.0207	0.0118	0.0136	0.0087	0.0107	0.0098	0.0079	0.0096	0.0085	0.0394	0.0299	0.0122	0.008	0.009	0.005	0.0085	0.019	0.0117	0.009	0.0059	0.013	0.0102	0.0159	0.0115	0.011	0.0048	0.0169	0.0147	0.0389	0.0089	0.0177	0.0217	0.0068	0.0116	0.0066	0.0051	0.0045	0.015	0.0177	0.0118	0.0078	0.0124	0.0064	0.0118	0.014	0.0098	0.0251	0.0177	0.0068	0.0202	0.0076	0.009	0.0164	0.0035	0.0152	0.0146	0.0141	0.0117	0.0267	0.0126	0.0211	0.0097	0.0197	0.0064	0.0147	0.0079
lower0_perm_direct	-0.0654	-0.0338	-0.0219	-0.012	-0.0028	-0.0027	-0.0021	-0.0011	-0.0009	-0.001	-0.0008	-0.0016	-0.0007	-0.0012	-0.0009	-0.0011	-0.0014	-0.0008	-0.001	-0.001	-0.001	-0.0009	-0.0009	-0.0011	-0.0009	-0.0008	-0.0017	-0.0017	-0.0012	-0.0009	-0.0008	-0.0011	-0.0025	-0.0019	-0.0009	-0.0009	-0.0007	-0.0007	-0.0008	-0.0013	-0.0016	-0.0007	-0.001	-0.0013	-0.0007	-0.0008	-0.0007	-0.0006	-0.0007	-0.0006	-0.0013	-0.0007	-0.0008	-0.0006	-0.0006	-0.0008	-0.0008	-0.0008	-0.0007	-0.0008	-0.0007	-0.001	-0.0009	-0.0008	-0.0007	-0.0007	-0.0008	-0.0009	-0.0007	-0.0009	-0.0007	-0.0008	-0.0009	-0.001	-0.0013	-0.0007	-0.0007	-0.0006	-0.0009	-0.0008	-0.001	-0.0006	-0.0014	-0.0022	-0.0008	-0.0007	-0.001	-0.0008	-0.0007	-0.0022	-0.0007	-0.0009	-0.001	-0.0008	-0.0009	-0.0009	-0.001	-0.0008	-0.0008	-0.0007
sad_vc_estimate	0.237	0.4778	0.4389	0.7059	0.7757	0.0173	-0.0009	0.0902	0.0061	0.0011	0.0094	-0.0005	0.0018	0.0155	0.002	-0.0005	0.0002	0.0039	0.0032	0.0409	0.0214	0.0375	0.0016	0.0127	0.026	0.0052	0.0045	0.0031	0.0016	-0.0004	0.0058	0.0347	-0.0009	0.0343	-0.0001	0.0017	0.0	0.0032	0.0006	0.0006	-0.0003	0.0092	-0.0005	0.0204	0.0061	0.0016	0.0083	0.0143	0.001	0.0012	0.0269	0.0104	0.0038	0.006	0.0091	0.0011	-0.0	0.0002	0.0029	0.0007	0.0001	0.0169	0.005	0.0043	0.0024	0.0031	0.0135	-0.0004	0.0008	0.0033	-0.0003	0.0024	0.0164	0.003	0.0068	0.0003	-0.0003	0.011	0.001	0.0002	0.0195	0.0115	-0.0003	0.0008	-0.0003	0.0018	-0.0003	-0.0	0.0207	0.0035	0.0146	0.0031	0.0112	0.0202	0.0297	0.0007	-0.0001	0.0032	0.0057	0.0095
sad_vc_estimate_se	0.036	0.0191	0.0124	0.0069	0.0017	0.0015	0.0011	0.0007	0.0005	0.0005	0.0005	0.0009	0.0004	0.0007	0.0005	0.0006	0.0008	0.0004	0.0006	0.0006	0.0005	0.0005	0.0005	0.0007	0.0005	0.0004	0.001	0.001	0.0007	0.0005	0.0005	0.0006	0.0014	0.0011	0.0005	0.0005	0.0004	0.0004	0.0004	0.0007	0.0008	0.0004	0.0006	0.0007	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0008	0.0004	0.0004	0.0004	0.0004	0.0005	0.0005	0.0005	0.0004	0.0005	0.0004	0.0006	0.0005	0.0005	0.0004	0.0004	0.0005	0.0005	0.0004	0.0005	0.0004	0.0005	0.0005	0.0005	0.0007	0.0004	0.0004	0.0003	0.0005	0.0005	0.0005	0.0004	0.0008	0.0013	0.0004	0.0004	0.0006	0.0005	0.0004	0.0013	0.0004	0.0005	0.0006	0.0005	0.0005	0.0005	0.0006	0.0004	0.0005	0.0004
sad_vc_pvals	0.313	0.061	0.002	0.0	0.001	0.175	0.904	0.025	0.165	0.548	0.25	0.801	0.388	0.267	0.204	0.946	0.511	0.189	0.314	0.062	0.019	0.001	0.263	0.142	0.04	0.175	0.238	0.301	0.464	0.992	0.442	0.011	0.809	0.175	0.859	0.477	0.826	0.265	0.631	0.536	0.766	0.103	0.954	0.218	0.478	0.482	0.101	0.024	0.406	0.597	0.032	0.063	0.233	0.068	0.266	0.538	0.808	0.757	0.314	0.43	0.794	0.069	0.533	0.233	0.517	0.629	0.006	0.956	0.518	0.212	0.989	0.515	0.1	0.304	0.146	0.711	0.922	0.104	0.616	0.681	0.09	0.178	0.708	0.55	0.938	0.402	0.86	0.661	0.088	0.305	0.105	0.305	0.37	0.02	0.031	0.607	0.826	0.194	0.331	0.029
upper95_perm_sad	1.4879	0.8793	0.3754	0.3051	0.8191	0.0619	0.018	0.1234	0.0175	0.0238	0.0409	0.0258	0.0159	0.0561	0.0087	0.0216	0.0105	0.0132	0.0182	0.0783	0.0267	0.0292	0.0103	0.033	0.0424	0.0174	0.0218	0.0194	0.0187	0.0166	0.0458	0.0406	0.0171	0.097	0.0538	0.025	0.0288	0.017	0.0192	0.0177	0.0231	0.0216	0.0173	0.0785	0.0565	0.0234	0.0188	0.0184	0.0104	0.0177	0.0416	0.019	0.0164	0.0123	0.0336	0.0211	0.0401	0.027	0.0177	0.0094	0.0256	0.032	0.0775	0.019	0.0338	0.0533	0.0124	0.0241	0.0135	0.0143	0.0084	0.0401	0.0351	0.018	0.0191	0.0217	0.0127	0.0251	0.029	0.023	0.043	0.0357	0.0149	0.0323	0.0141	0.0183	0.0398	0.0097	0.0469	0.0228	0.0345	0.02	0.0484	0.0255	0.0471	0.0253	0.04	0.0135	0.0316	0.0137
lower0_perm_sad	-0.0664	-0.0329	-0.0217	-0.0119	-0.0029	-0.0026	-0.002	-0.0011	-0.0009	-0.001	-0.0008	-0.0016	-0.0007	-0.0012	-0.0009	-0.001	-0.0014	-0.0007	-0.001	-0.001	-0.001	-0.0008	-0.0008	-0.0011	-0.0009	-0.0008	-0.0018	-0.0017	-0.0012	-0.0009	-0.0009	-0.0011	-0.0026	-0.0019	-0.0009	-0.0009	-0.0006	-0.0006	-0.0007	-0.0013	-0.0016	-0.0007	-0.001	-0.0013	-0.0007	-0.0008	-0.0007	-0.0006	-0.0007	-0.0006	-0.0014	-0.0007	-0.0008	-0.0007	-0.0007	-0.0008	-0.0009	-0.0008	-0.0006	-0.0008	-0.0007	-0.001	-0.0008	-0.0008	-0.0007	-0.0008	-0.0008	-0.0009	-0.0007	-0.001	-0.0007	-0.0009	-0.0008	-0.0009	-0.0013	-0.0007	-0.0007	-0.0006	-0.0009	-0.0008	-0.001	-0.0006	-0.0014	-0.0021	-0.0008	-0.0007	-0.001	-0.0009	-0.0007	-0.0023	-0.0007	-0.0008	-0.001	-0.0009	-0.0009	-0.001	-0.0011	-0.0008	-0.0008	-0.0007
