	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0261	0.0258	0.0431	0.0686	0.1303	0.0004	-0.0003	0.0097	0.002	0.0003	0.0009	0.0002	0.0006	0.003	-0.0	-0.0001	-0.0001	0.0005	0.0008	0.0078	0.0057	0.0048	0.0007	0.0018	0.0054	0.0017	0.0003	0.0007	0.0007	-0.0	0.0024	0.0063	0.0001	0.0049	0.0003	-0.0001	0.0	0.0008	0.0003	-0.0	0.0	0.0004	-0.0	0.0046	0.0032	0.0004	0.0021	0.0012	0.0003	-0.0	0.0042	0.0017	0.0019	0.0006	0.0013	0.0002	0.0004	0.0	0.0003	0.0006	0.0	0.0038	0.0004	0.0004	0.0014	0.001	0.0003	0.0	0.0003	0.0005	0.0001	-0.0001	0.003	0.0003	0.002	0.0004	-0.0	0.0018	0.0003	0.0001	0.0034	0.0022	-0.0001	0.0007	-0.0	0.0009	-0.0	-0.0001	0.0025	-0.0002	0.0016	0.0005	0.0023	0.0031	0.0045	-0.0	-0.0	0.0009	0.001	0.0004
direct_vc_estimate_se	0.0092	0.0062	0.0057	0.0017	0.0005	0.0005	0.0005	0.0002	0.0001	0.0002	0.0001	0.0003	0.0001	0.0003	0.0001	0.0002	0.0004	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0005	0.0001	0.0001	0.0001	0.0002	0.0008	0.0005	0.0002	0.0001	0.0001	0.0001	0.0001	0.0003	0.0004	0.0001	0.0001	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0004	0.0007	0.0001	0.0001	0.0001	0.0002	0.0001	0.0006	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001
direct_vc_pvals	0.414	0.398	0.112	0.003	0.004	0.61	0.958	0.085	0.058	0.483	0.539	0.522	0.323	0.315	0.669	0.75	0.653	0.286	0.382	0.061	0.002	0.007	0.153	0.324	0.026	0.088	0.359	0.25	0.336	0.93	0.246	0.016	0.356	0.229	0.637	0.863	0.817	0.204	0.445	0.617	0.484	0.354	0.918	0.225	0.263	0.484	0.03	0.152	0.244	0.973	0.062	0.114	0.048	0.104	0.247	0.483	0.586	0.718	0.495	0.183	0.824	0.042	0.697	0.358	0.293	0.475	0.284	0.734	0.322	0.174	0.331	0.973	0.102	0.481	0.037	0.397	0.946	0.178	0.509	0.587	0.197	0.17	0.673	0.363	0.77	0.188	0.822	0.918	0.103	0.729	0.207	0.388	0.383	0.062	0.079	0.629	0.822	0.121	0.324	0.278
upper95_perm_direct	0.2459	0.2194	0.1017	0.0672	0.1633	0.0135	0.0041	0.0208	0.0036	0.005	0.0114	0.0048	0.0035	0.013	0.0012	0.0039	0.0023	0.003	0.0052	0.0144	0.0043	0.0053	0.0022	0.0066	0.0078	0.0038	0.0025	0.0034	0.0044	0.0036	0.0081	0.0085	0.0028	0.0175	0.0088	0.0036	0.0047	0.0029	0.0041	0.0029	0.0026	0.0035	0.0033	0.0161	0.0127	0.0041	0.003	0.0039	0.0015	0.0029	0.0077	0.0042	0.0033	0.0015	0.0048	0.0029	0.0075	0.0044	0.0036	0.002	0.0066	0.006	0.0168	0.0035	0.0061	0.0095	0.0017	0.0038	0.0024	0.0016	0.0013	0.0064	0.0067	0.0035	0.0031	0.0041	0.002	0.0056	0.0046	0.0034	0.0108	0.0067	0.0018	0.0078	0.0023	0.0027	0.0052	0.0015	0.0062	0.0051	0.0059	0.0039	0.0094	0.0059	0.0091	0.0021	0.0085	0.0024	0.0055	0.0019
lower0_perm_direct	-0.011	-0.0075	-0.0074	-0.0022	-0.0005	-0.0006	-0.0006	-0.0002	-0.0002	-0.0002	-0.0001	-0.0004	-0.0001	-0.0003	-0.0001	-0.0003	-0.0004	-0.0002	-0.0002	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0006	-0.0001	-0.0001	-0.0002	-0.0003	-0.001	-0.0006	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0004	-0.0004	-0.0001	-0.0001	-0.0003	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0004	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0002	-0.0002	-0.0002	-0.0001	-0.0001	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0002	-0.0002	-0.0002	-0.0003	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0003	-0.0001	-0.0004	-0.0009	-0.0001	-0.0001	-0.0002	-0.0002	-0.0001	-0.0008	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0001
sad_vc_estimate	0.3022	0.1469	0.1539	0.193	0.4369	0.009	-0.0002	0.0628	0.0101	0.0018	0.0075	0.0002	0.0025	0.0113	0.0001	-0.0001	0.0001	0.0015	0.0029	0.0226	0.0127	0.0189	0.001	0.0063	0.0114	0.0037	0.0026	0.0022	0.0013	0.0003	0.0027	0.0121	0.0003	0.0251	0.0004	0.0009	0.0003	0.0014	0.0012	-0.0001	-0.0002	0.003	0.0001	0.0184	0.0057	0.0003	0.0035	0.0085	0.0013	-0.0	0.0163	0.0044	0.0023	0.0006	0.0121	0.003	0.0002	0.0012	0.0032	0.0014	0.0	0.0116	0.0027	0.0007	0.0008	0.0078	0.0025	-0.0001	0.0009	0.0043	-0.0001	0.0012	0.0091	0.0025	0.0027	0.0002	0.0002	0.0064	0.0003	0.0023	0.0088	0.0078	-0.0001	-0.0001	-0.0001	0.0012	-0.0	0.0003	0.0178	0.0016	0.0102	0.0006	0.0051	0.0103	0.0218	0.0041	0.0008	0.002	0.0023	0.0014
sad_vc_estimate_se	0.0094	0.0063	0.0057	0.0017	0.0005	0.0005	0.0005	0.0002	0.0001	0.0002	0.0001	0.0003	0.0001	0.0003	0.0001	0.0002	0.0004	0.0001	0.0001	0.0002	0.0002	0.0001	0.0002	0.0002	0.0001	0.0001	0.0001	0.0005	0.0001	0.0001	0.0001	0.0002	0.0008	0.0005	0.0002	0.0001	0.0001	0.0001	0.0001	0.0003	0.0004	0.0001	0.0001	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0.0002	0.0002	0.0003	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0004	0.0007	0.0001	0.0001	0.0001	0.0002	0.0001	0.0006	0.0001	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0001	0.0001
sad_vc_pvals	0.17	0.169	0.036	0.001	0.002	0.196	0.877	0.023	0.006	0.359	0.222	0.684	0.136	0.21	0.672	0.842	0.522	0.265	0.241	0.083	0.004	0.0	0.306	0.151	0.103	0.086	0.177	0.197	0.423	0.631	0.543	0.04	0.539	0.168	0.799	0.533	0.776	0.342	0.419	0.946	0.953	0.134	0.753	0.151	0.404	0.697	0.162	0.026	0.231	0.95	0.044	0.045	0.205	0.385	0.066	0.211	0.816	0.53	0.147	0.215	0.904	0.021	0.55	0.615	0.622	0.293	0.133	0.927	0.388	0.043	0.962	0.594	0.151	0.219	0.234	0.708	0.674	0.092	0.704	0.269	0.173	0.156	0.802	0.796	0.926	0.305	0.888	0.57	0.021	0.294	0.099	0.527	0.542	0.024	0.0	0.19	0.693	0.122	0.484	0.204
upper95_perm_sad	0.9249	0.4652	0.2502	0.1277	0.5221	0.029	0.0088	0.0867	0.0107	0.0125	0.0269	0.0121	0.0064	0.0359	0.0039	0.0106	0.0043	0.0063	0.0111	0.0447	0.0124	0.0143	0.0058	0.0158	0.0256	0.0075	0.0092	0.008	0.0103	0.0084	0.028	0.0194	0.0084	0.0677	0.0341	0.013	0.0153	0.009	0.0116	0.0086	0.0128	0.0085	0.0095	0.045	0.0385	0.0123	0.0101	0.0118	0.0049	0.01	0.0269	0.0079	0.0082	0.0044	0.0228	0.011	0.0251	0.0156	0.0093	0.0054	0.0164	0.0153	0.0439	0.016	0.0182	0.0322	0.0073	0.0133	0.007	0.0072	0.0039	0.0241	0.023	0.0093	0.0094	0.0106	0.0061	0.0138	0.015	0.0125	0.025	0.0221	0.0066	0.0225	0.0072	0.0075	0.0197	0.0089	0.0258	0.0087	0.0223	0.0084	0.0287	0.0141	0.0239	0.0126	0.0236	0.0049	0.0188	0.0047
lower0_perm_sad	-0.0108	-0.0077	-0.0074	-0.0019	-0.0006	-0.0006	-0.0006	-0.0002	-0.0002	-0.0002	-0.0001	-0.0004	-0.0001	-0.0003	-0.0001	-0.0003	-0.0005	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0006	-0.0001	-0.0001	-0.0002	-0.0003	-0.001	-0.0005	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0004	-0.0004	-0.0001	-0.0001	-0.0004	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0004	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0002	-0.0001	-0.0001	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0002	-0.0003	-0.0001	-0.0001	-0.0001	-0.0001	-0.0001	-0.0002	-0.0001	-0.0005	-0.0009	-0.0001	-0.0001	-0.0002	-0.0002	-0.0001	-0.0008	-0.0001	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0001
