	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	0.0859	1.2358	-0.0495	0.2872	0.22	0.0027	0.0042	-0.001	0.0082	-0.0017	0.0052	0.0147	0.0185	0.0075	-0.0007	-0.0005	0.0065	0.0347	-0.0003	0.0081	-0.0015	0.006	0.0206	-0.0018	0.0375	-0.0007	-0.001	0.0345	0.0085	-0.0018	-0.0031	-0.0019	-0.0011	0.015	0.049	0.1231	0.0061	-0.0004	0.0089	0.0014	0.0012	0.0014	0.0168	-0.0031	0.0121	0.0041	0.0342	0.0403	-0.001	0.0008	0.0088	-0.0008	0.0174	0.0208	0.0001	-0.0001	0.0242	-0.0008	0.0003	0.0077	0.0344	0.013	-0.0002	0.0065	-0.0011	0.0114	0.0033	-0.001	-0.0002	0.0031	-0.002	0.006	-0.001	0.037	0.0097	-0.0016	0.0008	0.0059	0.0036	0.0002	-0.0004	-0.0006	0.0106	0.0043	0.0083	0.0103	0.0063	0.0015	0.0046	0.0262	0.0051	-0.0002	0.001	0.0066	0.044	-0.0009	0.0338	-0.0003	-0.0007	0.048
direct_vc_estimate_se	0.0364	0.036	0.024	0.0076	0.0042	0.0019	0.0007	0.0007	0.0012	0.0006	0.0008	0.0007	0.0005	0.0007	0.0005	0.0004	0.0008	0.0007	0.0003	0.0007	0.0017	0.0006	0.0009	0.0006	0.0007	0.0012	0.0004	0.0012	0.0005	0.0007	0.0012	0.0008	0.0004	0.0011	0.0014	0.0021	0.0008	0.0005	0.0003	0.0003	0.0003	0.0005	0.001	0.0014	0.0006	0.0007	0.0004	0.0019	0.0007	0.0005	0.0004	0.0005	0.0008	0.0011	0.0003	0.0005	0.0009	0.0004	0.0005	0.0003	0.0016	0.001	0.0005	0.0003	0.0007	0.0006	0.0005	0.0004	0.0003	0.0006	0.0007	0.0003	0.0005	0.0009	0.0009	0.0006	0.0003	0.0005	0.0011	0.0005	0.0004	0.0007	0.0011	0.0005	0.0005	0.0009	0.0005	0.0005	0.0009	0.0007	0.0007	0.0006	0.0003	0.0005	0.0014	0.0006	0.0005	0.0002	0.0005	0.0009
direct_vc_pvals	0.332	0.364	0.779	0.15	0.255	0.475	0.452	0.828	0.404	0.989	0.699	0.351	0.081	0.318	0.722	0.71	0.309	0.074	0.733	0.343	0.526	0.16	0.167	0.994	0.112	0.44	0.882	0.626	0.304	0.914	0.855	0.817	0.931	0.67	0.463	0.159	0.619	0.976	0.094	0.334	0.351	0.484	0.013	0.759	0.275	0.371	0.001	0.137	0.917	0.619	0.151	0.733	0.114	0.095	0.583	0.446	0.589	0.997	0.579	0.124	0.351	0.062	0.601	0.248	0.711	0.142	0.274	0.853	0.763	0.182	0.989	0.09	0.866	0.133	0.882	0.992	0.423	0.454	0.861	0.51	0.627	0.603	0.885	0.392	0.227	0.124	0.408	0.429	0.781	0.243	0.613	0.657	0.349	0.24	0.22	0.57	0.003	0.78	0.664	0.087
upper95_perm_direct	0.5385	2.2786	0.5114	0.3731	0.2971	0.0422	0.0248	0.0226	0.0579	0.0071	0.0497	0.0378	0.0212	0.0348	0.0142	0.0132	0.0229	0.0346	0.0109	0.0216	0.0195	0.0107	0.0314	0.0154	0.0409	0.0091	0.0139	0.061	0.02	0.033	0.0177	0.026	0.0055	0.051	0.0866	0.1437	0.0387	0.0331	0.0113	0.0067	0.007	0.0162	0.0096	0.0161	0.0273	0.0178	0.0138	0.0495	0.0411	0.0151	0.0122	0.0162	0.0234	0.0229	0.0087	0.0065	0.0644	0.0158	0.0118	0.0093	0.063	0.0129	0.0118	0.0155	0.0181	0.0189	0.0114	0.0109	0.0049	0.0077	0.0296	0.007	0.0159	0.0524	0.0434	0.0147	0.0068	0.0195	0.0449	0.0097	0.0084	0.0144	0.0725	0.0206	0.0182	0.0149	0.0168	0.0129	0.0469	0.0404	0.0325	0.0201	0.0061	0.016	0.0619	0.0062	0.017	0.0097	0.011	0.0484
lower0_perm_direct	-0.1043	-0.0823	-0.0683	-0.0213	0.0046	-0.0054	-0.0019	-0.002	-0.0034	-0.0018	-0.0022	-0.002	-0.0015	-0.002	-0.0015	-0.0012	-0.0024	-0.0019	-0.0009	-0.0019	-0.0048	-0.0018	-0.0025	-0.0018	-0.0004	-0.0034	-0.0012	0.008	-0.0013	-0.0021	-0.0034	-0.0023	-0.0012	-0.0019	0.0022	0.0061	-0.0024	-0.0014	-0.0007	-0.0008	-0.001	-0.0013	-0.0029	-0.0039	-0.0018	-0.0019	-0.0012	-0.0053	-0.0022	-0.0013	-0.0011	-0.0016	-0.0023	-0.003	-0.0009	-0.0015	-0.0017	-0.0009	-0.0016	-0.001	-0.0043	-0.0028	-0.0013	-0.0008	-0.002	-0.0016	-0.0015	-0.0012	-0.0009	-0.0017	-0.0021	-0.0008	-0.0013	-0.0024	-0.0005	-0.0016	-0.0009	-0.0014	-0.0026	-0.0015	-0.0012	-0.0019	-0.0016	-0.0015	-0.0013	-0.0026	-0.0013	-0.0014	-0.0027	-0.0013	-0.0019	-0.0016	-0.0008	-0.0014	-0.0033	-0.0017	-0.0015	-0.0006	-0.0015	0.0023
sad_vc_estimate	0.128	1.6673	0.0134	0.2884	0.3753	-0.004	0.001	-0.0017	0.0088	-0.0015	0.0069	0.0139	0.0215	0.0029	0.0015	-0.0012	0.0098	0.0471	-0.0007	0.0227	0.0106	0.0036	0.0419	-0.0012	0.0568	-0.0027	-0.0003	0.0467	0.0172	0.001	-0.0029	-0.0022	-0.0007	0.0455	0.0599	0.1869	0.0124	0.0034	0.0152	0.0002	0.0003	0.0014	0.0109	0.0096	0.0193	0.0013	0.029	0.0272	0.0049	0.0012	0.017	0.0046	0.0195	0.0175	0.0009	0.0037	0.0452	0.0015	0.0031	0.0126	0.0368	0.0067	0.0041	0.0076	0.0011	0.0164	0.0029	-0.0012	-0.0009	-0.0004	-0.0005	0.0078	-0.0007	0.041	0.0247	0.0001	0.002	0.0145	0.0067	-0.0014	-0.0006	-0.0018	0.024	0.0034	0.0139	0.025	0.006	0.0026	0.0109	0.0282	0.014	0.0003	0.0001	0.0105	0.081	-0.0012	0.0483	0.0006	-0.0007	0.0742
sad_vc_estimate_se	0.0365	0.0362	0.0241	0.0076	0.0042	0.0019	0.0007	0.0007	0.0012	0.0006	0.0008	0.0007	0.0005	0.0007	0.0005	0.0004	0.0008	0.0007	0.0003	0.0007	0.0017	0.0006	0.0009	0.0006	0.0008	0.0012	0.0004	0.0013	0.0005	0.0007	0.0012	0.0008	0.0004	0.0011	0.0014	0.0021	0.0008	0.0005	0.0003	0.0003	0.0003	0.0005	0.001	0.0014	0.0006	0.0007	0.0004	0.0019	0.0007	0.0005	0.0004	0.0005	0.0008	0.0011	0.0003	0.0005	0.0009	0.0004	0.0005	0.0003	0.0016	0.001	0.0005	0.0003	0.0007	0.0006	0.0005	0.0004	0.0003	0.0006	0.0007	0.0003	0.0005	0.0009	0.0009	0.0006	0.0003	0.0005	0.0011	0.0005	0.0004	0.0007	0.0011	0.0005	0.0005	0.0009	0.0005	0.0005	0.0009	0.0007	0.0007	0.0006	0.0003	0.0005	0.0014	0.0006	0.0005	0.0002	0.0005	0.0009
sad_vc_pvals	0.239	0.436	0.64	0.225	0.195	0.821	0.559	0.926	0.515	0.797	0.8	0.495	0.092	0.519	0.463	0.977	0.262	0.139	0.858	0.21	0.068	0.273	0.02	0.81	0.142	0.691	0.728	0.814	0.245	0.807	0.884	0.966	0.716	0.326	0.788	0.149	0.609	0.961	0.065	0.591	0.453	0.575	0.085	0.103	0.268	0.629	0.003	0.422	0.819	0.648	0.09	0.286	0.191	0.153	0.528	0.293	0.5	0.923	0.361	0.042	0.552	0.052	0.22	0.259	0.538	0.144	0.418	0.975	0.931	0.565	0.741	0.131	0.813	0.161	0.782	0.614	0.354	0.27	0.91	0.968	0.693	0.897	0.887	0.507	0.187	0.023	0.664	0.444	0.823	0.484	0.52	0.675	0.471	0.27	0.088	0.705	0.003	0.531	0.746	0.079
upper95_perm_sad	0.4735	3.0545	0.792	0.4593	0.4494	0.0616	0.0254	0.0328	0.0726	0.0087	0.0633	0.0494	0.0244	0.0352	0.0165	0.0178	0.0212	0.0532	0.0128	0.0363	0.0111	0.0101	0.0323	0.0213	0.0624	0.0087	0.0145	0.1047	0.0297	0.0458	0.0353	0.0284	0.0096	0.0616	0.1084	0.199	0.0589	0.0467	0.015	0.0092	0.0054	0.0217	0.0132	0.0126	0.0354	0.0205	0.0142	0.0512	0.053	0.02	0.0196	0.0162	0.032	0.0222	0.0096	0.0126	0.0862	0.0246	0.0143	0.0115	0.0804	0.0061	0.0096	0.0186	0.0215	0.0252	0.0186	0.0125	0.0063	0.0121	0.0328	0.0095	0.0156	0.0617	0.0676	0.0191	0.0079	0.0226	0.0672	0.0111	0.0104	0.0158	0.1018	0.0269	0.0202	0.0181	0.0209	0.0123	0.0649	0.0505	0.0524	0.0293	0.0048	0.0207	0.0829	0.0069	0.0281	0.0087	0.0156	0.071
lower0_perm_sad	-0.103	0.0111	-0.0688	-0.0214	0.0446	-0.0053	-0.0019	-0.0021	-0.0033	-0.0018	-0.0022	-0.002	-0.0014	-0.0021	-0.0015	-0.0012	-0.0023	-0.0019	-0.0008	-0.0019	-0.0049	-0.0018	-0.0025	-0.0018	0.0013	-0.0034	-0.0012	0.0125	-0.0013	-0.0021	-0.0035	-0.0024	-0.0012	0.0052	0.022	0.0245	-0.0024	-0.0006	-0.0007	-0.0008	-0.001	-0.0013	-0.0028	-0.0039	-0.0018	-0.0019	-0.0013	-0.0036	-0.0021	-0.0013	-0.0011	-0.0016	-0.0023	-0.0022	-0.0009	-0.0016	0.0009	-0.0008	-0.0016	-0.0008	-0.0028	-0.0029	-0.0013	-0.0009	-0.0021	-0.0017	-0.0015	-0.0012	-0.0009	-0.0017	-0.002	-0.0008	-0.0013	-0.0025	0.0017	-0.0016	-0.0009	-0.0015	-0.0029	-0.0015	-0.0013	-0.0019	0.0002	-0.0015	-0.0013	-0.0026	-0.0008	-0.0014	-0.0019	0.0024	-0.002	-0.0016	-0.0008	-0.0014	0.0005	-0.0016	-0.0015	-0.0006	-0.0014	0.0093
