	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.0345	0.0002	0.0261	0.0152	0.0052	-0.0012	-0.0007	0.0178	0.0142	0.001	0.0008	0.002	0.0019	-0.0003	0.0006	-0.0002	0.0008	-0.0004	-0.0	-0.0003	-0.0001	0.0007	0.0074	0.0111	0.0005	-0.0001	0.0019	0.0	-0.0003	0.0175	-0.0003	0.002	0.0012	-0.0003	-0.0003	0.0009	-0.0004	-0.0003	-0.0005	-0.0004	0.0016	0.0058	0.0002	-0.0001	0.0032	-0.0003	0.0011	0.0165	0.0022	-0.0006	-0.0001	-0.0003	0.0023	-0.0	-0.0002	0.0002	0.0037	0.0003	-0.0003	-0.0002	0.0098	-0.0004	0.0006	0.0002	-0.0007	0.0087	0.0046	-0.0003	0.0024	0.0013	0.0001	0.0003	0.0031	0.0036	0.0021	-0.0005	-0.0003	-0.0005	-0.0004	0.0007	0.0002	0.0002	-0.0004	-0.0002	-0.0003	0.0	0.0002	0.0007	-0.0001	0.0057	0.002	-0.0003	-0.0001	0.0032	-0.0003	0.0013	0.0053	-0.0005	-0.0002	-0.0003
direct_vc_estimate_se	0.3215	0.1854	0.0619	0.0701	0.0133	0.0112	0.0076	0.0061	0.0063	0.0066	0.0047	0.0043	0.0046	0.0059	0.0066	0.0041	0.0035	0.0046	0.0048	0.0085	0.0045	0.0092	0.0074	0.0038	0.0039	0.0043	0.0068	0.0046	0.0039	0.0036	0.0046	0.0041	0.0033	0.0038	0.004	0.0047	0.0043	0.0043	0.0042	0.0039	0.004	0.0041	0.0042	0.0053	0.0039	0.0065	0.0039	0.0067	0.0034	0.0058	0.0057	0.0035	0.0049	0.0046	0.004	0.0042	0.0047	0.0046	0.004	0.0038	0.0035	0.0041	0.0032	0.0048	0.0062	0.0046	0.0035	0.0032	0.0048	0.0034	0.004	0.0041	0.0056	0.0036	0.0047	0.0043	0.0044	0.0074	0.0034	0.0045	0.0044	0.0037	0.0044	0.0044	0.0045	0.0039	0.0054	0.0046	0.0039	0.0038	0.004	0.0034	0.0037	0.0038	0.0038	0.004	0.0048	0.005	0.0046	0.0038
direct_vc_pvals	0.916	0.49	0.199	0.242	0.293	0.852	0.724	0.013	0.0	0.275	0.467	0.25	0.205	0.612	0.273	0.609	0.324	0.803	0.56	0.516	0.625	0.415	0.107	0.008	0.411	0.654	0.21	0.543	0.79	0.004	0.728	0.227	0.336	0.745	0.814	0.346	0.894	0.764	0.927	0.953	0.312	0.044	0.522	0.567	0.222	0.628	0.392	0.009	0.28	0.933	0.544	0.801	0.189	0.623	0.72	0.556	0.145	0.453	0.769	0.659	0.024	0.835	0.423	0.517	0.971	0.022	0.058	0.868	0.241	0.352	0.603	0.528	0.136	0.115	0.16	0.872	0.747	0.707	0.964	0.39	0.55	0.505	0.865	0.681	0.746	0.632	0.58	0.379	0.69	0.028	0.174	0.754	0.645	0.104	0.74	0.243	0.038	0.873	0.695	0.816
upper95_perm_direct	0.3079	0.1819	0.0906	0.0712	0.0245	0.0137	0.0046	0.0122	0.007	0.006	0.0093	0.0074	0.0062	0.006	0.004	0.0056	0.0049	0.0068	0.006	0.006	0.0081	0.011	0.0129	0.0072	0.0056	0.0092	0.0079	0.0064	0.0062	0.0102	0.0064	0.0074	0.0084	0.0075	0.0086	0.0064	0.0067	0.0071	0.0062	0.006	0.0088	0.0065	0.0078	0.0064	0.0105	0.0064	0.0084	0.0106	0.0101	0.0067	0.0078	0.005	0.007	0.0083	0.0084	0.0075	0.0078	0.0072	0.0064	0.0057	0.0086	0.0046	0.0059	0.0066	0.0069	0.0079	0.006	0.0094	0.0092	0.0089	0.0072	0.0084	0.0072	0.0074	0.0056	0.0064	0.0054	0.009	0.0071	0.0063	0.0094	0.0056	0.009	0.0061	0.007	0.0087	0.0094	0.0063	0.0071	0.0056	0.005	0.0058	0.0069	0.0061	0.0058	0.0055	0.0058	0.0062	0.0073	0.0068
lower0_perm_direct	-0.0508	-0.0283	-0.0093	-0.011	-0.002	-0.0017	-0.0012	-0.0009	-0.001	-0.001	-0.0007	-0.0007	-0.0007	-0.0009	-0.0011	-0.0006	-0.0005	-0.0007	-0.0007	-0.0013	-0.0007	-0.0014	-0.0011	-0.0006	-0.0006	-0.0007	-0.0011	-0.0007	-0.0006	-0.0006	-0.0007	-0.0006	-0.0005	-0.0006	-0.0006	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0007	-0.0008	-0.0006	-0.001	-0.0006	-0.0011	-0.0005	-0.0009	-0.0009	-0.0005	-0.0008	-0.0007	-0.0006	-0.0006	-0.0007	-0.0007	-0.0006	-0.0006	-0.0005	-0.0006	-0.0005	-0.0008	-0.001	-0.0007	-0.0005	-0.0005	-0.0008	-0.0005	-0.0006	-0.0006	-0.0009	-0.0006	-0.0008	-0.0007	-0.0007	-0.0012	-0.0005	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0007	-0.0006	-0.0009	-0.0007	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0008	-0.0007	-0.0006
sad_vc_estimate	-0.0118	-0.0163	0.0417	0.0167	0.0708	-0.0007	-0.0006	0.0523	0.0205	0.0036	0.0033	0.006	0.0183	-0.0006	-0.0005	0.0041	-0.0004	-0.0005	-0.0005	-0.0004	0.0011	0.0193	0.0514	0.0235	0.0018	-0.0001	0.0045	0.0007	0.0036	0.0394	0.0033	0.0127	0.0051	-0.0001	-0.0001	0.0093	0.0003	0.0034	-0.0005	-0.0	0.0058	0.0206	0.0002	0.0004	0.0152	0.0009	0.001	0.0311	0.0012	-0.0002	0.0016	0.0003	0.0106	-0.0005	0.0003	0.0003	0.0109	0.0023	0.0013	-0.0004	0.0173	-0.0	0.0	-0.0005	0.0018	0.0215	0.0224	-0.0004	0.005	0.0023	-0.0003	0.0024	0.0173	0.002	0.0019	0.0004	-0.0004	-0.0004	-0.0003	0.002	0.0055	-0.0002	-0.0001	-0.0005	0.0013	-0.0002	-0.0006	-0.0004	0.002	0.0095	0.0068	-0.0002	0.0042	0.0113	0.0022	0.0029	0.0036	0.0018	-0.0005	-0.0004
sad_vc_estimate_se	0.3282	0.1892	0.0634	0.0712	0.0136	0.0114	0.0078	0.0063	0.0065	0.0067	0.0048	0.0044	0.0047	0.006	0.0067	0.0042	0.0036	0.0047	0.0049	0.0086	0.0046	0.0094	0.0075	0.0039	0.004	0.0044	0.0069	0.0047	0.004	0.0037	0.0047	0.0042	0.0034	0.0038	0.0041	0.0048	0.0044	0.0044	0.0043	0.004	0.0041	0.0042	0.0042	0.0054	0.004	0.0066	0.004	0.0068	0.0035	0.0059	0.0058	0.0036	0.0049	0.0047	0.004	0.0043	0.0048	0.0046	0.0041	0.0039	0.0036	0.0042	0.0033	0.0049	0.0063	0.0047	0.0036	0.0033	0.0049	0.0035	0.0041	0.0042	0.0057	0.0037	0.0048	0.0044	0.0045	0.0074	0.0035	0.0046	0.0045	0.0038	0.0045	0.0045	0.0046	0.0039	0.0055	0.0047	0.0039	0.0038	0.0041	0.0035	0.0037	0.0038	0.0039	0.0041	0.0048	0.0051	0.0047	0.0039
sad_vc_pvals	0.689	0.822	0.348	0.389	0.023	0.741	0.764	0.007	0.013	0.222	0.369	0.229	0.019	0.876	0.776	0.174	0.994	0.98	0.885	0.69	0.57	0.153	0.039	0.016	0.393	0.793	0.265	0.563	0.293	0.009	0.354	0.103	0.281	0.777	0.78	0.116	0.65	0.375	0.973	0.717	0.257	0.02	0.695	0.611	0.1	0.526	0.599	0.009	0.635	0.719	0.46	0.622	0.087	0.921	0.675	0.648	0.118	0.398	0.483	0.947	0.036	0.688	0.75	0.876	0.429	0.026	0.007	0.996	0.267	0.414	0.831	0.415	0.024	0.507	0.368	0.576	0.881	0.785	0.912	0.374	0.272	0.796	0.781	0.965	0.499	0.83	0.962	0.89	0.415	0.062	0.094	0.826	0.302	0.061	0.404	0.275	0.28	0.442	0.962	0.962
upper95_perm_sad	0.7262	0.3476	0.2748	0.1386	0.0598	0.0289	0.0096	0.0391	0.0142	0.0142	0.0216	0.0204	0.0165	0.0169	0.0103	0.011	0.0108	0.0196	0.0145	0.0146	0.0195	0.0461	0.0552	0.0178	0.0129	0.0261	0.0175	0.0175	0.0175	0.0294	0.019	0.021	0.0206	0.0163	0.0194	0.0174	0.0163	0.0191	0.0218	0.0162	0.02	0.0181	0.0195	0.0152	0.0259	0.0155	0.0234	0.0212	0.0281	0.0175	0.018	0.0149	0.0168	0.0208	0.0197	0.0195	0.0219	0.0175	0.0162	0.0177	0.0188	0.0125	0.0151	0.0158	0.0155	0.0218	0.0158	0.0282	0.0223	0.0204	0.0166	0.0176	0.0158	0.0232	0.0131	0.0127	0.0159	0.0203	0.0136	0.0144	0.0243	0.0147	0.0252	0.0176	0.0177	0.0217	0.0255	0.0153	0.0191	0.0122	0.0114	0.0159	0.0213	0.0151	0.0157	0.0136	0.0154	0.0175	0.0184	0.0201
lower0_perm_sad	-0.0493	-0.0296	-0.01	-0.0112	-0.0021	-0.0017	-0.0012	-0.001	-0.001	-0.0011	-0.0007	-0.0007	-0.0007	-0.0009	-0.001	-0.0006	-0.0006	-0.0007	-0.0008	-0.0014	-0.0007	-0.0015	-0.0012	-0.0006	-0.0006	-0.0007	-0.0011	-0.0007	-0.0006	-0.0006	-0.0007	-0.0007	-0.0005	-0.0006	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0009	-0.0006	-0.001	-0.0006	-0.0011	-0.0005	-0.0009	-0.0009	-0.0005	-0.0008	-0.0007	-0.0006	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006	-0.0005	-0.0007	-0.0005	-0.0008	-0.001	-0.0007	-0.0006	-0.0005	-0.0008	-0.0005	-0.0006	-0.0007	-0.0009	-0.0006	-0.0007	-0.0007	-0.0007	-0.0011	-0.0006	-0.0007	-0.0007	-0.0006	-0.0007	-0.0007	-0.0007	-0.0006	-0.0008	-0.0007	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0006	-0.0006	-0.0007	-0.0008	-0.0007	-0.0006
