	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	1.1329	-0.0803	0.2716	-0.0107	0.0083	0.0864	-0.0193	0.019	-0.0006	-0.0029	-0.0054	-0.0025	0.0072	-0.0037	-0.0026	0.1009	-0.0199	-0.0007	-0.0037	0.0006	-0.0051	-0.0048	0.0037	0.0331	-0.0012	-0.0037	0.0049	0.019	-0.0002	-0.0012	0.0498	0.0105	0.0002	-0.0017	0.0047	0.0095	-0.0068	0.0058	0.0014	0.0039	0.0178	-0.007	0.0079	0.0238	0.0053	0.0289	0.0017	-0.0027	-0.0037	0.0047	-0.0009	-0.007	-0.0034	0.0079	0.0047	-0.0056	-0.0011	-0.0019	-0.0077	-0.0012	0.0049	-0.0058	0.0295	0.0085	-0.0068	0.018	0.0048	0.016	-0.0014	-0.0003	-0.0005	0.002	0.0139	-0.0083	0.0083	-0.0055	0.0274	-0.001	-0.0027	0.001	-0.0014	-0.0056	-0.0008	-0.0007	0.009	-0.0026	-0.0019	0.0028	-0.0057	0.0004	0.0008	0.0049	-0.004	0.0147	0.0035	-0.0007	-0.0021	-0.0009	-0.0101	0.0308
direct_vc_estimate_se	0.3622	0.5017	0.4637	0.127	0.0124	0.0403	0.0539	0.0054	0.0142	0.0059	0.0098	0.0056	0.0125	0.0084	0.0079	0.0181	0.0407	0.0107	0.009	0.003	0.0241	0.0112	0.0039	0.0029	0.0032	0.0069	0.0043	0.0072	0.0032	0.0027	0.0047	0.0039	0.0038	0.0035	0.0036	0.0281	0.016	0.0106	0.0047	0.0267	0.0037	0.0152	0.0031	0.0109	0.0043	0.0122	0.0116	0.0054	0.0129	0.0048	0.0035	0.0135	0.0062	0.0121	0.0058	0.0103	0.0038	0.0038	0.0211	0.0028	0.0062	0.0107	0.0049	0.0105	0.0196	0.0058	0.0071	0.004	0.0036	0.0215	0.0035	0.0043	0.0071	0.017	0.0078	0.01	0.0111	0.0063	0.0074	0.0113	0.0029	0.0127	0.0045	0.0078	0.003	0.0049	0.0034	0.0031	0.0103	0.0029	0.0051	0.0025	0.0106	0.006	0.0022	0.0053	0.0037	0.0027	0.0276	0.0051
direct_vc_pvals	0.127	0.453	0.144	0.46	0.459	0.021	0.569	0.17	0.533	0.827	0.934	0.81	0.203	0.7	0.581	0.0	0.789	0.53	0.728	0.521	0.467	0.712	0.285	0.001	0.768	0.897	0.356	0.089	0.587	0.81	0.015	0.23	0.557	0.871	0.292	0.3	0.705	0.263	0.385	0.256	0.065	0.692	0.227	0.099	0.247	0.058	0.326	0.839	0.535	0.311	0.743	0.824	0.986	0.266	0.429	0.894	0.695	0.875	0.609	0.795	0.307	0.89	0.026	0.209	0.6	0.221	0.216	0.133	0.702	0.373	0.576	0.42	0.233	0.793	0.191	0.93	0.094	0.522	0.725	0.482	0.869	0.739	0.565	0.578	0.163	0.928	0.947	0.292	0.939	0.467	0.485	0.197	0.76	0.187	0.305	0.606	0.97	0.724	0.595	0.049
upper95_perm_direct	2.2973	1.2025	0.6493	0.316	0.099	0.0757	0.048	0.0464	0.0633	0.0357	0.0419	0.0337	0.029	0.0185	0.0193	0.0376	0.0363	0.034	0.0342	0.0185	0.0398	0.0231	0.0185	0.0156	0.0227	0.0265	0.0325	0.0266	0.02	0.0189	0.0381	0.0311	0.0262	0.0294	0.023	0.0598	0.0466	0.0323	0.019	0.0311	0.0226	0.0283	0.0231	0.039	0.0187	0.035	0.0234	0.0299	0.0239	0.0288	0.0361	0.0294	0.0238	0.0355	0.0432	0.0272	0.0213	0.0315	0.0415	0.019	0.0266	0.0331	0.0249	0.0297	0.0388	0.0481	0.0166	0.0281	0.0158	0.042	0.0164	0.0261	0.0391	0.0443	0.025	0.0268	0.0412	0.0197	0.0307	0.0502	0.0183	0.0413	0.0225	0.0391	0.0231	0.0475	0.0221	0.0168	0.0239	0.0148	0.0261	0.0157	0.0503	0.0383	0.0182	0.0355	0.0165	0.0218	0.0236	0.0353
lower0_perm_direct	-0.2581	-0.3659	-0.3385	-0.0917	-0.0088	-0.0288	-0.0393	-0.0038	-0.0102	-0.0042	-0.0071	-0.0039	-0.0089	-0.006	-0.0055	-0.0128	-0.0291	-0.0077	-0.0063	-0.002	-0.017	-0.008	-0.0028	-0.002	-0.0023	-0.0049	-0.0031	-0.0052	-0.0023	-0.0019	-0.0033	-0.0028	-0.0026	-0.0025	-0.0026	-0.0202	-0.0111	-0.0076	-0.0034	-0.0191	-0.0026	-0.011	-0.0022	-0.0078	-0.0031	-0.0087	-0.0082	-0.0039	-0.0093	-0.0034	-0.0025	-0.0097	-0.0044	-0.0086	-0.0042	-0.0074	-0.0028	-0.0027	-0.0152	-0.0019	-0.0045	-0.0077	-0.0036	-0.0075	-0.0141	-0.0041	-0.0051	-0.0028	-0.0026	-0.0154	-0.0026	-0.0031	-0.0051	-0.0121	-0.0056	-0.007	-0.008	-0.0044	-0.0053	-0.008	-0.002	-0.0088	-0.0032	-0.0056	-0.0021	-0.0035	-0.0025	-0.0022	-0.0074	-0.0021	-0.0037	-0.0018	-0.0074	-0.0041	-0.0016	-0.0038	-0.0027	-0.0019	-0.0195	-0.0037
sad_vc_estimate	2.3004	0.0623	0.239	-0.0311	0.0357	0.126	-0.0207	0.0308	0.0014	-0.0019	-0.0044	-0.0031	0.0298	-0.0039	-0.0002	0.0948	-0.021	0.003	-0.0037	0.0013	-0.0015	-0.0043	0.0047	0.0333	0.0002	-0.0036	0.01	0.0193	0.0002	0.0003	0.1165	0.0048	0.0019	-0.0019	0.0033	0.007	-0.0048	0.0105	0.0008	0.0091	0.0295	-0.006	0.0135	0.0382	0.0138	0.0669	-0.0002	-0.001	-0.004	0.0048	0.001	-0.0071	-0.0034	0.0068	0.0079	-0.0057	0.0018	-0.0019	-0.0044	-0.001	0.0007	-0.0055	0.0459	0.0112	-0.0026	0.0092	0.0007	0.0233	-0.0013	-0.0001	0.0012	-0.0002	0.0147	-0.009	0.0131	-0.0056	0.0336	-0.0005	-0.0039	0.0082	-0.0004	-0.0066	0.0003	-0.0038	0.0298	-0.0027	-0.0002	0.0059	-0.0054	0.0002	0.0067	0.0048	-0.002	0.0349	0.0038	-0.0011	-0.0018	-0.0012	-0.0138	0.0333
sad_vc_estimate_se	0.3644	0.5027	0.4641	0.1274	0.0125	0.0404	0.054	0.0055	0.0142	0.0059	0.0099	0.0056	0.0126	0.0084	0.0079	0.0182	0.0407	0.0107	0.009	0.003	0.0241	0.0112	0.0039	0.0029	0.0032	0.0069	0.0044	0.0072	0.0032	0.0028	0.0047	0.0039	0.0038	0.0035	0.0036	0.0281	0.016	0.0107	0.0047	0.0267	0.0037	0.0152	0.0031	0.011	0.0044	0.0122	0.0116	0.0054	0.013	0.0048	0.0036	0.0135	0.0062	0.0121	0.0058	0.0103	0.0038	0.0038	0.0211	0.0028	0.0063	0.0107	0.005	0.0105	0.0196	0.0058	0.0071	0.0041	0.0036	0.0215	0.0036	0.0044	0.0071	0.017	0.0078	0.01	0.0111	0.0063	0.0074	0.0113	0.0029	0.0127	0.0045	0.0078	0.003	0.0049	0.0035	0.0032	0.0103	0.003	0.0051	0.0026	0.0106	0.006	0.0022	0.0053	0.0037	0.0027	0.0277	0.0051
sad_vc_pvals	0.066	0.422	0.244	0.61	0.297	0.023	0.613	0.177	0.496	0.776	0.796	0.992	0.073	0.758	0.475	0.003	0.801	0.507	0.769	0.505	0.448	0.684	0.348	0.012	0.579	0.849	0.315	0.148	0.653	0.587	0.0	0.478	0.514	0.993	0.466	0.409	0.61	0.263	0.511	0.205	0.043	0.675	0.231	0.08	0.152	0.03	0.434	0.677	0.605	0.477	0.669	0.838	0.942	0.318	0.37	0.96	0.495	0.896	0.513	0.814	0.563	0.85	0.028	0.207	0.507	0.378	0.468	0.118	0.735	0.424	0.507	0.663	0.266	0.879	0.189	0.981	0.108	0.575	0.871	0.406	0.716	0.861	0.528	0.86	0.063	0.975	0.633	0.303	0.843	0.597	0.371	0.353	0.69	0.107	0.391	0.713	0.823	0.852	0.78	0.086
upper95_perm_sad	3.1236	1.6713	1.1185	0.5608	0.1517	0.1065	0.0577	0.0672	0.0788	0.0575	0.0636	0.0505	0.0408	0.0292	0.0247	0.042	0.0551	0.0626	0.054	0.0269	0.0653	0.0382	0.0279	0.0196	0.0305	0.0347	0.0569	0.0441	0.0312	0.0257	0.0491	0.0571	0.0303	0.0463	0.0315	0.0926	0.0673	0.0483	0.0328	0.0443	0.0312	0.049	0.0437	0.0522	0.0328	0.0534	0.0342	0.0435	0.0433	0.0495	0.0533	0.0436	0.0367	0.0402	0.0567	0.0377	0.0338	0.041	0.0574	0.0303	0.0474	0.0478	0.0403	0.0388	0.061	0.0643	0.0293	0.0396	0.0274	0.0586	0.0268	0.0316	0.0545	0.0719	0.041	0.0367	0.0596	0.0317	0.0506	0.0706	0.0358	0.0592	0.028	0.0573	0.0377	0.0674	0.0284	0.0283	0.0314	0.0231	0.0386	0.028	0.0626	0.0572	0.0265	0.058	0.0269	0.0327	0.0341	0.0473
lower0_perm_sad	-0.2571	-0.3598	-0.3321	-0.0905	-0.0086	-0.0296	-0.038	-0.0039	-0.0104	-0.0042	-0.0069	-0.0039	-0.009	-0.0061	-0.0056	-0.0129	-0.0293	-0.0076	-0.0064	-0.0021	-0.0172	-0.008	-0.0028	-0.002	-0.0023	-0.0049	-0.003	-0.005	-0.0022	-0.0019	-0.0034	-0.0028	-0.0028	-0.0025	-0.0026	-0.0198	-0.0115	-0.0078	-0.0033	-0.0188	-0.0026	-0.0107	-0.0022	-0.0078	-0.003	-0.0085	-0.0083	-0.0038	-0.0094	-0.0034	-0.0025	-0.0098	-0.0044	-0.0088	-0.0042	-0.0075	-0.0028	-0.0027	-0.0151	-0.002	-0.0046	-0.0076	-0.0036	-0.0074	-0.0141	-0.004	-0.0051	-0.0029	-0.0026	-0.0154	-0.0025	-0.003	-0.005	-0.0122	-0.0056	-0.0071	-0.008	-0.0044	-0.0051	-0.008	-0.002	-0.009	-0.0032	-0.0055	-0.0022	-0.0035	-0.0024	-0.0022	-0.0074	-0.0021	-0.0036	-0.0018	-0.0073	-0.0044	-0.0016	-0.0037	-0.0027	-0.002	-0.02	-0.0036
