	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.4007	-0.2024	-0.0328	0.277	0.0473	-0.0062	-0.009	-0.0013	-0.0053	0.0127	-0.0016	-0.0041	-0.0051	-0.0068	0.0098	0.0004	0.0003	-0.003	-0.0059	-0.0034	0.0005	-0.0044	0.0039	0.0032	0.0001	-0.0002	-0.0033	0.0394	-0.0065	0.0149	0.0007	-0.0019	0.0123	-0.0058	-0.0039	-0.0066	0.0006	-0.0036	-0.0043	0.0367	0.0118	-0.0058	-0.0021	-0.0062	0.0286	-0.0021	-0.0004	0.0057	-0.0039	-0.0031	-0.0037	0.0097	0.0012	-0.0051	-0.0012	-0.0015	0.0221	-0.0009	-0.0031	0.0029	0.0424	-0.0035	-0.0028	0.0121	-0.0067	-0.0038	0.0281	0.0173	-0.0041	0.0054	-0.0039	-0.0012	-0.0013	0.0219	0.0005	-0.0041	0.0146	-0.0047	-0.0048	0.0042	0.0088	-0.0065	0.0229	-0.0042	-0.0037	0.0041	-0.0031	-0.0037	-0.0049	-0.0027	-0.0032	0.002	0.0038	-0.0039	0.0039	-0.0	0.0103	0.0064	-0.002	0.0124
direct_vc_estimate_se	0.028	0.0127	0.0059	0.0059	0.0015	0.0007	0.0006	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0003	0.0004	0.0003	0.0004	0.0004	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0002	0.0002	0.0003	0.0004	0.0004	0.0003	0.0002	0.0002	0.0004	0.0002	0.0004	0.0002	0.0003	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004	0.0003	0.0004	0.0002	0.0004	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0005	0.0004	0.0005	0.0003	0.0002	0.0003	0.0003	0.0003	0.0002	0.0002	0.0005	0.0003	0.0004	0.0003	0.0003	0.0003	0.0002	0.0004	0.0003	0.0002	0.0002	0.0003	0.0004	0.0003	0.0003	0.0002	0.0003	0.0004	0.0004	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0002	0.0003	0.0002	0.0003	0.0004	0.0003	0.0003	0.0003
direct_vc_pvals	0.745	0.978	0.495	0.115	0.128	0.603	0.809	0.357	0.75	0.08	0.473	0.59	0.816	0.871	0.202	0.425	0.321	0.544	0.993	0.725	0.317	0.905	0.306	0.198	0.52	0.409	0.718	0.02	0.97	0.163	0.393	0.565	0.016	0.891	0.876	0.908	0.373	0.804	0.765	0.014	0.178	0.918	0.484	0.93	0.034	0.694	0.356	0.2	0.711	0.727	0.706	0.084	0.276	0.766	0.5	0.541	0.107	0.509	0.8	0.265	0.039	0.749	0.627	0.084	0.743	0.628	0.063	0.045	0.727	0.249	0.93	0.545	0.551	0.046	0.488	0.906	0.087	0.971	0.999	0.17	0.286	0.957	0.077	0.933	0.745	0.258	0.805	0.569	0.804	0.657	0.543	0.252	0.208	0.883	0.165	0.4	0.157	0.187	0.551	0.197
upper95_perm_direct	1.1811	1.1485	0.3338	0.4676	0.0849	0.0639	0.0235	0.0152	0.0207	0.0187	0.0248	0.0208	0.0235	0.0155	0.0317	0.0334	0.0129	0.0248	0.0316	0.029	0.0148	0.0228	0.0175	0.0173	0.0297	0.0155	0.015	0.0311	0.018	0.0322	0.0208	0.0134	0.0082	0.0229	0.0112	0.0365	0.0152	0.0176	0.0235	0.0276	0.0302	0.0266	0.0129	0.0247	0.0252	0.0323	0.0109	0.0232	0.012	0.0116	0.0197	0.0139	0.0146	0.0132	0.0428	0.0398	0.0351	0.0216	0.0123	0.0195	0.0413	0.0299	0.0082	0.0173	0.0257	0.022	0.0324	0.0171	0.0261	0.0249	0.0155	0.0383	0.0277	0.022	0.0264	0.0126	0.0216	0.0147	0.0162	0.0138	0.0365	0.034	0.0305	0.0176	0.0145	0.0184	0.014	0.0109	0.0154	0.0098	0.0133	0.0149	0.014	0.0155	0.0104	0.0211	0.0303	0.0202	0.0205	0.0275
lower0_perm_direct	-0.5458	-0.2467	-0.1146	-0.1153	-0.0295	-0.0139	-0.0121	-0.0078	-0.0075	-0.0075	-0.0069	-0.0079	-0.0069	-0.0088	-0.0065	-0.0078	-0.0049	-0.0075	-0.0072	-0.0058	-0.0048	-0.0057	-0.0052	-0.0076	-0.0059	-0.0046	-0.0048	-0.0063	-0.008	-0.0086	-0.0052	-0.0041	-0.0042	-0.0072	-0.005	-0.0083	-0.004	-0.0049	-0.0065	-0.0059	-0.0075	-0.0072	-0.0056	-0.0077	-0.0061	-0.0072	-0.0045	-0.008	-0.0054	-0.0046	-0.0057	-0.0056	-0.0059	-0.0069	-0.0091	-0.0079	-0.009	-0.0049	-0.0041	-0.006	-0.0066	-0.0056	-0.0044	-0.0045	-0.0094	-0.0066	-0.0074	-0.0055	-0.0066	-0.0065	-0.0049	-0.0073	-0.0063	-0.0048	-0.0049	-0.0052	-0.0076	-0.0057	-0.0059	-0.0048	-0.0065	-0.0079	-0.0076	-0.0053	-0.0053	-0.0059	-0.0043	-0.0063	-0.0066	-0.0041	-0.006	-0.0058	-0.0047	-0.005	-0.0044	-0.0056	-0.0079	-0.0063	-0.0051	-0.0066
sad_vc_estimate	-0.3255	-0.0866	-0.0008	0.0697	0.0978	-0.0095	-0.0089	0.0079	-0.004	0.0089	0.0039	-0.0031	-0.0056	-0.0063	0.0132	0.0109	-0.0005	-0.0042	-0.0057	-0.0039	0.0073	-0.0045	0.0066	0.0079	0.0098	0.0001	-0.0027	0.0294	-0.0054	0.0204	-0.0001	0.001	0.0195	-0.0019	-0.004	-0.0039	0.0038	-0.003	-0.0021	0.0688	0.0091	-0.0043	0.0032	-0.0062	0.0325	0.0089	0.004	0.0167	-0.0037	-0.0035	-0.0023	0.0109	0.0104	-0.004	0.0053	0.0115	0.0194	0.0033	-0.0033	0.0131	0.0627	-0.0009	-0.0022	0.0095	-0.0029	0.0007	0.0488	0.0246	-0.0053	0.0044	-0.0038	-0.0009	0.0063	0.0269	-0.0002	-0.0001	0.0302	-0.0047	-0.0033	0.0098	0.0186	-0.0019	0.0391	-0.0042	-0.0016	0.0141	-0.0032	-0.0017	-0.005	-0.0003	0.0099	0.0028	0.0063	-0.004	0.0056	0.0051	0.0106	0.0135	-0.0022	0.0282
sad_vc_estimate_se	0.0281	0.0127	0.0059	0.0059	0.0015	0.0007	0.0006	0.0004	0.0004	0.0004	0.0003	0.0004	0.0004	0.0004	0.0003	0.0004	0.0003	0.0004	0.0004	0.0003	0.0003	0.0003	0.0003	0.0004	0.0003	0.0002	0.0002	0.0003	0.0004	0.0004	0.0003	0.0002	0.0002	0.0004	0.0002	0.0004	0.0002	0.0003	0.0003	0.0003	0.0004	0.0004	0.0003	0.0004	0.0003	0.0004	0.0002	0.0004	0.0003	0.0002	0.0003	0.0003	0.0003	0.0003	0.0005	0.0004	0.0005	0.0003	0.0002	0.0003	0.0003	0.0003	0.0002	0.0002	0.0005	0.0003	0.0004	0.0003	0.0003	0.0003	0.0002	0.0004	0.0003	0.0002	0.0002	0.0003	0.0004	0.0003	0.0003	0.0002	0.0003	0.0004	0.0004	0.0003	0.0003	0.0003	0.0002	0.0003	0.0003	0.0002	0.0003	0.0003	0.0002	0.0003	0.0002	0.0003	0.0004	0.0003	0.0003	0.0003
sad_vc_pvals	0.677	0.689	0.478	0.339	0.213	0.742	0.788	0.202	0.647	0.215	0.396	0.568	0.945	0.755	0.2	0.242	0.417	0.71	0.895	0.788	0.162	0.997	0.321	0.164	0.388	0.397	0.643	0.043	0.716	0.257	0.543	0.485	0.009	0.686	0.984	0.837	0.219	0.755	0.583	0.005	0.292	0.711	0.258	0.966	0.05	0.617	0.152	0.177	0.701	0.86	0.6	0.095	0.142	0.65	0.435	0.434	0.177	0.345	0.927	0.174	0.033	0.59	0.612	0.12	0.618	0.332	0.02	0.073	0.971	0.372	0.901	0.599	0.509	0.046	0.646	0.439	0.108	0.959	0.664	0.124	0.302	0.6	0.074	0.958	0.575	0.234	0.806	0.495	0.8	0.303	0.178	0.304	0.139	0.966	0.161	0.275	0.215	0.186	0.622	0.236
upper95_perm_sad	1.7534	1.6459	0.5791	0.5709	0.1981	0.0783	0.0341	0.0245	0.0357	0.0297	0.0339	0.0229	0.0309	0.0234	0.0351	0.0407	0.0146	0.0412	0.0382	0.0347	0.0157	0.03	0.0253	0.0228	0.0474	0.0179	0.0192	0.03	0.0269	0.0513	0.0326	0.0216	0.0105	0.0441	0.0215	0.0551	0.0122	0.0326	0.041	0.0475	0.0473	0.0355	0.018	0.0396	0.0356	0.0577	0.0118	0.0416	0.0146	0.019	0.0256	0.0164	0.0251	0.0204	0.0645	0.0696	0.0516	0.0284	0.0211	0.0293	0.0574	0.0357	0.0158	0.0184	0.051	0.0182	0.039	0.0315	0.0344	0.0343	0.0235	0.067	0.0546	0.0281	0.0376	0.0193	0.0471	0.024	0.0209	0.0191	0.0569	0.0456	0.0489	0.0312	0.0264	0.0367	0.0175	0.02	0.0118	0.0088	0.0257	0.0228	0.0149	0.0251	0.0143	0.0256	0.0377	0.0329	0.0261	0.0558
lower0_perm_sad	-0.5385	-0.2405	-0.1151	-0.1166	-0.0292	-0.0146	-0.0119	-0.0077	-0.0075	-0.0076	-0.0067	-0.0078	-0.0071	-0.0088	-0.0064	-0.0079	-0.005	-0.0074	-0.0072	-0.0057	-0.0049	-0.0056	-0.0054	-0.0075	-0.0057	-0.0045	-0.0047	-0.0063	-0.008	-0.0083	-0.0053	-0.0042	-0.0042	-0.0074	-0.0049	-0.0083	-0.0041	-0.0047	-0.0065	-0.0059	-0.0074	-0.0074	-0.0054	-0.0078	-0.0061	-0.0068	-0.0046	-0.008	-0.0056	-0.0045	-0.0057	-0.0058	-0.0058	-0.0068	-0.009	-0.0077	-0.009	-0.0052	-0.0042	-0.0059	-0.0066	-0.0056	-0.0045	-0.0046	-0.0096	-0.0068	-0.0074	-0.0055	-0.0065	-0.0065	-0.0048	-0.0077	-0.0061	-0.0047	-0.0049	-0.005	-0.0073	-0.0057	-0.006	-0.0048	-0.0066	-0.0081	-0.0075	-0.0051	-0.0053	-0.006	-0.0042	-0.0063	-0.0065	-0.0041	-0.0059	-0.0058	-0.0048	-0.0049	-0.0045	-0.0056	-0.0077	-0.0063	-0.0051	-0.0067
