	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100
direct_vc_estimate	-0.3201	0.4846	-0.0925	0.1367	0.051	0.0552	-0.0049	-0.0085	-0.018	-0.0183	0.0091	0.0325	-0.0211	-0.0022	-0.004	-0.0164	-0.0189	-0.0158	-0.0144	-0.0158	0.0214	-0.0085	0.0044	-0.0066	0.016	-0.0146	-0.0154	-0.0135	0.0209	-0.0287	0.0374	-0.011	-0.015	-0.005	-0.0025	0.0147	-0.0234	-0.0148	0.0054	-0.0153	-0.0119	-0.0098	0.0248	-0.0208	0.1196	-0.0214	-0.0209	-0.0242	-0.0158	-0.0147	-0.0156	-0.0107	-0.0048	0.0247	0.0462	-0.017	-0.0265	-0.0185	-0.0077	0.0172	0.0412	0.0034	-0.0203	-0.0052	0.0307	-0.0015	0.0072	0.0132	-0.0157	-0.0213	0.03	0.009	-0.0072	-0.0089	-0.0167	-0.0117	-0.0156	-0.0156	-0.015	-0.0223	-0.014	0.0136	-0.0178	0.0562	0.0182	0.0143	-0.0131	-0.0116	-0.0055	0.0636	-0.0166	-0.0156	0.0146	-0.0151	-0.0128	0.0332	0.0787	0.0029	-0.0158	-0.0055
direct_vc_estimate_se	0.1024	0.0812	0.0332	0.0229	0.0061	0.0034	0.0022	0.0029	0.0021	0.0018	0.002	0.002	0.002	0.0024	0.0017	0.0015	0.0019	0.0015	0.0018	0.0015	0.0016	0.0016	0.0016	0.0016	0.0014	0.0016	0.0018	0.0016	0.0018	0.0027	0.0015	0.0017	0.0016	0.0017	0.0014	0.0016	0.0025	0.0015	0.0014	0.0014	0.0019	0.0015	0.0016	0.002	0.0015	0.002	0.002	0.0028	0.0015	0.0017	0.0015	0.0016	0.0014	0.0014	0.0015	0.0016	0.0033	0.0017	0.0015	0.0017	0.0015	0.0014	0.0027	0.0016	0.0016	0.0015	0.0013	0.0017	0.0016	0.002	0.0014	0.0014	0.0015	0.0015	0.0016	0.0014	0.0017	0.0016	0.0016	0.0021	0.0019	0.0022	0.002	0.0018	0.0013	0.0015	0.0015	0.0016	0.0019	0.0025	0.0015	0.0014	0.0022	0.0014	0.0016	0.0014	0.0019	0.0015	0.0015	0.0014
direct_vc_pvals	0.5	0.236	0.552	0.345	0.28	0.2	0.425	0.393	0.686	0.773	0.267	0.166	0.84	0.343	0.445	0.927	0.768	0.873	0.661	0.981	0.206	0.532	0.244	0.481	0.222	0.728	0.723	0.729	0.207	0.927	0.093	0.563	0.786	0.419	0.483	0.282	0.743	0.762	0.308	0.959	0.516	0.585	0.248	0.87	0.028	0.931	0.91	0.723	0.903	0.676	0.894	0.553	0.466	0.173	0.085	0.838	0.668	0.935	0.527	0.223	0.131	0.381	0.628	0.445	0.108	0.409	0.293	0.245	0.824	0.899	0.181	0.268	0.504	0.587	0.933	0.664	0.749	0.786	0.742	0.962	0.61	0.238	0.711	0.097	0.207	0.243	0.735	0.591	0.424	0.105	0.974	1.0	0.226	0.936	0.692	0.13	0.045	0.368	0.916	0.454
upper95_perm_direct	5.3008	3.13	2.0776	1.385	0.2888	0.1846	0.1097	0.105	0.1134	0.0728	0.0844	0.1009	0.0934	0.0903	0.0767	0.0568	0.0625	0.0766	0.0876	0.0901	0.0849	0.0913	0.0481	0.0691	0.0702	0.102	0.0894	0.103	0.0828	0.1032	0.0668	0.083	0.067	0.0634	0.093	0.1005	0.1027	0.0627	0.0677	0.0562	0.0699	0.0652	0.0947	0.08	0.1027	0.077	0.0658	0.1226	0.0786	0.067	0.0714	0.0735	0.0673	0.0774	0.0676	0.0783	0.1102	0.0714	0.0578	0.0782	0.0856	0.082	0.1207	0.064	0.0626	0.0575	0.0627	0.0777	0.0544	0.0837	0.0867	0.0588	0.0589	0.0845	0.0681	0.0677	0.0757	0.0805	0.0581	0.1032	0.0797	0.0974	0.0845	0.0991	0.0712	0.0846	0.0907	0.0632	0.0844	0.1082	0.0761	0.065	0.0805	0.0638	0.1038	0.075	0.0874	0.074	0.0582	0.0713
lower0_perm_direct	-1.4088	-1.1194	-0.4531	-0.3132	-0.0829	-0.048	-0.0312	-0.0393	-0.0297	-0.025	-0.028	-0.0273	-0.0282	-0.0326	-0.0241	-0.0215	-0.0262	-0.0206	-0.0248	-0.0203	-0.0224	-0.022	-0.022	-0.0228	-0.0195	-0.0224	-0.0254	-0.0214	-0.0247	-0.037	-0.0213	-0.0239	-0.0215	-0.0228	-0.02	-0.0218	-0.0342	-0.0203	-0.0193	-0.0195	-0.027	-0.0215	-0.0214	-0.027	-0.0201	-0.027	-0.027	-0.0382	-0.0205	-0.0231	-0.0202	-0.0214	-0.0188	-0.0199	-0.0204	-0.0222	-0.044	-0.024	-0.0205	-0.0229	-0.0206	-0.0188	-0.0374	-0.0222	-0.0221	-0.0205	-0.0183	-0.0243	-0.021	-0.0286	-0.0194	-0.0193	-0.0204	-0.0201	-0.0216	-0.0198	-0.0226	-0.0223	-0.0217	-0.0289	-0.0278	-0.0297	-0.0279	-0.0251	-0.0179	-0.0206	-0.02	-0.0224	-0.0266	-0.0339	-0.0209	-0.0199	-0.0295	-0.0192	-0.0229	-0.0198	-0.0254	-0.0203	-0.0202	-0.0185
sad_vc_estimate	0.2404	-0.0587	-0.2296	0.0697	0.0642	0.0328	-0.0052	0.0276	-0.0198	-0.0169	0.0162	0.0537	-0.0195	-0.0028	-0.0031	-0.0165	-0.0186	-0.0138	-0.0108	-0.0158	0.0372	-0.0023	-0.0024	-0.0083	0.0156	-0.0171	-0.013	-0.0135	0.037	-0.0282	0.0648	-0.0133	-0.0132	-0.0123	-0.0084	0.03	-0.02	-0.0149	0.0139	-0.0147	-0.0012	-0.0102	0.0325	-0.0213	0.1588	-0.0216	-0.0198	-0.0276	-0.0161	-0.0162	-0.014	-0.0121	-0.0054	0.027	0.068	-0.0173	-0.0286	-0.0153	-0.0025	0.0074	0.0261	0.0075	-0.0198	-0.0038	0.0184	0.0047	0.0187	0.0087	-0.0122	-0.0139	0.032	0.0172	-0.0109	-0.007	-0.0115	-0.0105	-0.0158	-0.0142	-0.0154	-0.0223	-0.0193	0.0185	-0.0175	0.0455	0.0233	0.0173	-0.0159	-0.0169	0.0099	0.0524	-0.0163	-0.0148	0.0327	-0.0152	-0.01	0.0414	0.0999	0.0002	-0.016	-0.0081
sad_vc_estimate_se	0.1026	0.0813	0.0332	0.023	0.0061	0.0034	0.0022	0.0029	0.0021	0.0018	0.002	0.002	0.002	0.0024	0.0017	0.0015	0.0019	0.0015	0.0018	0.0015	0.0016	0.0016	0.0016	0.0016	0.0014	0.0016	0.0018	0.0016	0.0018	0.0027	0.0016	0.0017	0.0016	0.0017	0.0014	0.0016	0.0025	0.0015	0.0014	0.0014	0.0019	0.0015	0.0016	0.002	0.0015	0.002	0.002	0.0028	0.0015	0.0017	0.0015	0.0016	0.0014	0.0014	0.0015	0.0016	0.0033	0.0017	0.0015	0.0017	0.0015	0.0014	0.0027	0.0016	0.0016	0.0015	0.0013	0.0017	0.0016	0.002	0.0014	0.0014	0.0015	0.0015	0.0016	0.0014	0.0017	0.0016	0.0016	0.0021	0.0019	0.0022	0.002	0.0018	0.0013	0.0015	0.0015	0.0016	0.0019	0.0025	0.0015	0.0015	0.0022	0.0014	0.0016	0.0014	0.0019	0.0015	0.0015	0.0014
sad_vc_pvals	0.386	0.4	0.668	0.376	0.228	0.255	0.468	0.21	0.779	0.721	0.236	0.117	0.786	0.325	0.429	0.93	0.751	0.765	0.571	0.968	0.132	0.461	0.358	0.528	0.252	0.889	0.651	0.746	0.147	0.89	0.058	0.647	0.667	0.633	0.587	0.207	0.625	0.807	0.216	0.852	0.348	0.627	0.257	0.922	0.025	0.998	0.797	0.793	0.988	0.774	0.767	0.608	0.465	0.186	0.052	0.884	0.674	0.703	0.413	0.297	0.192	0.357	0.648	0.442	0.169	0.325	0.2	0.294	0.61	0.569	0.156	0.195	0.619	0.581	0.622	0.639	0.751	0.733	0.784	0.965	0.81	0.241	0.689	0.119	0.194	0.254	0.998	0.855	0.258	0.125	0.895	0.842	0.133	0.972	0.613	0.106	0.021	0.413	0.999	0.565
upper95_perm_sad	6.3678	3.2263	1.9283	1.3185	0.3201	0.1857	0.1295	0.1189	0.1087	0.0881	0.0848	0.1041	0.1016	0.0832	0.0836	0.0708	0.0634	0.0776	0.0797	0.0831	0.0777	0.0944	0.0597	0.0765	0.0729	0.0938	0.0993	0.1138	0.0935	0.1181	0.0767	0.0961	0.0861	0.0855	0.0833	0.1026	0.0965	0.0673	0.0596	0.0712	0.0794	0.1024	0.1194	0.0794	0.13	0.0604	0.0735	0.1365	0.0935	0.0828	0.0918	0.0691	0.0634	0.0861	0.0763	0.0696	0.1086	0.0848	0.0656	0.0783	0.0908	0.0926	0.1223	0.0763	0.059	0.0767	0.0825	0.0811	0.0496	0.0792	0.0808	0.0707	0.0789	0.0977	0.0808	0.0924	0.089	0.0934	0.0666	0.1065	0.0908	0.099	0.1056	0.095	0.0828	0.0873	0.0858	0.0754	0.0766	0.1019	0.0858	0.0758	0.0818	0.0698	0.1025	0.079	0.0741	0.0805	0.0586	0.0769
lower0_perm_sad	-1.4279	-1.0954	-0.4651	-0.3206	-0.082	-0.0473	-0.0305	-0.0393	-0.0285	-0.0255	-0.0279	-0.0273	-0.028	-0.0325	-0.0238	-0.0217	-0.0272	-0.0215	-0.024	-0.0202	-0.0233	-0.0216	-0.0217	-0.0225	-0.0201	-0.0228	-0.025	-0.0215	-0.0253	-0.0369	-0.0217	-0.024	-0.0213	-0.0229	-0.02	-0.0213	-0.0338	-0.0202	-0.0193	-0.0198	-0.0268	-0.0206	-0.0223	-0.0279	-0.0203	-0.0286	-0.0272	-0.0388	-0.0208	-0.023	-0.0206	-0.0215	-0.0194	-0.0204	-0.021	-0.0224	-0.0461	-0.0239	-0.0205	-0.0227	-0.0202	-0.0199	-0.0374	-0.0211	-0.0225	-0.0211	-0.0184	-0.0234	-0.0215	-0.0281	-0.0198	-0.0195	-0.02	-0.0201	-0.0221	-0.0196	-0.0231	-0.0222	-0.0212	-0.0289	-0.0269	-0.0304	-0.0277	-0.025	-0.0185	-0.0207	-0.0202	-0.0223	-0.0266	-0.035	-0.0215	-0.0207	-0.0297	-0.0202	-0.0221	-0.0197	-0.0259	-0.0202	-0.0204	-0.0191
